method,history,ahead,loss,mae
CNN,18,15,0.5452752709388733,0.5255540609359741
LSTM,18,15,0.5355520248413086,0.5240577459335327
CNN,19,15,0.5454167127609253,0.5254678726196289
LSTM,19,15,0.5327309966087341,0.5214586853981018
CNN,20,15,0.5390841364860535,0.5207324624061584
LSTM,20,15,0.5339437127113342,0.5228220820426941
CNN,21,15,0.5433845520019531,0.5238065123558044
LSTM,21,15,0.5427160859107971,0.5306418538093567
CNN,22,15,0.553705632686615,0.5302352905273438
LSTM,22,15,0.533794105052948,0.5221036076545715
CNN,23,15,0.5388566851615906,0.5218363404273987
LSTM,23,15,0.5433133840560913,0.5301452279090881
CNN,24,15,0.5369328260421753,0.521024763584137
LSTM,24,15,0.5373613238334656,0.525284469127655
CNN,25,15,0.5525282025337219,0.5308301448822021
LSTM,25,15,0.5366588830947876,0.5250203609466553
CNN,26,15,0.6723396182060242,0.5850203037261963
LSTM,26,15,0.5337926745414734,0.5223679542541504
CNN,27,15,0.5958758592605591,0.5511054992675781
LSTM,27,15,0.5315277576446533,0.5209784507751465
CNN,28,15,0.5638253688812256,0.5370179414749146
LSTM,28,15,0.5394285321235657,0.5271275639533997
CNN,29,15,0.5586442947387695,0.5338566303253174
LSTM,29,15,0.5361814498901367,0.5249723792076111
CNN,30,15,0.5472698211669922,0.5263988375663757
LSTM,30,15,0.5302150845527649,0.5200653672218323
CNN,31,15,0.6740679740905762,0.5808969140052795
LSTM,31,15,0.5361753106117249,0.5241199135780334
CNN,32,15,0.5463242530822754,0.526107907295227
LSTM,32,15,0.5327277779579163,0.5222756266593933
CNN,33,15,1.0699341297149658,0.6923829317092896
LSTM,33,15,0.5427015423774719,0.5286543965339661
CNN,34,15,0.5555726289749146,0.5316181778907776
LSTM,34,15,0.5300604701042175,0.5200349688529968
CNN,35,15,0.5467461943626404,0.526943564414978
LSTM,35,15,0.530649721622467,0.5207717418670654
CNN,36,15,0.5435229539871216,0.5238237380981445
LSTM,36,15,0.5365331172943115,0.5252999067306519
CNN,37,15,0.5451502203941345,0.5253190398216248
LSTM,37,15,0.5415464043617249,0.5275589227676392
CNN,38,15,0.5581406354904175,0.5336875319480896
LSTM,38,15,0.5337338447570801,0.522869348526001
