msoa,ltla,ppln_msoa,ppln_ltla,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02005610,E07000149,7990,124495,27,2667,0.010123734533183352,80.88863892013498,female,0-4,189,0.02365456821026283,0.0002394725690577789
E02005610,E07000149,7990,124495,27,2667,0.010123734533183352,80.88863892013498,male,0-4,214,0.026783479349186484,0.0002711488348061624
E02006247,E07000202,8909,133729,8,3134,0.0025526483726866626,22.74154435226548,female,0-4,319,0.0358064878213043,9.140137286867722e-05
E02006247,E07000202,8909,133729,8,3134,0.0025526483726866626,22.74154435226548,male,0-4,385,0.0432147266808845,0.00011031200173805871
E02006287,E07000244,5943,239946,734,2315,0.31706263498920084,1884.3032397408206,female,0-4,122,0.020528352683829715,0.0065087735939226826
E02006287,E07000244,5943,239946,734,2315,0.31706263498920084,1884.3032397408206,male,0-4,130,0.02187447417129396,0.006935578419753678
E02006288,E07000244,8887,239946,21,2791,0.007524184879971337,66.86743102830528,female,0-4,164,0.01845392145830989,0.0001388507168127939
E02006288,E07000244,8887,239946,21,2791,0.007524184879971337,66.86743102830528,male,0-4,164,0.01845392145830989,0.0001388507168127939
E02006238,E07000245,9668,171481,9,3906,0.002304147465437788,22.276497695852534,female,0-4,265,0.027410012412081092,6.315671062691495e-05
E02006238,E07000245,9668,171481,9,3906,0.002304147465437788,22.276497695852534,male,0-4,332,0.03434009102192801,7.912463369107837e-05
E02006289,E07000244,8262,239946,74,2789,0.026532807457870206,219.21405521692364,female,0-4,204,0.024691358024691357,0.0006551310483424742
E02006289,E07000244,8262,239946,74,2789,0.026532807457870206,219.21405521692364,male,0-4,200,0.02420721374969741,0.0006422853415122297
E02006297,E07000244,8031,239946,10,2580,0.003875968992248062,31.127906976744185,female,0-4,172,0.021417009089777114,8.301166313867098e-05
E02006297,E07000244,8031,239946,10,2580,0.003875968992248062,31.127906976744185,male,0-4,195,0.024280911468061262,9.411205995372582e-05
E02006293,E07000244,10870,239946,13,3359,0.003870199464126228,42.069068175052095,female,0-4,307,0.02824287028518859,0.00010930554144312345
E02006293,E07000244,10870,239946,13,3359,0.003870199464126228,42.069068175052095,male,0-4,297,0.027322907083716652,0.0001057451003537709
E02006290,E07000244,8125,239946,56,2942,0.019034670292318152,154.65669612508498,female,0-4,202,0.024861538461538463,0.00047323118757517133
E02006290,E07000244,8125,239946,56,2942,0.019034670292318152,154.65669612508498,male,0-4,172,0.02116923076923077,0.0004029493280343043
E02006245,E07000202,8022,133729,8,2975,0.002689075630252101,21.571764705882355,female,0-4,205,0.025554724507604088,6.871858691120428e-05
E02006245,E07000202,8022,133729,8,2975,0.002689075630252101,21.571764705882355,male,0-4,237,0.029543754674644727,7.944539072173372e-05
E02005584,E07000148,10570,132158,35,3687,0.009492812584757255,100.33902902088418,female,0-4,393,0.03718070009460738,0.0003529494177681742
E02005584,E07000148,10570,132158,35,3687,0.009492812584757255,100.33902902088418,male,0-4,460,0.043519394512771994,0.0004131214559118578
E02006309,E07000244,6788,239946,2618,3186,0.8217200251098556,5577.8355304457,female,0-4,183,0.026959340011785505,0.02215302955142952
E02006309,E07000244,6788,239946,2618,3186,0.8217200251098556,5577.8355304457,male,0-4,196,0.028874484384207425,0.02372674203322506
