msoa,ltla,ppln_msoa,ppln_ltla,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02005449,E07000138,8310,96641,10,2671,0.0037439161362785474,31.11194309247473,female,0-4,201,0.024187725631768953,9.055681629265801e-05
E02005449,E07000138,8310,96641,10,2671,0.0037439161362785474,31.11194309247473,male,0-4,212,0.025511432009626956,9.551266196041541e-05
E02005808,E07000168,11390,108089,10,5244,0.0019069412662090007,21.720061022120518,female,0-4,221,0.019402985074626865,3.70003529264433e-05
E02005808,E07000168,11390,108089,10,5244,0.0019069412662090007,21.720061022120518,male,0-4,264,0.02317822651448639,4.419951661801371e-05
E02002693,E06000011,6918,336756,8,2887,0.0027710426047800486,19.170072739868377,female,0-4,121,0.017490604220873084,4.846720947938506e-05
E02002693,E06000011,6918,336756,8,2887,0.0027710426047800486,19.170072739868377,male,0-4,176,0.025440878866724487,7.049775924274192e-05
E02005815,E07000169,8243,86215,83,3335,0.024887556221889054,205.14812593703147,female,0-4,200,0.02426301103967002,0.0006038470513621024
E02005815,E07000169,8243,86215,83,3335,0.024887556221889054,205.14812593703147,male,0-4,195,0.023656435763678273,0.0005887508750780499
E02005818,E07000169,8290,86215,360,3319,0.1084664055438385,899.1865019584212,female,0-4,190,0.022919179734620022,0.0024859610438274205
E02005818,E07000169,8290,86215,360,3319,0.1084664055438385,899.1865019584212,male,0-4,216,0.02605548854041013,0.0028261451866669622
E02002691,E06000011,8024,336756,12,3743,0.0032059845044082286,25.724819663371626,female,0-4,210,0.026171485543369892,8.390537710938784e-05
E02002691,E06000011,8024,336756,12,3743,0.0032059845044082286,25.724819663371626,male,0-4,189,0.023554336989032903,7.551483939844906e-05
E02005817,E07000169,7277,86215,22,2776,0.00792507204610951,57.67074927953891,female,0-4,203,0.027896111034767076,0.0002210786897567996
E02005817,E07000169,7277,86215,22,2776,0.00792507204610951,57.67074927953891,male,0-4,191,0.02624707984059365,0.0002080099987366932
E02002698,E06000011,8066,336756,68,3176,0.021410579345088162,172.69773299748113,female,0-4,216,0.026779072650632285,0.0005733554597742429
E02002698,E06000011,8066,336756,68,3176,0.021410579345088162,172.69773299748113,male,0-4,207,0.02566327795685594,0.0005494656489503161
E02005812,E07000169,9529,86215,8,4136,0.0019342359767891683,18.431334622823986,female,0-4,273,0.0286493860845839,5.5414673277725145e-05
E02005812,E07000169,9529,86215,8,4136,0.0019342359767891683,18.431334622823986,male,0-4,330,0.03463112603631021,6.698476989615127e-05
E02005816,E07000169,8533,86215,430,3340,0.12874251497005987,1098.559880239521,female,0-4,179,0.0209773819289816,0.002700680907024577
E02005816,E07000169,8533,86215,430,3340,0.12874251497005987,1098.559880239521,male,0-4,217,0.02543068088597211,0.0032740098146610795
E02005810,E07000169,9119,86215,22,3348,0.006571087216248507,59.921744324970135,female,0-4,231,0.025331724969843185,0.00016645697411485965
E02005810,E07000169,9119,86215,22,3348,0.006571087216248507,59.921744324970135,male,0-4,260,0.028511898234455532,0.00018735416999940912
