msoa,ltla,ppln_msoa,ppln_ltla,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02003627,E06000055,9107,157840,10,3698,0.0027041644131963224,24.62682531097891,female,0-4,276,0.030306357746788186,8.19533741124613e-05
E02003627,E06000055,9107,157840,10,3698,0.0027041644131963224,24.62682531097891,male,0-4,325,0.03568683430328319,9.650306734257217e-05
E02002867,E06000017,8414,37581,22,2639,0.008336491095111784,70.14323607427056,female,0-4,185,0.021987164250059425,0.00018329579897738058
E02002867,E06000017,8414,37581,22,2639,0.008336491095111784,70.14323607427056,male,0-4,210,0.024958402662229616,0.00020806550154189144
E02003474,E06000042,8692,249895,79,2887,0.027364045722202978,237.8482854173883,female,0-4,340,0.039116428900138056,0.0010703837489126798
E02003474,E06000042,8692,249895,79,2887,0.027364045722202978,237.8482854173883,male,0-4,368,0.04233778186838472,0.0011585329988231358
E02003638,E06000056,7505,255644,16,2914,0.00549073438572409,41.207961564859296,female,0-4,229,0.030512991339107263,0.0001675387307569376
E02003638,E06000056,7505,255644,16,2914,0.00549073438572409,41.207961564859296,male,0-4,240,0.031978680879413725,0.00017558644271469442
E02003460,E06000042,9241,249895,386,3122,0.1236386931454196,1142.5451633568225,female,0-4,312,0.03376257980738016,0.004174361244602415
E02003460,E06000042,9241,249895,386,3122,0.1236386931454196,1142.5451633568225,male,0-4,305,0.03300508602965047,0.00408070570385813
E02003639,E06000056,8677,255644,16,3816,0.0041928721174004195,36.38155136268344,female,0-4,356,0.04102800507087703,0.00017202517849424333
E02003639,E06000056,8677,255644,16,3816,0.0041928721174004195,36.38155136268344,male,0-4,322,0.03710960009219776,0.00015559580751445604
E02003605,E06000056,8355,255644,33,2639,0.012504736642667677,104.47707464948844,female,0-4,237,0.02836624775583483,0.00035471245772737757
E02003605,E06000056,8355,255644,33,2639,0.012504736642667677,104.47707464948844,male,0-4,245,0.029323758228605626,0.0003666858740219726
E02003640,E06000056,6025,255644,10,2242,0.0044603033006244425,26.873327386262265,female,0-4,145,0.024066390041493777,0.00010734339893618991
E02003640,E06000056,6025,255644,10,2242,0.0044603033006244425,26.873327386262265,male,0-4,166,0.027551867219917012,0.00012288968429936223
E02003607,E06000056,8531,255644,20,2945,0.006791171477079796,57.935483870967744,female,0-4,243,0.028484351189778455,0.0001934421133431474
E02003607,E06000056,8531,255644,20,2945,0.006791171477079796,57.935483870967744,male,0-4,258,0.030242644473098112,0.00020538298453716883
E02003613,E06000056,5875,255644,9,2255,0.003991130820399113,23.44789356984479,female,0-4,160,0.02723404255319149,0.00010869462659810351
E02003613,E06000056,5875,255644,9,2255,0.003991130820399113,23.44789356984479,male,0-4,185,0.03148936170212766,0.0001256781620040572
E02003637,E06000056,9405,255644,12,3690,0.0032520325203252032,30.585365853658537,female,0-4,195,0.02073365231259968,6.742651158569002e-05
E02003637,E06000056,9405,255644,12,3690,0.0032520325203252032,30.585365853658537,male,0-4,232,0.024667729930887825,8.022025993784658e-05
E02003633,E06000055,7801,157840,10,3147,0.0031776294884016524,24.78868763902129,female,0-4,259,0.03320087168311755,0.00010550006890091372
E02003633,E06000055,7801,157840,10,3147,0.0031776294884016524,24.78868763902129,male,0-4,256,0.03281630560184592,0.00010427806038082592
E02003629,E06000055,9513,157840,11,4188,0.0026265520534861507,24.98638968481375,female,0-4,421,0.04425522968569326,0.00011623866440845888
E02003629,E06000055,9513,157840,11,4188,0.0026265520534861507,24.98638968481375,male,0-4,434,0.04562178072111847,0.0001198279818367486
E02003472,E06000042,8718,249895,52,2769,0.018779342723004695,163.71830985915494,female,0-4,348,0.03991741225051618,0.0007496227652679094
E02003472,E06000042,8718,249895,52,2769,0.018779342723004695,163.71830985915494,male,0-4,334,0.03831153934388621,0.0007194655275847175
E02003476,E06000042,8705,249895,63,3404,0.018507638072855465,161.1089894242068,female,0-4,421,0.04836300976450316,0.0008950850808353992
E02003476,E06000042,8705,249895,63,3404,0.018507638072855465,161.1089894242068,male,0-4,444,0.051005169442848934,0.000943985215892915
E02003489,E06000042,6931,249895,54,2721,0.019845644983461964,137.55016538037486,female,0-4,220,0.031741451450007216,0.0006299295767366372
E02003489,E06000042,6931,249895,54,2721,0.019845644983461964,137.55016538037486,male,0-4,255,0.036791227817053816,0.0007301456457629203
E02003620,E06000055,8148,157840,8,3291,0.002430872075357034,19.806745670009114,female,0-4,202,0.024791359842906233,6.026462435224851e-05
E02003620,E06000055,8148,157840,8,3291,0.002430872075357034,19.806745670009114,male,0-4,199,0.024423171330387825,5.936960517870027e-05
E02003630,E06000055,9735,157840,13,4072,0.0031925343811394892,31.079322200392927,female,0-4,436,0.04478685156651258,0.0001429835634490824
E02003630,E06000055,9735,157840,13,4072,0.0031925343811394892,31.079322200392927,male,0-4,388,0.039856189008731384,0.00012724225371156878
E02003618,E06000055,8786,157840,19,3333,0.005700570057005701,50.085208520852085,female,0-4,241,0.027430002276348737,0.00015636664964015183
E02003618,E06000055,8786,157840,19,3333,0.005700570057005701,50.085208520852085,male,0-4,249,0.028340541770999317,0.00016155724381907802
