msoa,ltla,ppln_msoa,ppln_ltla,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02004997,E07000105,7522,120128,12,2698,0.004447739065974796,33.45589325426241,female,0-4,160,0.02127093858016485,9.460758449294966e-05
E02004997,E07000105,7522,120128,12,2698,0.004447739065974796,33.45589325426241,male,0-4,171,0.022733315607551183,0.00010111185592683996
E02003517,E06000043,11246,275724,22,2931,0.007505970658478335,84.41214602524735,female,0-4,210,0.018673306064378444,0.00014016128741601016
E02003517,E06000043,11246,275724,22,2931,0.007505970658478335,84.41214602524735,male,0-4,207,0.01840654454917304,0.00013815898331006717
E02004377,E07000062,10684,90377,3845,4376,0.8786563071297989,9387.563985374773,female,0-4,273,0.025552227630101086,0.022451625968404634
E02004377,E07000062,10684,90377,3845,4376,0.8786563071297989,9387.563985374773,male,0-4,316,0.029576937476600524,0.02598796265939877
E02004369,E07000062,9620,90377,3433,3874,0.8861641713990708,8524.899328859061,female,0-4,198,0.020582120582120583,0.018239137831290646
E02004369,E07000062,9620,90377,3433,3874,0.8861641713990708,8524.899328859061,male,0-4,190,0.01975051975051975,0.017502202969420316
E02005162,E07000116,10805,115796,15,3440,0.00436046511627907,47.11482558139535,female,0-4,330,0.03054141601110597,0.00013317477911819464
E02005162,E07000116,10805,115796,15,3440,0.00436046511627907,47.11482558139535,male,0-4,281,0.026006478482184174,0.00011340034221882633
E02005174,E07000116,7484,115796,154,2514,0.061256961018297536,458.44709626093874,female,0-4,180,0.024051309460181722,0.0014733101260413625
E02005174,E07000116,7484,115796,154,2514,0.061256961018297536,458.44709626093874,male,0-4,190,0.025387493319080707,0.001555160688599216
E02005169,E07000116,9050,115796,25,2798,0.008934953538241601,80.86132952108649,female,0-4,286,0.03160220994475138,0.00028236427756211024
E02005169,E07000116,9050,115796,25,2798,0.008934953538241601,80.86132952108649,male,0-4,322,0.03558011049723757,0.00031790663417831995
E02005023,E07000106,9326,153223,20,3052,0.00655307994757536,61.11402359108781,female,0-4,290,0.031095861033669313,0.00020377366339232838
E02005023,E07000106,9326,153223,20,3052,0.00655307994757536,61.11402359108781,male,0-4,302,0.03238258631782114,0.00021220567704994194
E02004399,E07000064,7789,91065,3185,3642,0.8745194947830862,6811.632344865458,female,0-4,163,0.020926948260367183,0.018301024220008094
E02004399,E07000064,7789,91065,3185,3642,0.8745194947830862,6811.632344865458,male,0-4,146,0.018744383104377968,0.01639232844246124
E02005097,E07000111,9624,116306,10,2149,0.004653327128897162,44.783620288506285,female,0-4,365,0.0379260182876143,0.0001764821697888055
E02005097,E07000111,9624,116306,10,2149,0.004653327128897162,44.783620288506285,male,0-4,410,0.04260182876142976,0.00019824024551619247
E02006614,E07000228,10346,141260,21,3143,0.0066815144766146995,69.12694877505568,female,0-4,333,0.032186352213415814,0.00021505357826335733
E02006614,E07000228,10346,141260,21,3143,0.0066815144766146995,69.12694877505568,male,0-4,323,0.031219795089889812,0.0002085955128500433
E02005163,E07000116,8198,115796,16,2534,0.006314127861089187,51.76322020520916,female,0-4,245,0.029885337887289583,0.00018869984459219942
E02005163,E07000116,8198,115796,16,2534,0.006314127861089187,51.76322020520916,male,0-4,261,0.03183703342278604,0.000201023099749241
E02005071,E07000110,10899,157368,35,3490,0.01002865329512894,109.30229226361033,female,0-4,404,0.03706762088264978,0.00037173831830737605
E02005071,E07000110,10899,157368,35,3490,0.01002865329512894,109.30229226361033,male,0-4,419,0.03844389393522341,0.00038554048359106576
E02003492,E06000043,9777,275724,15,2449,0.006124948958758677,59.88362596978359,female,0-4,164,0.016774061573079677,0.00010274027096618831
E02003492,E06000043,9777,275724,15,2449,0.006124948958758677,59.88362596978359,male,0-4,202,0.020660734376598138,0.0001265459435071344
E02005113,E07000112,6995,108611,22,2674,0.008227374719521317,57.55048616305161,female,0-4,129,0.018441744102930663,0.00015172713921633306
E02005113,E07000112,6995,108611,22,2674,0.008227374719521317,57.55048616305161,male,0-4,130,0.01858470335954253,0.00015290331859010308
E02004999,E07000105,12694,120128,10,4305,0.0023228803716608595,29.48664343786295,female,0-4,415,0.03269261068221207,7.594102365206056e-05
E02004999,E07000105,12694,120128,10,4305,0.0023228803716608595,29.48664343786295,male,0-4,434,0.034189380809831416,7.941784160239585e-05
E02005103,E07000112,9687,108611,9,3329,0.0027035145689396217,26.188945629318116,female,0-4,351,0.03623412821306906,9.795949351685839e-05
E02005103,E07000112,9687,108611,9,3329,0.0027035145689396217,26.188945629318116,male,0-4,390,0.04026014245896562,0.00010884388168539821
E02005107,E07000112,12325,108611,28,4538,0.00617011899515205,76.04671661524901,female,0-4,313,0.02539553752535497,0.0001566934884772894
E02005107,E07000112,12325,108611,28,4538,0.00617011899515205,76.04671661524901,male,0-4,346,0.028073022312373224,0.00017321388822090134
E02004378,E07000062,9016,90377,3197,3646,0.8768513439385628,7905.691716950082,female,0-4,279,0.030944986690328306,0.027134153167575312
E02004378,E07000062,9016,90377,3197,3646,0.8768513439385628,7905.691716950082,male,0-4,269,0.029835847382431235,0.02616160287483068
E02003503,E06000043,8963,275724,16,3354,0.004770423375074538,42.75730471079308,female,0-4,255,0.02845029565993529,0.00013571995544393699
E02003503,E06000043,8963,275724,16,3354,0.004770423375074538,42.75730471079308,male,0-4,280,0.031239540332477965,0.00014902583342863668
E02004396,E07000064,8796,91065,3118,3541,0.8805422197119458,7745.249364586275,female,0-4,119,0.01352887676216462,0.011912747174365797
E02004396,E07000064,8796,91065,3118,3541,0.8805422197119458,7745.249364586275,male,0-4,137,0.015575261482492041,0.013714675318387513
E02005100,E07000111,9081,116306,15,3249,0.0046168051708217915,41.92520775623269,female,0-4,308,0.03391696949675146,0.0001565880401512071
E02005100,E07000111,9081,116306,15,3249,0.0046168051708217915,41.92520775623269,male,0-4,315,0.03468780971258672,0.00016014685924555273
E02004365,E07000061,7575,99901,2672,3065,0.8717781402936379,6603.7194127243065,female,0-4,247,0.032607260726072604,0.02842629711584535
E02004365,E07000061,7575,99901,2672,3065,0.8717781402936379,6603.7194127243065,male,0-4,276,0.03643564356435643,0.03176379758693651
E02004395,E07000064,7706,91065,2564,2982,0.8598256203890007,6625.816230717639,female,0-4,173,0.02245003893070335,0.019303118651349226
E02004395,E07000064,7706,91065,2564,2982,0.8598256203890007,6625.816230717639,male,0-4,186,0.0241370360757851,0.020753642018213614
E02003320,E06000035,8595,268130,142,3016,0.047082228116710874,404.67175066312996,female,0-4,330,0.038394415357766144,0.001807694622282093
E02003320,E06000035,8595,268130,142,3016,0.047082228116710874,404.67175066312996,male,0-4,340,0.03955788248981966,0.001862473247199732
E02005008,E07000105,8134,120128,156,2861,0.05452638937434463,443.51765117091924,female,0-4,168,0.020654044750430294,0.0011261904862171009
E02005008,E07000105,8134,120128,156,2861,0.05452638937434463,443.51765117091924,male,0-4,181,0.0222522744037374,0.001213336178602948
E02004402,E07000064,8830,91065,3451,3909,0.8828344845228959,7795.428498337171,female,0-4,215,0.02434881087202718,0.021495969894951603
E02004402,E07000064,8830,91065,3451,3909,0.8828344845228959,7795.428498337171,male,0-4,238,0.02695356738391846,0.023795538767434794
