year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
2011,E06000047,512994,803,231893,0.0034628039656220758,1776.3976575403312,female,0-4,14048,0.027384335879172075,9.482658687832395e-05
2011,E06000047,512994,803,231893,0.0034628039656220758,1776.3976575403312,male,0-4,14613,0.028485713283196296,9.864044092062558e-05
2011,E06000057,316278,96874,149499,0.6479909564612473,204945.28372765036,female,0-4,7683,0.024291920399142526,0.015740944733720848
2011,E06000057,316278,96874,149499,0.6479909564612473,204945.28372765036,male,0-4,8255,0.026100455928012696,0.016912859400867578
2011,E07000026,96444,114,38235,0.002981561396626128,287.55370733621027,female,0-4,2420,0.025092281531251297,7.481417796685362e-05
2011,E07000026,96444,114,38235,0.002981561396626128,287.55370733621027,male,0-4,2510,0.026025465555140806,7.759652342843081e-05
2011,E07000028,107475,727,42409,0.01714258765828008,1842.3996085736517,female,0-4,2992,0.02783903233310072,0.0004772330520918725
2011,E07000028,107475,727,42409,0.01714258765828008,1842.3996085736517,male,0-4,3080,0.02865782740172133,0.0004912693183298688
2011,E07000030,52502,418,19821,0.021088744261137177,1107.201251198224,female,0-4,1139,0.021694411641461277,0.00045750789900261406
2011,E07000030,52502,418,19821,0.021088744261137177,1107.201251198224,male,0-4,1246,0.023732429240790828,0.0005004871309545717
2011,E08000021,279092,3082,109985,0.028022003000409145,7820.7168613901895,female,0-4,7997,0.028653633927163802,0.0008029322158796093
2011,E08000021,279092,3082,109985,0.028022003000409145,7820.7168613901895,male,0-4,8520,0.030527567970418355,0.0008554436012622572
2011,E08000022,201206,58805,102765,0.5722278986036102,115135.686566438,female,0-4,5583,0.02774768148067155,0.015877997464806993
2011,E08000022,201206,58805,102765,0.5722278986036102,115135.686566438,male,0-4,6135,0.03049113843523553,0.017447880072826598
2011,E08000023,148164,290,78060,0.003715090955675122,550.4427363566488,female,0-4,4013,0.02708485192084447,0.00010062268840692924
2011,E08000023,148164,290,78060,0.003715090955675122,550.4427363566488,male,0-4,4154,0.02803650009448989,0.00010415814792982409
2011,E08000024,275330,166,127011,0.001306973411751738,359.848989457606,female,0-4,7424,0.026964006828169833,3.524123999871029e-05
2011,E08000024,275330,166,127011,0.001306973411751738,359.848989457606,male,0-4,7956,0.0288962336105764,3.776660902879028e-05
2011,E08000037,200349,2210,93722,0.02358037600563368,4724.304752352702,female,0-4,5806,0.028979430893091556,0.0006833458768883755
2011,E08000037,200349,2210,93722,0.02358037600563368,4724.304752352702,male,0-4,6052,0.030207288281948002,0.0007122992157989061
2011,E06000047,512994,803,231893,0.0034628039656220758,1776.3976575403312,female,5-9,12703,0.024762472855433006,8.574758920240242e-05
2011,E06000047,512994,803,231893,0.0034628039656220758,1776.3976575403312,male,5-9,13217,0.02576443389201433,8.921718385327503e-05
2011,E06000057,316278,96874,149499,0.6479909564612473,204945.28372765036,female,5-9,7891,0.024949569682368042,0.016167095521774203
2011,E06000057,316278,96874,149499,0.6479909564612473,204945.28372765036,male,5-9,8448,0.026710678580236374,0.01730827816093632
2011,E07000026,96444,114,38235,0.002981561396626128,287.55370733621027,female,5-9,2245,0.023277757040355024,6.940406179156461e-05
2011,E07000026,96444,114,38235,0.002981561396626128,287.55370733621027,male,5-9,2464,0.025548504831819502,7.617443574806913e-05
2011,E07000028,107475,727,42409,0.01714258765828008,1842.3996085736517,female,5-9,2700,0.02512212142358688,0.0004306581686657941
2011,E07000028,107475,727,42409,0.01714258765828008,1842.3996085736517,male,5-9,2847,0.026489881367759944,0.0004541051134042651
2011,E07000030,52502,418,19821,0.021088744261137177,1107.201251198224,female,5-9,1242,0.023656241666984115,0.0004988804306946855
2011,E07000030,52502,418,19821,0.021088744261137177,1107.201251198224,male,5-9,1338,0.025484743438345205,0.0005374412369319558
2011,E08000021,279092,3082,109985,0.028022003000409145,7820.7168613901895,female,5-9,6861,0.024583291531108022,0.0006888730690446418
2011,E08000021,279092,3082,109985,0.028022003000409145,7820.7168613901895,male,5-9,7215,0.025851690481991603,0.0007244161482520172
2011,E08000022,201206,58805,102765,0.5722278986036102,115135.686566438,female,5-9,5243,0.026057871037643014,0.014911040785954338
2011,E08000022,201206,58805,102765,0.5722278986036102,115135.686566438,male,5-9,5556,0.027613490651372224,0.015801209728545165
2011,E08000023,148164,290,78060,0.003715090955675122,550.4427363566488,female,5-9,3719,0.02510056423962636,9.325087918897828e-05
2011,E08000023,148164,290,78060,0.003715090955675122,550.4427363566488,male,5-9,3876,0.02616020085850814,9.718752560808816e-05
2011,E08000024,275330,166,127011,0.001306973411751738,359.848989457606,female,5-9,6840,0.024842915773798713,3.2469030386742774e-05
2011,E08000024,275330,166,127011,0.001306973411751738,359.848989457606,male,5-9,7322,0.026593542294700904,3.475705270346939e-05
2011,E08000037,200349,2210,93722,0.02358037600563368,4724.304752352702,female,5-9,5186,0.025884830969957424,0.0006103740471138676
2011,E08000037,200349,2210,93722,0.02358037600563368,4724.304752352702,male,5-9,5196,0.025934743871943458,0.0006115510121102307
2011,E06000047,512994,803,231893,0.0034628039656220758,1776.3976575403312,female,10-14,13589,0.02648958857218603,9.1728252355463e-05
2011,E06000047,512994,803,231893,0.0034628039656220758,1776.3976575403312,male,10-14,14119,0.02752273905737689,9.530584995266628e-05
2011,E06000057,316278,96874,149499,0.6479909564612473,204945.28372765036,female,10-14,8552,0.027039503221849132,0.017521353554962996
2011,E06000057,316278,96874,149499,0.6479909564612473,204945.28372765036,male,10-14,9099,0.028768994365716238,0.0186420481754687
2011,E07000026,96444,114,38235,0.002981561396626128,287.55370733621027,female,10-14,2634,0.027311185765833024,8.142997717549274e-05
2011,E07000026,96444,114,38235,0.002981561396626128,287.55370733621027,male,10-14,2777,0.02879391149267969,8.585081496444318e-05
2011,E07000028,107475,727,42409,0.01714258765828008,1842.3996085736517,female,10-14,2826,0.026294487090020933,0.00045075554987019777
