year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
2011,E06000035,264885,6049,99212,0.060970447123331856,16150.156886263758,female,0-4,8465,0.031957264473261984,0.0019484487037733514
2011,E06000035,264885,6049,99212,0.060970447123331856,16150.156886263758,male,0-4,8819,0.033293693489627574,0.002029931378449756
2011,E07000061,99308,93,40047,0.002322271331185857,230.62012135740508,female,0-4,2503,0.025204414548676845,5.853148932571595e-05
2011,E07000061,99308,93,40047,0.002322271331185857,230.62012135740508,male,0-4,2844,0.028638176179159786,6.65056155183125e-05
2011,E07000062,90173,191,36006,0.005304671443648281,478.3381380880964,female,0-4,2716,0.030119880673815887,0.00015977607089648487
2011,E07000062,90173,191,36006,0.005304671443648281,478.3381380880964,male,0-4,2854,0.03165027225444424,0.00016789429541184383
2011,E07000063,97584,76,35106,0.002164872101635048,211.25687916595453,female,0-4,2395,0.024542957861944582,5.313236476692839e-05
2011,E07000063,97584,76,35106,0.002164872101635048,211.25687916595453,male,0-4,2667,0.02733030004918839,5.916660410580293e-05
2011,E07000064,90729,1505,36720,0.04098583877995643,3718.604166666667,female,0-4,2006,0.022109799512834927,0.0009061886782902115
2011,E07000064,90729,1505,36720,0.04098583877995643,3718.604166666667,male,0-4,2044,0.022528629214473874,0.0009233547649178426
2011,E07000065,149415,12025,56293,0.21361448137423836,31917.207734531825,female,0-4,3541,0.023699093129873172,0.005062469487977633
2011,E07000065,149415,12025,56293,0.21361448137423836,31917.207734531825,male,0-4,3988,0.026690760633135895,0.005701532990131262
2011,E07000105,118405,985,38958,0.025283638790492325,2993.7092509882436,female,0-4,3845,0.03247329082386723,0.000821042955529268
2011,E07000105,118405,985,38958,0.025283638790492325,2993.7092509882436,male,0-4,3901,0.03294624382416283,0.0008330009283536215
2011,E07000106,150600,292,52154,0.00559880354335238,843.1798136288684,female,0-4,3670,0.024369189907038513,0.00013643830680015428
2011,E07000106,150600,292,52154,0.00559880354335238,843.1798136288684,male,0-4,3853,0.02558432934926959,0.00014324163381498485
2011,E07000107,97604,472,33838,0.01394881494178143,1361.4601335776347,female,0-4,3402,0.03485512888816032,0.00048618774263288825
2011,E07000107,97604,472,33838,0.01394881494178143,1361.4601335776347,male,0-4,3382,0.03465021925330929,0.00048332949605656324
2011,E07000108,111718,246,40077,0.00613818399580807,685.745639643686,female,0-4,3039,0.02720242037988507,0.00016697346142305382
2011,E07000108,111718,246,40077,0.00613818399580807,685.745639643686,male,0-4,3200,0.028643548935713133,0.00017581937366033964
