ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000032,205498,67,74717,0.0008967169452734987,184.27353881981344,female,0-4,8297,0.040375088808650206,3.620502630163904e-05
E06000032,205498,67,74717,0.0008967169452734987,184.27353881981344,male,0-4,8679,0.0422339876787122,3.787193241797338e-05
E06000033,175091,60289,65002,0.9274945386295806,162395.9462631919,female,0-4,5540,0.03164068969849964,0.02934656689383165
E06000033,175091,60289,65002,0.9274945386295806,162395.9462631919,male,0-4,5842,0.033365507079175974,0.030946325594542325
E06000034,159837,45669,54562,0.8370111066309887,133785.34425057733,female,0-4,6016,0.037638344063014195,0.03150371201594141
E06000034,159837,45669,54562,0.8370111066309887,133785.34425057733,male,0-4,6227,0.038958438909639195,0.03260864606437287
E07000010,95975,12,40858,0.0002937001321650595,28.187870184541584,female,0-4,2636,0.027465485803594685,8.066616810493324e-06
E07000010,95975,12,40858,0.0002937001321650595,28.187870184541584,male,0-4,2735,0.02849700442823652,8.369573966881351e-06
E07000012,150906,8,48133,0.00016620613716161468,25.081503334510625,female,0-4,4537,0.03006507362198985,4.996999750190488e-06
E07000012,150906,8,48133,0.00016620613716161468,25.081503334510625,male,0-4,4885,0.03237114495116165,5.380282957831283e-06
E07000066,176538,57166,63209,0.9043965258111978,159660.35387365724,female,0-4,5662,0.03207241500413509,0.029006180704114707
E07000066,176538,57166,63209,0.9043965258111978,159660.35387365724,male,0-4,6101,0.034559131745006744,0.031255158685235575
E07000067,148375,30238,47302,0.6392541541583865,94849.3351232506,female,0-4,4538,0.030584667228306654,0.019551375579246893
E07000067,148375,30238,47302,0.6392541541583865,94849.3351232506,male,0-4,4861,0.03276158382476833,0.020942978556791354
E07000068,74142,13727,25133,0.5461743524449927,40494.45883897665,female,0-4,1938,0.026139030509023227,0.014276468061805669
E07000068,74142,13727,25133,0.5461743524449927,40494.45883897665,male,0-4,2054,0.027703595802648973,0.01513099349790962
E07000069,88219,30908,33596,0.9199904750565544,81160.63971901417,female,0-4,2163,0.02451852775479205,0.022556811996818454
E07000069,88219,30908,33596,0.9199904750565544,81160.63971901417,male,0-4,2080,0.023577687346263275,0.02169124778242366
E07000070,169379,47358,53300,0.8885178236397748,150496.2604502814,female,0-4,4975,0.029372000070847035,0.02609754557889632
E07000070,169379,47358,53300,0.8885178236397748,150496.2604502814,male,0-4,5221,0.030824364295455754,0.027387997078877926
E07000071,176185,4532,60713,0.07464628662724622,13151.556009421376,female,0-4,5312,0.030150126287708943,0.002250594968719993
E07000071,176185,4532,60713,0.07464628662724622,13151.556009421376,male,0-4,5699,0.03234668104549195,0.0024145596247619047
E07000072,125997,2614,49553,0.05275159929772163,6646.543256715032,female,0-4,3713,0.029468955610054207,0.0015545345380639252
E07000072,125997,2614,49553,0.05275159929772163,6646.543256715032,male,0-4,3974,0.03154043350238498,0.0016638083097942472
E07000073,82814,2031,34022,0.059696666862618306,4943.719769560872,female,0-4,3118,0.037650638780882456,0.002247617640467117
E07000073,82814,2031,34022,0.059696666862618306,4943.719769560872,male,0-4,3198,0.03861665901900645,0.0023052858288049524
E07000074,61946,16827,20429,0.8236820206569093,51023.8064516129,female,0-4,1478,0.023859490524004778,0.019652633366656635
E07000074,61946,16827,20429,0.8236820206569093,51023.8064516129,male,0-4,1585,0.025586801407677655,0.021075388285622984
E07000075,83895,27326,29488,0.9266820401519262,77743.98975854585,female,0-4,2097,0.024995530126944394,0.023162908852715765
E07000075,83895,27326,29488,0.9266820401519262,77743.98975854585,male,0-4,2225,0.026521246796590976,0.024576763088837664
E07000076,138395,4235,59034,0.07173832029000238,9928.224836534879,female,0-4,3458,0.024986451822681454,0.0017924860837662357
E07000076,138395,4235,59034,0.07173832029000238,9928.224836534879,male,0-4,3476,0.025116514324939485,0.0018018165492109416
