ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000060,510983,13,166677,7.79951642998134e-05,39.85420303941155,female,0-4,16026,0.03136307861513984,2.446168469535796e-06
E06000060,510983,13,166677,7.79951642998134e-05,39.85420303941155,male,0-4,16657,0.03259795335656959,2.5424827278832994e-06
E07000095,94595,47,35735,0.0013152371624457814,124.41485938155868,female,0-4,3126,0.03304614408795391,4.346351678001493e-05
E07000095,94595,47,35735,0.0013152371624457814,124.41485938155868,male,0-4,3183,0.03364871293408742,4.42560377193818e-05
E07000098,100895,61,39008,0.0015637817883511075,157.77776353568498,female,0-4,3329,0.03299469745775311,5.1596506996588896e-05
E07000098,100895,61,39008,0.0015637817883511075,157.77776353568498,male,0-4,3593,0.0356112790524803,5.568826964215797e-05
E09000001,6612,18,2313,0.007782101167315175,51.45525291828794,female,0-4,163,0.024652147610405323,0.00019184550669576128
E09000001,6612,18,2313,0.007782101167315175,51.45525291828794,male,0-4,112,0.01693889897156685,0.0001318202254596642
E09000002,190663,17,71443,0.0002379519337093907,45.36862953683356,female,0-4,9406,0.04933311654594756,1.173891047801896e-05
E09000002,190663,17,71443,0.0002379519337093907,45.36862953683356,male,0-4,9751,0.05114259190299114,1.216947863822697e-05
E09000003,363777,5965,138085,0.0431980301987906,15714.449831625448,female,0-4,13281,0.03650863028723641,0.0015771009136645196
E09000003,363777,5965,138085,0.0431980301987906,15714.449831625448,male,0-4,13947,0.03833942222845314,0.0016561875192289024
E09000005,314593,330,116131,0.0028416185170195727,893.9532941247385,female,0-4,11391,0.03620868868665228,0.00010289128024898823
E09000005,314593,330,116131,0.0028416185170195727,893.9532941247385,male,0-4,11804,0.03752149602820152,0.0001066217779000138
E09000007,224809,3372,72841,0.04629260993122006,10406.99534602765,female,0-4,6717,0.029878697027254247,0.0013831628667357852
E09000007,224809,3372,72841,0.04629260993122006,10406.99534602765,male,0-4,7105,0.031604606577138816,0.001463059724305159
E09000010,317257,2711,121975,0.022225865956138555,7051.311555646649,female,0-4,12181,0.03839473991117611,0.0008533563426866034
E09000010,317257,2711,121975,0.022225865956138555,7051.311555646649,male,0-4,12862,0.04054126465294698,0.0009010647138687377
E09000012,252212,2716,91922,0.029546789669502405,7452.054916124541,female,0-4,9650,0.038261462579100125,0.0011305033872722084
E09000012,252212,2716,91922,0.029546789669502405,7452.054916124541,male,0-4,9965,0.0395104118757236,0.0011674058294474153
E09000014,257898,28110,95281,0.29502209254730744,76085.60762376549,female,0-4,9118,0.03535506285430674,0.010430524625419156
E09000014,257898,28110,95281,0.29502209254730744,76085.60762376549,male,0-4,9212,0.03571954803837176,0.010538055807124507
E09000015,241978,79,87498,0.0009028777800635443,218.47655946421634,female,0-4,8185,0.033825389084958135,3.054019220681264e-05
E09000015,241978,79,87498,0.0009028777800635443,218.47655946421634,male,0-4,8409,0.03475109307457703,3.1375989769955716e-05
E09000019,211273,29608,79366,0.37305647254491847,78816.76012398256,female,0-4,6165,0.0291802549308241,0.010885882972454703
