ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000006,126074,1583,63089,0.025091537351994802,3163.3904801153926,female,0-4,4114,0.03263162904326031,0.0008187777389954044
E06000006,126074,1583,63089,0.025091537351994802,3163.3904801153926,male,0-4,4172,0.03309167631708362,0.0008303210323502253
E06000007,205165,603,85298,0.007069333395859223,1450.3797861614573,female,0-4,6163,0.030039236711914802,0.0002123573792736597
E06000007,205165,603,85298,0.007069333395859223,1450.3797861614573,male,0-4,6433,0.031355250651914315,0.00022166072056911454
E06000049,373006,22,157506,0.0001396772186456389,52.10044061813518,female,0-4,9929,0.026618874763408632,3.7180503904295065e-06
E06000049,373006,22,157506,0.0001396772186456389,52.10044061813518,male,0-4,10427,0.027953973930714252,3.904533328734864e-06
E06000050,331069,418,141162,0.0029611368498604442,980.3406157464474,female,0-4,8916,0.02693094188824686,7.9746204426738e-05
E06000050,331069,418,141162,0.0029611368498604442,980.3406157464474,male,0-4,9418,0.028447242115691895,8.423617690567725e-05
E07000127,111216,389,50961,0.007633288200780989,848.9437805380585,female,0-4,2841,0.0255448856279672,0.0001949914740542619
E07000127,111216,389,50961,0.007633288200780989,848.9437805380585,male,0-4,2978,0.026776722773701626,0.00020439444200408022
E08000010,319810,30,135881,0.00022078141903577396,70.60810562183087,female,0-4,9533,0.02980832369219224,6.5811240038398835e-06
E08000010,319810,30,135881,0.00022078141903577396,70.60810562183087,male,0-4,10020,0.03133110284231262,6.9173253454815515e-06
E08000011,146091,6264,75753,0.0826897944635856,12080.234762979684,female,0-4,4498,0.030789028756049313,0.0025459384595711444
E08000011,146091,6264,75753,0.0826897944635856,12080.234762979684,male,0-4,4864,0.033294316556119134,0.0027531001928310463
E08000012,471789,36326,205697,0.17659956149093084,83317.73051624477,female,0-4,13558,0.02873742287336076,0.005075016277814956
E08000012,471789,36326,205697,0.17659956149093084,83317.73051624477,male,0-4,14154,0.03000069946522704,0.005298110369980299
E08000013,176221,994,82857,0.011996572407883462,2114.0479862896314,female,0-4,5221,0.029627569926399238,0.00035542928789167896
E08000013,176221,994,82857,0.011996572407883462,2114.0479862896314,male,0-4,5297,0.030058846561987505,0.00036060312927834197
E08000014,273372,10281,127014,0.08094383296329538,22127.777504841986,female,0-4,7115,0.026026805964034356,0.0021067094345208967
E08000014,273372,10281,127014,0.08094383296329538,22127.777504841986,male,0-4,7599,0.0277972872130284,0.0022500189730041173
E08000015,320670,1792,143210,0.012513092661127016,4012.5734236436,female,0-4,9277,0.028930052702154863,0.0003620044301533518
E08000015,320670,1792,143210,0.012513092661127016,4012.5734236436,male,0-4,9677,0.030177440982941964,0.0003776131152952447
E06000006,126074,1583,63089,0.025091537351994802,3163.3904801153926,female,5-9,3895,0.030894553992099876,0.0007751918554659942
E06000006,126074,1583,63089,0.025091537351994802,3163.3904801153926,male,5-9,4129,0.03275060678649047,0.0008217630734837201
E06000007,205165,603,85298,0.007069333395859223,1450.3797861614573,female,5-9,5967,0.029083908073989227,0.00020560384262955172
E06000007,205165,603,85298,0.007069333395859223,1450.3797861614573,male,5-9,6208,0.030258572368581385,0.00021390793615623548
E06000049,373006,22,157506,0.0001396772186456389,52.10044061813518,female,5-9,10089,0.02704782228704096,3.7779645874754045e-06
E06000049,373006,22,157506,0.0001396772186456389,52.10044061813518,male,5-9,10793,0.028935191391023202,4.041587054477356e-06
E06000050,331069,418,141162,0.0029611368498604442,980.3406157464474,female,5-9,8918,0.02693698292500959,7.976409276330748e-05
E06000050,331069,418,141162,0.0029611368498604442,980.3406157464474,male,5-9,9473,0.02861337062666695,8.472810616133793e-05
E07000127,111216,389,50961,0.007633288200780989,848.9437805380585,female,5-9,2989,0.026875629405840887,0.00020514942483216783
E07000127,111216,389,50961,0.007633288200780989,848.9437805380585,male,5-9,3226,0.02900661775284132,0.000221415873037328
E08000010,319810,30,135881,0.00022078141903577396,70.60810562183087,female,5-9,9251,0.028926550139145118,6.386444787529924e-06
E08000010,319810,30,135881,0.00022078141903577396,70.60810562183087,male,5-9,9782,0.03058691097839342,6.7530216097305925e-06
E08000011,146091,6264,75753,0.0826897944635856,12080.234762979684,female,5-9,4304,0.029461089321039625,0.002436131420630103
E08000011,146091,6264,75753,0.0826897944635856,12080.234762979684,male,5-9,4442,0.03040570603254136,0.0025142415823510497
E08000012,471789,36326,205697,0.17659956149093084,83317.73051624477,female,5-9,11542,0.024464326213625157,0.004320389281497287
E08000012,471789,36326,205697,0.17659956149093084,83317.73051624477,male,5-9,12158,0.02576999463743326,0.004550969752594353
E08000013,176221,994,82857,0.011996572407883462,2114.0479862896314,female,5-9,4768,0.027056934190590225,0.00032459047015275335
E08000013,176221,994,82857,0.011996572407883462,2114.0479862896314,male,5-9,5042,0.0286117999557374,0.0003432435298888805
E08000014,273372,10281,127014,0.08094383296329538,22127.777504841986,female,5-9,6990,0.02556955357534788,0.002069697673548991
E08000014,273372,10281,127014,0.08094383296329538,22127.777504841986,male,5-9,7364,0.02693765272229782,0.002180436862376934
E08000015,320670,1792,143210,0.012513092661127016,4012.5734236436,female,5-9,8993,0.028044407022796022,0.00035092226370260786
E08000015,320670,1792,143210,0.012513092661127016,4012.5734236436,male,5-9,9533,0.029728381201858608,0.00037199398864416327
E06000006,126074,1583,63089,0.025091537351994802,3163.3904801153926,female,10-14,3596,0.028522930977045228,0.0007156841879988999
E06000006,126074,1583,63089,0.025091537351994802,3163.3904801153926,male,10-14,3660,0.029030569348160604,0.0007284216151490472
E06000007,205165,603,85298,0.007069333395859223,1450.3797861614573,female,10-14,5754,0.028045719299100724,0.00019826454005202626
E06000007,205165,603,85298,0.007069333395859223,1450.3797861614573,male,10-14,6165,0.030048984963322204,0.0002124262929128853
E06000049,373006,22,157506,0.0001396772186456389,52.10044061813518,female,10-14,9992,0.02678777285083886,3.7416416055163288e-06
E06000049,373006,22,157506,0.0001396772186456389,52.10044061813518,male,10-14,10355,0.027760947545079705,3.87757194006421e-06
E06000050,331069,418,141162,0.0029611368498604442,980.3406157464474,female,10-14,8659,0.026154668664236155,7.744755317755992e-05
E06000050,331069,418,141162,0.0029611368498604442,980.3406157464474,male,10-14,9012,0.027220911652857862,8.060484458207298e-05
E07000127,111216,389,50961,0.007633288200780989,848.9437805380585,female,10-14,2909,0.026156308444828084,0.00019965864062789437
E07000127,111216,389,50961,0.007633288200780989,848.9437805380585,male,10-14,3333,0.029968709538195942,0.00022875979691054378
E08000010,319810,30,135881,0.00022078141903577396,70.60810562183087,female,10-14,8486,0.026534504862261967,5.858325636901841e-06
E08000010,319810,30,135881,0.00022078141903577396,70.60810562183087,male,10-14,9170,0.028673274756886902,6.330526289228127e-06
E08000011,146091,6264,75753,0.0826897944635856,12080.234762979684,female,10-14,4117,0.028181065226468432,0.002330286491341574
E08000011,146091,6264,75753,0.0826897944635856,12080.234762979684,male,10-14,4308,0.029488469515575908,0.0024383954832886815
E08000012,471789,36326,205697,0.17659956149093084,83317.73051624477,female,10-14,11308,0.02396834177990585,0.004232798647996129
E08000012,471789,36326,205697,0.17659956149093084,83317.73051624477,male,10-14,11391,0.024144267882464408,0.0042638671205627796
E08000013,176221,994,82857,0.011996572407883462,2114.0479862896314,female,10-14,4560,0.02587659813529602,0.0003104304831997809
E08000013,176221,994,82857,0.011996572407883462,2114.0479862896314,male,10-14,4947,0.028072704161252064,0.00033677622815555175
