ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000033,176236,354,67852,0.005217237516948653,919.4650710369627,female,0-4,5613,0.03184933838716267,0.00016616556312349797
E06000033,176236,354,67852,0.005217237516948653,919.4650710369627,male,0-4,5783,0.03281395401620554,0.00017119819197277547
E06000034,161305,2269,56824,0.03993031113613966,6440.958837815007,female,0-4,5992,0.03714701962121447,0.0014832920512553786
E06000034,161305,2269,56824,0.03993031113613966,6440.958837815007,male,0-4,6155,0.03815752766498249,0.0015236419518486074
E07000066,178498,1365,64861,0.02104500393148425,3756.491111762076,female,0-4,5836,0.032695044202175935,0.0006880673337748439
E07000066,178498,1365,64861,0.02104500393148425,3756.491111762076,male,0-4,6224,0.03486873802507591,0.0007338127288236169
E07000067,149150,359,46828,0.007666353463739643,1143.4366191167678,female,0-4,4510,0.0302380154207174,0.00023181531425722958
E07000067,149150,359,46828,0.007666353463739643,1143.4366191167678,male,0-4,4790,0.03211532014750251,0.00024620739585191345
E07000068,74734,8484,26134,0.3246345756485804,24261.240376521007,female,0-4,1920,0.02569111783124147,0.008340225135082752
E07000068,74734,8484,26134,0.3246345756485804,24261.240376521007,male,0-4,2128,0.028474322262959297,0.009243749524716717
E07000069,88594,314,34362,0.009138001280484255,809.5720854432221,female,0-4,2140,0.024155134659232,0.00022072965144633163
E07000069,88594,314,34362,0.009138001280484255,809.5720854432221,male,0-4,2131,0.02405354764431,0.0002198013491738938
E07000070,170311,575,52752,0.010900060661207158,1856.4002312708524,female,0-4,4895,0.028741537540147143,0.0003132845026839666
E07000070,170311,575,52752,0.010900060661207158,1856.4002312708524,male,0-4,5185,0.030444304830574656,0.0003318447694415459
E07000071,177993,316,62772,0.0050340916332122605,896.0330720703499,female,0-4,5459,0.030669745439427392,0.0001543943089093713
E07000071,177993,316,62772,0.0050340916332122605,896.0330720703499,male,0-4,5774,0.03243947795699831,0.00016330330456909873
E07000072,126989,2627,48612,0.05404015469431416,6862.5052044762615,female,0-4,3831,0.030167967304254698,0.0016302816199349358
E07000072,126989,2627,48612,0.05404015469431416,6862.5052044762615,male,0-4,4058,0.031955523706777754,0.0017268814444520934
E07000073,83438,185,32958,0.005613204684750288,468.3545724861945,female,0-4,3165,0.037932356959658665,0.0002129220837895762
E07000073,83438,185,32958,0.005613204684750288,468.3545724861945,male,0-4,3276,0.03926268606630073,0.00022038949336323908
E07000074,62217,193,20157,0.00957483752542541,595.7176663193928,female,0-4,1474,0.023691274089075332,0.0002268401001732172
E07000074,62217,193,20157,0.00957483752542541,595.7176663193928,male,0-4,1569,0.025218187955060513,0.0002414600523553445
E07000075,83955,241,30162,0.007990186327166634,670.8160930972748,female,0-4,2120,0.025251622893216603,0.00020176517198014726
E07000075,83955,241,30162,0.007990186327166634,670.8160930972748,male,0-4,2170,0.025847180036924544,0.00020652378452684885
E07000076,139037,389,60253,0.006456110069208172,897.6381756924967,female,0-4,3459,0.02487826981307134,0.0001606168482446476
E07000076,139037,389,60253,0.006456110069208172,897.6381756924967,male,0-4,3514,0.025273847968526362,0.00016317074435723955
E07000077,82680,90,25357,0.0035493157707930747,293.45742792917144,female,0-4,2322,0.028084179970972425,9.967962288076343e-05
E07000077,82680,90,25357,0.0035493157707930747,293.45742792917144,male,0-4,2483,0.030031446540880503,0.0001065910868272763
E07000095,95107,53,35748,0.0014826004251986126,141.00567863936445,female,0-4,3139,0.033004931287917816,4.893312516111795e-05
E07000095,95107,53,35748,0.0014826004251986126,141.00567863936445,male,0-4,3223,0.03388814703439284,5.0242581202383934e-05
E07000107,100399,8,38043,0.00021028835791078517,21.11274084588492,female,0-4,3598,0.03583701032878814,7.536106054472705e-06
E07000107,100399,8,38043,0.00021028835791078517,21.11274084588492,male,0-4,3656,0.03641470532575026,7.657588586757146e-06
E07000200,88704,18,32790,0.0005489478499542544,48.69387008234218,female,0-4,2134,0.024057539682539684,1.3206334683919315e-05
E07000200,88704,18,32790,0.0005489478499542544,48.69387008234218,male,0-4,2165,0.024407016594516596,1.3398179283357692e-05
E07000242,140932,75,42572,0.0017617213191769238,248.28290895424223,female,0-4,4176,0.029631311554508558,5.220211328075124e-05
