ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000007,205165,13,85298,0.0001524068559637975,31.268552603812516,female,0-4,6163,0.030039236711914802,4.578185622815218e-06
E06000007,205165,13,85298,0.0001524068559637975,31.268552603812516,male,0-4,6433,0.031355250651914315,4.778755169815073e-06
E06000021,250194,8,98288,8.139345596614032e-05,20.364154321992512,female,0-4,8553,0.034185472073670835,2.7824737159100468e-06
E06000021,250194,8,98288,8.139345596614032e-05,20.364154321992512,male,0-4,8902,0.0355803896176567,2.8960108756028567e-06
E06000049,373006,7681,157506,0.04876639620077965,18190.158381268015,female,0-4,9929,0.026618874763408632,0.0012981065931313201
E06000049,373006,7681,157506,0.04876639620077965,18190.158381268015,male,0-4,10427,0.027953973930714252,0.001363214568091477
E06000050,331069,107,141162,0.0007579943610886783,250.94843513126762,female,0-4,8916,0.02693094188824686,2.0413502090098003e-05
E06000050,331069,107,141162,0.0007579943610886783,250.94843513126762,male,0-4,9418,0.028447242115691895,2.1562849112218818e-05
E07000035,71372,320,25604,0.012498047180128105,892.0106233401032,female,0-4,1494,0.020932578602252984,0.0002616163549726978
E07000035,71372,320,25604,0.012498047180128105,892.0106233401032,male,0-4,1477,0.020694389956845822,0.0002586394620446283
E07000037,91172,15680,37942,0.4132623477940014,37677.95477307469,female,0-4,2412,0.026455490720835344,0.010933058207334832
E07000037,91172,15680,37942,0.4132623477940014,37677.95477307469,male,0-4,2479,0.02719036546308077,0.01123675426864969
E07000125,68698,9,30835,0.00029187611480460516,20.051305334846766,female,0-4,2184,0.03179131852455676,9.279126535463299e-06
E07000125,68698,9,30835,0.00029187611480460516,20.051305334846766,male,0-4,2201,0.03203877842149699,9.35135416875216e-06
E07000195,125184,9,45594,0.00019739439399921041,24.710619818397156,female,0-4,3030,0.02420437116564417,4.7778071783742935e-06
E07000195,125184,9,45594,0.00019739439399921041,24.710619818397156,male,0-4,3363,0.026864455521472392,5.3028929177797854e-06
E07000198,97488,420,34767,0.012080421088963672,1177.6960911208905,female,0-4,2302,0.023613162645658953,0.00028525694800174764
E07000198,97488,420,34767,0.012080421088963672,1177.6960911208905,male,0-4,2388,0.02449532250123092,0.0002959138105248364
E08000001,280271,9,118028,7.625309248652862e-05,21.371530484291863,female,0-4,9636,0.034381009808364046,2.6216583206974315e-06
E08000001,280271,9,118028,7.625309248652862e-05,21.371530484291863,male,0-4,9842,0.035116012716263904,2.6777045654113867e-06
E08000002,186468,50,78391,0.0006378283221288158,118.93457157071603,female,0-4,6027,0.032321899736147755,2.0615823076722936e-05
E08000002,186468,50,78391,0.0006378283221288158,118.93457157071603,male,0-4,6458,0.03463328828538945,2.2090092156873526e-05
E08000003,513665,2089,205449,0.01016797356034831,5222.932138876315,female,0-4,18497,0.03600985077823095,0.00036614721062514026
E08000003,513665,2089,205449,0.01016797356034831,5222.932138876315,male,0-4,19341,0.03765294501280017,0.0003828541493594009
E08000004,226966,294,92186,0.0031892044345128326,723.8409736836395,female,0-4,8221,0.036221284245217346,0.00011551708033859695
E08000004,226966,294,92186,0.0031892044345128326,723.8409736836395,male,0-4,8363,0.036846928614858616,0.00011751238813668488
E08000005,212137,77,89973,0.0008558122992453291,181.54945372500637,female,0-4,7303,0.03442586630337942,2.946207979460744e-05
E08000005,212137,77,89973,0.0008558122992453291,181.54945372500637,male,0-4,7652,0.0360710295705134,3.0870030752887325e-05
E08000006,238674,87,108419,0.000802442376336251,191.52213172967836,female,0-4,8283,0.034704240931144575,2.784815356173344e-05
E08000006,238674,87,108419,0.000802442376336251,191.52213172967836,male,0-4,8777,0.036774009737130985,2.950902376087582e-05
E08000007,284890,86310,129354,0.667238740201308,190089.64469595064,female,0-4,8628,0.030285373301976202,0.02020757432853693
E08000007,284890,86310,129354,0.667238740201308,190089.64469595064,male,0-4,8984,0.031534978412720696,0.0210413592683792
E08000008,220545,8494,103303,0.08222413676272712,18134.122242335652,female,0-4,7319,0.0331859711170056,0.0027286878277285806
E08000008,220545,8494,103303,0.08222413676272712,18134.122242335652,male,0-4,7532,0.03415176041170736,0.0028080990187801156
E08000009,230146,535,90204,0.005931000842534699,1364.9961199059908,female,0-4,7302,0.03172768590373067,0.0001881769318267029
E08000009,230146,535,90204,0.005931000842534699,1364.9961199059908,male,0-4,7758,0.033709036872246315,0.00019992832609032612
E08000010,319810,11,135881,8.095318697978378e-05,25.889638728004652,female,0-4,9533,0.02980832369219224,2.4130788014079572e-06
E08000010,319810,11,135881,8.095318697978378e-05,25.889638728004652,male,0-4,10020,0.03133110284231262,2.5363526266765687e-06
E06000007,205165,13,85298,0.0001524068559637975,31.268552603812516,female,5-9,5967,0.029083908073989227,4.4325869886968035e-06
E06000007,205165,13,85298,0.0001524068559637975,31.268552603812516,male,5-9,6208,0.030258572368581385,4.611613880648526e-06
E06000021,250194,8,98288,8.139345596614032e-05,20.364154321992512,female,5-9,7690,0.03073614874857111,2.5017213697355613e-06
E06000021,250194,8,98288,8.139345596614032e-05,20.364154321992512,male,5-9,7882,0.031503553242683675,2.564183073635331e-06
E06000049,373006,7681,157506,0.04876639620077965,18190.158381268015,female,5-9,10089,0.02704782228704096,0.0013190248180181175
E06000049,373006,7681,157506,0.04876639620077965,18190.158381268015,male,5-9,10793,0.028935191391023202,0.001411065007520026
E06000050,331069,107,141162,0.0007579943610886783,250.94843513126762,female,5-9,8918,0.02693698292500959,2.041808116189928e-05
E06000050,331069,107,141162,0.0007579943610886783,250.94843513126762,male,5-9,9473,0.02861337062666695,2.1688773586753967e-05
