ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000006,126501,186,65674,0.0028321710265858634,358.2724670341383,female,0-4,4015,0.03173887953454913,8.988993503404907e-05
E06000006,126501,186,65674,0.0028321710265858634,358.2724670341383,male,0-4,4195,0.033161793187405635,9.39198698550027e-05
E06000007,206681,270,89075,0.003031153522312658,626.4818411451024,female,0-4,6188,0.029939859009778354,9.075230909503402e-05
E06000007,206681,270,89075,0.003031153522312658,626.4818411451024,male,0-4,6430,0.031110745545067035,9.430144594070277e-05
E06000049,374606,54,161978,0.00033337860697131707,124.88562644309721,female,0-4,9867,0.02633967421771141,8.781083898778945e-06
E06000049,374606,54,161978,0.00033337860697131707,124.88562644309721,male,0-4,10521,0.028085508507605324,9.363107702346538e-06
E06000050,332272,9419,146286,0.06438756955552821,21394.18651135447,female,0-4,9064,0.027278855877112727,0.0017564192301828252
E06000050,332272,9419,146286,0.06438756955552821,21394.18651135447,male,0-4,9517,0.02864219675446622,0.0018442014357513182
E07000127,111845,18,51879,0.00034696119817267105,38.80587520962239,female,0-4,2862,0.025588984755688677,8.878384810855957e-06
E07000127,111845,18,51879,0.00034696119817267105,38.80587520962239,male,0-4,2986,0.02669766194286736,9.26305277610618e-06
E08000003,518834,8,211467,3.783096180491519e-05,19.627989237091366,female,0-4,18764,0.03616571003442334,1.3681835949599074e-06
E08000003,518834,8,211467,3.783096180491519e-05,19.627989237091366,male,0-4,19542,0.03766522625733857,1.424911735914864e-06
E08000009,232319,8,101698,7.866428051682432e-05,18.27520698538811,female,0-4,7374,0.031740839104851516,2.4968702711834267e-06
E08000009,232319,8,101698,7.866428051682432e-05,18.27520698538811,male,0-4,7776,0.033471218453936184,2.6329893177003426e-06
E08000011,146429,134,78242,0.0017126351575879962,250.77945349045268,female,0-4,4540,0.03100478730306155,5.309988878876112e-05
E08000011,146429,134,78242,0.0017126351575879962,250.77945349045268,male,0-4,4889,0.0333881949613806,5.7181796539262805e-05
E08000012,474569,1007,213614,0.004714110498375575,2237.1707051035983,female,0-4,13733,0.028937836226133606,0.00013641615755388947
E08000012,474569,1007,213614,0.004714110498375575,2237.1707051035983,male,0-4,14408,0.0303601794470351,0.00014312124066383452
E08000013,177191,44,85017,0.0005175435501135067,91.70405918816236,female,0-4,5218,0.02944844828461942,1.5240854470555941e-05
E08000013,177191,44,85017,0.0005175435501135067,91.70405918816236,male,0-4,5336,0.030114396329384674,1.55855115858349e-05
