ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000017,38263,273,13349,0.02045097011012061,782.5154693235448,female,0-4,842,0.022005592870396988,0.000450035722047972
E06000017,38263,273,13349,0.02045097011012061,782.5154693235448,male,0-4,942,0.024619083710111594,0.0005034841450940494
E06000031,190493,2863,68904,0.04155056310228724,7915.091417044003,female,0-4,7464,0.039182542140656085,0.0016280566897233595
E06000031,190493,2863,68904,0.04155056310228724,7915.091417044003,male,0-4,8081,0.04242150630206884,0.0017626374744981871
E06000032,210173,856,84344,0.010148913971355401,2133.027696101679,female,0-4,8486,0.040376261460796585,0.00040977520405057713
E06000032,210173,856,84344,0.010148913971355401,2133.027696101679,male,0-4,8993,0.04278855990065327,0.00043425741338991747
E06000033,178367,114,70781,0.0016106017151495458,287.278196126079,female,0-4,5567,0.031210930272976504,5.026837782906884e-05
E06000033,178367,114,70781,0.0016106017151495458,287.278196126079,male,0-4,5852,0.03280875946783878,5.284184427083004e-05
E06000034,163822,39,59682,0.000653463355785664,107.05167387151906,female,0-4,6044,0.03689370170062629,2.4108682120646514e-05
E06000034,163822,39,59682,0.000653463355785664,107.05167387151906,male,0-4,6327,0.038621186409639734,2.523753007566686e-05
E06000042,260225,75,90587,0.0008279333679225496,215.44896066764548,female,0-4,9990,0.038389854933230855,3.178424188892793e-05
E06000042,260225,75,90587,0.0008279333679225496,215.44896066764548,male,0-4,10530,0.040464982226919015,3.3502309018059173e-05
E06000055,163999,3291,65400,0.050321100917431194,8252.610229357799,female,0-4,5381,0.03281117567790048,0.0016510944825071938
E06000055,163999,3291,65400,0.050321100917431194,8252.610229357799,male,0-4,5509,0.03359166824187952,0.0016903697275844878
E06000056,267846,3479,101571,0.03425190260999695,9174.235106477243,female,0-4,8438,0.03150317719883814,0.0010790437573200806
E06000056,267846,3479,101571,0.03425190260999695,9174.235106477243,male,0-4,8748,0.03266055867924106,0.0011186862750694553
E06000060,520900,12,183096,6.553938917289291e-05,34.139467820159915,female,0-4,16042,0.0307966980226531,2.018396776946723e-06
E06000060,520900,12,183096,6.553938917289291e-05,34.139467820159915,male,0-4,16732,0.03212132846995584,2.1052122473427606e-06
E07000008,123735,32233,35528,0.9072562485926593,112259.3519196127,female,0-4,3331,0.0269204348001778,0.024423732687292584
E07000008,123735,32233,35528,0.9072562485926593,112259.3519196127,male,0-4,3645,0.029458116135289127,0.0267260599355093
E07000009,87045,20617,30307,0.6802718843831458,59214.26617613093,female,0-4,2790,0.032052386696536275,0.021804337497030004
E07000009,87045,20617,30307,0.6802718843831458,59214.26617613093,male,0-4,2850,0.03274168533517146,0.0222732479808371
E07000010,97591,3115,43048,0.07236108530013009,7061.790675524996,female,0-4,2830,0.028998575688331914,0.0020983684089656645
E07000010,97591,3115,43048,0.07236108530013009,7061.790675524996,male,0-4,2936,0.03008474142082774,0.002176964540184873
E07000011,173883,9959,66652,0.149417871931825,25981.22782512153,female,0-4,5113,0.029404829684327966,0.004393607075950043
E07000011,173883,9959,66652,0.149417871931825,25981.22782512153,male,0-4,5415,0.03114162971653353,0.0046531160407333235
E07000012,152932,41669,49879,0.8354016720463522,127759.64850939273,female,0-4,4594,0.03003949467737295,0.02509504408090486
E07000012,152932,41669,49879,0.8354016720463522,127759.64850939273,male,0-4,4842,0.03166113043705699,0.026449761305995065
E07000066,180676,121,67913,0.0017816912814924977,321.9088539749385,female,0-4,5992,0.03316433837366335,5.9088612536823076e-05
E07000066,180676,121,67913,0.0017816912814924977,321.9088539749385,male,0-4,6199,0.03431003564391508,6.112989137446033e-05
E07000067,150076,1845,48106,0.03835280422400532,5755.835446721822,female,0-4,4383,0.029205202697300033,0.0011201014213719402
E07000067,150076,1845,48106,0.03835280422400532,5755.835446721822,male,0-4,4717,0.031430741757509525,0.0012054570852410317
E07000068,75914,43,27260,0.0015774027879677183,119.74695524578136,female,0-4,1970,0.02595041757778539,4.0934261036125154e-05
E07000068,75914,43,27260,0.0015774027879677183,119.74695524578136,male,0-4,2193,0.02888795215638749,4.5567936270163686e-05
E07000069,88912,17,35495,0.0004789406958726581,42.58357515142978,female,0-4,2229,0.025069731869713875,1.2006914827021718e-05
E07000069,88912,17,35495,0.0004789406958726581,42.58357515142978,male,0-4,2136,0.024023753824005758,1.150595337394275e-05
E07000070,171590,351,52827,0.006644329604179681,1140.1005167811916,female,0-4,4883,0.028457369310565885,0.00018908014136726723
E07000070,171590,351,52827,0.006644329604179681,1140.1005167811916,male,0-4,5178,0.030176583716999824,0.00020050316854386844
E07000071,180973,745,65270,0.011414125938409682,2065.6486134518154,female,0-4,5575,0.030805700297834485,0.0003516201428203875
E07000071,180973,745,65270,0.011414125938409682,2065.6486134518154,male,0-4,5920,0.03271206202030137,0.0003733795956047881
E07000072,128451,421,47926,0.008784375912865667,1128.3618703835077,female,0-4,3845,0.029933593354664424,0.00026294793645023
E07000072,128451,421,47926,0.008784375912865667,1128.3618703835077,male,0-4,4075,0.031724159407089086,0.00027867694175154415
E07000073,84619,549,33214,0.016529174444511352,1398.6822123201061,female,0-4,3235,0.038230184710289654,0.0006319133921222684
E07000073,84619,549,33214,0.016529174444511352,1398.6822123201061,male,0-4,3353,0.03962467058225694,0.0006549630923604221
