year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
2014,E06000025,270994,8,94366,8.477629654748533e-05,22.97386770658924,female,0-4,7904,0.029166697417655003,2.472644589589895e-06
2014,E06000025,270994,8,94366,8.477629654748533e-05,22.97386770658924,male,0-4,8324,0.030716547229827966,2.6040351168707345e-06
2014,E06000026,260512,22,95444,0.00023050165542097984,60.0484472570303,female,0-4,7887,0.030274996929124186,6.978436910028206e-06
2014,E06000026,260512,22,95444,0.00023050165542097984,60.0484472570303,male,0-4,8169,0.03135748065348237,7.227951200459035e-06
2014,E06000044,208037,64951,70320,0.9236490329920364,192153.17387656428,female,0-4,6704,0.032225036892475856,0.02976462416386802
2014,E06000044,208037,64951,70320,0.9236490329920364,192153.17387656428,male,0-4,6935,0.033335416296139626,0.030790225026316335
2014,E06000045,242106,765,79879,0.009576985190100026,2318.645576434357,female,0-4,7824,0.03231642338479839,0.00030949390815321635
2014,E06000045,242106,765,79879,0.009576985190100026,2318.645576434357,male,0-4,8426,0.034802937556277,0.0003333072175484408
2014,E06000046,139332,2549,51005,0.049975492598764826,6963.1853347711,female,0-4,3276,0.02351218671949014,0.001175033113380656
2014,E06000046,139332,2549,51005,0.049975492598764826,6963.1853347711,male,0-4,3467,0.024883013234576406,0.0012435408437395405
2014,E06000052,545961,20,207391,9.64362002208389e-05,52.650404308769424,female,0-4,14197,0.026003688908182086,2.5076969500298553e-06
2014,E06000052,545961,20,207391,9.64362002208389e-05,52.650404308769424,male,0-4,14968,0.027415877690897334,2.6438830702294057e-06
2014,E06000054,484560,358,174957,0.002046217070480175,991.5149436718737,female,0-4,14001,0.02889425458147598,5.912391696341616e-05
2014,E06000054,484560,358,174957,0.002046217070480175,991.5149436718737,male,0-4,14609,0.030149001155687635,6.169140082269456e-05
2014,E06000058,388358,71,180982,0.00039230420704821473,152.3544772408306,female,0-4,10573,0.02722488013636902,1.068043501388094e-05
2014,E06000058,388358,71,180982,0.00039230420704821473,152.3544772408306,male,0-4,11297,0.029089139402304058,1.1411791766935872e-05
2014,E06000059,369485,90,162633,0.000553393222777665,204.47049491800556,female,0-4,8453,0.022877789355454214,1.2660413581443367e-05
2014,E06000059,369485,90,162633,0.000553393222777665,204.47049491800556,male,0-4,8846,0.023941431993179697,1.3249026208618009e-05
2014,E07000084,173374,372,65141,0.005710689120523173,990.0850155815846,female,0-4,5791,0.03340177881343223,0.00019074717487598886
2014,E07000084,173374,372,65141,0.005710689120523173,990.0850155815846,male,0-4,6154,0.035495518359154196,0.0002027038705209524
2014,E07000085,117985,13107,42886,0.30562421302989323,36059.07277433195,female,0-4,3097,0.026249099461795992,0.008022360365754794
2014,E07000085,117985,13107,42886,0.30562421302989323,36059.07277433195,male,0-4,3210,0.02720684832817731,0.008315071609322856
2014,E07000086,128867,980,45585,0.021498299879346275,2770.4214105517162,female,0-4,3880,0.0301085615401926,0.0006472828849268125
