ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000030,215991,154,77462,0.0019880715705765406,429.40556660039755,female,0-4,7396,0.034242167497719814,6.80758797171368e-05
E06000030,215991,154,77462,0.0019880715705765406,429.40556660039755,male,0-4,7682,0.03556629674384581,7.070834342712883e-05
E06000032,210173,1614,84344,0.019135919567485535,4021.8536232571373,female,0-4,8486,0.040376261460796585,0.0007726368917495695
E06000032,210173,1614,84344,0.019135919567485535,4021.8536232571373,male,0-4,8993,0.04278855990065327,0.0008187984406674379
E06000033,178367,153,70781,0.0021615970387533377,385.5575790113166,female,0-4,5567,0.031210930272976504,6.746545445480291e-05
E06000033,178367,153,70781,0.0021615970387533377,385.5575790113166,male,0-4,5852,0.03280875946783878,7.091931731085084e-05
E06000034,163822,154,59682,0.0025803424818203143,422.7168660567675,female,0-4,6044,0.03689370170062629,9.519838580973238e-05
E06000034,163822,154,59682,0.0025803424818203143,422.7168660567675,male,0-4,6327,0.038621186409639734,9.965588799109478e-05
E06000035,273212,81,103273,0.0007843289146243452,214.2880714223466,female,0-4,8917,0.032637658667994084,2.559865939894765e-05
E06000035,273212,81,103273,0.0007843289146243452,214.2880714223466,male,0-4,9436,0.034537282403408344,2.7088589221539763e-05
E06000036,117997,278,41840,0.006644359464627151,784.0144837476099,female,0-4,4023,0.034094087137808586,0.0002265333705619213
E06000036,117997,278,41840,0.006644359464627151,784.0144837476099,male,0-4,4128,0.03498394026966787,0.00023244587464071862
E06000037,156633,37,51622,0.0007167486730463756,112.26649490527295,female,0-4,4766,0.03042781533904094,2.1809096267957748e-05
E06000037,156633,37,51622,0.0007167486730463756,112.26649490527295,male,0-4,5052,0.032253739633410584,2.311782508303033e-05
E06000039,144340,822,58971,0.013939054789642366,2011.9631683369792,female,0-4,6533,0.04526118885963697,0.0006308981913588303
E06000039,144340,822,58971,0.013939054789642366,2011.9631683369792,male,0-4,6727,0.046605237633365666,0.0006496329608557864
E06000040,147476,839,55449,0.015131021298851197,2231.462497069379,female,0-4,4550,0.030852477691285362,0.0004668294970691702
E06000040,147476,839,55449,0.015131021298851197,2231.462497069379,male,0-4,4709,0.03193061921939841,0.0004831428794942247
E06000041,159414,50,47810,0.0010458063166701526,166.71616816565572,female,0-4,4973,0.031195503531684796,3.2624454645142014e-05
E06000041,159414,50,47810,0.0010458063166701526,166.71616816565572,male,0-4,5326,0.033409863625528495,3.4940246418666065e-05
E06000042,260225,707,90587,0.007804651881616567,2030.9655358936711,female,0-4,9990,0.038389854933230855,0.00029961945353962723
E06000042,260225,707,90587,0.007804651881616567,2030.9655358936711,male,0-4,10530,0.040464982226919015,0.0003158150996769044
E06000043,280650,25,92198,0.0002711555565196642,76.09980693724376,female,0-4,7423,0.026449314092285764,7.1718784822571435e-06
E06000043,280650,25,92198,0.0002711555565196642,76.09980693724376,male,0-4,7630,0.027186887582398005,7.371875632442679e-06
E06000052,545961,10,207391,4.821810011041945e-05,26.325202154384712,female,0-4,14197,0.026003688908182086,1.2538484750149276e-06
E06000052,545961,10,207391,4.821810011041945e-05,26.325202154384712,male,0-4,14968,0.027415877690897334,1.3219415351147029e-06
E06000054,484560,91,174957,0.0005201278028315529,252.03312814005724,female,0-4,14001,0.02889425458147598,1.502870514991863e-05
E06000054,484560,91,174957,0.0005201278028315529,252.03312814005724,male,0-4,14609,0.030149001155687635,1.5681333728673756e-05
E06000056,267846,1245,101571,0.012257435685382638,3283.1051185869983,female,0-4,8438,0.03150317719883814,0.00038614816839997127
E06000056,267846,1245,101571,0.012257435685382638,3283.1051185869983,male,0-4,8748,0.03266055867924106,0.000400334697459463
E06000060,520900,2627,183096,0.014347664613099139,7473.698496963341,female,0-4,16042,0.0307966980226531,0.0004418606944199201
E06000060,520900,2627,183096,0.014347664613099139,7473.698496963341,male,0-4,16732,0.03212132846995584,0.00046086604781411935
E07000012,152932,9,49879,0.00018043665670923635,27.594538783856933,female,0-4,4594,0.03003949467737295,5.420225988820075e-06
E07000012,152932,9,49879,0.00018043665670923635,27.594538783856933,male,0-4,4842,0.03166113043705699,5.712828523697606e-06
E07000040,136518,17,57819,0.0002940209965582248,40.139158408135735,female,0-4,2968,0.02174072283508402,6.392228993867558e-06
E07000040,136518,17,57819,0.0002940209965582248,40.139158408135735,male,0-4,3296,0.024143336409850717,7.098647831464782e-06
E07000061,101340,9,42515,0.00021168999176761143,21.452663765729742,female,0-4,2825,0.027876455496348925,5.90116663453229e-06
