ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000043,280650,81997,92198,0.8893576867177162,249598.23477732704,female,0-4,7423,0.026449314092285764,0.023522900796385558
E06000043,280650,81997,92198,0.8893576867177162,249598.23477732704,male,0-4,7630,0.027186887582398005,0.024178867449336092
E07000061,101340,2594,42515,0.061013759849464895,6183.134423144773,female,0-4,2825,0.027876455496348925,0.001700847361108529
E07000061,101340,2594,42515,0.061013759849464895,6183.134423144773,male,0-4,2940,0.02901124925991711,0.0017700853952775488
E07000062,91360,1555,37710,0.04123574648634314,3767.2977989923097,female,0-4,2830,0.030976357267950963,0.0012773332153716188
E07000062,91360,1555,37710,0.04123574648634314,3767.2977989923097,male,0-4,2961,0.032410245183887916,0.001336460653963026
E07000063,100428,27303,39466,0.6918106724775757,69477.16221557796,female,0-4,2401,0.023907675150356474,0.016539584823143536
E07000063,100428,27303,39466,0.6918106724775757,69477.16221557796,male,0-4,2733,0.027213526108256662,0.018826607797439103
E07000064,92370,1643,37281,0.04407070625787935,4070.8111370403158,female,0-4,1957,0.02118653242394717,0.0009337054470788123
E07000064,92370,1643,37281,0.04407070625787935,4070.8111370403158,male,0-4,2093,0.02265887192811519,0.000998592488878873
E07000065,155005,8599,60578,0.14194922249001288,22002.839232064445,female,0-4,3661,0.02361859294861456,0.0033526409053639375
E07000065,155005,8599,60578,0.14194922249001288,22002.839232064445,male,0-4,3891,0.025102416051095127,0.0035632684410737726
E07000085,117985,8,42886,0.00018654106235135008,22.00904724152404,female,0-4,3097,0.026249099461795992,4.896534899369676e-06
E07000085,117985,8,42886,0.00018654106235135008,22.00904724152404,male,0-4,3210,0.02720684832817731,5.075194390370249e-06
E07000105,123159,21,45942,0.0004570980801880632,56.29574245788167,female,0-4,3900,0.031666382481182864,1.4474642638649605e-05
E07000105,123159,21,45942,0.0004570980801880632,56.29574245788167,male,0-4,3968,0.032218514278290665,1.4727021023118366e-05
E07000110,161510,8,58753,0.00013616325974843838,21.991728081970283,female,0-4,4831,0.0299114605906755,4.072841977863326e-06
E07000110,161510,8,58753,0.00013616325974843838,21.991728081970283,male,0-4,5290,0.032753389882979385,4.459808334277995e-06
E07000111,117625,54,44147,0.0012231861734659207,143.8772736539289,female,0-4,3576,0.030401700318809777,3.718693947982259e-05
E07000111,117625,54,44147,0.0012231861734659207,143.8772736539289,male,0-4,3756,0.03193198724760893,3.905876529256534e-05
E07000115,124583,17,44968,0.00037804661092332326,47.09818092866038,female,0-4,3622,0.029072987486254143,1.0990944388594566e-05
E07000115,124583,17,44968,0.00037804661092332326,47.09818092866038,male,0-4,3911,0.031392726134384305,1.1867913722748026e-05
E07000116,116525,153,41163,0.003716930252897019,433.11529771882516,female,0-4,3406,0.029229779017378246,0.0001086450499151877
E07000116,116525,153,41163,0.003716930252897019,433.11529771882516,male,0-4,3501,0.03004505470928985,0.0001116753727989055
E07000210,86871,113,32127,0.0035172907523267033,305.550564945373,female,0-4,2264,0.02606163161469305,9.166633586890512e-05
E07000210,86871,113,32127,0.0035172907523267033,305.550564945373,male,0-4,2424,0.02790344303622613,9.814452214939311e-05
E07000211,142858,471,54597,0.008626847628990604,1232.4141985823398,female,0-4,4801,0.03360679835920984,0.0002899207287431148
E07000211,142858,471,54597,0.008626847628990604,1232.4141985823398,male,0-4,4909,0.03436279382323706,0.0002964425864194856
E07000215,85340,707,31614,0.022363509837413805,1908.5019295248942,female,0-4,2408,0.028216545582376375,0.0006310209947093091
E07000215,85340,707,31614,0.022363509837413805,1908.5019295248942,male,0-4,2502,0.029318022029528944,0.0006556538740708852
E07000216,123359,10,47829,0.00020907817432938176,25.791674507098204,female,0-4,3632,0.029442521421217747,6.155788626401921e-06
E07000216,123359,10,47829,0.00020907817432938176,25.791674507098204,male,0-4,3676,0.029799203949448357,6.2303631582195646e-06
E07000223,63266,4054,26579,0.1525264306407314,9649.737160916513,female,0-4,1878,0.029684190560490625,0.004527623632650927
E07000223,63266,4054,26579,0.1525264306407314,9649.737160916513,male,0-4,2034,0.03214996996807132,0.004903720164436628
E07000224,154653,2329,66248,0.03515577828764642,5436.946579519382,female,0-4,3813,0.0246551958254932,0.0008667725980795445
E07000224,154653,2329,66248,0.03515577828764642,5436.946579519382,male,0-4,4117,0.026620886759390377,0.0009358779927336702
E07000225,116261,498,47682,0.010444192777148609,1214.2522964640743,female,0-4,2749,0.023645074444568686,0.00024695371572910544
E07000225,116261,498,47682,0.010444192777148609,1214.2522964640743,male,0-4,2983,0.02565778722013401,0.0002679748759621395
E07000226,109874,2771,40459,0.068489087718431,7525.170023974888,female,0-4,3981,0.03623241167155105,0.002481524821223163
E07000226,109874,2771,40459,0.068489087718431,7525.170023974888,male,0-4,4489,0.0408558894733968,0.002798182597957995
E07000227,134507,7133,48848,0.14602440222731738,19641.30427038978,female,0-4,3465,0.02576074107667259,0.003761696816653815
E07000227,134507,7133,48848,0.14602440222731738,19641.30427038978,male,0-4,3715,0.027619380403993844,0.004033103513382085
E07000228,144664,35932,51395,0.6991341570191653,101139.54369102052,female,0-4,4261,0.029454459990045898,0.02059261905559547
E07000228,144664,35932,51395,0.6991341570191653,101139.54369102052,male,0-4,4447,0.03074019797599956,0.0214915223985527
E07000229,107287,3044,42046,0.07239689863482852,7767.2460638348475,female,0-4,2944,0.027440416825896895,0.0019866010754419007
E07000229,107287,3044,42046,0.07239689863482852,7767.2460638348475,male,0-4,3143,0.029295254783897398,0.0021208855910712955
E09000008,377073,16,155385,0.000102970042153361,38.82722270489429,female,0-4,14100,0.037393289893468906,3.850388636583341e-06
E09000008,377073,16,155385,0.000102970042153361,38.82722270489429,male,0-4,14573,0.03864768890904414,3.979554156094257e-06
E06000043,280650,81997,92198,0.8893576867177162,249598.23477732704,female,5-9,6945,0.024746125066809194,0.022008156544644716
