ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000043,284073,3699,93363,0.039619549500337393,11254.844285209345,female,0-4,7333,0.025813787301151466,0.0010227306237691513
E06000043,284073,3699,93363,0.039619549500337393,11254.844285209345,male,0-4,7593,0.026729044998996736,0.001058992721434497
E06000044,210538,594,71725,0.008281631230393865,1743.5980759846634,female,0-4,6651,0.031590496727431625,0.00026162084428155293
E06000044,210538,594,71725,0.008281631230393865,1743.5980759846634,male,0-4,6929,0.03291092344374887,0.00027255613141285225
E07000061,102204,110,42328,0.002598752598752599,265.60291060291064,female,0-4,2923,0.028599663418261517,7.432344963165675e-05
E07000061,102204,110,42328,0.002598752598752599,265.60291060291064,male,0-4,2954,0.02890297835701147,7.511169011697368e-05
E07000063,100898,235,40181,0.005848535377417187,590.1055225106394,female,0-4,2387,0.0236575551547107,0.00013836204826552385
E07000063,100898,235,40181,0.005848535377417187,590.1055225106394,male,0-4,2664,0.02640290194057365,0.0001544183060659219
E07000064,93192,16,38193,0.00041892493388840887,39.0404524389286,female,0-4,1932,0.020731393252639712,8.684897547776697e-06
E07000064,93192,16,38193,0.00041892493388840887,39.0404524389286,male,0-4,2136,0.022920422353850115,9.601936419281069e-06
E07000065,156790,69,62050,0.0011120064464141821,174.3514907332796,female,0-4,3729,0.023783404553861853,2.6447299181570796e-05
E07000065,156790,69,62050,0.0011120064464141821,174.3514907332796,male,0-4,3882,0.02475923209388354,2.7532425696663402e-05
E07000085,118694,970,44355,0.021869011385413143,2595.7204373802274,female,0-4,3001,0.02528350211468145,0.0005529251956090859
E07000085,118694,970,44355,0.021869011385413143,2595.7204373802274,male,0-4,3231,0.027221258024836974,0.0005953020016704287
E07000087,115182,165,39169,0.004212514999106436,485.20590262707753,female,0-4,2869,0.024908405827299404,0.0001049270331513289
E07000087,115182,165,39169,0.004212514999106436,485.20590262707753,male,0-4,2906,0.025229636575159312,0.00010628022249486294
E07000088,84757,95,29901,0.003177151265843952,269.2858098391358,female,0-4,2372,0.02798588907110917,8.891540288804293e-05
E07000088,84757,95,29901,0.003177151265843952,269.2858098391358,male,0-4,2595,0.030616940193730312,9.727465029277883e-05
E07000090,123122,3291,45934,0.07164627509034702,8821.232681673706,female,0-4,3252,0.026412826302366757,0.0018923806191729218
E07000090,123122,3291,45934,0.07164627509034702,8821.232681673706,male,0-4,3429,0.02785042478192362,0.001995379195308718
E07000091,179275,8,67528,0.00011846937566639024,21.23859732259211,female,0-4,4203,0.023444428949937247,2.7774468605541108e-06
E07000091,179275,8,67528,0.00011846937566639024,21.23859732259211,male,0-4,4303,0.024002231209036398,2.843529345934889e-06
E07000094,121734,110,43470,0.0025304807913503567,308.0455486542443,female,0-4,3264,0.026812558529252305,6.784866432523013e-05
E07000094,121734,110,43470,0.0025304807913503567,308.0455486542443,male,0-4,3323,0.027297221811490628,6.907509545120702e-05
E07000110,164019,8,62473,0.00012805531989819603,21.003505514382216,female,0-4,4979,0.03035623921618837,3.887277923735165e-06
E07000110,164019,8,62473,0.00012805531989819603,21.003505514382216,male,0-4,5408,0.03297178985361452,4.2222130973207015e-06
E07000210,86978,25,33155,0.0007540340823405218,65.5843764138139,female,0-4,2206,0.025362735404355123,1.9124366916268377e-05
E07000210,86978,25,33155,0.0007540340823405218,65.5843764138139,male,0-4,2397,0.027558693002828302,2.0780193788891798e-05
E07000211,143794,29,56314,0.0005149696345491352,74.04954363035836,female,0-4,4809,0.033443676370363155,1.7222477798425464e-05
E07000211,143794,29,56314,0.0005149696345491352,74.04954363035836,male,0-4,4843,0.03368012573542707,1.7344242041541803e-05
E07000215,85914,8,32290,0.00024775472282440383,21.285599256735832,female,0-4,2435,0.02834229578415625,7.021937636210901e-06
E07000215,85914,8,32290,0.00024775472282440383,21.285599256735832,male,0-4,2519,0.029320017692110716,7.264172856515507e-06
E07000216,124011,156,49671,0.003140665579513197,389.47707918101105,female,0-4,3467,0.02795719734539678,8.78042074023454e-05
E07000216,124011,156,49671,0.003140665579513197,389.47707918101105,male,0-4,3669,0.029586085105353557,9.2919999122932e-05
E07000223,63526,21580,27572,0.7826780792107936,49720.407659944874,female,0-4,1872,0.029468249220791488,0.023064152697834045
E07000223,63526,21580,27572,0.7826780792107936,49720.407659944874,male,0-4,2012,0.03167207127790196,0.02478903591241565
E07000224,155798,58650,69186,0.8477148556066256,132072.27907380107,female,0-4,3850,0.0247114853849215,0.020948293264903967
E07000224,155798,58650,69186,0.8477148556066256,132072.27907380107,male,0-4,4092,0.026264778751973708,0.02226504312726936
E07000225,117784,36094,49236,0.7330814850922089,86345.26964010074,female,0-4,2804,0.02380628947904639,0.017451950045834358
E07000225,117784,36094,49236,0.7330814850922089,86345.26964010074,male,0-4,3092,0.02625144331997555,0.019244447054821624
E07000226,110887,246,40248,0.0061121049493142515,677.7529815146094,female,0-4,3886,0.03504468512990702,0.00021419679342966425
E07000226,110887,246,40248,0.0061121049493142515,677.7529815146094,male,0-4,4442,0.04005879859676968,0.00024484358116689874
E07000227,136258,17397,50446,0.3448638147722317,46990.45367323475,female,0-4,3437,0.025224207019037416,0.008698916257189746
E07000227,136258,17397,50446,0.3448638147722317,46990.45367323475,male,0-4,3692,0.027095656768776878,0.009344311557039436
E07000228,145969,494,53444,0.009243320110770153,1349.2381932490084,female,0-4,4250,0.029115771156889476,0.00026912639307505803
E07000228,145969,494,53444,0.009243320110770153,1349.2381932490084,male,0-4,4391,0.03008172968232981,0.0002780550569394306
E07000229,108303,37654,44017,0.8554422155076448,92646.95826612445,female,0-4,2993,0.02763543022815619,0.02364051366088087
E07000229,108303,37654,44017,0.8554422155076448,92646.95826612445,male,0-4,3135,0.028946566577103126,0.024762115044056638
E09000029,199870,25,87065,0.00028714179061620627,57.391029690461146,female,0-4,6778,0.03391204282783809,9.737564701038905e-06
E09000029,199870,25,87065,0.00028714179061620627,57.391029690461146,male,0-4,7409,0.0370690949116926,1.0644086289465514e-05
E06000043,284073,3699,93363,0.039619549500337393,11254.844285209345,female,5-9,7172,0.025247031572870355,0.001000276017137918
E06000043,284073,3699,93363,0.039619549500337393,11254.844285209345,male,5-9,7474,0.026310138591136786,0.001042395838272281
E06000044,210538,594,71725,0.008281631230393865,1743.5980759846634,female,5-9,6227,0.029576608498228348,0.00024494256462806045
E06000044,210538,594,71725,0.008281631230393865,1743.5980759846634,male,5-9,6685,0.03175198776467906,0.00026295825349904997
E07000061,102204,110,42328,0.002598752598752599,265.60291060291064,female,5-9,2562,0.025067512034754023,6.514426204457907e-05
E07000061,102204,110,42328,0.002598752598752599,265.60291060291064,male,5-9,2876,0.02813979883370514,7.312837534746659e-05
E07000063,100898,235,40181,0.005848535377417187,590.1055225106394,female,5-9,2742,0.02717595988027513,0.00015893956277505925
E07000063,100898,235,40181,0.005848535377417187,590.1055225106394,male,5-9,3010,0.0298321076730956,0.00017447413710901835
E07000064,93192,16,38193,0.00041892493388840887,39.0404524389286,female,5-9,2320,0.02489484075886342,1.0429069519069325e-05
E07000064,93192,16,38193,0.00041892493388840887,39.0404524389286,male,5-9,2313,0.024819727015194436,1.0397602498968685e-05
