ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000040,149689,18,65023,0.0002768251234178675,41.43767589929717,female,0-4,4320,0.028859836060097937,7.989127679156035e-06
E06000040,149689,18,65023,0.0002768251234178675,41.43767589929717,male,0-4,4638,0.030984240658966256,8.577216244427242e-06
E07000207,136085,15282,50952,0.29992934526613285,40815.88495054169,female,0-4,4862,0.03572767020612117,0.010715776732806244
E07000207,136085,15282,50952,0.29992934526613285,40815.88495054169,male,0-4,4791,0.035205937465554615,0.010559293773524213
E07000208,78999,2111,31840,0.0663002512562814,5237.653548994975,female,0-4,2498,0.03162065342599273,0.0020964572670311137
E07000208,78999,2111,31840,0.0663002512562814,5237.653548994975,male,0-4,2561,0.032418131875087026,0.0021493302885775348
E07000209,146845,69,55533,0.0012425044568094646,182.45556696018582,female,0-4,3870,0.02635431918008785,3.274535903743831e-05
E07000209,146845,69,55533,0.0012425044568094646,182.45556696018582,male,0-4,4121,0.02806360448091525,3.486915364167526e-05
E07000210,87258,304,33980,0.008946439081812831,780.6483814008241,female,0-4,2141,0.02453643218959866,0.00021951369586927584
E07000210,87258,304,33980,0.008946439081812831,780.6483814008241,male,0-4,2274,0.026060647734305165,0.00023314999738754475
E07000211,145284,224,57245,0.003913005502663988,568.4970914490349,female,0-4,4831,0.033252113102612814,0.00013011570154572923
E07000211,145284,224,57245,0.003913005502663988,568.4970914490349,male,0-4,4908,0.033782109523416204,0.00013218958045672514
E07000212,86370,76,31739,0.0023945303884810487,206.8155896531082,female,0-4,2483,0.02874840801204122,6.883893660528475e-05
E07000212,86370,76,31739,0.0023945303884810487,206.8155896531082,male,0-4,2434,0.028181081394002546,6.748045577819697e-05
E07000213,98869,596,41902,0.014223664741539783,1406.2795093312968,female,0-4,3176,0.032123314689134104,0.00045691125852522375
E07000213,98869,596,41902,0.014223664741539783,1406.2795093312968,male,0-4,3283,0.03320555482507156,0.00047230467938863655
E07000216,124593,35,50706,0.0006902536189011163,86.00076913974678,female,0-4,3458,0.027754368222933874,1.915755310619425e-05
E07000216,124593,35,50706,0.0006902536189011163,86.00076913974678,male,0-4,3716,0.029825110559983305,2.0586890498154375e-05
E07000217,101421,114,39668,0.0028738529797317737,291.4690430573762,female,0-4,3420,0.033720827047652856,9.690869928991695e-05
E07000217,101421,114,39668,0.0028738529797317737,291.4690430573762,male,0-4,3656,0.03604776131175989,0.00010359596625846093
E09000008,383301,185,164017,0.0011279318607217545,432.3374101465092,female,0-4,13946,0.03638393847133193,4.103860342035525e-05
E09000008,383301,185,164017,0.0011279318607217545,432.3374101465092,male,0-4,14706,0.038366714409824136,4.327503957405309e-05
E09000009,344802,50,153666,0.00032538102117579687,112.19202686345712,female,0-4,12719,0.03688783707751115,1.2002602097247e-05
E09000009,344802,50,153666,0.00032538102117579687,112.19202686345712,male,0-4,13584,0.039396523222023076,1.2818880956757863e-05
E09000013,181783,126,67574,0.001864622487939148,338.95666972504216,female,0-4,5673,0.031207538658730466,5.819027837629915e-05
E09000013,181783,126,67574,0.001864622487939148,338.95666972504216,male,0-4,5848,0.0321702249385256,5.9985324862435634e-05
E09000017,299899,12,129274,9.282609031978588e-05,27.838451660813465,female,0-4,11074,0.03692576500755254,3.427674397718261e-06
E09000017,299899,12,129274,9.282609031978588e-05,27.838451660813465,male,0-4,11931,0.03978339374255999,3.6929369007744785e-06
E09000018,268270,1394,119581,0.011657370318027112,3127.3227352171334,female,0-4,10356,0.03860290006336899,0.0004500083013884846
E09000018,268270,1394,119581,0.011657370318027112,3127.3227352171334,male,0-4,10972,0.04089909419614567,0.0004767758867163435
E09000021,173703,43732,64215,0.6810246827065327,118296.03046017286,female,0-4,5797,0.0333730563087569,0.02272787508361842
E09000021,173703,43732,64215,0.6810246827065327,118296.03046017286,male,0-4,5901,0.03397177941659039,0.023135620298159788
E09000022,323063,144,118339,0.0012168431370892098,393.1169943974514,female,0-4,9842,0.030464646214515435,3.707069566998388e-05
E09000022,323063,144,118339,0.0012168431370892098,393.1169943974514,male,0-4,10538,0.032619024772258046,3.9692236432665125e-05
E09000024,206706,9109,86833,0.10490251402116707,21683.97906325936,female,0-4,7833,0.03789440074308438,0.003975217905275133
E09000024,206706,9109,86833,0.10490251402116707,21683.97906325936,male,0-4,8145,0.03940379089141099,0.004133556726473376
E09000027,195187,27630,77352,0.3571982624883649,69720.45726031649,female,0-4,6713,0.03439265934719013,0.012284998161170537
E09000027,195187,27630,77352,0.3571982624883649,69720.45726031649,male,0-4,6774,0.034705180160563974,0.012396630052699123
E09000029,201945,2980,88549,0.03365368327140905,6796.193068244701,female,0-4,6820,0.03377157146747877,0.0011365377697442856
E09000029,201945,2980,88549,0.03365368327140905,6796.193068244701,male,0-4,7385,0.03656936294535641,0.0012306937580002272
E09000032,321497,9975,120987,0.08244687445758635,26506.42279749064,female,0-4,11130,0.03461929660307872,0.002854252800843977
E09000032,321497,9975,120987,0.08244687445758635,26506.42279749064,male,0-4,11583,0.0360283299688644,0.002970423197859459
E06000040,149689,18,65023,0.0002768251234178675,41.43767589929717,female,5-9,4760,0.031799263806959764,8.802835127958964e-06
E06000040,149689,18,65023,0.0002768251234178675,41.43767589929717,male,5-9,5082,0.0339503904762541,9.398321033673836e-06
E07000207,136085,15282,50952,0.29992934526613285,40815.88495054169,female,5-9,4934,0.03625675129514642,0.01087446367743028
E07000207,136085,15282,50952,0.29992934526613285,40815.88495054169,male,5-9,5210,0.038284895469743174,0.011482763631822405
E07000208,78999,2111,31840,0.0663002512562814,5237.653548994975,female,5-9,2509,0.03175989569488221,0.0021056890644439805
E07000208,78999,2111,31840,0.0663002512562814,5237.653548994975,male,5-9,2621,0.03317763515993873,0.002199685547193174
E07000209,146845,69,55533,0.0012425044568094646,182.45556696018582,female,5-9,4190,0.028533487691102862,3.5452985624513306e-05
E07000209,146845,69,55533,0.0012425044568094646,182.45556696018582,male,5-9,4577,0.03116891960911165,3.872752152825714e-05
E07000210,87258,304,33980,0.008946439081812831,780.6483814008241,female,5-9,2509,0.028753810538861765,0.0002572442143559146
E07000210,87258,304,33980,0.008946439081812831,780.6483814008241,male,5-9,2690,0.03082811891173302,0.00027580188785070154
E07000211,145284,224,57245,0.003913005502663988,568.4970914490349,female,5-9,4720,0.032488092288207926,0.0001271260838948131
E07000211,145284,224,57245,0.003913005502663988,568.4970914490349,male,5-9,4992,0.0343602874370199,0.0001344519938141752
E07000212,86370,76,31739,0.0023945303884810487,206.8155896531082,female,5-9,2316,0.026814866273011464,6.420901215378152e-05
E07000212,86370,76,31739,0.0023945303884810487,206.8155896531082,male,5-9,2565,0.029697811740187565,7.111231268326838e-05
