ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000017,38949,7437,14669,0.5069875247119776,19746.657100006814,female,0-4,882,0.022644997304166987,0.011480731130349026
E06000017,38949,7437,14669,0.5069875247119776,19746.657100006814,male,0-4,948,0.024339520911961798,0.012339833459830928
E06000031,196735,61335,70418,0.8710130932432049,171358.7608992019,female,0-4,7847,0.039886141256004266,0.034741351272927684
E06000031,196735,61335,70418,0.8710130932432049,171358.7608992019,male,0-4,8411,0.042752941774468194,0.03723837206022617
E06000042,266240,8,94398,8.474755821097905e-05,22.56318989809106,female,0-4,9843,0.03697040264423077,3.133151350175281e-06
E06000042,266240,8,94398,8.474755821097905e-05,22.56318989809106,male,0-4,10283,0.038623046875,3.2732089133244347e-06
E06000055,168814,1165,70911,0.016429044859048666,2773.4527788354417,female,0-4,5528,0.03274609925717061,0.0005379871336549162
E06000055,168814,1165,70911,0.016429044859048666,2773.4527788354417,male,0-4,5808,0.03440472946556565,0.0005652368437532115
E06000056,276731,584,108856,0.005364885720584993,1484.6301903432059,female,0-4,8683,0.03137704124221717,0.00016833424051457732
E06000056,276731,584,108856,0.005364885720584993,1484.6301903432059,male,0-4,9056,0.0327249205907542,0.00017556545918461503
E07000008,124635,338,37544,0.009002770083102494,1122.0602493074794,female,0-4,3400,0.027279656597264012,0.00024559247629115803
E07000008,124635,338,37544,0.009002770083102494,1122.0602493074794,male,0-4,3556,0.028531311429373773,0.00025686083696804644
E07000009,88189,2433,31693,0.07676774051052283,6770.070267882498,female,0-4,2696,0.030570706097132295,0.00234684403288811
E07000009,88189,2433,31693,0.07676774051052283,6770.070267882498,male,0-4,2763,0.03133043803648981,0.0024051669372662644
E07000010,99636,22583,45704,0.4941143007176615,49231.57246630492,female,0-4,2931,0.02941707816451885,0.01453539900641802
E07000010,99636,22583,45704,0.4941143007176615,49231.57246630492,male,0-4,3083,0.03094263117748605,0.015289196566628029
E07000011,176095,51991,69142,0.7519452720488271,132413.80268143822,female,0-4,5092,0.028916210000283937,0.02174340739528452
E07000011,176095,51991,69142,0.7519452720488271,132413.80268143822,male,0-4,5517,0.0313296800022715,0.02355820475251074
E07000012,156020,3681,52992,0.06946331521739131,10837.666440217392,female,0-4,4731,0.030323035508268172,0.0021063385738589817
E07000012,156020,3681,52992,0.06946331521739131,10837.666440217392,male,0-4,4729,0.03031021663889245,0.0021054481326948054
