ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000015,256203,8,89992,8.889679082585119e-05,22.77562449995555,female,0-4,8655,0.033781805833655344,3.0030941269139784e-06
E06000015,256203,8,89992,8.889679082585119e-05,22.77562449995555,male,0-4,8839,0.03449998633895778,3.0669380690690532e-06
E06000016,349513,46,113635,0.0004048048576582919,141.4845602147226,female,0-4,12791,0.03659663589051051,1.4814495982430444e-05
E06000016,349513,46,113635,0.0004048048576582919,141.4845602147226,male,0-4,13287,0.03801575334823025,1.538896162290308e-05
E06000017,38949,10,14669,0.0006817097279978186,26.551912195787036,female,0-4,882,0.022644997304166987,1.5437314952735012e-05
E06000017,38949,10,14669,0.0006817097279978186,26.551912195787036,male,0-4,948,0.024339520911961798,1.6592488180490695e-05
E06000019,189532,2779,71677,0.03877115392664313,7348.374346024526,female,0-4,4576,0.02414368022286474,0.0009360783422763385
E06000019,189532,2779,71677,0.03877115392664313,7348.374346024526,male,0-4,5010,0.026433531013232595,0.0010248584997387359
E06000020,173727,861,67534,0.012749133769656765,2214.868762401161,female,0-4,5427,0.03123866756462726,0.00039826595156727086
E06000020,173727,861,67534,0.012749133769656765,2214.868762401161,male,0-4,5733,0.033000051805418845,0.0004207220748728881
E06000021,253659,309,106060,0.0029134452196869698,739.0216009805771,female,0-4,8725,0.03439657177549387,0.00010021252761293237
E06000021,253659,309,106060,0.0029134452196869698,739.0216009805771,male,0-4,9196,0.03625339530629704,0.00010562228125255313
E06000023,455966,9,175490,5.128497350276369e-05,23.38420422816115,female,0-4,15005,0.03290815543264191,1.6876938793878694e-06
E06000023,455966,9,175490,5.128497350276369e-05,23.38420422816115,male,0-4,15682,0.03439291526122562,1.7638397478547528e-06
E06000025,276677,14,104416,0.00013407906834201654,37.09659439166411,female,0-4,7951,0.028737480889267992,3.853094664129558e-06
E06000025,276677,14,104416,0.00013407906834201654,37.09659439166411,male,0-4,8283,0.029937436071664793,4.013983537037495e-06
E06000026,262355,28,97462,0.0002872914571833125,75.37235024932795,female,0-4,7759,0.02957443159078348,8.496481547084376e-06
E06000026,262355,28,97462,0.0002872914571833125,75.37235024932795,male,0-4,8088,0.03082845762421147,8.856752513573713e-06
E06000040,149689,9,65023,0.00013841256170893376,20.718837949648584,female,0-4,4320,0.028859836060097937,3.9945638395780175e-06
E06000040,149689,9,65023,0.00013841256170893376,20.718837949648584,male,0-4,4638,0.030984240658966256,4.288608122213621e-06
E06000044,213335,24,72016,0.00033325927571650743,71.09586758498111,female,0-4,6548,0.030693510206951508,1.0228896980765887e-05
E06000044,213335,24,72016,0.00033325927571650743,71.09586758498111,male,0-4,6840,0.03206224951367567,1.0685042050769498e-05
E06000049,377303,50,168475,0.0002967799376762131,111.97596082504823,female,0-4,9843,0.026087786208962026,7.742331565206123e-06
E06000049,377303,50,168475,0.0002967799376762131,111.97596082504823,male,0-4,10611,0.02812328552913706,8.346426926587642e-06
E06000050,335724,34,152550,0.00022287774500163882,74.8254080629302,female,0-4,9088,0.027069854999940426,6.03326823990806e-06
E06000050,335724,34,152550,0.00022287774500163882,74.8254080629302,male,0-4,9763,0.02908043511932421,6.481381803061443e-06
E06000051,314392,1801,126584,0.014227706503191556,4473.0771029514,female,0-4,7264,0.02310491361103336,0.00032872992963937843
E06000051,314392,1801,126584,0.014227706503191556,4473.0771029514,male,0-4,7770,0.024714369322374617,0.00035162879313022723
E06000054,492240,95,182549,0.0005204082191630741,256.1657418008316,female,0-4,13581,0.02759019990248659,1.4358166797606267e-05
E06000054,492240,95,182549,0.0005204082191630741,256.1657418008316,male,0-4,14583,0.029625792296440762,1.5417505810285856e-05
E06000058,394009,11,189419,5.807231587116393e-05,22.881015104081428,female,0-4,10700,0.027156740074465304,1.577054787635445e-06
E06000058,394009,11,189419,5.807231587116393e-05,22.881015104081428,male,0-4,11261,0.028580565418556428,1.6597396227628734e-06
E06000060,533056,30,206042,0.0001456013822424554,77.61369041263431,female,0-4,16325,0.030625300156081163,4.459086034315503e-06
E06000060,533056,30,206042,0.0001456013822424554,77.61369041263431,male,0-4,16875,0.03165708668507624,4.6093155791163314e-06
E07000035,71477,12,27481,0.0004366653324114843,31.211527964775662,female,0-4,1446,0.02023028386753781,8.833863629797086e-06
E07000035,71477,12,27481,0.0004366653324114843,31.211527964775662,male,0-4,1440,0.020146340780950515,8.797208593988798e-06
E07000039,100421,227,37937,0.005983604396763055,600.8795371273427,female,0-4,2840,0.028280937254159987,0.00016922194049857176
E07000039,100421,227,37937,0.005983604396763055,600.8795371273427,male,0-4,3009,0.029963852182312463,0.0001792918376620431
E07000043,94643,8,41456,0.00019297568506368199,18.263797761482053,female,0-4,2393,0.02528449013661866,4.8792918055998965e-06
E07000043,94643,8,41456,0.00019297568506368199,18.263797761482053,male,0-4,2534,0.026774299208604968,5.1667887318805425e-06
E07000071,187633,40,71809,0.0005570332409586543,104.51781810079517,female,0-4,5859,0.031225850463404627,1.7393836685320576e-05
E07000071,187633,40,71809,0.0005570332409586543,104.51781810079517,male,0-4,5882,0.031348430180192184,1.746211766223854e-05
E07000078,117217,221,42003,0.005261528938409161,616.7406375735067,female,0-4,3308,0.028221162459370227,0.0001484864629555227
E07000078,117217,221,42003,0.005261528938409161,616.7406375735067,male,0-4,3373,0.028775689533088206,0.0001514041232010212
E07000079,86121,151,31471,0.0047980680626608626,413.21441962441617,female,0-4,1901,0.022073594129190324,0.0001059106070194064
E07000079,86121,151,31471,0.0047980680626608626,413.21441962441617,male,0-4,2000,0.023223139536233905,0.0001114262041235207
E07000080,85411,210,28702,0.007316563305692983,624.9149885025433,female,0-4,2084,0.02439966749013593,0.00017852171182943855
E07000080,85411,210,28702,0.007316563305692983,624.9149885025433,male,0-4,2143,0.02509044502464554,0.00018357582939082862
E07000081,128355,189,48565,0.0038916915474106867,499.5180685678987,female,0-4,4385,0.03416306337891006,0.00013295210498535985
E07000081,128355,189,48565,0.0038916915474106867,499.5180685678987,male,0-4,4678,0.03644579486580188,0.00014183579181790499
E07000082,117472,156,38778,0.004022899582237351,472.5780597245861,female,0-4,2943,0.025052778534459277,0.0001007848123001611
E07000082,117472,156,38778,0.004022899582237351,472.5780597245861,male,0-4,3119,0.026551007899754835,0.00010681203858790434
E07000083,88518,210,32265,0.006508600650860065,576.1283124128313,female,0-4,2487,0.028095980478546737,0.00018286551682922099
E07000083,88518,210,32265,0.006508600650860065,576.1283124128313,male,0-4,2693,0.03042319076346054,0.0001980123992042992
E07000089,94882,10,37737,0.00026499191774650874,25.142963139624243,female,0-4,2707,0.02853017432178917,7.560265607173111e-06
E07000089,94882,10,37737,0.00026499191774650874,25.142963139624243,male,0-4,2828,0.029805442549693303,7.898201380526619e-06
E07000092,96091,22,42413,0.0005187088864263315,49.843255605592624,female,0-4,3320,0.0345505822605655,1.7921694049759298e-05
E07000092,96091,22,42413,0.0005187088864263315,49.843255605592624,male,0-4,3513,0.03655909502450802,1.8963527468916992e-05
E07000110,165719,8,65189,0.0001227200908128672,20.33705072941754,female,0-4,4961,0.02993621733174832,3.673775309545883e-06
E07000110,165719,8,65189,0.0001227200908128672,20.33705072941754,male,0-4,5332,0.03217494674720461,3.948512386716116e-06
E07000112,111024,9,47112,0.00019103413143148242,21.209373408048904,female,0-4,2912,0.02622856319354374,5.010550788374377e-06
E07000112,111024,9,47112,0.00019103413143148242,21.209373408048904,male,0-4,2854,0.025706153624441563,4.910752730089448e-06
E07000129,97562,28,34023,0.0008229726949416571,80.29086206389795,female,0-4,2638,0.027039216088231073,2.2252536533241338e-05
E07000129,97562,28,34023,0.0008229726949416571,80.29086206389795,male,0-4,2908,0.029806687029786186,2.4530089552185675e-05
E07000130,177378,13,56157,0.0002314938476058194,41.061915700625036,female,0-4,4628,0.026091172524213824,6.039945916177497e-06
E07000130,177378,13,56157,0.0002314938476058194,41.061915700625036,male,0-4,4863,0.027416026790244564,6.346641527737937e-06
E07000131,90251,45,33195,0.0013556258472661546,122.34658834161772,female,0-4,2235,0.024764268539960776,3.357108252141091e-05
E07000131,90251,45,33195,0.0013556258472661546,122.34658834161772,male,0-4,2415,0.026758706274722717,3.6274793865417155e-05
E07000132,109881,143,43976,0.0032517736947425867,357.3081453520102,female,0-4,2920,0.02657420300142882,8.641329427879574e-05
E07000132,109881,143,43976,0.0032517736947425867,357.3081453520102,male,0-4,3143,0.028603671244346155,9.301266572542978e-05
