ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000047,521776,777,254114,0.0030576827722990467,1595.4254861991074,female,0-4,13484,0.025842507129496182,7.901818884287577e-05
E06000047,521776,777,254114,0.0030576827722990467,1595.4254861991074,male,0-4,14449,0.027691959768176382,8.467322831435122e-05
E06000054,492240,8,182549,4.382385003478518e-05,21.571851941122656,female,0-4,13581,0.02759019990248659,1.209108782956317e-06
E06000054,492240,8,182549,4.382385003478518e-05,21.571851941122656,male,0-4,14583,0.029625792296440762,1.298316278760914e-06
E06000057,317444,99859,155066,0.643977403170263,204426.76277198095,female,0-4,7336,0.023109587832814606,0.014882052360911056
E06000057,317444,99859,155066,0.643977403170263,204426.76277198095,male,0-4,7762,0.024451556810020036,0.01574625005798686
E07000026,97099,1617,43813,0.03690685413005272,3583.618629173989,female,0-4,2366,0.024366883284070898,0.0008993050069692247
E07000026,97099,1617,43813,0.03690685413005272,3583.618629173989,male,0-4,2325,0.023944633827330867,0.0008837211078628263
E07000028,108388,3508,49691,0.07059628504155682,7651.790143084261,female,0-4,3015,0.02781673247961029,0.0019637579750552995
E07000028,108388,3508,49691,0.07059628504155682,7651.790143084261,male,0-4,3188,0.029412850131010814,0.002076437951733431
E07000029,69306,388,32783,0.011835402495195681,820.2644053320319,female,0-4,1805,0.026043921161227022,0.0003082402894962659
E07000029,69306,388,32783,0.011835402495195681,820.2644053320319,male,0-4,1918,0.027674371627276137,0.00032753732701043656
E07000030,52642,1404,23246,0.06039748773982621,3179.444549599931,female,0-4,1077,0.020458949128072643,0.0012356691291324955
E07000030,52642,1404,23246,0.06039748773982621,3179.444549599931,male,0-4,1215,0.02308043007484518,0.0013939999924753779
E07000166,53876,28,22406,0.0012496652682317236,67.32696599125234,female,0-4,1416,0.026282574801395796,3.2844420889006616e-05
E07000166,53876,28,22406,0.0012496652682317236,67.32696599125234,male,0-4,1482,0.02750761006756255,3.4375304913494215e-05
E08000021,293713,3422,117216,0.029193966693966695,8574.64753958504,female,0-4,8263,0.028132905251044386,0.0008213110989035105
E08000021,293713,3422,117216,0.029193966693966695,8574.64753958504,male,0-4,8815,0.03001229090983375,0.0008761778212313259
E08000022,203575,56860,104228,0.5455347891161684,111057.24469432398,female,0-4,5574,0.02738057227066192,0.014937054719555557
E08000022,203575,56860,104228,0.5455347891161684,111057.24469432398,male,0-4,5893,0.02894756232346801,0.015791902307560262
E08000023,149194,365,87546,0.004169236744111667,622.025106800996,female,0-4,4123,0.027635159590868267,0.00011521752279563792
E08000023,149194,365,87546,0.004169236744111667,622.025106800996,male,0-4,4329,0.029015912168049652,0.00012097420717494943
E08000024,277307,235,133974,0.0017540716855509277,486.4163569050711,female,0-4,7479,0.026970108940632585,4.7307504448987545e-05
E08000024,277307,235,133974,0.0017540716855509277,486.4163569050711,male,0-4,8028,0.02894986422989683,5.078013714620564e-05
E08000037,202628,1581,104590,0.015116167893680085,3062.958867960608,female,0-4,5487,0.027079179580314666,0.0004093334249591499
E08000037,202628,1581,104590,0.015116167893680085,3062.958867960608,male,0-4,5850,0.028870639793118425,0.0004364134383107394
E06000047,521776,777,254114,0.0030576827722990467,1595.4254861991074,female,5-9,14384,0.02756738523810984,8.429231891989951e-05
E06000047,521776,777,254114,0.0030576827722990467,1595.4254861991074,male,5-9,15058,0.02885912728833829,8.824205633313729e-05
E06000054,492240,8,182549,4.382385003478518e-05,21.571851941122656,female,5-9,15223,0.030925971071022264,1.3552951183965845e-06
E06000054,492240,8,182549,4.382385003478518e-05,21.571851941122656,male,5-9,15681,0.03185641150658215,1.3960706005108612e-06
E06000057,317444,99859,155066,0.643977403170263,204426.76277198095,female,5-9,8139,0.025639167853227656,0.01651104473356803
E06000057,317444,99859,155066,0.643977403170263,204426.76277198095,male,5-9,8703,0.027415859175161605,0.0176551937973022
E07000026,97099,1617,43813,0.03690685413005272,3583.618629173989,female,5-9,2571,0.026478130567771038,0.0009772245025012158
E07000026,97099,1617,43813,0.03690685413005272,3583.618629173989,male,5-9,2700,0.027806671541416493,0.0010262567704213469
E07000028,108388,3508,49691,0.07059628504155682,7651.790143084261,female,5-9,2985,0.027539949071852973,0.0019442180947064906
E07000028,108388,3508,49691,0.07059628504155682,7651.790143084261,male,5-9,3148,0.029043805587334392,0.0020503847779350195
E07000029,69306,388,32783,0.011835402495195681,820.2644053320319,female,5-9,1773,0.02558220067526621,0.00030277564170464236
E07000029,69306,388,32783,0.011835402495195681,820.2644053320319,male,5-9,1932,0.02787637433988399,0.0003299281104192719
E07000030,52642,1404,23246,0.06039748773982621,3179.444549599931,female,5-9,1237,0.02349834732722921,0.001419241144602504
E07000030,52642,1404,23246,0.06039748773982621,3179.444549599931,male,5-9,1357,0.025777895976596635,0.0015569201562050106
E07000166,53876,28,22406,0.0012496652682317236,67.32696599125234,female,5-9,1372,0.025465884623951295,3.182383153934822e-05
E07000166,53876,28,22406,0.0012496652682317236,67.32696599125234,male,5-9,1534,0.02847278936817878,3.55814559630905e-05
E08000021,293713,3422,117216,0.029193966693966695,8574.64753958504,female,5-9,8122,0.027652844783853627,0.0008072962296132534
E08000021,293713,3422,117216,0.029193966693966695,8574.64753958504,male,5-9,8724,0.029702464650866664,0.0008671327637461245
E08000022,203575,56860,104228,0.5455347891161684,111057.24469432398,female,5-9,5603,0.027523025911826107,0.015014768136646893
E08000022,203575,56860,104228,0.5455347891161684,111057.24469432398,male,5-9,6172,0.030318064595357977,0.016539558975438986
E08000023,149194,365,87546,0.004169236744111667,622.025106800996,female,5-9,4112,0.027561430084319744,0.0001149101270278106
E08000023,149194,365,87546,0.004169236744111667,622.025106800996,male,5-9,4330,0.029022614850463157,0.00012100215224475193
E08000024,277307,235,133974,0.0017540716855509277,486.4163569050711,female,5-9,7588,0.02736317510917503,4.799697068577584e-05
E08000024,277307,235,133974,0.0017540716855509277,486.4163569050711,male,5-9,8025,0.028939045894982817,5.076116101124817e-05
E08000037,202628,1581,104590,0.015116167893680085,3062.958867960608,female,5-9,5758,0.02841660579979075,0.0004295501842381602
E08000037,202628,1581,104590,0.015116167893680085,3062.958867960608,male,5-9,5946,0.02934441439485165,0.00044357509473430025
E06000047,521776,777,254114,0.0030576827722990467,1595.4254861991074,female,10-14,12994,0.024903406825917636,7.614671802316284e-05
E06000047,521776,777,254114,0.0030576827722990467,1595.4254861991074,male,10-14,13560,0.025988163503112446,7.946355982715777e-05
E06000054,492240,8,182549,4.382385003478518e-05,21.571851941122656,female,10-14,13997,0.02843531610596457,1.246145028719503e-06
E06000054,492240,8,182549,4.382385003478518e-05,21.571851941122656,male,10-14,14638,0.029737526409881358,1.3032128977921043e-06
E06000057,317444,99859,155066,0.643977403170263,204426.76277198095,female,10-14,8105,0.02553206234800469,0.016442071208449306
E06000057,317444,99859,155066,0.643977403170263,204426.76277198095,male,10-14,8642,0.027223699298143923,0.017531447178706836
E07000026,97099,1617,43813,0.03690685413005272,3583.618629173989,female,10-14,2370,0.024408078353021143,0.0009008253873698488
E07000026,97099,1617,43813,0.03690685413005272,3583.618629173989,male,10-14,2599,0.026766496050422764,0.0009878671653055853
E07000028,108388,3508,49691,0.07059628504155682,7651.790143084261,female,10-14,2753,0.025399490718529726,0.0017931096866757013
E07000028,108388,3508,49691,0.07059628504155682,7651.790143084261,male,10-14,2926,0.02699560836993025,0.001905789663353833
E07000029,69306,388,32783,0.011835402495195681,820.2644053320319,female,10-14,1715,0.02474533229446224,0.0002928709675823247
E07000029,69306,388,32783,0.011835402495195681,820.2644053320319,male,10-14,1811,0.026130493752344674,0.0003092649109571953
E07000030,52642,1404,23246,0.06039748773982621,3179.444549599931,female,10-14,1263,0.023992249534592152,0.0014490715971163806
E07000030,52642,1404,23246,0.06039748773982621,3179.444549599931,male,10-14,1366,0.02594886212529919,0.0015672460820751984
E07000166,53876,28,22406,0.0012496652682317236,67.32696599125234,female,10-14,1265,0.023479842601529438,2.9341943802678936e-05
E07000166,53876,28,22406,0.0012496652682317236,67.32696599125234,male,10-14,1483,0.027526171207959017,3.4398500125986453e-05
