ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000007,208973,10,94334,0.00010600631797655141,22.152458286513877,female,0-4,6028,0.028845831758169717,3.057840413654644e-06
E06000007,208973,10,94334,0.00010600631797655141,22.152458286513877,male,0-4,6449,0.030860446086336514,3.27140226072641e-06
E06000008,148462,137,67205,0.0020385387991964884,302.64554720630906,female,0-4,5357,0.03608330751303364,7.355722236865722e-05
E06000008,148462,137,67205,0.0020385387991964884,302.64554720630906,male,0-4,5675,0.03822526976600073,7.792369552774496e-05
E06000049,377303,56,168475,0.0003323935301973587,125.41307612405402,female,0-4,9843,0.026087786208962026,8.671411353030857e-06
E06000049,377303,56,168475,0.0003323935301973587,125.41307612405402,male,0-4,10611,0.02812328552913706,9.347998157778159e-06
E07000037,91720,417,40301,0.010347137788144214,949.0394779285873,female,0-4,2277,0.02482555604012211,0.0002568734490144393
E07000037,91720,417,40301,0.010347137788144214,949.0394779285873,male,0-4,2357,0.025697775839511557,0.0002658984274602694
E07000117,87496,104,42651,0.002438395348291951,213.34983939415255,female,0-4,2949,0.03370439791533327,8.218464709372959e-05
E07000117,87496,104,42651,0.002438395348291951,213.34983939415255,male,0-4,2964,0.033875834323854805,8.260267683479637e-05
E07000118,114266,8,46590,0.00017171066752522002,19.62069113543679,female,0-4,3221,0.0281886125356624,4.840285475108376e-06
E07000118,114266,8,46590,0.00017171066752522002,19.62069113543679,male,0-4,3350,0.029317557278630564,5.034137330522527e-06
E07000119,78153,8,37812,0.0002115730455939913,16.535068232307204,female,0-4,1669,0.021355546172251865,4.518257943986431e-06
E07000119,78153,8,37812,0.0002115730455939913,16.535068232307204,male,0-4,1743,0.022302406817396644,4.718588134432803e-06
E07000120,80392,132,38022,0.003471674293829888,279.0948398295724,female,0-4,2765,0.034393969549208876,0.00011940465994675639
E07000120,80392,132,38022,0.003471674293829888,279.0948398295724,male,0-4,2722,0.033859090456761866,0.00011754773395120105
E07000121,141723,8,61488,0.00013010668748373666,18.439110070257613,female,0-4,3810,0.026883427531169957,3.4977137042896117e-06
E07000121,141723,8,61488,0.00013010668748373666,18.439110070257613,male,0-4,3984,0.028111174615270632,3.6574518104697675e-06
E07000122,90515,48,43175,0.0011117544875506658,100.63045744064851,female,0-4,3077,0.033994365574766615,3.7793388479184655e-05
E07000122,90515,48,43175,0.0011117544875506658,100.63045744064851,male,0-4,3257,0.035982986245373695,4.000424643376809e-05
E07000124,58864,8,23393,0.0003419826443807977,20.130466378831276,female,0-4,1228,0.020861647186735527,7.134321271059044e-06
E07000124,58864,8,23393,0.0003419826443807977,20.130466378831276,male,0-4,1324,0.022492525142701822,7.692053227102749e-06
E07000125,69787,5684,31517,0.18034711425579847,12585.884062569408,female,0-4,2067,0.029618696891971285,0.005341646512484208
E07000125,69787,5684,31517,0.18034711425579847,12585.884062569408,male,0-4,2164,0.031008640577758036,0.005592318845193917
E07000128,110002,12,52500,0.00022857142857142857,25.143314285714286,female,0-4,2372,0.021563244304649006,4.928741555348344e-06
E07000128,110002,12,52500,0.00022857142857142857,25.143314285714286,male,0-4,2617,0.02379047653679024,5.4378232084091976e-06
