ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
E06000019,191041,9,74219,0.00012126274943073876,23.166156913997764,female,0-4,4486,0.023481870383844305,2.8474761645211974e-06
E06000019,191041,9,74219,0.00012126274943073876,23.166156913997764,male,0-4,4980,0.02606770274443706,3.161041306133652e-06
E06000020,175768,1594,68134,0.023395074412187748,4112.105439281416,female,0-4,5353,0.03045491784625188,0.0007124950692301273
E06000020,175768,1594,68134,0.023395074412187748,4112.105439281416,male,0-4,5750,0.03271357698784762,0.0007653365679195277
E06000021,255378,8,108888,7.346998751010212e-05,18.76261847035486,female,0-4,8643,0.03384394896976247,2.486514508100982e-06
E06000021,255378,8,108888,7.346998751010212e-05,18.76261847035486,male,0-4,8997,0.03523012945516059,2.588357171049929e-06
E06000051,317459,2803,129599,0.021628253304423646,6866.083665769026,female,0-4,7194,0.022661194043955283,0.0004901220449633613
E06000051,317459,2803,129599,0.021628253304423646,6866.083665769026,male,0-4,7926,0.024967003613064993,0.0005399926783958301
E07000039,102385,8,39933,0.00020033556206646132,20.511356522174644,female,0-4,2888,0.028207256922400743,5.650916669902235e-06
E07000039,102385,8,39933,0.00020033556206646132,20.511356522174644,male,0-4,2989,0.029193729550227084,5.848542218261004e-06
E07000192,99126,16842,40177,0.41919506185130795,41553.12970107275,female,0-4,2629,0.026521800536690676,0.0111178078163861
E07000192,99126,16842,40177,0.41919506185130795,41553.12970107275,male,0-4,2827,0.02851925831769667,0.011955132254440283
E07000193,117552,66,51593,0.001279243308200725,150.37760936561162,female,0-4,3439,0.029255138151626513,3.742443971095594e-05
E07000193,117552,66,51593,0.001279243308200725,150.37760936561162,male,0-4,3855,0.032793997550020416,4.195150191501459e-05
E07000194,103507,2578,46234,0.05575983042782368,5771.532768092746,female,0-4,2493,0.024085327562387085,0.0013429937806772917
E07000194,103507,2578,46234,0.05575983042782368,5771.532768092746,male,0-4,2497,0.02412397229172906,0.0013451486042323295
E07000196,111890,21922,42671,0.5137446978041292,57482.89423730402,female,0-4,2407,0.021512199481633746,0.011051778421794074
E07000196,111890,21922,42671,0.5137446978041292,57482.89423730402,male,0-4,2559,0.022870676557333096,0.011749688816523074
E07000197,134764,4071,50852,0.08005584834421459,10788.646346259735,female,0-4,3285,0.024375946098364548,0.0019514370440974216
