msoa,ltla,ppln_msoa,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02004003,E07000029,11970,4454,5059,0.8804111484483099,10538.52144692627,female,0-4,271,0.022639933166248957,0.019932449559690226
E02004003,E07000029,11970,4454,5059,0.8804111484483099,10538.52144692627,male,0-4,293,0.024477861319966585,0.021550581996270243
E02004013,E07000030,9899,2646,3856,0.6862033195020747,6792.726659751037,female,0-4,194,0.01959793918577634,0.013448170924679512
E02004013,E07000030,9899,2646,3856,0.6862033195020747,6792.726659751037,male,0-4,221,0.022325487422972017,0.015319823579145218
E02004006,E07000029,8984,2928,3477,0.8421052631578947,7565.473684210526,female,0-4,188,0.020926090828138913,0.017621971223695927
E02004006,E07000029,8984,2928,3477,0.8421052631578947,7565.473684210526,male,0-4,189,0.02103739982190561,0.017715705113183672
E02004014,E07000030,7535,1715,3267,0.5249464340373431,3955.47138047138,female,0-4,164,0.02176509621765096,0.011425509645935536
E02004014,E07000030,7535,1715,3267,0.5249464340373431,3955.47138047138,male,0-4,150,0.019907100199071003,0.010450161261526406
E02005742,E07000163,7434,21,3238,0.006485484867201977,48.21309450277949,female,0-4,151,0.020312079634113533,0.00013173368508844478
E02005742,E07000163,7434,21,3238,0.006485484867201977,48.21309450277949,male,0-4,155,0.020850147968792036,0.00013522331913052278
E02004023,E07000031,6027,109,2357,0.04624522698345354,278.7199830292745,female,0-4,113,0.01874896299983408,0.0008670500496316991
E02004023,E07000031,6027,109,2357,0.04624522698345354,278.7199830292745,male,0-4,105,0.017421602787456445,0.0008056659753214902
E02005222,E07000121,5985,27,2472,0.010922330097087379,65.37014563106797,female,0-4,91,0.0152046783625731,0.00016607051609606542
E02005222,E07000121,5985,27,2472,0.010922330097087379,65.37014563106797,male,0-4,113,0.018880534670008355,0.00020621943207533398
E02003978,E07000027,5904,67,2733,0.02451518477863154,144.7376509330406,female,0-4,132,0.022357723577235773,0.0005481037247255019
E02003978,E07000027,5904,67,2733,0.02451518477863154,144.7376509330406,male,0-4,141,0.023882113821138213,0.0005854744332295135
E02004022,E07000031,5521,66,2267,0.029113365681517425,160.7348919276577,female,0-4,100,0.018112660749864156,0.0005273205158760627
E02004022,E07000031,5521,66,2267,0.029113365681517425,160.7348919276577,male,0-4,109,0.01974280021735193,0.0005747793623049084
E02004016,E07000031,8387,129,3282,0.03930530164533821,329.65356489945157,female,0-4,179,0.021342553952545605,0.0008388755209867103
E02004016,E07000031,8387,129,3282,0.03930530164533821,329.65356489945157,male,0-4,204,0.024323357577202814,0.0009560369065993793
E02003982,E07000027,7552,104,3677,0.028283927114495514,213.60021756867013,female,0-4,203,0.026880296610169493,0.0007602803501380547
E02003982,E07000027,7552,104,3677,0.028283927114495514,213.60021756867013,male,0-4,203,0.026880296610169493,0.0007602803501380547
E02003983,E07000027,7657,115,3869,0.029723442750064617,227.59240113724476,female,0-4,236,0.03082147054982369,0.0009161202153604871
E02003983,E07000027,7657,115,3869,0.029723442750064617,227.59240113724476,male,0-4,236,0.03082147054982369,0.0009161202153604871
E02005221,E07000121,9921,26,4419,0.005883684091423399,58.37202987101155,female,0-4,251,0.025299868964822093,0.00014885643654342034
E02005221,E07000121,9921,26,4419,0.005883684091423399,58.37202987101155,male,0-4,267,0.026912609615966133,0.00015834529305614833
E02004007,E07000029,10484,1155,5309,0.2175550951214918,2280.84761725372,female,0-4,239,0.022796642502861505,0.004959525728160678
E02004007,E07000029,10484,1155,5309,0.2175550951214918,2280.84761725372,male,0-4,236,0.022510492178557804,0.00489727226713774
E02003984,E07000027,6755,132,3671,0.03595750476709343,242.89294470171612,female,0-4,275,0.04071058475203553,0.001463851045292479
E02003984,E07000027,6755,132,3671,0.03595750476709343,242.89294470171612,male,0-4,279,0.041302738712065135,0.0014851434241330964
E02004028,E07000031,7728,88,3465,0.025396825396825397,196.26666666666668,female,0-4,138,0.017857142857142856,0.0004535147392290249
E02004028,E07000031,7728,88,3465,0.025396825396825397,196.26666666666668,male,0-4,150,0.019409937888198756,0.0004929508035098097
E02004026,E07000031,8020,119,3606,0.03300055463117027,264.6644481419856,female,0-4,197,0.02456359102244389,0.0008106121274738832
E02004026,E07000031,8020,119,3606,0.03300055463117027,264.6644481419856,male,0-4,199,0.024812967581047382,0.0008188416922198109
E02004020,E07000031,8307,157,3356,0.0467818831942789,388.61710369487486,female,0-4,222,0.026724449259660527,0.001250220063696872
E02004020,E07000031,8307,157,3356,0.0467818831942789,388.61710369487486,male,0-4,231,0.027807872878295413,0.0013009046608737722
E02004024,E07000031,7261,114,3039,0.03751233958538993,272.37709772951627,female,0-4,119,0.016388927145021347,0.0006147870005042558
E02004024,E07000031,7261,114,3039,0.03751233958538993,272.37709772951627,male,0-4,148,0.020382867373639993,0.0007646090426439483
E02004017,E07000031,8421,156,3433,0.045441304981066126,382.6612292455578,female,0-4,223,0.02648141550884693,0.0012033500784678478
E02004017,E07000031,8421,156,3433,0.045441304981066126,382.6612292455578,male,0-4,238,0.02826267664172901,0.0012842929088580618
E02003977,E07000027,6411,75,2743,0.027342325920524973,175.2916514764856,female,0-4,149,0.023241304008734986,0.0006354713090248355
E02003977,E07000027,6411,75,2743,0.027342325920524973,175.2916514764856,male,0-4,145,0.022617376384339416,0.000618411676567793
E02004018,E07000031,8225,226,3378,0.06690349319123742,550.2812314979278,female,0-4,240,0.02917933130699088,0.0019521991934221253
E02004018,E07000031,8225,226,3378,0.06690349319123742,550.2812314979278,male,0-4,263,0.031975683890577505,0.0021392849494584125
E02004019,E07000031,8075,176,3294,0.05343047965998786,431.451123254402,female,0-4,164,0.020309597523219813,0.001085151537366936
E02004019,E07000031,8075,176,3294,0.05343047965998786,431.451123254402,male,0-4,156,0.01931888544891641,0.0010322173160319636
E02003979,E07000027,7556,139,3856,0.03604771784232365,272.3765560165975,female,0-4,120,0.015881418740074114,0.0005724889016779828
E02003979,E07000027,7556,139,3856,0.03604771784232365,272.3765560165975,male,0-4,115,0.015219692959237693,0.0005486351974414002
E02003986,E07000027,6515,101,3114,0.03243416827231856,211.30860629415542,female,0-4,171,0.02624712202609363,0.0008513035724583997
E02003986,E07000027,6515,101,3114,0.03243416827231856,211.30860629415542,male,0-4,187,0.028702993092862623,0.0009309577078931038
E02004021,E07000031,5271,61,2131,0.028625058657907085,150.88268418582825,female,0-4,97,0.018402580155568202,0.0005267749364099767
E02004021,E07000031,5271,61,2131,0.028625058657907085,150.88268418582825,male,0-4,86,0.01631568962246253,0.00046703757248719584
E02004015,E07000031,6386,174,2730,0.06373626373626373,407.0197802197802,female,0-4,107,0.01675540244284372,0.0010679267491043249
E02004015,E07000031,6386,174,2730,0.06373626373626373,407.0197802197802,male,0-4,106,0.01659880989664892,0.0010579461252809201
E02004027,E07000031,7796,166,3728,0.04452789699570815,347.13948497854074,female,0-4,121,0.0155207798871216,0.0006911076881068094
E02004027,E07000031,7796,166,3728,0.04452789699570815,347.13948497854074,male,0-4,113,0.014494612621857363,0.000645414617818756
E02005236,E07000121,12984,14,6117,0.0022887036128821318,29.716527709661598,female,0-4,392,0.030191004313000615,6.909826064770453e-05
E02005236,E07000121,12984,14,6117,0.0022887036128821318,29.716527709661598,male,0-4,451,0.03473505853357979,7.949825395947639e-05
E02003980,E07000027,6690,116,3564,0.03254769921436588,217.74410774410774,female,0-4,203,0.030343796711509715,0.0009876207683880826
E02003980,E07000027,6690,116,3564,0.03254769921436588,217.74410774410774,male,0-4,232,0.03467862481315396,0.0011287094495863802
E02003981,E07000027,6771,92,3002,0.030646235842771485,207.50566289140573,female,0-4,168,0.024811696942844484,0.0007603851161697843
E02003981,E07000027,6771,92,3002,0.030646235842771485,207.50566289140573,male,0-4,163,0.024073253581450304,0.0007377546067599693
E02003985,E07000027,6660,89,3326,0.026758869512928444,178.21407095610343,female,0-4,156,0.023423423423423424,0.000626784330933459
E02003985,E07000027,6660,89,3326,0.026758869512928444,178.21407095610343,male,0-4,178,0.026726726726726727,0.0007151769929881777
E02004025,E07000031,8119,161,3742,0.043025120256547304,349.3209513629076,female,0-4,133,0.01638132774972287,0.000704808596393742
E02004025,E07000031,8119,161,3742,0.043025120256547304,349.3209513629076,male,0-4,192,0.02364823254095332,0.0010174680489293117
E02001322,E08000010,7410,8,3159,0.0025324469768914213,18.765432098765434,female,0-4,195,0.02631578947368421,6.664334149714266e-05
E02001322,E08000010,7410,8,3159,0.0025324469768914213,18.765432098765434,male,0-4,183,0.024696356275303644,6.25422127896262e-05
E02003971,E07000026,7995,2673,3070,0.8706840390879479,6961.118892508143,female,0-4,156,0.01951219512195122,0.016988956860252643
E02003971,E07000026,7995,2673,3070,0.8706840390879479,6961.118892508143,male,0-4,186,0.02326454033771107,0.020256063948762768
E02004011,E07000030,9837,3152,3888,0.8106995884773662,7974.851851851851,female,0-4,218,0.02216122801667175,0.017966098433268865
E02004011,E07000030,9837,3152,3888,0.8106995884773662,7974.851851851851,male,0-4,258,0.026227508386703263,0.021262630255887007
E02003967,E07000026,8272,2672,3085,0.86612641815235,7164.5977309562395,female,0-4,221,0.026716634429400386,0.02313998288342231
E02003967,E07000026,8272,2672,3085,0.86612641815235,7164.5977309562395,male,0-4,216,0.02611218568665377,0.022616453858910493
E02004008,E07000030,6395,1622,2372,0.6838111298482293,4372.9721753794265,female,0-4,128,0.020015637216575448,0.013686915499698726
E02004008,E07000030,6395,1622,2372,0.6838111298482293,4372.9721753794265,male,0-4,94,0.014698983580922595,0.010051328570091252
E02003968,E07000026,8621,2958,3360,0.8803571428571428,7589.558928571429,female,0-4,206,0.023895139774968103,0.021036256980462992
E02003968,E07000026,8621,2958,3360,0.8803571428571428,7589.558928571429,male,0-4,186,0.02157522329196149,0.018993901933816098
E02003974,E07000026,7796,3031,3370,0.899406528189911,7011.773293768546,female,0-4,258,0.03309389430477168,0.029764864580938563
E02003974,E07000026,7796,3031,3370,0.899406528189911,7011.773293768546,male,0-4,238,0.030528476141611083,0.027457510737454952
E02003965,E07000026,10888,3774,4302,0.8772663877266388,9551.676429567644,female,0-4,255,0.023420279206465833,0.02054582373900559
E02003965,E07000026,10888,3774,4302,0.8772663877266388,9551.676429567644,male,0-4,215,0.019746509919177077,0.017322949427004717
E02004004,E07000029,9440,3867,4307,0.897840724402136,8475.616438356165,female,0-4,332,0.03516949152542373,0.03157660174804122
E02004004,E07000029,9440,3867,4307,0.897840724402136,8475.616438356165,male,0-4,370,0.03919491525423729,0.03519079110474474
E02004005,E07000029,8121,2980,3395,0.8777614138438881,7128.300441826215,female,0-4,199,0.024504371382834626,0.021508991670352633
E02004005,E07000029,8121,2980,3395,0.8777614138438881,7128.300441826215,male,0-4,237,0.029183598079054303,0.02561623631092248
E02003992,E07000028,8790,2794,3177,0.8794460182562166,7730.330500472144,female,0-4,194,0.022070534698521046,0.019409843861400003
E02003992,E07000028,8790,2794,3177,0.8794460182562166,7730.330500472144,male,0-4,195,0.02218430034129693,0.01950989460295361
E02003988,E07000028,6678,2038,2571,0.7926876701672501,5293.568261376896,female,0-4,159,0.023809523809523808,0.018873515956363097
E02003988,E07000028,6678,2038,2571,0.7926876701672501,5293.568261376896,male,0-4,167,0.025007487271638214,0.019823126822092058
E02003995,E07000028,9644,3760,4232,0.888468809073724,8568.393194706994,female,0-4,324,0.03359601824968893,0.02984901432392022
E02003995,E07000028,9644,3760,4232,0.888468809073724,8568.393194706994,male,0-4,355,0.03681045209456657,0.032704938533924935
E02005730,E06000057,13062,14,6968,0.0020091848450057405,26.243972445464983,female,0-4,276,0.021129995406522738,4.2454066545826396e-05
E02005730,E06000057,13062,14,6968,0.0020091848450057405,26.243972445464983,male,0-4,308,0.023579849946409433,4.737627715983526e-05
E02003966,E07000026,7010,2199,2585,0.8506769825918762,5963.245647969052,female,0-4,149,0.021255349500713266,0.018081436577202504
E02003966,E07000026,7010,2199,2585,0.8506769825918762,5963.245647969052,male,0-4,131,0.01868758915834522,0.015897101957137772
E02005727,E06000057,6332,15,3183,0.00471253534401508,29.839773798303487,female,0-4,138,0.021794061907770057,0.00010270528703001911
E02005727,E06000057,6332,15,3183,0.00471253534401508,29.839773798303487,male,0-4,148,0.02337334175615919,0.00011014769913364368
E02003997,E07000028,9642,3753,4232,0.8868147448015122,8550.667769376181,female,0-4,414,0.042937149968886125,0.03807729769216201
E02003997,E07000028,9642,3753,4232,0.8868147448015122,8550.667769376181,male,0-4,449,0.04656710226094171,0.04129639290768295
E02003989,E07000028,7595,2480,2893,0.8572416176978914,6510.750086415485,female,0-4,230,0.030283080974325215,0.025959917323306787
E02003989,E07000028,7595,2480,2893,0.8572416176978914,6510.750086415485,male,0-4,220,0.028966425279789335,0.024831225265771705
E02004002,E07000029,10290,3565,4040,0.8824257425742574,9080.160891089108,female,0-4,294,0.02857142857142857,0.025212164073550213
E02004002,E07000029,10290,3565,4040,0.8824257425742574,9080.160891089108,male,0-4,285,0.027696793002915453,0.024440363132523166
E02003970,E07000026,7797,2447,2847,0.8595012293642431,6701.531085353004,female,0-4,188,0.02411183788636655,0.02072415430556338
