msoa,ltla,ppln_msoa,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor
E02003596,E06000046,8879,2765,3318,0.8333333333333334,7399.166666666667,female,0-4,198,0.02229980853699741,0.018583173780831175
E02003596,E06000046,8879,2765,3318,0.8333333333333334,7399.166666666667,male,0-4,228,0.02567856740623944,0.0213988061718662
E02003588,E06000046,7983,2836,3343,0.8483398145378402,6772.296739455579,female,0-4,247,0.030940749091820118,0.02624826934621653
E02003588,E06000046,7983,2836,3343,0.8483398145378402,6772.296739455579,male,0-4,225,0.02818489289740699,0.023910366813355136
E02003587,E06000046,8520,2504,2950,0.848813559322034,7231.891525423729,female,0-4,291,0.03415492957746479,0.028991167343041302
E02003587,E06000046,8520,2504,2950,0.848813559322034,7231.891525423729,male,0-4,313,0.03673708920187793,0.031182939444577066
E02003589,E06000046,8086,2568,2996,0.8571428571428571,6930.857142857142,female,0-4,258,0.03190699975265892,0.027348856930850502
E02003589,E06000046,8086,2568,2996,0.8571428571428571,6930.857142857142,male,0-4,263,0.03252535246104378,0.027878873538037523
E02003586,E06000046,7726,2280,2723,0.8373117884686008,6469.070877708409,female,0-4,226,0.029251876779704894,0.02449294126247784
E02003586,E06000046,7726,2280,2723,0.8373117884686008,6469.070877708409,male,0-4,207,0.026792648200880145,0.022433800182888992
E02003598,E06000046,7543,2283,2802,0.8147751605995718,6145.84903640257,female,0-4,143,0.018957974280790137,0.015446486539273335
E02003598,E06000046,7543,2283,2802,0.8147751605995718,6145.84903640257,male,0-4,153,0.020283706747978258,0.016526660423138603
E02003584,E06000046,6315,1769,2128,0.831296992481203,5249.640507518797,female,0-4,126,0.019952494061757718,0.016586448306038254
E02003584,E06000046,6315,1769,2128,0.831296992481203,5249.640507518797,male,0-4,153,0.024228028503562947,0.02014068722876074
E02003583,E06000046,6828,2171,2598,0.8356428021555042,5705.769053117783,female,0-4,159,0.02328646748681898,0.019459168942988454
E02003583,E06000046,6828,2171,2598,0.8356428021555042,5705.769053117783,male,0-4,200,0.029291154071470416,0.024476942066652147
E02003593,E06000046,5351,1571,1894,0.8294614572333685,4438.448257655755,female,0-4,99,0.0185012147262194,0.0153460445273974
E02003593,E06000046,5351,1571,1894,0.8294614572333685,4438.448257655755,male,0-4,89,0.01663240515791441,0.01379593901957948
E02003590,E06000046,7425,2148,2615,0.821414913957935,6099.005736137668,female,0-4,112,0.015084175084175084,0.012390366378894103
E02003590,E06000046,7425,2148,2615,0.821414913957935,6099.005736137668,male,0-4,100,0.013468013468013467,0.011062827124012593
E02003582,E06000046,8247,2392,2878,0.8311327310632384,6854.351633078527,female,0-4,189,0.022917424518006546,0.0190474216285864
E02003582,E06000046,8247,2392,2878,0.8311327310632384,6854.351633078527,male,0-4,213,0.025827573663150236,0.021466141835391025
E02003585,E06000046,6821,2025,2506,0.8080606544293695,5511.781723862729,female,0-4,105,0.015393637296584078,0.01243899262792608
E02003585,E06000046,6821,2025,2506,0.8080606544293695,5511.781723862729,male,0-4,138,0.02023163758979622,0.016348390310988566
E02003594,E06000046,9212,2862,3410,0.8392961876832845,7731.596480938417,female,0-4,207,0.022470690403821103,0.018859564790538418
E02003594,E06000046,9212,2862,3410,0.8392961876832845,7731.596480938417,male,0-4,230,0.024967433782023447,0.02095507198948713
E02003591,E06000046,9438,2760,3281,0.8412069491008839,7939.311185614142,female,0-4,259,0.027442254714981986,0.02308461536523934
E02003591,E06000046,9438,2760,3281,0.8412069491008839,7939.311185614142,male,0-4,255,0.0270184361093452,0.02272809620901943
E02003581,E06000046,7955,2333,2794,0.8350035790980673,6642.453471725125,female,0-4,274,0.03444374607165305,0.028760651247375292
E02003581,E06000046,7955,2333,2794,0.8350035790980673,6642.453471725125,male,0-4,257,0.03230672532998114,0.02697623127947244
E02003592,E06000046,9393,3134,3812,0.8221406086044072,7722.366736621197,female,0-4,148,0.01575641435111253,0.012953988084046872
E02003592,E06000046,9393,3134,3812,0.8221406086044072,7722.366736621197,male,0-4,167,0.017779197274566165,0.014617000067809645
E02003595,E06000046,8006,2459,2966,0.8290627107215105,6637.476062036413,female,0-4,129,0.016112915313514865,0.013358617247448771
E02003595,E06000046,8006,2459,2966,0.8290627107215105,6637.476062036413,male,0-4,151,0.018860854359230576,0.015636831041587317
E02003597,E06000046,5604,1614,1991,0.8106479156202913,4542.870919136112,female,0-4,106,0.01891506067094932,0.015333454506736415
E02003597,E06000046,5604,1614,1991,0.8106479156202913,4542.870919136112,male,0-4,125,0.02230549607423269,0.01808190389945332
E02003596,E06000046,8879,2765,3318,0.8333333333333334,7399.166666666667,female,5-9,152,0.01711904493749296,0.014265870781244135
E02003596,E06000046,8879,2765,3318,0.8333333333333334,7399.166666666667,male,5-9,207,0.02331343619777002,0.019427863498141684
E02003588,E06000046,7983,2836,3343,0.8483398145378402,6772.296739455579,female,5-9,200,0.025053238131028437,0.021253659389649012
E02003588,E06000046,7983,2836,3343,0.8483398145378402,6772.296739455579,male,5-9,212,0.026556432418890143,0.02252887895302795
E02003587,E06000046,8520,2504,2950,0.848813559322034,7231.891525423729,female,5-9,267,0.031338028169014084,0.026600143232275008
E02003587,E06000046,8520,2504,2950,0.848813559322034,7231.891525423729,male,5-9,291,0.03415492957746479,0.028991167343041302
E02003589,E06000046,8086,2568,2996,0.8571428571428571,6930.857142857142,female,5-9,186,0.023002720751916894,0.019716617787357338
E02003589,E06000046,8086,2568,2996,0.8571428571428571,6930.857142857142,male,5-9,238,0.029433588919119465,0.025228790502102395
E02003586,E06000046,7726,2280,2723,0.8373117884686008,6469.070877708409,female,5-9,193,0.024980585037535596,0.020916538334770897
E02003586,E06000046,7726,2280,2723,0.8373117884686008,6469.070877708409,male,5-9,245,0.03171110535852964,0.02655208234206668
E02003598,E06000046,7543,2283,2802,0.8147751605995718,6145.84903640257,female,5-9,154,0.02041627999469707,0.01663467781152513
E02003598,E06000046,7543,2283,2802,0.8147751605995718,6145.84903640257,male,5-9,157,0.020813999734853508,0.01695872997668471
E02003584,E06000046,6315,1769,2128,0.831296992481203,5249.640507518797,female,5-9,125,0.01979414093428345,0.0164548098274189
E02003584,E06000046,6315,1769,2128,0.831296992481203,5249.640507518797,male,5-9,130,0.02058590657165479,0.01711300222051566
E02003583,E06000046,6828,2171,2598,0.8356428021555042,5705.769053117783,female,5-9,199,0.029144698301113065,0.024354557356318886
E02003583,E06000046,6828,2171,2598,0.8356428021555042,5705.769053117783,male,5-9,197,0.02885178676039836,0.02410978793565236
E02003593,E06000046,5351,1571,1894,0.8294614572333685,4438.448257655755,female,5-9,90,0.016819286114744907,0.013950949570361271
E02003593,E06000046,5351,1571,1894,0.8294614572333685,4438.448257655755,male,5-9,138,0.025789572042608858,0.021391456007887284
E02003590,E06000046,7425,2148,2615,0.821414913957935,6099.005736137668,female,5-9,134,0.018047138047138048,0.014824188346176874
E02003590,E06000046,7425,2148,2615,0.821414913957935,6099.005736137668,male,5-9,135,0.01818181818181818,0.014934816617417
E02003582,E06000046,8247,2392,2878,0.8311327310632384,6854.351633078527,female,5-9,222,0.02691887959257912,0.02237316191294276
E02003582,E06000046,8247,2392,2878,0.8311327310632384,6854.351633078527,male,5-9,260,0.03152661573905663,0.026202802240383412
E02003585,E06000046,6821,2025,2506,0.8080606544293695,5511.781723862729,female,5-9,176,0.025802668230464742,0.02085012097633324
E02003585,E06000046,6821,2025,2506,0.8080606544293695,5511.781723862729,male,5-9,156,0.022870546840639203,0.018480789047204463
E02003594,E06000046,9212,2862,3410,0.8392961876832845,7731.596480938417,female,5-9,215,0.023339122883195833,0.01958843685973797
E02003594,E06000046,9212,2862,3410,0.8392961876832845,7731.596480938417,male,5-9,273,0.029635258358662615,0.024872759361434724
E02003591,E06000046,9438,2760,3281,0.8412069491008839,7939.311185614142,female,5-9,270,0.028607755880483154,0.024065043044844105
E02003591,E06000046,9438,2760,3281,0.8412069491008839,7939.311185614142,male,5-9,314,0.033269760542487814,0.027986753763263143
E02003581,E06000046,7955,2333,2794,0.8350035790980673,6642.453471725125,female,5-9,208,0.026147077309868007,0.021832903136693654
E02003581,E06000046,7955,2333,2794,0.8350035790980673,6642.453471725125,male,5-9,207,0.026021370207416718,0.021727937256228777
E02003592,E06000046,9393,3134,3812,0.8221406086044072,7722.366736621197,female,5-9,172,0.01831150857021186,0.015054634800378797
E02003592,E06000046,9393,3134,3812,0.8221406086044072,7722.366736621197,male,5-9,198,0.021079527307569467,0.01733033540973838
E02003595,E06000046,8006,2459,2966,0.8290627107215105,6637.476062036413,female,5-9,171,0.02135898076442668,0.017707934490804184
E02003595,E06000046,8006,2459,2966,0.8290627107215105,6637.476062036413,male,5-9,142,0.01773669747689233,0.014704834489439732
E02003597,E06000046,5604,1614,1991,0.8106479156202913,4542.870919136112,female,5-9,112,0.01998572448251249,0.016201385893910177
E02003597,E06000046,5604,1614,1991,0.8106479156202913,4542.870919136112,male,5-9,123,0.021948608137044967,0.017792593437062066
E02003596,E06000046,8879,2765,3318,0.8333333333333334,7399.166666666667,female,10-14,183,0.020610429102376395,0.017175357585313664
E02003596,E06000046,8879,2765,3318,0.8333333333333334,7399.166666666667,male,10-14,203,0.022862935015204415,0.01905244584600368
E02003588,E06000046,7983,2836,3343,0.8483398145378402,6772.296739455579,female,10-14,206,0.02580483527495929,0.021891269171338483
