year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor,ltla_frac_tp,ag_ltla_frac_tp
2011,E06000001,92088,200304,6395,42728,0.1496676652312301,13782.595955813516,female,0-4,2811,0.03052514985665885,0.004568627909879548,0.031926471762920364,0.0009745603349575313
2011,E06000001,92088,200304,6395,42728,0.1496676652312301,13782.595955813516,male,0-4,2954,0.03207801233602641,0.00480104121159167,0.031926471762920364,0.0010241377550567583
2011,E06000002,138368,200304,54698,58636,0.9328398935807354,129075.19039497919,female,0-4,4707,0.034017981036077706,0.0317333298095262,0.27307492611230927,0.009289457657916857
2011,E06000002,138368,200304,54698,58636,0.9328398935807354,129075.19039497919,male,0-4,4772,0.034487742830712306,0.032171542352041435,0.27307492611230927,0.009417737825277087
2011,E06000003,135164,200304,49726,53255,0.9337339216974931,126207.21179231997,female,0-4,3660,0.027078216093042527,0.025283848905128768,0.24825265596293633,0.006722239063836132
2011,E06000003,135164,200304,49726,53255,0.9337339216974931,126207.21179231997,male,0-4,3944,0.029179367287147467,0.027245765049679745,0.24825265596293633,0.007243855428352379
2011,E06000004,191824,200304,22259,83384,0.2669456970162141,51206.59138443826,female,0-4,6101,0.03180519643006089,0.00849026032976021,0.11112608834571451,0.0035343870683397505
2011,E06000004,191824,200304,22259,83384,0.2669456970162141,51206.59138443826,male,0-4,6240,0.032529819000750686,0.008683695206966678,0.11112608834571451,0.0036149115401475232
2011,E06000005,105584,200304,4118,43078,0.09559403872046056,10093.200984261108,female,0-4,3247,0.03075276557054099,0.002939781062711542,0.020558750698937613,0.0006322384406676242
2011,E06000005,105584,200304,4118,43078,0.09559403872046056,10093.200984261108,male,0-4,3318,0.031425215941809366,0.003004063309540159,0.020558750698937613,0.0006460631802079387
2011,E06000010,256123,200304,8,103054,7.76292041065849e-05,19.882624643390844,female,0-4,8432,0.032921682160524435,2.5556839839714663e-06,3.993929227574087e-05,1.3148686860182297e-06
2011,E06000010,256123,200304,8,103054,7.76292041065849e-05,19.882624643390844,male,0-4,8959,0.034979287295557215,2.715414232969683e-06,3.993929227574087e-05,1.397047978894369e-06
2011,E06000011,334673,200304,94,132701,0.0007083593944280751,237.0687636114272,female,0-4,7955,0.023769470498068265,1.6837327727887632e-05,0.00046928668423995524,1.1154695996177893e-05
2011,E06000011,334673,200304,94,132701,0.0007083593944280751,237.0687636114272,male,0-4,8462,0.02528438206846683,1.7910429570507247e-05,0.00046928668423995524,1.186562382396698e-05
2011,E06000014,197783,200304,279,66439,0.004199340748656663,830.5582112915607,female,0-4,5247,0.026529074794092517,0.00011140462480699308,0.001392882818116463,3.695189246121801e-05
2011,E06000014,197783,200304,279,66439,0.004199340748656663,830.5582112915607,male,0-4,5394,0.027272313596214032,0.00011452573779472472,0.001392882818116463,3.7987137018450535e-05
2011,E06000047,512994,200304,10731,231893,0.046275652995131374,23739.132332584424,female,0-4,14048,0.027384335879172075,0.0012672280246466927,0.05357356817637191,0.0014670765851874925
2011,E06000047,512994,200304,10731,231893,0.046275652995131374,23739.132332584424,male,0-4,14613,0.028485713283196296,0.0013181949832119962,0.05357356817637191,0.0015260813026298998
2011,E06000054,474319,200304,9,159574,5.6400165440485295e-05,26.751670071565545,female,0-4,14036,0.02959189912274229,1.6689880062208168e-06,4.4931703810208485e-05,1.3296144465646248e-06
2011,E06000054,474319,200304,9,159574,5.6400165440485295e-05,26.751670071565545,male,0-4,14478,0.030523761434814965,1.7215451947894688e-06,4.4931703810208485e-05,1.3714846079625704e-06
2011,E06000057,316278,200304,130,149499,0.0008695710339199594,275.0261874661369,female,0-4,7683,0.024291920399142526,2.1123550337383718e-05,0.0006490134994807892,1.576578426735626e-05
2011,E06000057,316278,200304,130,149499,0.0008695710339199594,275.0261874661369,male,0-4,8255,0.026100455928012696,2.2696200447104333e-05,0.0006490134994807892,1.693954823988363e-05
2011,E07000026,96444,200304,504,38235,0.013181639858768144,1271.2900745390348,female,0-4,2420,0.025092281531251297,0.00033075741837977385,0.0025161754133716753,6.313658185433469e-05
2011,E07000026,96444,200304,504,38235,0.013181639858768144,1271.2900745390348,male,0-4,2510,0.026025465555140806,0.0003430583141046414,0.0025161754133716753,6.548463655139672e-05
2011,E07000028,107475,200304,56,42409,0.0013204744275979155,141.91798910608597,female,0-4,2992,0.02783903233310072,3.676073028493104e-05,0.0002795750459301861,7.78309874317857e-06
2011,E07000028,107475,200304,56,42409,0.0013204744275979155,141.91798910608597,male,0-4,3080,0.02865782740172133,3.784192823448783e-05,0.0002795750459301861,8.012013412095586e-06
2011,E07000029,70627,200304,467,30144,0.015492303609341826,1094.174927016985,female,0-4,1765,0.024990442748523935,0.0003871595263920076,0.0023314561865963733,5.82641223518286e-05
2011,E07000029,70627,200304,467,30144,0.015492303609341826,1094.174927016985,male,0-4,1936,0.027411613122460248,0.00042466903291497264,0.0023314561865963733,6.390897499894627e-05
2011,E07000030,52502,200304,75,19821,0.0037838655970939914,198.66051157862873,female,0-4,1139,0.021694411641461277,8.208873785932071e-05,0.00037443086508507067,8.123057318423974e-06
2011,E07000030,52502,200304,75,19821,0.0037838655970939914,198.66051157862873,male,0-4,1246,0.023732429240790828,8.980032253969588e-05,0.00037443086508507067,8.886154011199536e-06
2011,E07000031,103713,200304,12,41815,0.0002869783570489059,29.76338634461318,female,0-4,2136,0.02059529663590871,5.910404391507941e-06,5.990893841361131e-05,1.2338423577707112e-06
2011,E07000031,103713,200304,12,41815,0.0002869783570489059,29.76338634461318,male,0-4,2343,0.022591189146972897,6.4831823451793565e-06,5.990893841361131e-05,1.3534141592962435e-06
2011,E07000119,76098,200304,16,34161,0.00046837036386522643,35.642047949416,female,0-4,1843,0.024218770532734107,1.1343354366785098e-05,7.987858455148175e-05,1.934561109731936e-06
2011,E07000119,76098,200304,16,34161,0.00046837036386522643,35.642047949416,male,0-4,1854,0.024363320980840496,1.1411057512761568e-05,7.987858455148175e-05,1.946107594922957e-06
2011,E07000137,136683,200304,10,58716,0.00017031132910961237,23.278663396689147,female,0-4,3067,0.02243878170657653,3.821578736047505e-06,4.992411534467609e-05,1.1202363261131345e-06
2011,E07000137,136683,200304,10,58716,0.00017031132910961237,23.278663396689147,male,0-4,3178,0.02325087977290519,3.959888237091285e-06,4.992411534467609e-05,1.1607796036477149e-06
2011,E07000139,108518,200304,9,43478,0.00020700124200745203,22.46336078016468,female,0-4,2752,0.02535984813579314,5.249520061229548e-06,4.4931703810208485e-05,1.1394611851093252e-06
2011,E07000139,108518,200304,9,43478,0.00020700124200745203,22.46336078016468,male,0-4,2797,0.02577452588510662,5.335358870370292e-06,4.4931703810208485e-05,1.1580933629181624e-06
2011,E07000164,89602,200304,26661,34953,0.76276714445112,68345.46167710926,female,0-4,2147,0.023961518716100087,0.01827705920779173,0.13310268392044092,0.003189342451922799
2011,E07000164,89602,200304,26661,34953,0.76276714445112,68345.46167710926,male,0-4,2228,0.02486551639472333,0.018966598935705625,0.13310268392044092,0.003309666969205401
2011,E07000165,158683,200304,2477,60099,0.04121532804206393,6540.171899698831,female,0-4,4239,0.02671363662144023,0.0011010112965491516,0.012366203370876268,0.00033034626323641793
2011,E07000165,158683,200304,2477,60099,0.04121532804206393,6540.171899698831,male,0-4,4477,0.028213482225569218,0.0011628279251357752,0.012366203370876268,0.0003488936590019917
2011,E07000166,53287,200304,15512,20252,0.765949042069919,40815.126604779776,female,0-4,1396,0.026197759303394824,0.020066148642813572,0.07744228772266155,0.0020288144136625355
2011,E07000166,53287,200304,15512,20252,0.765949042069919,40815.126604779776,male,0-4,1500,0.028149454838891287,0.021561047968639228,0.07744228772266155,0.0021799581808694866
2011,E07000167,51893,200304,822,18828,0.04365838113448056,2265.5643722115997,female,0-4,1141,0.02198755130749812,0.0009599408951966994,0.0041037622813323744,9.023168371457112e-05
2011,E07000167,51893,200304,822,18828,0.04365838113448056,2265.5643722115997,male,0-4,1267,0.024415624458019387,0.0010659466382245558,0.0041037622813323744,0.00010019591872599616
2011,E07000168,108735,200304,4289,44090,0.09727829439782264,10577.555341347244,female,0-4,2623,0.024122867521957053,0.0023466314085206124,0.021412453071331577,0.0005165297687598541
2011,E07000168,108735,200304,4289,44090,0.09727829439782264,10577.555341347244,male,0-4,2729,0.025097714627304916,0.002441462872227507,0.021412453071331577,0.0005374036366548386
2011,E08000021,279092,200304,97,109985,0.000881938446151748,246.14196481338365,female,0-4,7997,0.028653633927163802,2.5270741382323853e-05,0.0004842639188433581,1.3875921054671343e-05
2011,E08000021,279092,200304,97,109985,0.000881938446151748,246.14196481338365,male,0-4,8520,0.030527567970418355,2.6923435860622635e-05,0.0004842639188433581,1.4783399698111772e-05
2011,E08000022,201206,200304,18,102765,0.00017515691139979565,35.24262151510728,female,0-4,5583,0.02774768148067155,4.8601981866597375e-06,8.986340762041697e-05,2.493501211419083e-06
2011,E08000022,201206,200304,18,102765,0.00017515691139979565,35.24262151510728,male,0-4,6135,0.03049113843523553,5.340733633379454e-06,8.986340762041697e-05,2.7400376020161333e-06
2011,E08000023,148164,200304,74,78060,0.0009479887266205483,140.45780169100692,female,0-4,4013,0.02708485192084447,2.567613428314746e-05,0.0003694384535506031,1.0006185808283863e-05
2011,E08000023,148164,200304,74,78060,0.0009479887266205483,140.45780169100692,male,0-4,4154,0.02803650009448989,2.6578286023472355e-05,0.0003694384535506031,1.0357761237879682e-05
2011,E08000024,275330,200304,672,127011,0.005290880317452819,1456.7380778042846,female,0-4,7424,0.026964006828169833,0.00014266333300682718,0.0033549005511622335,9.04615613693692e-05
2011,E08000024,275330,200304,672,127011,0.005290880317452819,1456.7380778042846,male,0-4,7956,0.0288962336105764,0.00015288651365871726,0.0033549005511622335,9.694399006663542e-05
2011,E08000035,750683,200304,8,281107,2.845891422127517e-05,21.36362310436951,female,0-4,23618,0.03146201525810495,8.953747934588594e-07,3.993929227574087e-05,1.2565706229772724e-06
2011,E08000035,750683,200304,8,281107,2.845891422127517e-05,21.36362310436951,male,0-4,24513,0.03265426285129675,9.293048654440266e-07,3.993929227574087e-05,1.3041881480668086e-06
2011,E08000037,200349,200304,78,93722,0.0008322485649047182,166.74016773009538,female,0-4,5806,0.028979430893091556,2.4118089772530903e-05,0.0003894080996884735,1.1284825114132225e-05
2011,E08000037,200349,200304,78,93722,0.0008322485649047182,166.74016773009538,male,0-4,6052,0.030207288281948002,2.5139972322314336e-05,0.0003894080996884735,1.1762962726615266e-05
2011,E06000001,92088,200304,6395,42728,0.1496676652312301,13782.595955813516,female,5-9,2549,0.02768004517418122,0.004142807734714681,0.031926471762920364,0.0008837261806498568
2011,E06000001,92088,200304,6395,42728,0.1496676652312301,13782.595955813516,male,5-9,2619,0.028440187646598905,0.004256576483804531,0.031926471762920364,0.0009079948478312965
2011,E06000002,138368,200304,54698,58636,0.9328398935807354,129075.19039497919,female,5-9,4119,0.029768443570767807,0.027769191732619165,0.27307492611230927,0.008129015528565866
2011,E06000002,138368,200304,54698,58636,0.9328398935807354,129075.19039497919,male,5-9,4247,0.03069351295097132,0.02863213335480301,0.27307492611230927,0.008381628781213702
2011,E06000003,135164,200304,49726,53255,0.9337339216974931,126207.21179231997,female,5-9,3389,0.02507324435500577,0.02341173878127907,0.24825265596293633,0.006224499504737883
2011,E06000003,135164,200304,49726,53255,0.9337339216974931,126207.21179231997,male,5-9,3731,0.02760350389156876,0.025774327941266512,0.24825265596293633,0.006852643154965194
2011,E06000004,191824,200304,22259,83384,0.2669456970162141,51206.59138443826,female,5-9,5377,0.028030903328050714,0.007482729026900614,0.11112608834571451,0.0031149646396431466
2011,E06000004,191824,200304,22259,83384,0.2669456970162141,51206.59138443826,male,5-9,5736,0.029902410542997748,0.007982319824865523,0.11112608834571451,0.0033229379157509926
2011,E06000005,105584,200304,4118,43078,0.09559403872046056,10093.200984261108,female,5-9,2916,0.02761782088195181,0.0026400990387640457,0.020558750698937613,0.0005677878943599606
2011,E06000005,105584,200304,4118,43078,0.09559403872046056,10093.200984261108,male,5-9,3230,0.03059175632671617,0.0029243895388229996,0.020558750698937613,0.0006289282917636052
2011,E06000010,256123,200304,8,103054,7.76292041065849e-05,19.882624643390844,female,5-9,6853,0.026756675503566647,2.0770994238800356e-06,3.993929227574087e-05,1.0686426832641044e-06
2011,E06000010,256123,200304,8,103054,7.76292041065849e-05,19.882624643390844,male,5-9,7265,0.028365277620518266,2.2019739259431576e-06,3.993929227574087e-05,1.1328891133684106e-06
2011,E06000011,334673,200304,94,132701,0.0007083593944280751,237.0687636114272,female,5-9,8224,0.024573240147845808,1.740668551026372e-05,0.00046928668423995524,1.1531894390014707e-05
2011,E06000011,334673,200304,94,132701,0.0007083593944280751,237.0687636114272,male,5-9,8392,0.025075222680048883,1.776226955278856e-05,0.00046928668423995524,1.1767468108098664e-05
2011,E06000014,197783,200304,279,66439,0.004199340748656663,830.5582112915607,female,5-9,4646,0.023490390984058286,9.864415606123304e-05,0.001392882818116463,3.271936199253266e-05
2011,E06000014,197783,200304,279,66439,0.004199340748656663,830.5582112915607,male,5-9,4793,0.0242336297861798,0.00010176526904896469,0.001392882818116463,3.375460654976518e-05
2011,E06000047,512994,200304,10731,231893,0.046275652995131374,23739.132332584424,female,5-9,12703,0.024762472855433006,0.0011458996011593778,0.05357356817637191,0.001326614027736099
2011,E06000047,512994,200304,10731,231893,0.046275652995131374,23739.132332584424,male,5-9,13217,0.02576443389201433,0.0011922660024028572,0.05357356817637191,0.0013802926556394568
2011,E06000054,474319,200304,9,159574,5.6400165440485295e-05,26.751670071565545,female,5-9,13332,0.02810766593790255,1.5852770090435972e-06,4.4931703810208485e-05,1.2629253207181234e-06
2011,E06000054,474319,200304,9,159574,5.6400165440485295e-05,26.751670071565545,male,5-9,14004,0.029524433977976848,1.6651829608945796e-06,4.4931703810208485e-05,1.3265831226625112e-06
2011,E06000057,316278,200304,130,149499,0.0008695710339199594,275.0261874661369,female,5-9,7891,0.024949569682368042,2.1695423104554852e-05,0.0006490134994807892,1.6192607530093487e-05
2011,E06000057,316278,200304,130,149499,0.0008695710339199594,275.0261874661369,male,5-9,8448,0.026710678580236374,2.3226832389719856e-05,0.0006490134994807892,1.7335590978865768e-05
2011,E07000026,96444,200304,504,38235,0.013181639858768144,1271.2900745390348,female,5-9,2245,0.023277757040355024,0.00030683901002586457,0.0025161754133716753,5.8570919943380726e-05
2011,E07000026,96444,200304,504,38235,0.013181639858768144,1271.2900745390348,male,5-9,2464,0.025548504831819502,0.00033677118962304245,0.0025161754133716753,6.428451970623167e-05
2011,E07000028,107475,200304,56,42409,0.0013204744275979155,141.91798910608597,female,5-9,2700,0.02512212142358688,3.317311890685622e-05,0.0002795750459301861,7.0235182508630144e-06
2011,E07000028,107475,200304,56,42409,0.0013204744275979155,141.91798910608597,male,5-9,2847,0.026489881367759944,3.49792109362295e-05,0.0002795750459301861,7.405909800076667e-06
2011,E07000029,70627,200304,467,30144,0.015492303609341826,1094.174927016985,female,5-9,1766,0.025004601639599586,0.00038737888023132323,0.0023314561865963733,5.829713318602228e-05
2011,E07000029,70627,200304,467,30144,0.015492303609341826,1094.174927016985,male,5-9,1843,0.02609483625242471,0.00040426912585862323,0.0023314561865963733,6.083896741893491e-05
2011,E07000030,52502,200304,75,19821,0.0037838655970939914,198.66051157862873,female,5-9,1242,0.023656241666984115,8.95120390002426e-05,0.00037443086508507067,8.857627032030356e-06
2011,E07000030,52502,200304,75,19821,0.0037838655970939914,198.66051157862873,male,5-9,1338,0.025484743438345205,9.643084394712126e-05,0.00037443086508507067,9.542274532090674e-06
2011,E07000031,103713,200304,12,41815,0.0002869783570489059,29.76338634461318,female,5-9,2313,0.022301929362760695,6.400171047545818e-06,5.990893841361131e-05,1.3360849126983402e-06
2011,E07000031,103713,200304,12,41815,0.0002869783570489059,29.76338634461318,male,5-9,2395,0.02309257277294071,6.627068594410823e-06,5.990893841361131e-05,1.3834515200659424e-06
2011,E07000119,76098,200304,16,34161,0.00046837036386522643,35.642047949416,female,5-9,1769,0.02324634024547294,1.088789683930702e-05,7.987858455148175e-05,1.8568847548105232e-06
2011,E07000119,76098,200304,16,34161,0.00046837036386522643,35.642047949416,male,5-9,1805,0.023719414439275673,1.1109470771593652e-05,7.987858455148175e-05,1.8946732517993188e-06
2011,E07000137,136683,200304,10,58716,0.00017031132910961237,23.278663396689147,female,5-9,2974,0.02175837521857144,3.7056978027405544e-06,4.992411534467609e-05,1.0862676341247023e-06
2011,E07000137,136683,200304,10,58716,0.00017031132910961237,23.278663396689147,male,5-9,3071,0.022468046501759546,3.826562862211245e-06,4.992411534467609e-05,1.1216973451233896e-06
2011,E07000139,108518,200304,9,43478,0.00020700124200745203,22.46336078016468,female,5-9,2783,0.025645515029764646,5.30865346308206e-06,4.4931703810208485e-05,1.1522966853776351e-06
2011,E07000139,108518,200304,9,43478,0.00020700124200745203,22.46336078016468,male,5-9,2855,0.026308999428666213,5.445995557707252e-06,4.4931703810208485e-05,1.1821081698717745e-06
2011,E07000164,89602,200304,26661,34953,0.76276714445112,68345.46167710926,female,5-9,2240,0.02499944197674159,0.019068752969470647,0.13310268392044092,0.0033274928236176385
2011,E07000164,89602,200304,26661,34953,0.76276714445112,68345.46167710926,male,5-9,2283,0.025479341978973682,0.019434804923795304,0.13310268392044092,0.0033913688019281555
2011,E07000165,158683,200304,2477,60099,0.04121532804206393,6540.171899698831,female,5-9,4324,0.02724929576577201,0.001123088663901517,0.012366203370876268,0.00033697033315269426
2011,E07000165,158683,200304,2477,60099,0.04121532804206393,6540.171899698831,male,5-9,4410,0.02779125678239005,0.00114542576498744,0.012366203370876268,0.0003436723333032798
2011,E07000166,53287,200304,15512,20252,0.765949042069919,40815.126604779776,female,5-9,1308,0.024546324619513202,0.018801233828653407,0.07744228772266155,0.0019009235337181924
2011,E07000166,53287,200304,15512,20252,0.765949042069919,40815.126604779776,male,5-9,1490,0.02796179180663201,0.021417307648848298,0.07744228772266155,0.0021654251263303567
2011,E07000167,51893,200304,822,18828,0.04365838113448056,2265.5643722115997,female,5-9,1245,0.02399167517776964,0.0010474376989657236,0.0041037622813323744,9.845613166050924e-05
2011,E07000167,51893,200304,822,18828,0.04365838113448056,2265.5643722115997,male,5-9,1216,0.02343283294471316,0.0010230395517608997,0.0041037622813323744,9.61627759832765e-05
2011,E07000168,108735,200304,4289,44090,0.09727829439782264,10577.555341347244,female,5-9,2471,0.022724973559571437,0.0022106466681107257,0.021412453071331577,0.0004865974298915743
2011,E07000168,108735,200304,4289,44090,0.09727829439782264,10577.555341347244,male,5-9,2650,0.024371177633696603,0.002370786592672369,0.021412453071331577,0.0005218466973746143
2011,E08000021,279092,200304,97,109985,0.000881938446151748,246.14196481338365,female,5-9,6861,0.024583291531108022,2.1680949934240835e-05,0.0004842639188433581,1.1904801094923107e-05
2011,E08000021,279092,200304,97,109985,0.000881938446151748,246.14196481338365,male,5-9,7215,0.025851690481991603,2.279959973408361e-05,0.0004842639188433581,1.2519040941534795e-05
2011,E08000022,201206,200304,18,102765,0.00017515691139979565,35.24262151510728,female,5-9,5243,0.026057871037643014,4.564216208607738e-06,8.986340762041697e-05,2.3416490867759717e-06
2011,E08000022,201206,200304,18,102765,0.00017515691139979565,35.24262151510728,male,5-9,5556,0.027613490651372224,4.83669373546149e-06,8.986340762041697e-05,2.4814423662268357e-06
2011,E08000023,148164,200304,74,78060,0.0009479887266205483,140.45780169100692,female,5-9,3719,0.02510056423962636,2.3795051930980663e-05,0.0003694384535506031,9.273113635935132e-06
2011,E08000023,148164,200304,74,78060,0.0009479887266205483,140.45780169100692,male,5-9,3876,0.02616020085850814,2.4799575499994906e-05,0.0003694384535506031,9.664584149740407e-06
2011,E08000024,275330,200304,672,127011,0.005290880317452819,1456.7380778042846,female,5-9,6840,0.024842915773798713,0.00013144089409572977,0.0033549005511622335,8.334551182199425e-05
2011,E08000024,275330,200304,672,127011,0.005290880317452819,1456.7380778042846,male,5-9,7322,0.026593542294700904,0.00014070324949838208,0.0033549005511622335,8.921868970184823e-05
2011,E08000035,750683,200304,8,281107,2.845891422127517e-05,21.36362310436951,female,5-9,19936,0.026557148623320363,7.557876146327302e-07,3.993929227574087e-05,1.0606737208770813e-06
2011,E08000035,750683,200304,8,281107,2.845891422127517e-05,21.36362310436951,male,5-9,20909,0.027853301593348992,7.92674720824426e-07,3.993929227574087e-05,1.1124411531811243e-06
2011,E08000037,200349,200304,78,93722,0.0008322485649047182,166.74016773009538,female,5-9,5186,0.025884830969957424,2.154261342754827e-05,0.0003894080996884735,1.0079762838768468e-05
2011,E08000037,200349,200304,78,93722,0.0008322485649047182,166.74016773009538,male,5-9,5196,0.025934743871943458,2.158415336859638e-05,0.0003894080996884735,1.0099199327080785e-05
2011,E06000001,92088,200304,6395,42728,0.1496676652312301,13782.595955813516,female,10-14,2780,0.030188515333159586,0.004518244606711186,0.031926471762920364,0.000963812782348608
2011,E06000001,92088,200304,6395,42728,0.1496676652312301,13782.595955813516,male,10-14,2839,0.03082920684562592,0.004614135409515488,0.031926471762920364,0.0009842678018301071
2011,E06000002,138368,200304,54698,58636,0.9328398935807354,129075.19039497919,female,10-14,4198,0.030339384828862163,0.02830178851506076,0.27307492611230927,0.008284925270434453
2011,E06000002,138368,200304,54698,58636,0.9328398935807354,129075.19039497919,male,10-14,4211,0.030433337187789084,0.028389431023563807,0.27307492611230927,0.008310581303906498
2011,E06000003,135164,200304,49726,53255,0.9337339216974931,126207.21179231997,female,10-14,3793,0.028062205912817023,0.02620263357845722,0.24825265596293633,0.006966517150035642
2011,E06000003,135164,200304,49726,53255,0.9337339216974931,126207.21179231997,male,10-14,3925,0.029038797312893966,0.02711451009634711,0.24825265596293633,0.007208958558895306
2011,E06000004,191824,200304,22259,83384,0.2669456970162141,51206.59138443826,female,10-14,5426,0.028286345816998917,0.007550918300160449,0.11112608834571451,0.003143350964237254
2011,E06000004,191824,200304,22259,83384,0.2669456970162141,51206.59138443826,male,10-14,5942,0.03097631161898407,0.008268993096121155,0.11112608834571451,0.0034422763415956066
2011,E06000005,105584,200304,4118,43078,0.09559403872046056,10093.200984261108,female,10-14,3117,0.02952151841188059,0.002822081174152102,0.020558750698937613,0.0006069255372839497
2011,E06000005,105584,200304,4118,43078,0.09559403872046056,10093.200984261108,male,10-14,3074,0.029114259736323686,0.0027831496725516723,0.020558750698937613,0.0005985528077031958
2011,E06000010,256123,200304,8,103054,7.76292041065849e-05,19.882624643390844,female,10-14,6627,0.025874286963685416,2.008600303816284e-06,3.993929227574087e-05,1.0334007094690238e-06
2011,E06000010,256123,200304,8,103054,7.76292041065849e-05,19.882624643390844,male,10-14,7166,0.027978744587561444,2.171967674233815e-06,3.993929227574087e-05,1.1174512575909196e-06
2011,E06000011,334673,200304,94,132701,0.0007083593944280751,237.0687636114272,female,10-14,9180,0.02742975979538236,1.943012803796461e-05,0.00046928668423995524,1.287242102387342e-05
2011,E06000011,334673,200304,94,132701,0.0007083593944280751,237.0687636114272,male,10-14,9467,0.028287313287895945,2.0037584110611216e-05,0.00046928668423995524,1.3274859458933515e-05
2011,E06000014,197783,200304,279,66439,0.004199340748656663,830.5582112915607,female,10-14,4718,0.02385442631570964,0.00010017286446338732,0.001392882818116463,3.322642055117716e-05
2011,E06000014,197783,200304,279,66439,0.004199340748656663,830.5582112915607,male,10-14,4942,0.02498698068084719,0.00010492884615897841,0.001392882818116463,3.4803936066960054e-05
2011,E06000047,512994,200304,10731,231893,0.046275652995131374,23739.132332584424,female,10-14,13589,0.02648958857218603,0.0012258230087502783,0.05357356817637191,0.0014191417793360506
2011,E06000047,512994,200304,10731,231893,0.046275652995131374,23739.132332584424,male,10-14,14119,0.02752273905737689,0.0012736327220947221,0.05357356817637191,0.0014744913372908748
2011,E06000054,474319,200304,9,159574,5.6400165440485295e-05,26.751670071565545,female,10-14,14413,0.030386722859510162,1.7138161964705496e-06,4.4931703810208485e-05,1.365327231286402e-06
2011,E06000054,474319,200304,9,159574,5.6400165440485295e-05,26.751670071565545,male,10-14,14864,0.03133755974354812,1.767443554037206e-06,4.4931703810208485e-05,1.408049952531817e-06
2011,E06000057,316278,200304,130,149499,0.0008695710339199594,275.0261874661369,female,10-14,8552,0.027039503221849132,2.3512768773305423e-05,0.0006490134994807892,1.754900261023438e-05
2011,E06000057,316278,200304,130,149499,0.0008695710339199594,275.0261874661369,male,10-14,9099,0.028768994365716238,2.5016684175433354e-05,0.0006490134994807892,1.8671465709836605e-05
2011,E07000026,96444,200304,504,38235,0.013181639858768144,1271.2900745390348,female,10-14,2634,0.027311185765833024,0.00036000621488112576,0.0025161754133716753,6.871973413401552e-05
2011,E07000026,96444,200304,504,38235,0.013181639858768144,1271.2900745390348,male,10-14,2777,0.02879391149267969,0.00037955097142174874,0.0025161754133716753,7.245053215268075e-05
2011,E07000028,107475,200304,56,42409,0.0013204744275979155,141.91798910608597,female,10-14,2826,0.026294487090020933,3.472119778917617e-05,0.0002795750459301861,7.351282435903288e-06
2011,E07000028,107475,200304,56,42409,0.0013204744275979155,141.91798910608597,male,10-14,2804,0.026089788322865782,3.445089830178697e-05,0.0002795750459301861,7.2940537686740334e-06
2011,E07000029,70627,200304,467,30144,0.015492303609341826,1094.174927016985,female,10-14,1886,0.026703668568677702,0.00041370134094919345,0.0023314561865963733,6.225843328926274e-05
2011,E07000029,70627,200304,467,30144,0.015492303609341826,1094.174927016985,male,10-14,1934,0.027383295340308946,0.0004242303252363415,0.0023314561865963733,6.384295333055893e-05
