year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
2012,E06000019,185197,398,63469,0.006270777860057666,1161.3292473490994,female,0-4,4775,0.0257833550219496,0.00016168169182964817
2012,E06000019,185197,398,63469,0.006270777860057666,1161.3292473490994,male,0-4,5022,0.027117069930938407,0.00017004512175256402
2012,E06000020,167811,53591,61387,0.8730024272240051,146499.41031488753,female,0-4,5658,0.03371650249387704,0.029434588514658876
2012,E06000020,167811,53591,61387,0.8730024272240051,146499.41031488753,male,0-4,5821,0.034687833336312875,0.0302825626977429
2012,E06000049,372383,77,153305,0.000502266723198852,187.0355891849581,female,0-4,9899,0.026582846155705282,1.335167903192529e-05
2012,E06000049,372383,77,153305,0.000502266723198852,187.0355891849581,male,0-4,10503,0.028204832121767106,1.4166348608173688e-05
2012,E06000050,330224,56,137440,0.00040745052386495924,134.5499417927823,female,0-4,8983,0.0272027472261253,1.108377360785082e-05
2012,E06000050,330224,56,137440,0.00040745052386495924,134.5499417927823,male,0-4,9349,0.02831108580842095,1.153536674382693e-05
2012,E06000051,308416,80203,112511,0.7128458550719485,219853.06723787007,female,0-4,7727,0.025053823407345924,0.017859514169631104
2012,E06000051,308416,80203,112511,0.7128458550719485,219853.06723787007,male,0-4,7953,0.025786599916995227,0.0183818708672287
2012,E07000192,97932,36,13653,0.0026367831245880024,258.22544495715226,female,0-4,2809,0.028683167912429034,7.563129311121696e-05
2012,E07000192,97932,36,13653,0.0026367831245880024,258.22544495715226,male,0-4,2951,0.030133153616795326,7.945459094738384e-05
2012,E07000195,124104,240,44576,0.005384063173007897,668.183776022972,female,0-4,3034,0.024447237800554373,0.00013162547272373138
2012,E07000195,124104,240,44576,0.005384063173007897,668.183776022972,male,0-4,3346,0.02696125829949075,0.00014516111790824167
2012,E07000196,108443,757,31539,0.02400202923364723,2602.8520561844066,female,0-4,2413,0.022251320970463746,0.0005340768564203385
2012,E07000196,108443,757,31539,0.02400202923364723,2602.8520561844066,male,0-4,2456,0.022647842645445074,0.0005435941812550151
2012,E07000197,131554,484,18346,0.026381772593480866,3470.627711762782,female,0-4,3354,0.025495233896346746,0.0006726094628710249
2012,E07000197,131554,484,18346,0.026381772593480866,3470.627711762782,male,0-4,3521,0.026764674582300804,0.0007060995583687773
2012,E07000235,75090,44,25444,0.0017292878478226694,129.85222449300426,female,0-4,1703,0.022679451325076573,3.9219299571740656e-05
2012,E07000235,75090,44,25444,0.0017292878478226694,129.85222449300426,male,0-4,1712,0.022799307497669462,3.9426565394492074e-05
2012,E07000239,98087,19,35715,0.0005319893602127958,52.181240375192495,female,0-4,2540,0.02589537859247403,1.3776065889878385e-05
2012,E07000239,98087,19,35715,0.0005319893602127958,52.181240375192495,male,0-4,2783,0.028372771111360322,1.5094012350996671e-05
2012,E08000027,313570,131,122262,0.0010714694672097627,335.9806808329653,female,0-4,9331,0.02975731096724814,3.188405012767259e-05
2012,E08000027,313570,131,122262,0.0010714694672097627,335.9806808329653,male,0-4,9752,0.03109991389482412,3.3322608171156695e-05
2012,E08000028,311245,8,128252,6.237719489754545e-05,19.414590025886532,female,0-4,11509,0.036977300840174136,2.3065403012927132e-06
2012,E08000028,311245,8,128252,6.237719489754545e-05,19.414590025886532,male,0-4,12048,0.0387090555671577,2.414562303412513e-06
2012,E08000031,251076,199,94220,0.002112078115049883,530.2921248142644,female,0-4,8441,0.033619302521945546,7.100659309984253e-05
2012,E08000031,251076,199,94220,0.002112078115049883,530.2921248142644,male,0-4,8923,0.03553903997196068,7.506122855466116e-05
2012,E06000019,185197,398,63469,0.006270777860057666,1161.3292473490994,female,5-9,4491,0.02424985285938757,0.00015206544042030366
2012,E06000019,185197,398,63469,0.006270777860057666,1161.3292473490994,male,5-9,4905,0.026485310237206867,0.00016608349705223547
2012,E06000020,167811,53591,61387,0.8730024272240051,146499.41031488753,female,5-9,5270,0.031404377543784376,0.0274160978211828
2012,E06000020,167811,53591,61387,0.8730024272240051,146499.41031488753,male,5-9,5189,0.03092169166502792,0.026994711877441662
2012,E06000049,372383,77,153305,0.000502266723198852,187.0355891849581,female,5-9,9921,0.026641925114734025,1.3381352427086657e-05
2012,E06000049,372383,77,153305,0.000502266723198852,187.0355891849581,male,5-9,10461,0.02809204501816678,1.4109699399229263e-05
2012,E06000050,330224,56,137440,0.00040745052386495924,134.5499417927823,female,5-9,8703,0.026354837928194194,1.0738292520218822e-05
2012,E06000050,330224,56,137440,0.00040745052386495924,134.5499417927823,male,5-9,9201,0.02786290517951451,1.1352755311792873e-05
2012,E06000051,308416,80203,112511,0.7128458550719485,219853.06723787007,female,5-9,7887,0.025572603237186138,0.018229324221027632
2012,E06000051,308416,80203,112511,0.7128458550719485,219853.06723787007,male,5-9,8062,0.026140018676073875,0.018633803964742585
2012,E07000192,97932,36,13653,0.0026367831245880024,258.22544495715226,female,5-9,2687,0.027437405546705877,7.234648792803131e-05
2012,E07000192,97932,36,13653,0.0026367831245880024,258.22544495715226,male,5-9,2867,0.02927541559449414,7.719292180486259e-05
2012,E07000195,124104,240,44576,0.005384063173007897,668.183776022972,female,5-9,3169,0.02553503513182492,0.00013748224227472139
2012,E07000195,124104,240,44576,0.005384063173007897,668.183776022972,male,5-9,3353,0.02701766260555663,0.00014546480225533003
2012,E07000196,108443,757,31539,0.02400202923364723,2602.8520561844066,female,5-9,2583,0.023818964801785268,0.0005717034894876644
2012,E07000196,108443,757,31539,0.02400202923364723,2602.8520561844066,male,5-9,2782,0.02565403022786164,0.0006157487834900048
2012,E07000197,131554,484,18346,0.026381772593480866,3470.627711762782,female,5-9,3352,0.02548003101388023,0.000672208383883028
2012,E07000197,131554,484,18346,0.026381772593480866,3470.627711762782,male,5-9,3542,0.02692430484819922,0.0007103108877427462
2012,E07000235,75090,44,25444,0.0017292878478226694,129.85222449300426,female,5-9,1764,0.023491809828206152,4.062410125927805e-05
2012,E07000235,75090,44,25444,0.0017292878478226694,129.85222449300426,male,5-9,1887,0.025129844186975628,4.34567341702141e-05
2012,E07000239,98087,19,35715,0.0005319893602127958,52.181240375192495,female,5-9,2430,0.02477392518886295,1.3179464611182865e-05
2012,E07000239,98087,19,35715,0.0005319893602127958,52.181240375192495,male,5-9,2654,0.027057612119852782,1.4394361760526469e-05
2012,E08000027,313570,131,122262,0.0010714694672097627,335.9806808329653,female,5-9,9107,0.029042956915521254,3.111864157246965e-05
2012,E08000027,313570,131,122262,0.0010714694672097627,335.9806808329653,male,5-9,9090,0.028988742545524124,3.106055253033371e-05
2012,E08000028,311245,8,128252,6.237719489754545e-05,19.414590025886532,female,5-9,10156,0.03263024305611335,2.0353830306654618e-06
2012,E08000028,311245,8,128252,6.237719489754545e-05,19.414590025886532,male,5-9,10664,0.034262397789522725,2.1371922645742896e-06
2012,E08000031,251076,199,94220,0.002112078115049883,530.2921248142644,female,5-9,7331,0.029198330386018576,6.166915460430585e-05
2012,E08000031,251076,199,94220,0.002112078115049883,530.2921248142644,male,5-9,7584,0.030205993404387517,6.379741761274798e-05
2012,E06000019,185197,398,63469,0.006270777860057666,1161.3292473490994,female,10-14,5051,0.027273659940495798,0.00017102706291760272
2012,E06000019,185197,398,63469,0.006270777860057666,1161.3292473490994,male,10-14,5169,0.027910819289729317,0.00017502254765810503
2012,E06000020,167811,53591,61387,0.8730024272240051,146499.41031488753,female,10-14,5111,0.030456883041040217,0.02658893282050575
2012,E06000020,167811,53591,61387,0.8730024272240051,146499.41031488753,male,10-14,5126,0.030546269314884005,0.026666967254531885
2012,E06000049,372383,77,153305,0.000502266723198852,187.0355891849581,female,10-14,10255,0.02753885112907947,1.3831848517263749e-05
2012,E06000049,372383,77,153305,0.000502266723198852,187.0355891849581,male,10-14,10520,0.02825048404465295,1.4189278049889286e-05
2012,E06000050,330224,56,137440,0.00040745052386495924,134.5499417927823,female,10-14,8783,0.026597097727603082,1.0837001402399393e-05
2012,E06000050,330224,56,137440,0.00040745052386495924,134.5499417927823,male,10-14,9283,0.02811122147390862,1.1453931916027959e-05
2012,E06000051,308416,80203,112511,0.7128458550719485,219853.06723787007,female,10-14,8502,0.027566663208134466,0.019650781606083037
2012,E06000051,308416,80203,112511,0.7128458550719485,219853.06723787007,male,10-14,8669,0.028108139655530193,0.020036770847228165
2012,E07000192,97932,36,13653,0.0026367831245880024,258.22544495715226,female,10-14,2702,0.02759057305068823,7.275035741776725e-05
2012,E07000192,97932,36,13653,0.0026367831245880024,258.22544495715226,male,10-14,2813,0.02872401258015766,7.57389916418132e-05
2012,E07000195,124104,240,44576,0.005384063173007897,668.183776022972,female,10-14,3185,0.025663959259975503,0.0001381763779252091
2012,E07000195,124104,240,44576,0.005384063173007897,668.183776022972,male,10-14,3403,0.027420550506027205,0.0001476339761631041
2012,E07000196,108443,757,31539,0.02400202923364723,2602.8520561844066,female,10-14,2989,0.027562867128353145,0.0006615647425778665
2012,E07000196,108443,757,31539,0.02400202923364723,2602.8520561844066,male,10-14,3000,0.027664302905673947,0.0006639994070704581
2012,E07000197,131554,484,18346,0.026381772593480866,3470.627711762782,female,10-14,3399,0.02583729875184335,0.0006816337401009582
2012,E07000197,131554,484,18346,0.026381772593480866,3470.627711762782,male,10-14,3515,0.026719065934901257,0.0007048963214047862
2012,E07000235,75090,44,25444,0.0017292878478226694,129.85222449300426,female,10-14,2113,0.028139565854308164,4.866140927486084e-05
2012,E07000235,75090,44,25444,0.0017292878478226694,129.85222449300426,male,10-14,2133,0.028405912904514583,4.9121999992086213e-05
2012,E07000239,98087,19,35715,0.0005319893602127958,52.181240375192495,female,10-14,2537,0.02586479349964827,1.3759794945913963e-05
2012,E07000239,98087,19,35715,0.0005319893602127958,52.181240375192495,male,10-14,2669,0.027210537583981568,1.4475716480348588e-05
2012,E08000027,313570,131,122262,0.0010714694672097627,335.9806808329653,female,10-14,8798,0.028057531013808718,3.006278780658702e-05
2012,E08000027,313570,131,122262,0.0010714694672097627,335.9806808329653,male,10-14,9267,0.02955320980961189,3.166536196904318e-05
2012,E08000028,311245,8,128252,6.237719489754545e-05,19.414590025886532,female,10-14,9109,0.029266333595720413,1.8255517946368343e-06
2012,E08000028,311245,8,128252,6.237719489754545e-05,19.414590025886532,male,10-14,9970,0.03203264309466819,1.9981064213996313e-06
2012,E08000031,251076,199,94220,0.002112078115049883,530.2921248142644,female,10-14,7088,0.02823049594545078,5.962501266339105e-05
2012,E08000031,251076,199,94220,0.002112078115049883,530.2921248142644,male,10-14,7374,0.029369593270563495,6.203087519467347e-05
2012,E06000019,185197,398,63469,0.006270777860057666,1161.3292473490994,female,15-19,5114,0.02761383823712047,0.00017316024544854886
2012,E06000019,185197,398,63469,0.006270777860057666,1161.3292473490994,male,15-19,5368,0.02898535073462313,0.0001817606956526809
2012,E06000020,167811,53591,61387,0.8730024272240051,146499.41031488753,female,15-19,5593,0.03332916197388729,0.02909643930054562
2012,E06000020,167811,53591,61387,0.8730024272240051,146499.41031488753,male,15-19,5840,0.03480105594984834,0.030381406314176008
2012,E06000049,372383,77,153305,0.000502266723198852,187.0355891849581,female,15-19,10394,0.027912122733851973,1.4019330423056011e-05
2012,E06000049,372383,77,153305,0.000502266723198852,187.0355891849581,male,15-19,11398,0.03060827159134547,1.53735162749656e-05
2012,E06000050,330224,56,137440,0.00040745052386495924,134.5499417927823,female,15-19,9654,0.02923470129366733,1.1911694357140355e-05
2012,E06000050,330224,56,137440,0.00040745052386495924,134.5499417927823,male,15-19,10043,0.030412689568293037,1.2391666296743379e-05
2012,E06000051,308416,80203,112511,0.7128458550719485,219853.06723787007,female,15-19,8925,0.028938187383274538,0.02062846692946261
2012,E06000051,308416,80203,112511,0.7128458550719485,219853.06723787007,male,15-19,9907,0.03212219858891886,0.022898176119908804
2012,E07000192,97932,36,13653,0.0026367831245880024,258.22544495715226,female,15-19,3006,0.030694767798063963,8.09354457430823e-05
2012,E07000192,97932,36,13653,0.0026367831245880024,258.22544495715226,male,15-19,3262,0.03330882653269616,8.782815170124233e-05
2012,E07000195,124104,240,44576,0.005384063173007897,668.183776022972,female,15-19,3911,0.031513891574808224,0.0001696727830660888
2012,E07000195,124104,240,44576,0.005384063173007897,668.183776022972,male,15-19,4000,0.032231032037645845,0.00017353391262192667
2012,E07000196,108443,757,31539,0.02400202923364723,2602.8520561844066,female,15-19,3103,0.028614110638768755,0.0006867967200465439
2012,E07000196,108443,757,31539,0.02400202923364723,2602.8520561844066,male,15-19,3507,0.03233957009673285,0.0007762153068653656
2012,E07000197,131554,484,18346,0.026381772593480866,3470.627711762782,female,15-19,3625,0.02755522447055962,0.0007269556657446231
2012,E07000197,131554,484,18346,0.026381772593480866,3470.627711762782,male,15-19,4076,0.030983474466758896,0.000817398977537954
2012,E07000235,75090,44,25444,0.0017292878478226694,129.85222449300426,female,15-19,2353,0.03133573045678519,5.418849788156534e-05
2012,E07000235,75090,44,25444,0.0017292878478226694,129.85222449300426,male,15-19,2411,0.03210813690238381,5.552421096151893e-05
2012,E07000239,98087,19,35715,0.0005319893602127958,52.181240375192495,female,15-19,2551,0.026007523932835137,1.3835726017747939e-05
2012,E07000239,98087,19,35715,0.0005319893602127958,52.181240375192495,male,15-19,2903,0.029596174824390593,1.5744850109573604e-05
2012,E08000027,313570,131,122262,0.0010714694672097627,335.9806808329653,female,15-19,9496,0.03028350926427911,3.244785553663905e-05
2012,E08000027,313570,131,122262,0.0010714694672097627,335.9806808329653,male,15-19,10016,0.03194183117007367,3.422469682550302e-05
2012,E08000028,311245,8,128252,6.237719489754545e-05,19.414590025886532,female,15-19,9756,0.031345081848704395,1.9552182795561486e-06
2012,E08000028,311245,8,128252,6.237719489754545e-05,19.414590025886532,male,15-19,10374,0.033330655914151235,2.0790728200200376e-06
2012,E08000031,251076,199,94220,0.002112078115049883,530.2921248142644,female,15-19,7853,0.031277382147238283,6.60602743292339e-05
2012,E08000031,251076,199,94220,0.002112078115049883,530.2921248142644,male,15-19,8430,0.03357549108636429,7.091405992556244e-05
2012,E06000019,185197,398,63469,0.006270777860057666,1161.3292473490994,female,20-24,4607,0.02487621289761713,0.00015599320508045847
2012,E06000019,185197,398,63469,0.006270777860057666,1161.3292473490994,male,20-24,4931,0.026625701280258318,0.0001669638580967529
2012,E06000020,167811,53591,61387,0.8730024272240051,146499.41031488753,female,20-24,5199,0.03098128251425711,0.027046734833459086
2012,E06000020,167811,53591,61387,0.8730024272240051,146499.41031488753,male,20-24,5811,0.03462824248708368,0.030230539741725473
2012,E06000049,372383,77,153305,0.000502266723198852,187.0355891849581,female,20-24,9161,0.02460101562101385,1.2356271503330396e-05
2012,E06000049,372383,77,153305,0.000502266723198852,187.0355891849581,male,20-24,9785,0.026276709731647255,1.3197916893361851e-05
2012,E06000050,330224,56,137440,0.00040745052386495924,134.5499417927823,female,20-24,10193,0.030866926692184698,1.2576745450831949e-05
2012,E06000050,330224,56,137440,0.00040745052386495924,134.5499417927823,male,20-24,9516,0.028816803139687,1.174142153537887e-05
2012,E06000051,308416,80203,112511,0.7128458550719485,219853.06723787007,female,20-24,7300,0.023669329736459847,0.016872583594966618
