year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor,ltla_frac_tp,ag_ltla_frac_tp
2013,E06000015,251312,99671,159,87238,0.0018226002430133657,458.04131227217493,female,0-4,8897,0.03540220920608646,6.45240751022232e-05,0.0015952483671278505,5.647531642872798e-05
2013,E06000015,251312,99671,159,87238,0.0018226002430133657,458.04131227217493,male,0-4,9128,0.03632138536958044,6.619936580117942e-05,0.0015952483671278505,5.79416307026446e-05
2013,E07000032,123592,99671,1744,42572,0.04096589307526073,5063.056656957624,female,0-4,3172,0.025665091591688782,0.001051393397911896,0.017497566995414916,0.0004490766595690345
2013,E07000032,123592,99671,1744,42572,0.04096589307526073,5063.056656957624,male,0-4,3333,0.026967764903877273,0.0011047585735310054,0.017497566995414916,0.0004718702731221917
2013,E07000033,76774,99671,14620,31990,0.4570178180681463,35087.08596436386,female,0-4,2160,0.02813452470888582,0.012857979094839345,0.14668258570697595,0.004126844831936177
2013,E07000033,76774,99671,14620,31990,0.4570178180681463,35087.08596436386,male,0-4,2247,0.02926772084299372,0.013375869919492597,0.14668258570697595,0.004293064971000273
2013,E07000034,104066,99671,37564,43567,0.862212224849083,89726.97739114467,female,0-4,2850,0.02738646628101397,0.023612946022907446,0.3768799349861043,0.010321409631487682
2013,E07000034,104066,99671,37564,43567,0.862212224849083,89726.97739114467,male,0-4,2945,0.028299348490381106,0.024400044223671032,0.3768799349861043,0.01066545661920394
2013,E07000035,71372,99671,11498,25604,0.449070457740978,32051.05670988908,female,0-4,1494,0.020932578602252984,0.00940020265461275,0.11535953286311966,0.0024147724891764384
2013,E07000035,71372,99671,11498,25604,0.449070457740978,32051.05670988908,male,0-4,1477,0.020694389956845822,0.00929323917059105,0.11535953286311966,0.002387295158308969
2013,E07000036,113246,99671,81,37323,0.0021702435495538942,245.7714010127803,female,0-4,3234,0.028557300037087403,6.197629619816412e-05,0.0008126736964613579,2.320776658209589e-05
2013,E07000036,113246,99671,81,37323,0.0021702435495538942,245.7714010127803,male,0-4,3445,0.030420500503329034,6.601989499155083e-05,0.0008126736964613579,2.4721940592245004e-05
2013,E07000037,91172,99671,799,37942,0.021058457645880553,1919.9417004902218,female,0-4,2412,0.026455490720835344,0.000557111830845697,0.008016373870032407,0.00021207710453338926
2013,E07000037,91172,99671,799,37942,0.021058457645880553,1919.9417004902218,male,0-4,2479,0.02719036546308077,0.0005725871594802998,0.008016373870032407,0.0002179681352148723
2013,E07000038,99306,99671,29979,39954,0.7503378885718577,74513.0543625169,female,0-4,2345,0.023613880329486636,0.017718389107415525,0.300779564768087,0.007102572647988681
2013,E07000038,99306,99671,29979,39954,0.7503378885718577,74513.0543625169,male,0-4,2533,0.025507018709846334,0.019138882562508966,0.300779564768087,0.0076719899860790315
2013,E07000039,97111,99671,20,35034,0.0005708740081064109,55.43814580122167,female,0-4,2864,0.02949202459041715,1.6836230285104272e-05,0.00020066017196576738,5.917874725931746e-06
2013,E07000039,97111,99671,20,35034,0.0005708740081064109,55.43814580122167,male,0-4,2960,0.030480584073894822,1.7400573199688773e-05,0.00020066017196576738,6.116239241884765e-06
2013,E07000170,121546,99671,236,47949,0.004921896181359361,598.2367932595049,female,0-4,3796,0.031230974281342045,0.00015371561305546982,0.002367790029196055,7.394838950544013e-05
2013,E07000170,121546,99671,236,47949,0.004921896181359361,598.2367932595049,male,0-4,3912,0.03218534546591414,0.0001584129289444146,0.002367790029196055,7.620814008042195e-05
2013,E07000171,113704,99671,245,46725,0.0052434456928838954,596.2007490636704,female,0-4,3131,0.027536410328572434,0.00014438567213483674,0.0024580871065806504,6.768689519017815e-05
2013,E07000171,113704,99671,245,46725,0.0052434456928838954,596.2007490636704,male,0-4,3167,0.027853021881376203,0.00014604580761770294,0.0024580871065806504,6.846515396591958e-05
2013,E07000174,105334,99671,356,45042,0.007903734292438168,832.531947959682,female,0-4,3336,0.03167068562857197,0.0002503166840675729,0.0035717510609906593,0.00011311980499615356
2013,E07000174,105334,99671,356,45042,0.007903734292438168,832.531947959682,male,0-4,3348,0.03178460895817115,0.0002512171037944347,0.0035717510609906593,0.00011352671076952102
2013,E07000175,116878,99671,46,49072,0.0009373981089012064,109.5612161721552,female,0-4,3207,0.027438867879327162,2.5721142860471337e-05,0.00046151839552126495,1.2663542278587046e-05
2013,E07000175,116878,99671,46,49072,0.0009373981089012064,109.5612161721552,male,0-4,3364,0.028782148907407726,2.6980331955916927e-05,0.00046151839552126495,1.3283491183400942e-05
2013,E07000198,97488,99671,38,34767,0.0010929904794776655,106.55345586331866,female,0-4,2302,0.023613162645658953,2.580896196206288e-05,0.000381254326734958,9.002620426553765e-06
2013,E07000198,97488,99671,38,34767,0.0010929904794776655,106.55345586331866,male,0-4,2388,0.02449532250123092,2.6773154285580435e-05,0.000381254326734958,9.338947688362463e-06
