year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor,ltla_frac_tp,ag_ltla_frac_tp
2013,E06000020,168642,135136,174,63891,0.0027233882706484483,459.27764473869564,female,0-4,5627,0.033366539770638394,9.087004304348157e-05,0.0012875917594127398,4.296248164879144e-05
2013,E06000020,168642,135136,174,63891,0.0027233882706484483,459.27764473869564,male,0-4,5827,0.03455248396010484,9.409982953871816e-05,0.0012875917594127398,4.448949361427186e-05
2013,E06000051,309085,135136,396,115139,0.0034393211683269786,1063.0425833123443,female,0-4,7499,0.024261934419334486,8.344458463297802e-05,0.0029303812455600286,7.109671760342513e-05
2013,E06000051,309085,135136,396,115139,0.0034393211683269786,1063.0425833123443,male,0-4,7937,0.025679020334212273,8.83183982173552e-05,0.0029303812455600286,7.524931959173026e-05
2013,E07000192,98106,135136,28,15648,0.0017893660531697342,175.54754601226995,female,0-4,2833,0.028876929035940718,5.167139653670374e-05,0.00020719867392848685,5.983261403373935e-06
2013,E07000192,98106,135136,28,15648,0.0017893660531697342,175.54754601226995,male,0-4,2952,0.030089902758241086,5.384185053877495e-05,0.00020719867392848685,6.234587950144672e-06
2013,E07000194,101716,135136,23,37749,0.0006092876632493576,61.974303955071655,female,0-4,2563,0.025197609029061308,1.535259232478768e-05,0.00017019891072697133,4.288605609670333e-06
2013,E07000194,101716,135136,23,37749,0.0006092876632493576,61.974303955071655,male,0-4,2684,0.026387195721420426,1.6077392820807697e-05,0.00017019891072697133,4.491071968925155e-06
2013,E07000196,110323,135136,6832,32707,0.20888494817623138,23044.814137646375,female,0-4,2406,0.021808689031299004,0.004555506878094438,0.050556476438550796,0.0011025704731665493
2013,E07000196,110323,135136,6832,32707,0.20888494817623138,23044.814137646375,male,0-4,2525,0.02288733990192435,0.004780820809305261,0.050556476438550796,0.001157103260492742
2013,E07000197,131984,135136,8,20311,0.0003938752400177244,51.98522967849934,female,0-4,3227,0.024449933325251545,9.630223356900811e-06,5.9199621122424815e-05,1.4474267893234397e-06
2013,E07000197,131984,135136,8,20311,0.0003938752400177244,51.98522967849934,male,0-4,3544,0.02685173960480058,1.0576235381734266e-05,5.9199621122424815e-05,1.5896128110822035e-06
2013,E07000234,94806,135136,1462,35080,0.04167616875712657,3951.1508551881416,female,0-4,2365,0.024945678543552095,0.0010396403087421084,0.010818730760123135,0.0002698805797912707
2013,E07000234,94806,135136,1462,35080,0.04167616875712657,3951.1508551881416,male,0-4,2537,0.026759909710355884,0.0011152505130142619,0.010818730760123135,0.000289508258321545
2013,E07000235,75560,135136,27,26327,0.001025563110115091,77.49154860029628,female,0-4,1703,0.022538380095288513,2.311453118748015e-05,0.00019979872128818375,4.503139522945698e-06
2013,E07000235,75560,135136,27,26327,0.001025563110115091,77.49154860029628,male,0-4,1700,0.022498676548438328,2.3073812694489874e-05,0.00019979872128818375,4.495206805054426e-06
2013,E07000238,118906,135136,44,43322,0.0010156502469876737,120.76690826831633,female,0-4,2955,0.024851563419844246,2.5240496525394644e-05,0.0003255979161733365,8.091617263150803e-06
2013,E07000238,118906,135136,44,43322,0.0010156502469876737,120.76690826831633,male,0-4,2962,0.024910433451634063,2.5300287887722143e-05,0.0003255979161733365,8.110785222826624e-06
2013,E07000239,98473,135136,1278,36805,0.034723542996875426,3419.331449531314,female,0-4,2599,0.02639302143734831,0.0009164592146972189,0.009457139474307364,0.0002496024848813872
2013,E07000239,98473,135136,1278,36805,0.034723542996875426,3419.331449531314,male,0-4,2884,0.029287215785037523,0.0010169558965705192,0.009457139474307364,0.0002769732844932361
2013,E08000025,1092190,135136,497,422035,0.0011776274479604772,1286.1929223879536,female,0-4,41186,0.03770955602962855,4.4407808230894094e-05,0.0036777764622306416,0.00013868731756693544
2013,E08000025,1092190,135136,497,422035,0.0011776274479604772,1286.1929223879536,male,0-4,43464,0.03979527371611166,4.686400662719323e-05,0.0036777764622306416,0.00014635812098114117
2013,E08000027,314357,135136,100702,125409,0.8029886212313311,252425.09400441754,female,0-4,9376,0.02982596220220959,0.023949908265650074,0.745190030783803,0.02222600969162111
2013,E08000027,314357,135136,100702,125409,0.8029886212313311,252425.09400441754,male,0-4,9923,0.03156602207044857,0.025347156540107264,0.745190030783803,0.023522684958399775
2013,E08000028,313980,135136,19815,132370,0.14969403943491727,47000.93450177532,female,0-4,11756,0.03744187527868017,0.005604825554484003,0.14663006156760597,0.005490104477319497
2013,E08000028,313980,135136,19815,132370,0.14969403943491727,47000.93450177532,male,0-4,12322,0.039244537868654054,0.005874673399315404,0.14663006156760597,0.005754429003872988
2013,E08000030,271955,135136,737,107483,0.00685689830019631,1864.7677772298875,female,0-4,9054,0.03329227261863176,0.00022828172752836827,0.005453765095903386,0.0001815682343707939
2013,E08000030,271955,135136,737,107483,0.00685689830019631,1864.7677772298875,male,0-4,9681,0.035597801106800754,0.00024409050189994842,0.005453765095903386,0.00019414204516718088
2013,E08000031,251708,135136,3113,94599,0.03290732460173998,8283.036860854767,female,0-4,8491,0.03373353250591956,0.001110080304135642,0.023036052569263558,0.000777087428153324
2013,E08000031,251708,135136,3113,94599,0.03290732460173998,8283.036860854767,male,0-4,9002,0.03576366265672923,0.0011768864559921152,0.023036052569263558,0.0008238536130298225
2013,E06000020,168642,135136,174,63891,0.0027233882706484483,459.27764473869564,female,5-9,5372,0.03185446092906868,8.675206526205491e-05,0.0012875917594127398,4.101554139280391e-05
2013,E06000020,168642,135136,174,63891,0.0027233882706484483,459.27764473869564,male,5-9,5410,0.0320797903250673,8.736572469614987e-05,0.0012875917594127398,4.1305673666245196e-05
2013,E06000051,309085,135136,396,115139,0.0034393211683269786,1063.0425833123443,female,5-9,8018,0.02594108416778556,8.921971990761672e-05,0.0029303812455600286,7.601726653477299e-05
2013,E06000051,309085,135136,396,115139,0.0034393211683269786,1063.0425833123443,male,5-9,8161,0.026403740071501366,9.081094215091794e-05,0.0029303812455600286,7.737302471816941e-05
2013,E07000192,98106,135136,28,15648,0.0017893660531697342,175.54754601226995,female,5-9,2779,0.02832650398548509,5.06864846366042e-05,0.00020719867392848685,5.869214062822508e-06
2013,E07000192,98106,135136,28,15648,0.0017893660531697342,175.54754601226995,male,5-9,2921,0.029773918007053594,5.3276438151680766e-05,0.00020719867392848685,6.1691163287170006e-06
2013,E07000194,101716,135136,23,37749,0.0006092876632493576,61.974303955071655,female,5-9,2686,0.026406858311376773,1.608937299429563e-05,0.00017019891072697133,4.4944185203177966e-06
2013,E07000194,101716,135136,23,37749,0.0006092876632493576,61.974303955071655,male,5-9,2879,0.028304298242164457,1.7245459735881283e-05,0.00017019891072697133,4.81736072970772e-06
2013,E07000196,110323,135136,6832,32707,0.20888494817623138,23044.814137646375,female,5-9,2633,0.02386628354921458,0.004985307402336931,0.050556476438550796,0.0012065952019316394
2013,E07000196,110323,135136,6832,32707,0.20888494817623138,23044.814137646375,male,5-9,2798,0.025361891899241318,0.005297717475024205,0.050556476438550796,0.001282207890241066
2013,E07000197,131984,135136,8,20311,0.0003938752400177244,51.98522967849934,female,5-9,3525,0.026707782761546853,1.051953434554551e-05,5.9199621122424815e-05,1.5810906205036024e-06
2013,E07000197,131984,135136,8,20311,0.0003938752400177244,51.98522967849934,male,5-9,3644,0.027609407200872835,1.0874661887990876e-05,5.9199621122424815e-05,1.6344664457064193e-06
2013,E07000234,94806,135136,1462,35080,0.04167616875712657,3951.1508551881416,female,5-9,2584,0.02725565892454064,0.0011359114409258387,0.010818730760123135,0.0002948716355943525
2013,E07000234,94806,135136,1462,35080,0.04167616875712657,3951.1508551881416,male,5-9,2736,0.028858932978925386,0.0012027297609802996,0.010818730760123135,0.000312217025923432
2013,E07000235,75560,135136,27,26327,0.001025563110115091,77.49154860029628,female,5-9,1773,0.0234647961884595,2.4064629357253258e-05,0.00019979872128818375,4.688236273742056e-06
2013,E07000235,75560,135136,27,26327,0.001025563110115091,77.49154860029628,male,5-9,1945,0.025741132874536794,2.6399156288695767e-05,0.00019979872128818375,5.143045432841681e-06
2013,E07000238,118906,135136,44,43322,0.0010156502469876737,120.76690826831633,female,5-9,3060,0.025734613896691506,2.6137366960307146e-05,0.0003255979161733365,8.379136658288141e-06
2013,E07000238,118906,135136,44,43322,0.0010156502469876737,120.76690826831633,male,5-9,3258,0.02739979479588919,2.782860835185643e-05,0.0003255979161733365,8.92131608911855e-06
2013,E07000239,98473,135136,1278,36805,0.034723542996875426,3419.331449531314,female,5-9,2502,0.025407979852345313,0.000882255080866657,0.009457139474307364,0.00024028680922402105
2013,E07000239,98473,135136,1278,36805,0.034723542996875426,3419.331449531314,male,5-9,2639,0.026799224152813463,0.0009305640121531207,0.009457139474307364,0.00025344400061638354
2013,E08000025,1092190,135136,497,422035,0.0011776274479604772,1286.1929223879536,female,5-9,38216,0.03499024894935863,4.120547757373497e-05,0.0036777764622306416,0.0001286863139935416
