year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
2014,E06000015,252313,159,86819,0.0018313963533327959,462.08510809845774,female,0-4,8894,0.03524986821923563,6.455648011216976e-05
2014,E06000015,252313,159,86819,0.0018313963533327959,462.08510809845774,male,0-4,9004,0.03568583465774653,6.53549074578341e-05
2014,E07000032,124050,1817,42833,0.04242056358415241,5262.270912614106,female,0-4,3157,0.025449415558242643,0.0010795785508679497
2014,E07000032,124050,1817,42833,0.04242056358415241,5262.270912614106,male,0-4,3377,0.027222893994357115,0.0011548105056322668
2014,E07000033,77231,14954,33031,0.45272622687778147,34964.49922799794,female,0-4,2205,0.02855071150185806,0.012925655892912278
2014,E07000033,77231,14954,33031,0.45272622687778147,34964.49922799794,male,0-4,2207,0.0285766078388212,0.012937379843835556
2014,E07000034,104331,37852,44099,0.8583414589899998,89551.62275788566,female,0-4,2942,0.028198713709252282,0.024204125066840915
2014,E07000034,104331,37852,44099,0.8583414589899998,89551.62275788566,male,0-4,2882,0.027623620975548973,0.023710499130739467
2014,E07000035,71420,11462,25797,0.44431523045315346,31732.99375896422,female,0-4,1474,0.020638476617194063,0.009169989494370598
2014,E07000035,71420,11462,25797,0.44431523045315346,31732.99375896422,male,0-4,1463,0.020484458134976197,0.009101556736949923
2014,E07000036,114155,61,37926,0.0016083952961029374,183.6063650266308,female,0-4,3226,0.028259822171608776,4.5452965049521054e-05
2014,E07000036,114155,61,37926,0.0016083952961029374,183.6063650266308,male,0-4,3478,0.030467347028163463,4.9003537644833925e-05
2014,E07000037,91417,822,38389,0.02141238375576337,1957.4558858006199,female,0-4,2395,0.026198628263889648,0.0005609750822609937
2014,E07000037,91417,822,38389,0.02141238375576337,1957.4558858006199,male,0-4,2418,0.02645022260629861,0.0005663623168714334
2014,E07000038,99383,30196,40458,0.7463542439072619,74174.9238222354,female,0-4,2325,0.02339434309690792,0.017460467253799784
2014,E07000038,99383,30196,40458,0.7463542439072619,74174.9238222354,male,0-4,2476,0.02491371763782538,0.018594458890498176
2014,E07000170,122490,264,50031,0.005276728428374408,646.3464651915812,female,0-4,3745,0.030573924401992,0.0001613302960589612
2014,E07000170,122490,264,50031,0.005276728428374408,646.3464651915812,male,0-4,3925,0.0320434321169075,0.00016908448919397134
2014,E07000171,114256,242,48351,0.005005067113399929,571.8589481086224,female,0-4,3144,0.02751715446015964,0.0001377252048428912
