year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor,ltla_frac_tp,ag_ltla_frac_tp
2015,E06000006,126719,44406,1613,66999,0.02407498619382379,3050.758175495157,female,0-4,3828,0.03020857172168341,0.0007272709471346639,0.036323920190965184,0.001097293748301476
2015,E06000006,126719,44406,1613,66999,0.02407498619382379,3050.758175495157,male,0-4,4173,0.03293113108531475,0.0007928165262259541,0.036323920190965184,0.0011961877773411856
2015,E06000007,207781,44406,1785,91536,0.01950052438384898,4051.8384570005246,female,0-4,6197,0.029824671168201134,0.0005815967273557839,0.040197270639102826,0.001198870378670428
2015,E06000007,207781,44406,1785,91536,0.01950052438384898,4051.8384570005246,male,0-4,6415,0.030873852758433157,0.0006020563185391889,0.040197270639102826,0.0012410446150025488
2015,E06000008,147856,44406,146,67534,0.0021618740190126455,319.64604495513373,female,0-4,5360,0.03625148793420625,7.83711499155109e-05,0.0032878439850470655,0.0001191892365534863
2015,E06000008,147856,44406,146,67534,0.0021618740190126455,319.64604495513373,male,0-4,5683,0.03843604588248025,8.309388898691202e-05,0.0032878439850470655,0.00012637172226370573
2015,E06000009,140162,44406,290,74113,0.003912943748060394,548.446021615641,female,0-4,4261,0.030400536522024516,0.00011895558932153752,0.006530649011394857,0.00019853523378343264
2015,E06000009,140162,44406,290,74113,0.003912943748060394,548.446021615641,male,0-4,4282,0.030550363151210742,0.00011954185249350472,0.006530649011394857,0.0001995136989112083
2015,E06000020,171677,44406,17,67715,0.00025105220409067414,43.09988924167467,female,0-4,5552,0.03233980090518823,8.118978297101085e-06,0.0003828311489438364,1.238068313714813e-05
2015,E06000020,171677,44406,17,67715,0.00025105220409067414,43.09988924167467,male,0-4,5735,0.03340575615836717,8.386588712873688e-06,0.0003828311489438364,1.2788764011445341e-05
2015,E06000021,251746,44406,146,104166,0.0014016089702974098,352.84945183649177,female,0-4,8769,0.034832728226069136,4.8821864341590284e-05,0.0032878439850470655,0.00011452457598086054
2015,E06000021,251746,44406,146,104166,0.0014016089702974098,352.84945183649177,male,0-4,9108,0.036179323603950014,5.0709264502589155e-05,0.0032878439850470655,0.00011895197149431837
2015,E06000049,375722,44406,1042,166783,0.006247639147874784,2347.3754759178096,female,0-4,9908,0.0263705612128116,0.00016475375058459007,0.02346529748232221,0.0006187930636344117
2015,E06000049,375722,44406,1042,166783,0.006247639147874784,2347.3754759178096,male,0-4,10512,0.02797813276837662,0.00017479727756814807,0.02346529748232221,0.0006565152084098643
2015,E06000050,333949,44406,1984,151014,0.013137854768432065,4387.373462063119,female,0-4,9068,0.02715384684487751,0.000356743296252248,0.044678647029680676,0.0012131971386802906
2015,E06000050,333949,44406,1984,151014,0.013137854768432065,4387.373462063119,male,0-4,9656,0.02891459474350874,0.000379875746428287,0.044678647029680676,0.0012918649725514873
2015,E06000051,312227,44406,193,123394,0.0015640954989707765,488.3528453571486,female,0-4,7302,0.023386830735330384,3.657923668832167e-05,0.004346259514480025,0.00010164523559696356
2015,E06000051,312227,44406,193,123394,0.0015640954989707765,488.3528453571486,male,0-4,7795,0.02496581013173108,3.904891125519959e-05,0.004346259514480025,0.00010850788982173802
2015,E07000027,67676,44406,24,34893,0.0006878170406671825,46.548706044192244,female,0-4,1851,0.027350907264022697,1.8812420093902636e-05,0.0005404675043912985,1.4782276591824184e-05
2015,E07000027,67676,44406,24,34893,0.0006878170406671825,46.548706044192244,male,0-4,1866,0.027572551569241682,1.8964870823999092e-05,0.0005404675043912985,1.4902068136328432e-05
2015,E07000029,69688,44406,9,33096,0.0002719361856417694,18.950688905003627,female,0-4,1773,0.025441969923085752,6.91859225609656e-06,0.00020267531414673692,5.156459246673237e-06
2015,E07000029,69688,44406,9,33096,0.0002719361856417694,18.950688905003627,male,0-4,1959,0.028111009068993227,7.644400580763205e-06,0.00020267531414673692,5.697407594039973e-06
2015,E07000031,103776,44406,77,46780,0.0016460025651988028,170.81556220607095,female,0-4,2093,0.020168439716312058,3.319730350910706e-05,0.0017339999099220825,3.497207265135406e-05
2015,E07000031,103776,44406,77,46780,0.0016460025651988028,170.81556220607095,male,0-4,2217,0.021363320999074932,3.516408116564279e-05,0.0017339999099220825,3.7043996688032465e-05
2015,E07000117,87262,44406,76,42699,0.0017799011686456358,155.31773577835548,female,0-4,2830,0.03243106965231143,5.7724098774577125e-05,0.0017114804305724451,5.550514105246292e-05
2015,E07000117,87262,44406,76,42699,0.0017799011686456358,155.31773577835548,male,0-4,2967,0.03400105429625725,6.0518516277092e-05,0.0017114804305724451,5.819213904687544e-05
2015,E07000118,112963,44406,202,46110,0.004380828453697679,494.87152461505093,female,0-4,3233,0.02861999061639652,0.00012537926923687044,0.004548934828626762,0.00013019047210989724
2015,E07000118,112963,44406,202,46110,0.004380828453697679,494.87152461505093,male,0-4,3401,0.03010720324353992,0.00013189449263055874,0.004548934828626762,0.00013695570542708336
2015,E07000119,77490,44406,116,37057,0.003130312761421594,242.5679358825593,female,0-4,1709,0.022054458639824494,6.903735332648734e-05,0.002612259604557943,5.761197140520744e-05
2015,E07000119,77490,44406,116,37057,0.003130312761421594,242.5679358825593,male,0-4,1792,0.023125564588979224,7.239024994796099e-05,0.002612259604557943,6.0409978208386035e-05
2015,E07000120,80113,44406,99,38035,0.0026028657815170236,208.5233863546733,female,0-4,2695,0.033639983523273374,8.756036200352475e-05,0.0022294284556141062,7.499793651317533e-05
2015,E07000120,80113,44406,99,38035,0.0026028657815170236,208.5233863546733,male,0-4,2755,0.034388925642529926,8.950975781807447e-05,0.0022294284556141062,7.666764938545383e-05
2015,E07000121,140787,44406,185,60936,0.003035972167520021,427.4254135486412,female,0-4,3839,0.027268142655216744,8.278532216120352e-05,0.004166103679682925,0.00011360190945401741
2015,E07000121,140787,44406,185,60936,0.003035972167520021,427.4254135486412,male,0-4,4009,0.028475640506580864,8.645125203028521e-05,0.004166103679682925,0.0001186324706957947
2015,E07000122,89925,44406,58,42847,0.00135365369804187,121.72730879641516,female,0-4,3106,0.03453989435640812,4.6755055725527364e-05,0.0013061298022789714,4.5113585386471894e-05
2015,E07000122,89925,44406,58,42847,0.00135365369804187,121.72730879641516,male,0-4,3249,0.036130108423686406,4.890765487837682e-05,0.0013061298022789714,4.719061137174732e-05
2015,E07000123,140685,44406,248,59115,0.004195212720967605,590.2035016493276,female,0-4,4572,0.032498134129438104,0.00013633658570753022,0.0055848308787100846,0.000181496582986548
2015,E07000123,140685,44406,248,59115,0.004195212720967605,590.2035016493276,male,0-4,4760,0.03383445285567047,0.00014194272702708748,0.0055848308787100846,0.00018895969707260904
2015,E07000124,58519,44406,48,23173,0.0020713761705433045,121.21486212402364,female,0-4,1262,0.021565645345956015,4.467056387200141e-05,0.001080935008782597,2.3311061041433336e-05
2015,E07000124,58519,44406,48,23173,0.0020713761705433045,121.21486212402364,male,0-4,1344,0.022966899639433346,4.757308862438185e-05,0.001080935008782597,2.4825725863459905e-05
2015,E07000125,69418,44406,36,31496,0.001143002286004572,79.34493268986537,female,0-4,2143,0.030870955659915295,3.528557289042896e-05,0.0008107012565869477,2.5027122545533274e-05
2015,E07000125,69418,44406,36,31496,0.001143002286004572,79.34493268986537,male,0-4,2172,0.03128871474257397,3.5763072476907e-05,0.0008107012565869477,2.5365800358795273e-05
2015,E07000126,109685,44406,163,45664,0.003569551506657323,391.52625700770847,female,0-4,2969,0.02706842321192506,9.662213085896515e-05,0.003670675133990902,9.935938800035546e-05
2015,E07000126,109685,44406,163,45664,0.003569551506657323,391.52625700770847,male,0-4,3205,0.02922003920317272,0.00010430243496227123,0.003670675133990902,0.00010725727131732544
2015,E07000127,112482,44406,1520,52650,0.028869895536562204,3247.3435897435897,female,0-4,2870,0.025515193542077843,0.0007366209721549539,0.0342296086114489,0.0008733750885906931
2015,E07000127,112482,44406,1520,52650,0.028869895536562204,3247.3435897435897,male,0-4,2987,0.026555359968706106,0.000766650468232351,0.0342296086114489,0.0009089795782649479
2015,E07000128,109546,44406,147,51359,0.0028622052610058606,313.543137522148,female,0-4,2369,0.021625618461650814,6.189695893344242e-05,0.003310363464396703,7.158865725043168e-05
2015,E07000128,109546,44406,147,51359,0.0028622052610058606,313.543137522148,male,0-4,2677,0.024437222719222974,6.994434743133193e-05,0.003310363464396703,8.089608926104078e-05
2015,E07000163,55826,44406,9,25354,0.000354973574189477,19.816754752701744,female,0-4,1228,0.021996918998316198,7.808324957988712e-06,0.00020267531414673692,4.458232468244061e-06
2015,E07000163,55826,44406,9,25354,0.000354973574189477,19.816754752701744,male,0-4,1308,0.02342994303729445,8.317010623004262e-06,0.00020267531414673692,4.748671065523804e-06
2015,E07000195,126863,44406,21,48539,0.00043264179319722285,54.88623581037928,female,0-4,3142,0.024766874502415992,1.0715184996615832e-05,0.00047290906634238616,1.1712479497156596e-05
2015,E07000195,126863,44406,21,48539,0.00043264179319722285,54.88623581037928,male,0-4,3341,0.02633549577102859,1.1393836115115687e-05,0.00047290906634238616,1.2454294716740988e-05
