year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
2015,E07000111,118165,41,48047,0.0008533311132849085,100.83387100131121,female,0-4,3589,0.030372783819235815,2.5918041430030354e-05
2015,E07000111,118165,41,48047,0.0008533311132849085,100.83387100131121,male,0-4,3702,0.031329073752803284,2.6734073383664632e-05
2015,E07000208,78459,27,30732,0.000878563061304178,68.9311792268645,female,0-4,2517,0.0320804496616067,2.8184698062715762e-05
2015,E07000208,78459,27,30732,0.000878563061304178,68.9311792268645,male,0-4,2528,0.0322206502759403,2.8307873143641423e-05
2015,E07000210,86978,8,33155,0.00024129090634896698,20.98700045242045,female,0-4,2206,0.025362735404355123,6.119797413205881e-06
2015,E07000210,86978,8,33155,0.00024129090634896698,20.98700045242045,male,0-4,2397,0.027558693002828302,6.649662012445376e-06
2015,E07000211,143794,528,56314,0.009375998863515289,1348.2123805803174,female,0-4,4809,0.033443676370363155,0.0003135678716402981
2015,E07000211,143794,528,56314,0.009375998863515289,1348.2123805803174,male,0-4,4843,0.03368012573542707,0.00031578482061841626
2015,E07000215,85914,1369,32290,0.04239702694332611,3642.498172808919,female,0-4,2435,0.02834229578415625,0.0012016290779965906
2015,E07000215,85914,1369,32290,0.04239702694332611,3642.498172808919,male,0-4,2519,0.029320017692110716,0.0012430815800712162
2015,E07000226,110887,33,40248,0.0008199165175909362,90.91808288610615,female,0-4,3886,0.03504468512990702,2.873371619178423e-05
2015,E07000226,110887,33,40248,0.0008199165175909362,90.91808288610615,male,0-4,4442,0.04005879859676968,3.284487064434008e-05
2015,E07000228,145969,34,53444,0.0006361799266521967,92.8625477134945,female,0-4,4250,0.029115771156889476,1.852286915901209e-05
2015,E07000228,145969,34,53444,0.0006361799266521967,92.8625477134945,male,0-4,4391,0.03008172968232981,1.9137392582875784e-05
2015,E09000006,325303,2808,122616,0.022900763358778626,7449.687022900764,female,0-4,10420,0.03203167508445972,0.0007335498110944973
2015,E09000006,325303,2808,122616,0.022900763358778626,7449.687022900764,male,0-4,11030,0.03390684992145784,0.0007764927462929277
2015,E09000008,380070,96923,163149,0.594076580303894,225790.685876101,female,0-4,13973,0.03676428026416186,0.021840797896667218
2015,E09000008,380070,96923,163149,0.594076580303894,225790.685876101,male,0-4,14628,0.038487647012392455,0.022864609721065493
2015,E09000011,274542,17,99659,0.00017058168354087437,46.83183656267873,female,0-4,10883,0.03964056501373196,6.761954316553882e-06
2015,E09000011,274542,17,99659,0.00017058168354087437,46.83183656267873,male,0-4,11402,0.041530986151481375,7.0844255368324316e-06
2015,E09000021,171609,18,62467,0.0002881521443322074,49.44950133670578,female,0-4,5844,0.03405415799870636,9.81277865075503e-06
2015,E09000021,171609,18,62467,0.0002881521443322074,49.44950133670578,male,0-4,6031,0.035143844437063324,1.0126774134617315e-05
2015,E09000022,320736,2199,117772,0.018671670685731754,5988.67696905886,female,0-4,9991,0.03115022947221391,0.0005816268264901538
2015,E09000022,320736,2199,117772,0.018671670685731754,5988.67696905886,male,0-4,10534,0.03284321061558416,0.0006132376128763166
2015,E09000023,294999,392,124562,0.0031470271832501084,928.3698720315987,female,0-4,11083,0.037569618880064,0.0001182326118799079
2015,E09000023,294999,392,124562,0.0031470271832501084,928.3698720315987,male,0-4,11758,0.03985776222970247,0.00012543346120039313
2015,E09000024,205965,1840,84903,0.02167179016053614,4463.630260414826,female,0-4,7899,0.038351176170708615,0.0008311386423813511
2015,E09000024,205965,1840,84903,0.02167179016053614,4463.630260414826,male,0-4,8141,0.03952613308086325,0.0008566020619858942
