year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
2015,E06000001,92498,7721,44484,0.17356802445823216,16054.695126337558,female,0-4,2683,0.029006032562866223,0.0050345197693078434
2015,E06000001,92498,7721,44484,0.17356802445823216,16054.695126337558,male,0-4,2844,0.03074661073752946,0.005336628484499257
2015,E06000002,139310,57902,62043,0.9332559676353497,130011.88885128056,female,0-4,4859,0.03487904673031369,0.03255107850649748
2015,E06000002,139310,57902,62043,0.9332559676353497,130011.88885128056,male,0-4,5083,0.03648697150240471,0.03405168389556013
2015,E06000003,135324,52762,56381,0.9358117096184885,126637.78379241233,female,0-4,3827,0.0282802754869794,0.026465012951952024
2015,E06000003,135324,52762,56381,0.9358117096184885,126637.78379241233,male,0-4,4111,0.030378942390115574,0.028428970014495625
2015,E06000004,195128,23480,87107,0.2695535376031777,52597.442685432856,female,0-4,6022,0.030861793284408183,0.008318905556590218
2015,E06000004,195128,23480,87107,0.2695535376031777,52597.442685432856,male,0-4,6393,0.03276310934361035,0.008831412026449895
2015,E06000005,105998,4929,47829,0.10305463212695226,10923.584896192686,female,0-4,3112,0.02935904451027378,0.0030255855316050815
2015,E06000005,105998,4929,47829,0.10305463212695226,10923.584896192686,male,0-4,3297,0.031104360459631313,0.003205448424711425
2015,E06000011,336756,28,139895,0.00020015011258443834,67.40175131348512,female,0-4,7734,0.02296618323058832,4.596684159237092e-06
2015,E06000011,336756,28,139895,0.00020015011258443834,67.40175131348512,male,0-4,8408,0.02496763235101973,4.997274426023464e-06
2015,E06000014,205784,145,74613,0.0019433610764880115,399.91261576400893,female,0-4,5047,0.024525716285036737,4.766232240132855e-05
2015,E06000014,205784,145,74613,0.0019433610764880115,399.91261576400893,male,0-4,5440,0.026435485752050694,5.1373694048588726e-05
2015,E06000047,519347,11053,253487,0.043603814002295974,22645.509990650407,female,0-4,13741,0.02645822542538996,0.0011536795402795222
2015,E06000047,519347,11053,253487,0.043603814002295974,22645.509990650407,male,0-4,14670,0.028247010187793516,0.001231677378349508
2015,E06000054,488487,23,181596,0.00012665477213154473,61.86920967422189,female,0-4,13795,0.028240260232104436,3.576763724632712e-06
2015,E06000054,488487,23,181596,0.00012665477213154473,61.86920967422189,male,0-4,14547,0.029779707545953115,3.771742073376735e-06
2015,E06000057,316453,76,153376,0.0004955142916753599,156.80698414354268,female,0-4,7414,0.02342843961030548,1.1609126658559465e-05
2015,E06000057,316453,76,153376,0.0004955142916753599,156.80698414354268,male,0-4,7895,0.024948412560475017,1.2362294978328432e-05
2015,E07000026,96756,274,43492,0.006300009197093719,609.5636898739998,female,0-4,2453,0.025352432924056388,0.00015972056059025685
2015,E07000026,96756,274,43492,0.006300009197093719,609.5636898739998,male,0-4,2318,0.02395717061474224,0.00015093039520921948
2015,E07000028,108109,163,49653,0.0032827825106237288,354.8983344410207,female,0-4,3060,0.028304766485676494,9.291839238646746e-05
2015,E07000028,108109,163,49653,0.0032827825106237288,354.8983344410207,male,0-4,3196,0.029562756107262115,9.70480987147549e-05
2015,E07000029,69688,195,33096,0.005891950688905003,410.59825960841187,female,0-4,1773,0.025441969923085752,0.00014990283221542547
2015,E07000029,69688,195,33096,0.005891950688905003,410.59825960841187,male,0-4,1959,0.028111009068993227,0.00016562867924986945
2015,E07000030,52576,144,23296,0.006181318681318681,324.989010989011,female,0-4,1090,0.0207318928788801,0.0001281504367513193
