year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
2016,E06000001,92845,10,45319,0.00022065800216244843,20.486992210772524,female,0-4,2651,0.028552964618450104,6.300440128522277e-06
2016,E06000001,92845,10,45319,0.00022065800216244843,20.486992210772524,male,0-4,2833,0.030513220959663957,6.732986376500796e-06
2016,E06000002,140326,30,62018,0.0004837305298461737,67.87997033119417,female,0-4,4739,0.033771360973732595,1.633623833745006e-05
2016,E06000002,140326,30,62018,0.0004837305298461737,67.87997033119417,male,0-4,5087,0.03625130054302125,1.7535860819288556e-05
2016,E06000003,135496,25,56818,0.0004400014080045056,59.61843077897849,female,0-4,3710,0.027380882092460295,1.2047626673087883e-05
2016,E06000003,135496,25,56818,0.0004400014080045056,59.61843077897849,male,0-4,4000,0.029521166676507057,1.2989354903598796e-05
2016,E06000004,195958,8,89662,8.92239744819433e-05,17.484151591532644,female,0-4,5821,0.029705345022913072,2.650428946301717e-06
2016,E06000004,195958,8,89662,8.92239744819433e-05,17.484151591532644,male,0-4,6298,0.03213954010553282,2.8676175062374535e-06
2016,E06000005,106327,9,48034,0.00018736728150893118,19.922200941000124,female,0-4,3088,0.029042482154109494,5.441610929487144e-06
2016,E06000005,106327,9,48034,0.00018736728150893118,19.922200941000124,male,0-4,3282,0.030867042237625437,5.7834737922852345e-06
2016,E06000008,148462,8,67205,0.00011903876199687523,17.67273268358009,female,0-4,5357,0.03608330751303364,4.295312255104071e-06
2016,E06000008,148462,8,67205,0.00011903876199687523,17.67273268358009,male,0-4,5675,0.03822526976600073,4.550288789941311e-06
2016,E06000009,139983,8,74625,0.00010720268006700168,15.006552763819096,female,0-4,4194,0.02996078095197274,3.2118760149518517e-06
2016,E06000009,139983,8,74625,0.00010720268006700168,15.006552763819096,male,0-4,4355,0.031110920611788575,3.3351740689354588e-06
2016,E06000010,260035,839,108713,0.007717568276103134,2006.8378666764784,female,0-4,8666,0.03332628300036534,0.00025719786444405467
2016,E06000010,260035,839,108713,0.007717568276103134,2006.8378666764784,male,0-4,9183,0.03531447689734074,0.00027254188659009393
2016,E06000011,337804,1791,139789,0.01281216690869811,4328.001230425856,female,0-4,7596,0.022486412239049864,0.0002880996667844988
2016,E06000011,337804,1791,139789,0.01281216690869811,4328.001230425856,male,0-4,8402,0.024872411220707866,0.0003186694839814849
2016,E06000012,159828,472,63717,0.007407756171822277,1183.9668534300108,female,0-4,4911,0.030726781289886627,0.0002276165037403909
2016,E06000012,159828,472,63717,0.007407756171822277,1183.9668534300108,male,0-4,4937,0.03088945616537778,0.00022882155955331092
2016,E06000013,170807,547,73352,0.007457192714581743,1273.740715999564,female,0-4,4700,0.02751643667999555,0.00020519537114131267
2016,E06000013,170807,547,73352,0.007457192714581743,1273.740715999564,male,0-4,4800,0.028101892779569922,0.00020956123010176613
2016,E06000014,206920,3270,76303,0.04285545784569414,8867.65133743103,female,0-4,4958,0.02396095109220955,0.0010268575294749252
2016,E06000014,206920,3270,76303,0.04285545784569414,8867.65133743103,male,0-4,5282,0.02552677363232167,0.001093961571336538
2016,E06000047,521776,8,254114,3.1481933305524294e-05,16.426517232423244,female,0-4,13484,0.025842507129496182,8.135720858983349e-07
2016,E06000047,521776,8,254114,3.1481933305524294e-05,16.426517232423244,male,0-4,14449,0.027691959768176382,8.717964305209908e-07
2016,E07000029,69306,8,32783,0.00024402891742671506,16.912668151175914,female,0-4,1805,0.026043921161227022,6.355469886520946e-06
2016,E07000029,69306,8,32783,0.00024402891742671506,16.912668151175914,male,0-4,1918,0.027674371627276137,6.753346948668794e-06
2016,E07000033,78225,42,34408,0.001220646361311323,95.48506161357824,female,0-4,2209,0.028239054010866092,3.446989852523762e-05
2016,E07000033,78225,42,34408,0.001220646361311323,95.48506161357824,male,0-4,2187,0.027957813998082455,3.412660392697812e-05
2016,E07000034,104527,91,46051,0.001976070009337474,206.55266986601814,female,0-4,2789,0.026682101275268592,5.272570011616343e-05
2016,E07000034,104527,91,46051,0.001976070009337474,206.55266986601814,male,0-4,2838,0.027150879677021247,5.3652039056892005e-05
2016,E07000035,71477,30,27481,0.0010916633310287108,78.02881991193917,female,0-4,1446,0.02023028386753781,2.2084659074492716e-05
2016,E07000035,71477,30,27481,0.0010916633310287108,78.02881991193917,male,0-4,1440,0.020146340780950515,2.1993021484972e-05
2016,E07000038,100450,52,42991,0.0012095554883580285,121.49984880556396,female,0-4,2408,0.02397212543554007,2.8995615888164584e-05
2016,E07000038,100450,52,42991,0.0012095554883580285,121.49984880556396,male,0-4,2416,0.024051767048282727,2.9091946837959152e-05
2016,E07000117,87496,16,42651,0.0003751377458910694,32.82305221448501,female,0-4,2949,0.03370439791533327,1.2643791860573781e-05
2016,E07000117,87496,16,42651,0.0003751377458910694,32.82305221448501,male,0-4,2964,0.033875834323854805,1.270810412843021e-05
2016,E07000119,78153,27,37812,0.0007140590288797207,55.80585528403682,female,0-4,1669,0.021355546172251865,1.5249120560954204e-05
2016,E07000119,78153,27,37812,0.0007140590288797207,55.80585528403682,male,0-4,1743,0.022302406817396644,1.592523495371071e-05
2016,E07000121,141723,9,61488,0.00014637002341920375,20.743998829039814,female,0-4,3810,0.026883427531169957,3.9349279173258135e-06
2016,E07000121,141723,9,61488,0.00014637002341920375,20.743998829039814,male,0-4,3984,0.028111174615270632,4.114633286778489e-06
2016,E07000122,90515,604,43175,0.013989577301679212,1266.2665894614938,female,0-4,3077,0.033994365574766615,0.00047556680502974026
2016,E07000122,90515,604,43175,0.013989577301679212,1266.2665894614938,male,0-4,3257,0.035982986245373695,0.0005033867676249151
2016,E07000124,58864,34,23393,0.00145342623861839,85.55448211003291,female,0-4,1228,0.020861647186735527,3.0320865402000936e-05
2016,E07000124,58864,34,23393,0.00145342623861839,85.55448211003291,male,0-4,1324,0.022492525142701822,3.2691226215186675e-05
2016,E07000137,138743,92,61622,0.0014929732887605076,207.1395930024991,female,0-4,3160,0.022775923830391443,3.400384590561833e-05
2016,E07000137,138743,92,61622,0.0014929732887605076,207.1395930024991,male,0-4,3233,0.023302076501156815,3.478937778888103e-05
2016,E07000138,97385,10,36683,0.000272605839217076,26.54771965215495,female,0-4,2871,0.029480926220670535,8.036672633282593e-06
2016,E07000138,97385,10,36683,0.000272605839217076,26.54771965215495,male,0-4,3075,0.0315757046773117,8.60772147242911e-06
2016,E07000139,113644,8,43511,0.0001838615522511549,20.894762244030247,female,0-4,2956,0.02601105205730175,4.782432406941095e-06
2016,E07000139,113644,8,43511,0.0001838615522511549,20.894762244030247,male,0-4,3010,0.026486220126007532,4.869797545633524e-06
2016,E07000142,93903,60,36867,0.0016274717226788184,152.82447717470907,female,0-4,2398,0.025536990298499516,4.156072959313128e-05
2016,E07000142,93903,60,36867,0.0016274717226788184,152.82447717470907,male,0-4,2575,0.027421914102850813,4.46283897841172e-05
2016,E07000163,56343,1479,26135,0.056590778649320835,3188.4942414386837,female,0-4,1237,0.021954812487797952,0.0012424399337843189
2016,E07000163,56343,1479,26135,0.056590778649320835,3188.4942414386837,male,0-4,1296,0.02300197007614078,0.0013016993970771844
2016,E07000164,90591,611,37872,0.016133291085762568,1461.5309727503168,female,0-4,2155,0.023788235034385315,0.0003837825202262734
2016,E07000164,90591,611,37872,0.016133291085762568,1461.5309727503168,male,0-4,2221,0.02451678422801382,0.0003955364164373797
2016,E07000165,159768,5972,67611,0.08832882223306858,14112.119270532901,female,0-4,3877,0.02426643633268239,0.0021434257410595796
2016,E07000165,159768,5972,67611,0.08832882223306858,14112.119270532901,male,0-4,4112,0.025737319112713434,0.002273347084662623
2016,E07000166,53876,146,22406,0.006516111755779702,351.0620369543872,female,0-4,1416,0.026282574801395796,0.0001712601946355345
2016,E07000166,53876,146,22406,0.006516111755779702,351.0620369543872,male,0-4,1482,0.02750761006756255,0.00017924266133464842
2016,E07000167,53861,644,20839,0.030903594222371517,1664.4984884111523,female,0-4,1150,0.021351256010842725,0.0006598305518970543
2016,E07000167,53861,644,20839,0.030903594222371517,1664.4984884111523,male,0-4,1284,0.023839141493845268,0.0007367151553354937
2016,E07000168,108157,785,48612,0.01614827614580762,1746.5491031021147,female,0-4,2569,0.02375250792828943,0.0003835620571815026
2016,E07000168,108157,785,48612,0.01614827614580762,1746.5491031021147,male,0-4,2748,0.025407509453849498,0.0004102874788379794
2016,E07000169,86942,3313,35756,0.09265577805123616,8055.678655330575,female,0-4,2411,0.027731131098893514,0.00256944952820881
2016,E07000169,86942,3313,35756,0.09265577805123616,8055.678655330575,male,0-4,2531,0.029111361597386764,0.0026973358589367476
2016,E07000171,115212,156,50589,0.0030836743165510287,355.27628535847714,female,0-4,3151,0.027349581640801306,8.433720247415452e-05
2016,E07000171,115212,156,50589,0.0030836743165510287,355.27628535847714,male,0-4,3237,0.0280960316633684,8.663901123733361e-05
2016,E08000003,541319,19,221484,8.578497769590579e-05,46.43703834137003,female,0-4,19127,0.03533406364823699,3.031131861969726e-06
2016,E08000003,541319,19,221484,8.578497769590579e-05,46.43703834137003,male,0-4,20161,0.03724421274701239,3.194993959804028e-06
2016,E08000004,232349,9,93400,9.635974304068523e-05,22.389089935760172,female,0-4,8342,0.0359028874666988,3.4595930107097346e-06
2016,E08000004,232349,9,93400,9.635974304068523e-05,22.389089935760172,male,0-4,8591,0.036974551213906665,3.5628582540167024e-06
2016,E08000005,216350,28,90984,0.0003077464169524312,66.58093730765849,female,0-4,7374,0.034083660734920265,1.0489124467793979e-05
