year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
2017,E06000019,191041,108,74219,0.0014551529931688652,277.9938829679732,female,0-4,4486,0.023481870383844305,3.416971397425437e-05
2017,E06000019,191041,108,74219,0.0014551529931688652,277.9938829679732,male,0-4,4980,0.02606770274443706,3.793249567360383e-05
2017,E06000022,188678,6367,60598,0.10506947424007393,19824.298260668667,female,0-4,4633,0.024555062063409617,0.0025799874609348334
2017,E06000022,188678,6367,60598,0.10506947424007393,19824.298260668667,male,0-4,4853,0.02572106975906041,0.0027024992764767422
2017,E06000023,459252,99731,175979,0.566721029213713,260267.76610845613,female,0-4,14460,0.03148598155261164,0.01784376787130005
2017,E06000023,459252,99731,175979,0.566721029213713,260267.76610845613,male,0-4,15340,0.03340214087254927,0.018929695653232555
2017,E06000024,212834,68375,92090,0.7424801824302313,158025.02714735584,female,0-4,5701,0.026786133794412546,0.01988817350627601
2017,E06000024,212834,68375,92090,0.7424801824302313,158025.02714735584,male,0-4,6030,0.028331939445765245,0.021035903568294045
2017,E06000025,279027,25511,107370,0.23759895687808513,66296.52414082146,female,0-4,8003,0.028681812154379326,0.006814768649253711
2017,E06000025,279027,25511,107370,0.23759895687808513,66296.52414082146,male,0-4,8297,0.029735473628000157,0.007065117516288647
2017,E06000026,263070,712,96546,0.0073747229300022785,1940.0683611956995,female,0-4,7423,0.028216824419356065,0.0002080912620572734
2017,E06000026,263070,712,96546,0.0073747229300022785,1940.0683611956995,male,0-4,7885,0.029973010985669214,0.00022104265139722494
2017,E06000027,135247,519,61703,0.008411260392525485,1137.5977343078941,female,0-4,3554,0.02627784719808942,0.0002210298153381263
2017,E06000027,135247,519,61703,0.008411260392525485,1137.5977343078941,male,0-4,3624,0.0267954187523568,0.0002253832444528334
2017,E06000030,220363,1428,85358,0.016729539117598818,3686.5714285714284,female,0-4,7267,0.03297740546280455,0.0005516967946869058
2017,E06000030,220363,1428,85358,0.016729539117598818,3686.5714285714284,male,0-4,7503,0.03404836565122094,0.0005696134650524086
2017,E06000037,158473,34,55143,0.0006165787135266489,97.71107846870864,female,0-4,4533,0.02860424173203006,1.7636766568540377e-05
2017,E06000037,158473,34,55143,0.0006165787135266489,97.71107846870864,male,0-4,4612,0.029102749364245013,1.7944135763094688e-05
2017,E06000052,561349,1762,216878,0.0081243832938334,4560.614437610085,female,0-4,14014,0.024964861432014665,0.00020282410315112568
2017,E06000052,561349,1762,216878,0.0081243832938334,4560.614437610085,male,0-4,14773,0.026316961462476997,0.0002138090820502055
2017,E06000054,496043,4495,182975,0.024566197567973767,12185.890340210412,female,0-4,13453,0.027120632687085595,0.0006662508207593919
2017,E06000054,496043,4495,182975,0.024566197567973767,12185.890340210412,male,0-4,14233,0.028693077011468764,0.0007048797986968279
2017,E06000058,395638,8,191163,4.184910259830616e-05,16.557095253788653,female,0-4,10393,0.026268963041972713,1.0993325294946286e-06
2017,E06000058,395638,8,191163,4.184910259830616e-05,16.557095253788653,male,0-4,10941,0.027654067607257138,1.1572979125565989e-06
2017,E06000059,375051,380,174261,0.002180637090341499,817.8501213696695,female,0-4,8129,0.021674385616889436,4.726396918655342e-05
2017,E06000059,375051,380,174261,0.002180637090341499,817.8501213696695,male,0-4,8449,0.022527602912670544,4.9124526467854574e-05
2017,E07000040,142265,468,57579,0.008127963319960402,1156.3247017141666,female,0-4,3188,0.022408884827610446,0.00018213859392003488
2017,E07000040,142265,468,57579,0.008127963319960402,1156.3247017141666,male,0-4,3364,0.02364601272273574,0.0001921939240737131
2017,E07000041,128916,424,45583,0.00930171335805015,1199.1396792663932,female,0-4,3126,0.024248347761332962,0.00022555118028223627
2017,E07000041,128916,424,45583,0.00930171335805015,1199.1396792663932,male,0-4,3347,0.025962642340749013,0.0002414970570712235
2017,E07000042,80623,287,29797,0.009631842131758231,776.5480081887439,female,0-4,2008,0.024906044180940924,0.00023989108567741872
2017,E07000042,80623,287,29797,0.009631842131758231,776.5480081887439,male,0-4,2138,0.026518487280304627,0.00025542188305693284
2017,E07000043,95440,564,41528,0.013581198227701792,1296.1895588518591,female,0-4,2339,0.024507544006705784,0.0003328418132291963
2017,E07000043,95440,564,41528,0.013581198227701792,1296.1895588518591,male,0-4,2556,0.026781223805532273,0.00036372110928337994
2017,E07000044,85340,220,30820,0.007138221933809215,609.1758598312784,female,0-4,1762,0.020646824466838527,0.00014738161527269553
2017,E07000044,85340,220,30820,0.007138221933809215,609.1758598312784,male,0-4,1799,0.021080384344973047,0.000150476461904415
2017,E07000045,131437,445,56221,0.007915191832233506,1040.3490688532754,female,0-4,3067,0.023334373121723716,0.00018469603954335663
2017,E07000045,131437,445,56221,0.007915191832233506,1040.3490688532754,male,0-4,3258,0.024787540799013977,0.00019619814047351023
2017,E07000046,67821,342,28763,0.011890275701421966,806.4103883461391,female,0-4,1552,0.02288376756461863,0.000272094305430573
2017,E07000046,67821,342,28763,0.011890275701421966,806.4103883461391,male,0-4,1688,0.02488904616564191,0.0002959376208549016
2017,E07000047,55329,145,20807,0.006968808574037584,385.5772095929255,female,0-4,1226,0.022158361799418026,0.0001544173816944112
2017,E07000047,55329,145,20807,0.006968808574037584,385.5772095929255,male,0-4,1293,0.02336930000542211,0.00016285617824704217
2017,E07000078,117128,825,42187,0.01955578732784981,2290.5302581363926,female,0-4,3153,0.026919267809575848,0.0005264274763054987
2017,E07000078,117128,825,42187,0.01955578732784981,2290.5302581363926,male,0-4,3344,0.028549962434259956,0.000558316993582489
