year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
2017,E06000006,127595,292,69049,0.004228880939622587,539.584063491144,female,0-4,3822,0.029954151808456446,0.00012667254164534293
2017,E06000006,127595,292,69049,0.004228880939622587,539.584063491144,male,0-4,3991,0.03127865511971472,0.00013227370845279003
2017,E06000007,209704,392,95557,0.0041022635704344,860.2610797743755,female,0-4,5883,0.02805382825315683,0.00011508419765414861
2017,E06000007,209704,392,95557,0.0041022635704344,860.2610797743755,male,0-4,6323,0.03015202380498226,0.00012369154883004957
2017,E06000050,337986,822,153803,0.005344499132006528,1806.3658836303584,female,0-4,8985,0.026583941346682998,0.00014207785145265974
2017,E06000050,337986,822,153803,0.005344499132006528,1806.3658836303584,male,0-4,9780,0.02893610977969502,0.00015464901360122564
2017,E07000127,113881,179,51957,0.003445156571780511,392.33787555093636,female,0-4,2776,0.024376322652593495,8.398024818242462e-05
2017,E07000127,113881,179,51957,0.003445156571780511,392.33787555093636,male,0-4,2901,0.025473959659644718,8.776177953069663e-05
2017,E08000010,324650,9,147366,6.107243190423842e-05,19.827165017711003,female,0-4,8905,0.027429539504081318,1.675188683527624e-06
2017,E08000010,324650,9,147366,6.107243190423842e-05,19.827165017711003,male,0-4,9605,0.029585707685199445,1.8068711179430464e-06
2017,E08000011,148560,330,83936,0.003931566908120473,584.0735798703774,female,0-4,4724,0.031798599892299405,0.0001250183230611276
2017,E08000011,148560,330,83936,0.003931566908120473,584.0735798703774,male,0-4,5107,0.034376682821755516,0.0001351542285929675
2017,E08000012,491549,1273,229481,0.005547300212218005,2726.769872015548,female,0-4,14262,0.02901440141267707,0.0001609515951139219
2017,E08000012,491549,1273,229481,0.005547300212218005,2726.769872015548,male,0-4,15058,0.03063377201459061,0.00016993472999757647
2017,E08000013,179331,343,89691,0.003824241005229064,685.8049637087333,female,0-4,4904,0.02734608071108732,0.00010457800318764369
