year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor,ltla_frac_tp,ag_ltla_frac_tp
2018,E06000019,192107,20129,632,78119,0.008090221328998067,1554.1881488498316,female,0-4,4436,0.023091298078674907,0.0001868137122303478,0.03139748621392022,0.0007250087130867178
2018,E06000019,192107,20129,632,78119,0.008090221328998067,1554.1881488498316,male,0-4,4901,0.02551182413967216,0.00020639630379642348,0.03139748621392022,0.0008010071467173137
2018,E06000020,177799,20129,1983,69485,0.02853853349643808,5074.122717133194,female,0-4,5318,0.02991017947232549,0.0008535926587554356,0.09851458095285409,0.002946588796940804
2018,E06000020,177799,20129,1983,69485,0.02853853349643808,5074.122717133194,male,0-4,5704,0.032081170310294206,0.000915549553505266,0.09851458095285409,0.0031604630495957776
2018,E06000021,255833,20129,48,112485,0.00042672356314175225,109.1699693292439,female,0-4,8447,0.03301763259626397,1.4089401827983024e-05,0.0023846192061205227,7.873448082968207e-05
2018,E06000021,255833,20129,48,112485,0.00042672356314175225,109.1699693292439,male,0-4,8688,0.03395965336762654,1.4491384288092403e-05,0.0023846192061205227,8.098084165363774e-05
2018,E06000049,380790,20129,1079,171737,0.006282862749436639,2392.4513063579775,female,0-4,9751,0.02560729010740828,0.00016088708912985282,0.05360425257091758,0.0013726596465742727
2018,E06000049,380790,20129,1079,171737,0.006282862749436639,2392.4513063579775,male,0-4,10511,0.02760314083878253,0.00017342674534343998,0.05360425257091758,0.0014796457332727085
2018,E06000050,340502,20129,1542,156247,0.009868989484598105,3360.4106574846237,female,0-4,8953,0.026293531315528248,0.00025949058406589924,0.0766058919966218,0.00201423942016715
2018,E06000050,340502,20129,1542,156247,0.009868989484598105,3360.4106574846237,male,0-4,9618,0.028246530123171083,0.00027876470876195904,0.0766058919966218,0.002163850635894968
2018,E06000051,320274,20129,13729,131591,0.1043308432947542,33414.45650538411,female,0-4,7239,0.0226025215908878,0.0023581401381652135,0.6820507725172636,0.015416067311903156
2018,E06000051,320274,20129,13729,131591,0.1043308432947542,33414.45650538411,male,0-4,7795,0.02433853512929554,0.002539259894598403,0.6820507725172636,0.016600116686874583
2018,E07000029,68424,20129,8,31471,0.0002542022814654762,17.39353690699374,female,0-4,1715,0.0250643049222495,6.371403494582188e-06,0.00039743653435342043,9.96147048427622e-06
2018,E07000029,68424,20129,8,31471,0.0002542022814654762,17.39353690699374,male,0-4,1759,0.025707354144744534,6.5348680740350256e-06,0.00039743653435342043,1.0217041738683306e-05
2018,E07000192,100109,20129,138,40872,0.0033763945977686436,338.00748678802114,female,0-4,2545,0.025422289704222396,8.58356816202459e-05,0.006855780217596502,0.00017428963084021513
2018,E07000192,100109,20129,138,40872,0.0033763945977686436,338.00748678802114,male,0-4,2833,0.028299153922224776,9.554911042442305e-05,0.006855780217596502,0.00019401277963470708
2018,E07000194,103965,20129,20,51519,0.0003882062928240067,40.35986723344785,female,0-4,2518,0.024219689318520657,9.402235803692096e-06,0.000993591335883551,2.4064473464673512e-05
2018,E07000194,103965,20129,20,51519,0.0003882062928240067,40.35986723344785,male,0-4,2486,0.023911893425672102,9.282747501182904e-06,0.000993591335883551,2.3758650132318645e-05
2018,E07000195,129490,20129,184,52219,0.003523621670273272,456.273770083686,female,0-4,2957,0.022835740211599353,8.046450906632224e-05,0.00914104029012867,0.0002087424213291411
2018,E07000195,129490,20129,184,52219,0.003523621670273272,456.273770083686,male,0-4,3212,0.024805004247432233,8.740345049747277e-05,0.00914104029012867,0.00022674354322259086
2018,E07000196,112126,20129,215,42433,0.005066811208257724,568.1212735371055,female,0-4,2440,0.021761232898703246,0.00011026005875665632,0.010681106860748175,0.00023243405401267812
2018,E07000196,112126,20129,215,42433,0.005066811208257724,568.1212735371055,male,0-4,2601,0.02319711752849473,0.0001175354150926488,0.010681106860748175,0.00024777089118318684
2018,E07000197,135880,20129,300,51905,0.005779790000963298,785.3578653308929,female,0-4,3353,0.02467618486900206,0.00014262316656777995,0.014903870038253266,0.00036777065232751846
2018,E07000197,135880,20129,300,51905,0.005779790000963298,785.3578653308929,male,0-4,3371,0.0248086546953194,0.00014338881434535823,0.014903870038253266,0.000369744965402942
2018,E07000198,98397,20129,48,39191,0.0012247709933403078,120.51379143170627,female,0-4,2079,0.02112869294795573,2.5877810249850093e-05,0.0023846192061205227,5.038388700391848e-05
2018,E07000198,98397,20129,48,39191,0.0012247709933403078,120.51379143170627,male,0-4,2223,0.022592152199762187,2.7670212691398152e-05,0.0023846192061205227,5.3873680043150925e-05
2018,E07000235,78113,20129,40,29841,0.0013404376528936698,104.70560638048323,female,0-4,1643,0.02103363076568561,2.81942706553877e-05,0.001987182671767102,4.179766658191785e-05
2018,E07000235,78113,20129,40,29841,0.0013404376528936698,104.70560638048323,male,0-4,1674,0.021430491723528733,2.872623802624407e-05,0.001987182671767102,4.2586301800444595e-05
