year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor,ltla_frac_tp,ag_ltla_frac_tp
2019,E06000015,257302,168615,10,102021,9.801903529665461e-05,25.220493819899826,female,0-4,8062,0.03133283068145603,3.071213836509741e-06,5.930670462295763e-05,1.858246934226257e-06
2019,E06000015,257302,168615,10,102021,9.801903529665461e-05,25.220493819899826,male,0-4,8259,0.032098467948169854,3.1462608627801974e-06,5.930670462295763e-05,1.9036543574515823e-06
2019,E06000019,192801,168615,31,83057,0.0003732376560675199,71.9605933274739,female,0-4,4323,0.022422082873014143,8.368765655675482e-06,0.00018385078433116864,4.122317522542113e-06
2019,E06000019,192801,168615,31,83057,0.0003732376560675199,71.9605933274739,male,0-4,4797,0.024880576345558375,9.286367996825189e-06,0.00018385078433116864,4.574313475742429e-06
2019,E06000020,179854,168615,107,71654,0.0014932871856421135,268.5736734864767,female,0-4,5270,0.029301544586164335,4.375562105004025e-05,0.0006345817394656465,1.8594225132518363e-05
2019,E06000020,179854,168615,107,71654,0.0014932871856421135,268.5736734864767,male,0-4,5574,0.03099180446362049,4.627966446545053e-05,0.0006345817394656465,1.966683318570348e-05
2019,E06000021,256375,168615,9,113151,7.953973009518254e-05,20.391998303152423,female,0-4,8081,0.03152023403217943,2.507110907456539e-06,5.337603416066186e-05,1.6824250884536657e-06
2019,E06000021,256375,168615,9,113151,7.953973009518254e-05,20.391998303152423,male,0-4,8584,0.033482203803022914,2.663165453484337e-06,5.337603416066186e-05,1.7871472539643936e-06
2019,E06000051,323136,168615,88,132880,0.0006622516556291391,213.9973509933775,female,0-4,7223,0.022352817389582096,1.4803190324226553e-05,0.0005218990006820271,1.1665913058050732e-05
2019,E06000051,323136,168615,88,132880,0.0006622516556291391,213.9973509933775,male,0-4,7634,0.023624727668845318,1.564551501248034e-05,0.0005218990006820271,1.2329721761755406e-05
2019,E07000039,107261,168615,9,44201,0.00020361530282120315,21.839980995905073,female,0-4,2893,0.026971592657163368,5.491829006458458e-06,5.337603416066186e-05,1.4396366510362086e-06
2019,E07000039,107261,168615,9,44201,0.00020361530282120315,21.839980995905073,male,0-4,3029,0.028239527880590337,5.750000020934211e-06,5.337603416066186e-05,1.507314004835353e-06
2019,E07000132,113136,168615,8,46589,0.00017171435317349588,19.42707506063663,female,0-4,2846,0.02515556498373639,4.319571569896136e-06,4.74453636983661e-05,1.193514929691256e-06
2019,E07000132,113136,168615,8,46589,0.00017171435317349588,19.42707506063663,male,0-4,3047,0.026932187809362185,4.624643209231738e-06,4.74453636983661e-05,1.2778074458078906e-06
2019,E07000192,100762,168615,155,41474,0.003737281188214303,376.5759270868496,female,0-4,2584,0.025644588237629266,9.584103719999365e-05,0.0009192539216558432,2.3573888306690012e-05
2019,E07000192,100762,168615,155,41474,0.003737281188214303,376.5759270868496,male,0-4,2822,0.02800658978583196,0.00010466850115262463,0.0009192539216558432,2.5745167492832512e-05
2019,E07000193,119754,168615,32,58408,0.0005478701547733187,65.60964251472402,female,0-4,3400,0.028391535982096632,1.555487521276353e-05,0.0001897814547934644,5.38818700250329e-06
2019,E07000193,119754,168615,32,58408,0.0005478701547733187,65.60964251472402,male,0-4,3754,0.031347595904938456,1.7174412220210083e-05,0.0001897814547934644,5.949192355116867e-06
2019,E07000194,104756,168615,386,51283,0.007526860753076068,788.4838250492367,female,0-4,2509,0.02395089541410516,0.00018027505469345772,0.0022892387984461645,5.482931903949585e-05
2019,E07000194,104756,168615,386,51283,0.007526860753076068,788.4838250492367,male,0-4,2598,0.024800488754820726,0.0001866698254657645,0.0022892387984461645,5.6774241077963414e-05
2019,E07000196,112436,168615,231,42425,0.0054449027695934,612.2030878020036,female,0-4,2470,0.021968052936781814,0.00011961391227805772,0.0013699848767903212,3.009590029592029e-05
2019,E07000196,112436,168615,231,42425,0.0054449027695934,612.2030878020036,male,0-4,2529,0.022492795901668503,0.00012247108670089391,0.0013699848767903212,3.081479022201717e-05
2019,E07000197,137280,168615,9,53372,0.0001686277448849584,23.14921681780709,female,0-4,3449,0.0251238344988345,4.23657555440138e-06,5.337603416066186e-05,1.3410106484566052e-06
2019,E07000197,137280,168615,9,53372,0.0001686277448849584,23.14921681780709,male,0-4,3401,0.02477418414918415,4.177614804441604e-06,5.337603416066186e-05,1.3223476994493808e-06
2019,E07000199,76696,168615,292,40973,0.007126644375564396,546.585117028287,female,0-4,2157,0.0281240221132784,0.0002004299040118442,0.0017317557749903627,4.870393771062653e-05
2019,E07000199,76696,168615,292,40973,0.007126644375564396,546.585117028287,male,0-4,2271,0.029610409930113695,0.0002110228613866009,0.0017317557749903627,5.1277998396306374e-05
2019,E07000218,65264,168615,211,30659,0.006882155321439055,449.1569848983985,female,0-4,1647,0.025235964697229715,0.0001736778287326876,0.0012513714675444058,3.1579566178071166e-05
2019,E07000218,65264,168615,211,30659,0.006882155321439055,449.1569848983985,male,0-4,1707,0.026155307673449375,0.00018000488988870536,0.0012513714675444058,3.27300057473998e-05
2019,E07000219,129883,168615,36,62682,0.0005743275581506652,74.59538623528286,female,0-4,3893,0.02997312966285041,1.721439436939815e-05,0.00021350413664264744,6.399387171145003e-06
2019,E07000219,129883,168615,36,62682,0.0005743275581506652,74.59538623528286,male,0-4,4230,0.03256777253374191,1.8704569273710293e-05,0.00021350413664264744,6.953354157190692e-06
2019,E07000220,108935,168615,45,44511,0.0010109860483925321,110.13176518164049,female,0-4,3270,0.030017900582916417,3.0347678691362556e-05,0.0002668801708033093,8.011182434725492e-06
2019,E07000220,108935,168615,45,44511,0.0010109860483925321,110.13176518164049,male,0-4,3304,0.030330013310689862,3.0663220304667244e-05,0.0002668801708033093,8.094479132823556e-06
