year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
2019,E06000007,210014,25,96932,0.00025791276358684437,54.16529113192753,female,0-4,5641,0.026860114087632253,6.927566254599165e-06
2019,E06000007,210014,25,96932,0.00025791276358684437,54.16529113192753,male,0-4,5955,0.028355252506975726,7.3131815362769066e-06
2019,E06000008,149696,4943,68237,0.07243870627372247,10843.784574351159,female,0-4,5256,0.035111158614792644,0.0025434069058270447
2019,E06000008,149696,4943,68237,0.07243870627372247,10843.784574351159,male,0-4,5319,0.035532011543394616,0.0025738929475064786
2019,E06000009,139446,6169,71402,0.08639814010812022,12047.875045516932,female,0-4,4056,0.029086528118411427,0.002513021931633289
2019,E06000009,139446,6169,71402,0.08639814010812022,12047.875045516932,male,0-4,4206,0.03016221332989114,0.0026059591332469457
2019,E07000026,97761,72,45036,0.0015987210231814548,156.2925659472422,female,0-4,2174,0.022237906731723284,3.5552209003554414e-05
2019,E07000026,97761,72,45036,0.0015987210231814548,156.2925659472422,male,0-4,2353,0.024068902732173363,3.8479460802835114e-05
2019,E07000027,67049,2008,32779,0.061258732725220415,4107.336770493303,female,0-4,1805,0.0269206102999299,0.0016491224711632215
2019,E07000027,67049,2008,32779,0.061258732725220415,4107.336770493303,male,0-4,1867,0.0278453071634178,0.0017057682291754764
2019,E07000028,108678,46,50834,0.000904906165165047,98.34339221780698,female,0-4,2818,0.02592981100130661,2.3464045836646813e-05
2019,E07000028,108678,46,50834,0.000904906165165047,98.34339221780698,male,0-4,2967,0.027300833655385635,2.470469268890387e-05
2019,E07000029,68183,334,34180,0.009771796372147454,666.2703920421299,female,0-4,1655,0.024272912602848216,0.00023718995931396443
2019,E07000029,68183,334,34180,0.009771796372147454,666.2703920421299,male,0-4,1696,0.024874235513251103,0.0002430659643483285
2019,E07000030,53253,222,23549,0.00942715189604654,502.0241199201664,female,0-4,1047,0.019660864176666102,0.00018534595300097136
2019,E07000030,53253,222,23549,0.00942715189604654,502.0241199201664,male,0-4,1084,0.020355660713950386,0.00019189590549479747
2019,E07000031,105088,3561,46314,0.07688819795310273,8080.026946495659,female,0-4,2031,0.01932665956151035,0.0014859920261376335
2019,E07000031,105088,3561,46314,0.07688819795310273,8080.026946495659,male,0-4,2141,0.020373401339829476,0.001566474115194817
2019,E07000117,88920,2390,43983,0.05433917650001137,4831.839574381011,female,0-4,2833,0.03186009896536212,0.0017312515409866418
2019,E07000117,88920,2390,43983,0.05433917650001137,4831.839574381011,male,0-4,3031,0.0340868196131354,0.0018522497072822137
2019,E07000118,118216,38088,47512,0.8016501094460347,94767.86933827243,female,0-4,3067,0.025944034648440143,0.020798038215393756
2019,E07000118,118216,38088,47512,0.8016501094460347,94767.86933827243,male,0-4,3214,0.02718752114772958,0.0217948793036438
2019,E07000119,80780,6649,37431,0.17763351232935268,14349.23512596511,female,0-4,1612,0.01995543451349344,0.003544753922690227
2019,E07000119,80780,6649,37431,0.17763351232935268,14349.23512596511,male,0-4,1678,0.02077246843278039,0.0036898865274653846
2019,E07000120,81043,2516,39184,0.06420988158432013,5203.761433238056,female,0-4,2606,0.03215576915958195,0.00206471812998949
2019,E07000120,81043,2516,39184,0.06420988158432013,5203.761433238056,male,0-4,2632,0.03247658650346113,0.0020853177736501684
2019,E07000121,146038,5289,61206,0.08641309675522008,12619.59582393883,female,0-4,3636,0.024897629384132897,0.0021514812569466864
2019,E07000121,146038,5289,61206,0.08641309675522008,12619.59582393883,male,0-4,3687,0.025246853558662814,0.002181658799329602
2019,E07000122,92112,1822,44730,0.04073328862061257,3752.024681421865,female,0-4,2996,0.03252562098315095,0.0013248755070713399
2019,E07000122,92112,1822,44730,0.04073328862061257,3752.024681421865,male,0-4,3149,0.03418664234844537,0.0013925343697488816
2019,E07000123,143135,52156,58564,0.8905812444505157,127473.34642442456,female,0-4,4579,0.031990777936912705,0.028490386825995816
2019,E07000123,143135,52156,58564,0.8905812444505157,127473.34642442456,male,0-4,4761,0.03326230481713068,0.029622784817332624
2019,E07000124,60888,5537,24571,0.22534695372593708,13720.925318464857,female,0-4,1211,0.01988897648140849,0.00448192026281221
2019,E07000124,60888,5537,24571,0.22534695372593708,13720.925318464857,male,0-4,1358,0.022303245302851136,0.005025968387199819
2019,E07000125,71482,1372,32999,0.04157701748537834,2972.0083638898145,female,0-4,1938,0.027111720433116028,0.0011272244745063544
2019,E07000125,71482,1372,32999,0.04157701748537834,2972.0083638898145,male,0-4,2091,0.02925211941467782,0.001216215880388435
2019,E07000126,110788,38676,44656,0.8660874238624149,95952.09351486922,female,0-4,2850,0.025724807740910568,0.022279932465681142
2019,E07000126,110788,38676,44656,0.8660874238624149,95952.09351486922,male,0-4,2948,0.026609380077264686,0.023046049441694038
2019,E07000127,114306,2135,53797,0.03968622785657193,4536.3739613733105,female,0-4,2658,0.02325337252637657,0.0009228386405155302
2019,E07000127,114306,2135,53797,0.03968622785657193,4536.3739613733105,male,0-4,2865,0.025064301086557137,0.00099470756398683
2019,E07000128,112091,8166,52402,0.1558337468035571,17467.56051295752,female,0-4,2336,0.020840210186366434,0.0032476080375151385
2019,E07000128,112091,8166,52402,0.1558337468035571,17467.56051295752,male,0-4,2543,0.022686924017093255,0.0035353883730312487
2019,E07000163,57142,293,26890,0.010896243956861286,622.6331721829677,female,0-4,1194,0.020895313429701447,0.00022768043268510686
2019,E07000163,57142,293,26890,0.010896243956861286,622.6331721829677,male,0-4,1245,0.02178782681740226,0.00023740547629225964
2019,E08000001,287550,1410,123794,0.011389889655395254,3275.162770408905,female,0-4,9434,0.032808207268301165,0.00037368186057728684
2019,E08000001,287550,1410,123794,0.011389889655395254,3275.162770408905,male,0-4,9728,0.033830638149886974,0.0003853272354988177
2019,E08000002,190990,51,87982,0.0005796640221863563,110.7100315973722,female,0-4,5632,0.02948845489292633,1.7093396371294616e-05
2019,E08000002,190990,51,87982,0.0005796640221863563,110.7100315973722,male,0-4,6056,0.03170846641185402,1.8380257177656284e-05
2019,E08000006,258834,52,118402,0.0004391817705781997,113.67517440583774,female,0-4,8633,0.03335342342968853,1.4648215556695018e-05
2019,E08000006,258834,52,118402,0.0004391817705781997,113.67517440583774,male,0-4,8998,0.03476359365462033,1.5267536612897226e-05
2019,E08000010,328662,1577,152017,0.010373839767920693,3409.486925804351,female,0-4,8856,0.02694561586067145,0.00027952950138654804
2019,E08000010,328662,1577,152017,0.010373839767920693,3409.486925804351,male,0-4,9486,0.028862478777589132,0.00029941473014372116
2019,E08000011,150862,9,87671,0.00010265652268138838,15.486968324759614,female,0-4,4960,0.0328777293155334,3.375113365192602e-06
2019,E08000011,150862,9,87671,0.00010265652268138838,15.486968324759614,male,0-4,5275,0.03496573027004812,3.5894602825385036e-06
2019,E08000013,180585,42,91377,0.0004596342624511639,83.00305328474343,female,0-4,4839,0.026796245535343467,1.2316472553097888e-05
2019,E08000013,180585,42,91377,0.0004596342624511639,83.00305328474343,male,0-4,5257,0.029110944984356398,1.3380387727141062e-05
2019,E08000014,276410,363,145525,0.002494416766878543,689.4817385328981,female,0-4,6887,0.024915885821786478,6.215060335549556e-05
2019,E08000014,276410,363,145525,0.002494416766878543,689.4817385328981,male,0-4,7279,0.026334068955537065,6.568814314282737e-05
2019,E08000032,539776,10,238886,4.186097134197902e-05,22.595547667088066,female,0-4,19472,0.03607422338155086,1.5101020311592503e-06
2019,E08000032,539776,10,238886,4.186097134197902e-05,22.595547667088066,male,0-4,19520,0.036163149158169317,1.5138245505458385e-06
