year,msoa,ltla,ppln_msoa,total_trust_patients,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor,msoa_frac_tp,ag_msoa_frac_tp
2016,E02000485,E09000016,8396,124639,10,3263,0.0030646644192460926,25.730922463990193,female,0-4,290,0.03454025726536446,0.0001058542974727688,8.023170917610057e-05,2.771223875782416e-06
2016,E02000485,E09000016,8396,124639,10,3263,0.0030646644192460926,25.730922463990193,male,0-4,271,0.0322772748928061,9.89190159142081e-05,8.023170917610057e-05,2.589660932196672e-06
2016,E02000491,E09000016,9616,124639,21,4007,0.005240828550037434,50.395807337159965,female,0-4,322,0.03348585690515807,0.00017549363489102057,0.00016848658926981122,5.641917818727039e-06
2016,E02000491,E09000016,9616,124639,21,4007,0.005240828550037434,50.395807337159965,male,0-4,381,0.03962146422628952,0.00020764930091142497,0.00016848658926981122,6.67568536936336e-06
2016,E02000488,E09000016,7296,124639,9,2969,0.0030313236780060626,22.116537554732233,female,0-4,188,0.025767543859649123,7.810976582581411e-05,7.220853825849052e-05,1.8606366766168063e-06
2016,E02000488,E09000016,7296,124639,9,2969,0.0030313236780060626,22.116537554732233,male,0-4,174,0.023848684210526317,7.229308113665774e-05,7.220853825849052e-05,1.7220786262304484e-06
2016,E02000493,E09000016,6638,124639,48,2607,0.018411967779056387,122.21864211737629,female,0-4,287,0.04323591443205785,0.0007960582634210881,0.0003851122040452828,1.665067830084305e-05
2016,E02000493,E09000016,6638,124639,48,2607,0.018411967779056387,122.21864211737629,male,0-4,286,0.04308526664658029,0.0007932845412488891,0.0003851122040452828,1.6592662000143247e-05
2016,E02000484,E09000016,8405,124639,9,3431,0.0026231419411250363,22.04750801515593,female,0-4,223,0.026531826293872695,6.95967463261015e-05,7.220853825849052e-05,1.9158243940087313e-06
2016,E02000484,E09000016,8405,124639,9,3431,0.0026231419411250363,22.04750801515593,male,0-4,235,0.02795954788816181,7.334186272033117e-05,7.220853825849052e-05,2.01891808337243e-06
2016,E02000486,E09000016,7471,124639,15,3001,0.004998333888703766,37.34255248250583,female,0-4,176,0.02355775665908178,0.00011774953345092528,0.00012034756376415087,2.8351186216691944e-06
2016,E02000486,E09000016,7471,124639,15,3001,0.004998333888703766,37.34255248250583,male,0-4,204,0.02730558158211752,0.00013648241377266338,0.00012034756376415087,3.286160220571112e-06
2016,E02000492,E09000016,6562,124639,49,2575,0.019029126213592235,124.86912621359224,female,0-4,183,0.027887839073453217,0.0005306812095530903,0.00039313537496289284,1.0963696071046844e-05
2016,E02000492,E09000016,6562,124639,49,2575,0.019029126213592235,124.86912621359224,male,0-4,151,0.023011277049679976,0.0004378844953142986,0.00039313537496289284,9.046547031300948e-06
2016,E02000489,E09000016,8591,124639,13,3447,0.0037713954163040323,32.40005802146794,female,0-4,304,0.03538586893260389,0.00013345410389435758,0.00010430122192893075,3.690789368687574e-06
2016,E02000489,E09000016,8591,124639,13,3447,0.0037713954163040323,32.40005802146794,male,0-4,326,0.0379466883948318,0.00014311196667618606,0.00010430122192893075,3.957885967737332e-06
2016,E02000490,E09000016,7991,124639,12,3383,0.0035471475022169673,28.345255690215787,female,0-4,259,0.03241146289575773,0.00011496823965388494,9.62780510113207e-05,3.1205124780292906e-06
2016,E02000490,E09000016,7991,124639,12,3383,0.0035471475022169673,28.345255690215787,male,0-4,266,0.033287448379426855,0.0001180754893742602,9.62780510113207e-05,3.2048506531111634e-06
2016,E02000769,E09000026,16036,124639,8,5945,0.001345668629100084,21.579142136248947,female,0-4,704,0.043901222249937644,5.907649756089169e-05,6.418536734088046e-05,2.8178160768258823e-06
2016,E02000769,E09000026,16036,124639,8,5945,0.001345668629100084,21.579142136248947,male,0-4,713,0.044462459466201046,5.983173687630082e-05,6.418536734088046e-05,2.853839293717122e-06
2016,E02000467,E09000016,10916,124639,10,4632,0.002158894645941278,23.56649395509499,female,0-4,473,0.043330890436057166,9.354682736627194e-05,8.023170917610057e-05,3.4765113998072165e-06
2016,E02000467,E09000016,10916,124639,10,4632,0.002158894645941278,23.56649395509499,male,0-4,571,0.05230853792598021,0.00011292862246541496,8.023170917610057e-05,4.196803402304272e-06
2016,E02000487,E09000016,7761,124639,15,2878,0.005211952744961779,40.449965253648365,female,0-4,156,0.020100502512562814,0.00010476286924546289,0.00012034756376415087,2.419046507822128e-06
2016,E02000487,E09000016,7761,124639,15,2878,0.005211952744961779,40.449965253648365,male,0-4,152,0.01958510501224069,0.00010207664182891256,0.00012034756376415087,2.357019674288227e-06
2016,E02000477,E09000016,9565,124639,12,3721,0.0032249395323837677,30.84654662725074,female,0-4,316,0.03303711447987454,0.0001065426965220356,9.62780510113207e-05,3.1807489931602028e-06
2016,E02000477,E09000016,9565,124639,12,3721,0.0032249395323837677,30.84654662725074,male,0-4,255,0.026659696811291166,8.597591016809836e-05,9.62780510113207e-05,2.5667436495438347e-06
2016,E02000481,E09000016,8091,124639,13,3331,0.003902731912338637,31.57700390273191,female,0-4,212,0.026201952787047338,0.00010225919730759993,0.00010430122192893075,2.7328956926131898e-06
2016,E02000481,E09000016,8091,124639,13,3331,0.003902731912338637,31.57700390273191,male,0-4,217,0.02681992337164751,0.00010467097082900559,0.00010430122192893075,2.7973507797031237e-06
2016,E02003322,E06000035,7913,124639,49,2596,0.018875192604006163,149.35939907550076,female,0-4,270,0.03412106659926703,0.0006440417039152868,0.00039313537496289284,1.3414198311636683e-05
2016,E02003322,E06000035,7913,124639,49,2596,0.018875192604006163,149.35939907550076,male,0-4,280,0.03538480980664729,0.0006678951003565936,0.00039313537496289284,1.3911020471326929e-05
2016,E02005094,E07000111,8954,124639,74,3561,0.020780679584386407,186.0702049985959,female,0-4,290,0.03238775966048693,0.0006730396559606944,0.0005937146479031443,1.922908732319766e-05
2016,E02005094,E07000111,8954,124639,74,3561,0.020780679584386407,186.0702049985959,male,0-4,317,0.03540317176680813,0.0007357019687570349,0.0005937146479031443,2.1019381660185027e-05
2016,E02003317,E06000035,6653,124639,201,2670,0.07528089887640449,500.8438202247191,female,0-4,209,0.03141439951901398,0.0023649042334538614,0.0016126573544396217,5.066066241964241e-05
2016,E02003317,E06000035,6653,124639,201,2670,0.07528089887640449,500.8438202247191,male,0-4,229,0.034420562152412446,0.002591210858664757,0.0016126573544396217,5.550857269903403e-05
2016,E02005074,E07000110,8259,124639,19,3095,0.006138933764135703,50.70145395799677,female,0-4,202,0.02445816684828672,0.00015014706627381185,0.0001524402474345911,3.7284090061493404e-06
2016,E02005074,E07000110,8259,124639,19,3095,0.006138933764135703,50.70145395799677,male,0-4,219,0.02651652742462768,0.0001627832055146772,0.0001524402474345911,4.042186001716364e-06
2016,E02003320,E06000035,9018,124639,72,2908,0.024759284731774415,223.27922971114168,female,0-4,309,0.034264803725881574,0.0008483720317274667,0.0005776683060679242,1.9793691126079908e-05
2016,E02003320,E06000035,9018,124639,72,2908,0.024759284731774415,223.27922971114168,male,0-4,325,0.03603903304502107,0.0008923006806195037,0.0005776683060679242,2.0818607171443263e-05
2016,E02005035,E07000107,8143,124639,2768,3698,0.7485127095727421,6095.138994050839,female,0-4,241,0.02959597200049122,0.022152961194526692,0.02220813709994464,0.0006572714037930319
2016,E02005035,E07000107,8143,124639,2768,3698,0.7485127095727421,6095.138994050839,male,0-4,241,0.02959597200049122,0.022152961194526692,0.02220813709994464,0.0006572714037930319
2016,E02005101,E07000111,6777,124639,13,2510,0.0051792828685258965,35.1,female,0-4,206,0.03039693079533717,0.00015743430292405707,0.00010430122192893075,3.1704370248428116e-06
2016,E02005101,E07000111,6777,124639,13,2510,0.0051792828685258965,35.1,male,0-4,186,0.027445772465692783,0.0001421494191450224,0.00010430122192893075,2.8626276049551598e-06
