year,msoa,ltla,ppln_msoa,total_trust_patients,patients_from_msoa_to_trust,total_patients_of_msoa,tfp_msoa,etc_msoa,sex,ag,ag_ppln_msoa,agf_ppln_msoa,ag_trust_factor,msoa_frac_tp,ag_msoa_frac_tp
2018,E02003475,E06000042,21716,197769,9,6340,0.0014195583596214511,30.827129337539432,female,0-4,982,0.045220114201510404,6.41925911377908e-05,4.550763769852707e-05,2.0578605737683544e-06
2018,E02003475,E06000042,21716,197769,9,6340,0.0014195583596214511,30.827129337539432,male,0-4,994,0.04577270215509302,6.497702198672511e-05,4.550763769852707e-05,2.0830075461565625e-06
2018,E02004594,E07000077,8509,197769,14,2825,0.00495575221238938,42.168495575221236,female,0-4,231,0.02714772593724292,0.00013453740287483216,7.078965864215322e-05,1.9217782520081555e-06
2018,E02004594,E07000077,8509,197769,14,2825,0.00495575221238938,42.168495575221236,male,0-4,237,0.027852861675872604,0.00013803188087158105,7.078965864215322e-05,1.9716945702421334e-06
2018,E02003608,E06000056,11840,197769,14,4525,0.0030939226519337017,36.63204419889503,female,0-4,356,0.03006756756756757,9.302672838584441e-05,7.078965864215322e-05,2.128472844307985e-06
2018,E02003608,E06000056,11840,197769,14,4525,0.0030939226519337017,36.63204419889503,male,0-4,353,0.02981418918918919,9.224279528146932e-05,7.078965864215322e-05,2.1105362753952776e-06
2018,E02003627,E06000055,10302,197769,13,4696,0.002768313458262351,28.51916524701874,female,0-4,337,0.03271209473888565,9.05573321136102e-05,6.573325445342799e-05,2.1502724471758136e-06
2018,E02003627,E06000055,10302,197769,13,4696,0.002768313458262351,28.51916524701874,male,0-4,391,0.037953795379537955,0.00010506800254131035,6.573325445342799e-05,2.494826489156508e-06
2018,E02003248,E06000031,11281,197769,3471,4004,0.8668831168831169,9779.308441558442,female,0-4,442,0.03918092367697899,0.033965281239459064,0.017550778939065273,0.0006876557300830468
2018,E02003248,E06000031,11281,197769,3471,4004,0.8668831168831169,9779.308441558442,male,0-4,458,0.04059923765623615,0.035194793682516406,0.017550778939065273,0.0007125482451991752
2018,E02003726,E07000008,8512,197769,16,2059,0.007770762506070908,66.14473045167557,female,0-4,174,0.02044172932330827,0.00015884782378481415,8.090246701960367e-05,1.6537863324026127e-06
2018,E02003726,E07000008,8512,197769,16,2059,0.007770762506070908,66.14473045167557,male,0-4,170,0.019971804511278196,0.0001551961496748184,8.090246701960367e-05,1.6157682557956562e-06
2018,E02003629,E06000055,10188,197769,8,4590,0.0017429193899782135,17.75686274509804,female,0-4,363,0.0356301531213192,6.210048474304e-05,4.0451233509801836e-05,1.441283643900478e-06
2018,E02003629,E06000055,10188,197769,8,4590,0.0017429193899782135,17.75686274509804,male,0-4,432,0.04240282685512368,7.390470911568397e-05,4.0451233509801836e-05,1.7152466505923042e-06
2018,E02004592,E07000077,13637,197769,22,4681,0.004699850459303568,64.09186071352275,female,0-4,365,0.026765417613844687,0.00012579346026587974,0.00011124089215195505,2.977408934183735e-06
2018,E02004592,E07000077,13637,197769,22,4681,0.004699850459303568,64.09186071352275,male,0-4,366,0.026838747525115496,0.00012613809988304655,0.00011124089215195505,2.9855662189349235e-06
2018,E02003630,E06000055,10949,197769,8,4718,0.001695633743111488,18.56549385332768,female,0-4,420,0.03835966754954791,6.504394667155219e-05,4.0451233509801836e-05,1.5516958694051304e-06
2018,E02003630,E06000055,10949,197769,8,4718,0.001695633743111488,18.56549385332768,male,0-4,431,0.03936432550917892,6.674747860818808e-05,4.0451233509801836e-05,1.5923355231276455e-06
2018,E02006293,E07000244,11369,197769,8,4364,0.0018331805682859762,20.841429880843265,female,0-4,281,0.02471633389040373,4.530950300715624e-05,4.0451233509801836e-05,9.9980619370695e-07
2018,E02006293,E07000244,11369,197769,8,4364,0.0018331805682859762,20.841429880843265,male,0-4,270,0.02374879057085056,4.3535821394776464e-05,4.0451233509801836e-05,9.60667872956856e-07
2018,E02004913,E07000099,15369,197769,15,5350,0.002803738317757009,43.09065420560747,female,0-4,437,0.0284338603682738,7.972110383628167e-05,7.584606283087844e-05,2.156596360016519e-06
2018,E02004913,E07000099,15369,197769,15,5350,0.002803738317757009,43.09065420560747,male,0-4,501,0.03259808705836424,9.139650577111469e-05,7.584606283087844e-05,2.47243655919514e-06
2018,E02004446,E07000067,6863,197769,9,2511,0.0035842293906810036,24.59856630824373,female,0-4,133,0.019379280198164067,6.945978565650203e-05,4.550763769852707e-05,8.819052621162903e-07
2018,E02004446,E07000067,6863,197769,9,2511,0.0035842293906810036,24.59856630824373,male,0-4,146,0.021273495555879353,7.62490880139045e-05,4.550763769852707e-05,9.681065283381833e-07
2018,E02004596,E07000077,10454,197769,8,3715,0.0021534320323014803,22.511978465679675,female,0-4,390,0.037306294241438685,8.033656902597833e-05,4.0451233509801836e-05,1.5090856197458118e-06
2018,E02004596,E07000077,10454,197769,8,3715,0.0021534320323014803,22.511978465679675,male,0-4,430,0.04113258083030419,8.857621713120685e-05,4.0451233509801836e-05,1.6638636320274333e-06
2018,E02004595,E07000077,13872,197769,9,4817,0.0018683828108781398,25.918206352501556,female,0-4,501,0.0361159169550173,6.747835843785669e-05,4.550763769852707e-05,1.6435500639390182e-06
2018,E02004595,E07000077,13872,197769,9,4817,0.0018683828108781398,25.918206352501556,male,0-4,436,0.03143021914648212,5.8723681195420194e-05,4.550763769852707e-05,1.430315025703417e-06
2018,E02003634,E06000055,12725,197769,17,5649,0.0030093821915383252,38.29438838732519,female,0-4,581,0.0456581532416503,0.00013740283326395025,8.595887120832891e-05,3.9247233141091634e-06
2018,E02003634,E06000055,12725,197769,17,5649,0.0030093821915383252,38.29438838732519,male,0-4,637,0.05005893909626719,0.00015064647984360812,8.595887120832891e-05,4.303009898601612e-06
2018,E02003618,E06000055,8740,197769,20,3706,0.005396654074473826,47.16675661090124,female,0-4,245,0.02803203661327231,0.0001512792046048155,0.0001011280837745046,2.8348261469969825e-06
2018,E02003618,E06000055,8740,197769,20,3706,0.005396654074473826,47.16675661090124,male,0-4,222,0.02540045766590389,0.00013707748335620016,0.0001011280837745046,2.568699610748286e-06
2018,E02003620,E06000055,8020,197769,16,3815,0.0041939711664482305,33.63564875491481,female,0-4,205,0.025561097256857856,0.0001072025048780408,8.090246701960367e-05,2.0679558278078245e-06
2018,E02003620,E06000055,8020,197769,16,3815,0.0041939711664482305,33.63564875491481,male,0-4,228,0.028428927680798004,0.0001192301029863088,8.090246701960367e-05,2.2999703840984584e-06
