year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor
2011,E06000012,159735,66,56574,0.0011666136387739952,186.34902958956414,female,0-4,4862,0.03043791279306351,3.5509284200201365e-05
2011,E06000012,159735,66,56574,0.0011666136387739952,186.34902958956414,male,0-4,5139,0.032172034932857536,3.753233473978502e-05
2011,E06000013,167516,50,64098,0.0007800555399544447,130.67178383100875,female,0-4,4993,0.029806108073258675,2.325041972702633e-05
2011,E06000013,167516,50,64098,0.0007800555399544447,130.67178383100875,male,0-4,5228,0.03120895914420115,2.4344721476646034e-05
2011,E06000015,248943,2948,91373,0.0322633600735447,8031.737646788439,female,0-4,8681,0.034871436433239734,0.0011250697099273392
2011,E06000015,248943,2948,91373,0.0322633600735447,8031.737646788439,male,0-4,9127,0.036663011211401815,0.0011828719320938626
2011,E06000016,329627,941,106641,0.00882399827458482,2908.6280792565713,female,0-4,12013,0.0364442233190849,0.0003215837636861891
2011,E06000016,329627,941,106641,0.00882399827458482,2908.6280792565713,male,0-4,12347,0.037457489829413236,0.0003305248256250209
2011,E06000017,37581,173,12632,0.013695376820772641,514.6859563014566,female,0-4,917,0.024400627976903226,0.0003341757948071768
2011,E06000017,37581,173,12632,0.013695376820772641,514.6859563014566,male,0-4,917,0.024400627976903226,0.0003341757948071768
2011,E06000018,303899,89777,93429,0.9609114942897816,292020.0422031703,female,0-4,9725,0.032000763411528174,0.030749901388185306
2011,E06000018,303899,89777,93429,0.9609114942897816,292020.0422031703,male,0-4,10357,0.03408040171241103,0.032748249735468915
2011,E06000031,184457,124,67931,0.0018253816372495622,336.70442066214247,female,0-4,6833,0.03704386388155505,6.761918890216285e-05
2011,E06000031,184457,124,67931,0.0018253816372495622,336.70442066214247,male,0-4,7211,0.039093121974227055,7.135986699451141e-05
2011,E07000010,95461,8,40454,0.00019775547535472388,18.877935432837297,female,0-4,2537,0.026576298174123464,5.255608478592667e-06
2011,E07000010,95461,8,40454,0.00019775547535472388,18.877935432837297,male,0-4,2687,0.02814762049423325,5.566346070941464e-06
2011,E07000032,122521,4284,44012,0.09733708988457693,11925.83758974825,female,0-4,3226,0.02633018013238547,0.002562903110223106
2011,E07000032,122521,4284,44012,0.09733708988457693,11925.83758974825,male,0-4,3248,0.026509741187225048,0.002580381060757796
2011,E07000033,76029,1222,30344,0.040271552860532564,3061.8058924334296,female,0-4,2085,0.02742374620210709,0.0011043968448119846
2011,E07000033,76029,1222,30344,0.040271552860532564,3061.8058924334296,male,0-4,2197,0.02889686830025385,0.0011637217592575205
2011,E07000034,103788,347,43118,0.008047683102184702,835.2529338095458,female,0-4,2868,0.027633252399121285,0.00022238365839081324
2011,E07000034,103788,347,43118,0.008047683102184702,835.2529338095458,male,0-4,2927,0.028201718888503487,0.00022695849655157265
2011,E07000035,71104,411,26106,0.01574350723971501,1119.426338772696,female,0-4,1498,0.02106773177317732,0.000331679987695391
2011,E07000035,71104,411,26106,0.01574350723971501,1119.426338772696,male,0-4,1554,0.021855310531053104,0.00034407923957185417
2011,E07000036,112249,18316,37685,0.4860289239750564,54556.2606872761,female,0-4,3159,0.02814278969077676,0.013678209791064535
2011,E07000036,112249,18316,37685,0.4860289239750564,54556.2606872761,male,0-4,3383,0.030138353125640317,0.014648111340035241
2011,E07000038,99100,324,39210,0.008263198163733741,818.8829380260138,female,0-4,2343,0.023642785065590314,0.0001953650181395374
2011,E07000038,99100,324,39210,0.008263198163733741,818.8829380260138,male,0-4,2485,0.025075681130171543,0.00020720532226920632
2011,E07000039,94915,747,34183,0.02185296784951584,2074.174443436796,female,0-4,2772,0.029205078227888114,0.000638217635556634
