year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2011,E06000006,125722,1314,59373,0.022131271790207668,2782.387752008489,23271,0.056465128271238875
2011,E06000007,202709,1699,80775,0.02103373568554627,4263.727527081399,23271,0.07300932491083323
2011,E06000049,370736,42,152423,0.00027554896570727513,102.15592135045236,23271,0.0018048214515921106
2011,E06000050,329526,2382,136341,0.017470900169428125,5757.115849230971,23271,0.10235915946886684
2011,E06000051,307108,84,112425,0.0007471647765176784,229.46028018679118,23271,0.003609642903184221
2011,E07000118,107591,11,43171,0.00025480067637997727,27.414259572398144,23271,0.00047269133255983836
2011,E07000127,110617,1144,50664,0.022580135796620875,2497.7468814148115,23271,0.0491598985862232
2011,E08000010,318122,86,134578,0.0006390346118979327,203.2909688061942,23271,0.003695586781831464
2011,E08000011,145903,2267,75657,0.029964180445960057,4371.863819606911,23271,0.09741738644665034
2011,E08000012,465656,6357,208876,0.030434324671096726,14171.925889044216,23271,0.27317261828026296
2011,E08000013,175405,1800,80078,0.02247808386822848,3942.7683009066163,23271,0.07734949078251901
2011,E08000014,273969,3108,125663,0.024732817137900574,6776.025178453483,23271,0.13355678741781615
2011,E08000015,319837,2977,134005,0.0222155889705608,7105.367329577253,23271,0.12792746336642172
2012,E06000006,125781,1375,60645,0.0226729326407783,2851.824140489736,24255,0.05668934240362813
2012,E06000007,203795,1793,82177,0.021818757073146983,4446.55359772199,24255,0.07392290249433106
2012,E06000049,372383,46,153305,0.00030005544502788566,111.73554678581912,24255,0.001896516182230468
2012,E06000050,330224,2451,137440,0.01783323632130384,5888.962630966239,24255,0.1010513296227582
2012,E06000051,308416,85,112511,0.0007554816862351236,233.0026397418919,24255,0.003504432075860647
2012,E07000118,109075,9,43299,0.00020785699438786117,22.672001662855955,24255,0.0003710575139146568
2012,E07000127,110911,1276,50823,0.025106743010054503,2784.613973988155,24255,0.052607709750566896
2012,E08000010,318740,99,135347,0.0007314532276297222,233.14340177469762,24255,0.004081632653061225
2012,E08000011,145942,2425,75174,0.032258493628116114,4707.869077074521,24255,0.0999793856936714
2012,E08000012,470191,6266,204887,0.030582711445821358,14379.715677422188,24255,0.25833848690991545
2012,E08000013,176124,1877,80634,0.023278021678200263,4099.818290051343,24255,0.07738610595753452
