year,ltla,ppln_ltla,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,total_trust_patients,ltla_frac_tp
2011,E07000143,131009,52,48769,0.0010662511021345526,139.6884906395456,76542,0.0006793655770687987
2011,E07000144,124740,1479,43176,0.03425514174541412,4272.986381322958,76542,0.01932272477855295
2011,E07000145,97424,34101,41274,0.8262102049716529,80492.70300915831,76542,0.4455201066081367
2011,E07000147,101664,1034,38767,0.026672169628808008,2711.599453143137,76542,0.013508923205560346
2011,E07000148,132158,400,44332,0.009022827754218171,1192.438870341965,76542,0.005225889054375376
2011,E07000149,124495,1925,42001,0.04583224208947406,5705.884978929073,76542,0.025149591074181497
2011,E07000202,133729,16,47166,0.0003392274095746937,45.36454225501421,76542,0.00020903556217501503
2011,E07000203,97076,49,33413,0.001466495076766528,142.36147607218746,76542,0.0006401714091609836
2011,E07000244,239946,37477,91378,0.4101315415088971,98409.42285889383,76542,0.4896266102270649
2011,E07000245,171481,9,61854,0.00014550392860607236,24.95115918129789,76542,0.00011758250372344597
2012,E07000143,131857,56,49276,0.0011364558811591849,149.84966312200666,77427,0.0007232619112196004
2012,E07000144,125173,1450,43244,0.03353066321339376,4197.133706410137,77427,0.01872731734407894
2012,E07000145,97555,34586,42042,0.8226535369392513,80253.96579610865,77427,0.4466917225257339
2012,E07000146,148579,9,67431,0.00013346976909729946,19.830804822707652,77427,0.0001162385214460072
2012,E07000147,101829,981,38923,0.025203607121753204,2566.458109601007,77427,0.012669998837614785
2012,E07000148,133867,398,44372,0.008969620481384655,1200.73618498152,77427,0.005140325726167874
2012,E07000149,125987,1866,42447,0.04396070393667397,5538.477206869744,77427,0.024100120113138827
2012,E07000202,135065,35,48524,0.0007212925562608193,97.42137911136757,77427,0.0004520386945122503
2012,E07000203,97789,52,34016,0.001528692380056444,149.4892991533396,77427,0.0006716003461324861
2012,E07000244,240392,37994,92694,0.4098862925324185,98533.38563445314,77427,0.4907073759799554
2013,E07000143,132995,50,50480,0.0009904912836767037,131.7303882725832,78791,0.0006345902450787526
2013,E07000144,125499,1381,43933,0.031434229394760205,3944.9643548130107,78791,0.01752738256907515
2013,E07000145,97736,35230,42841,0.822343082561098,80372.52351719147,78791,0.4471322866824891
2013,E07000147,102079,929,39472,0.023535670855289827,2402.4977452371304,78791,0.011790686753563224
2013,E07000148,135118,381,45306,0.008409482187789695,1136.2724142497682,78791,0.004835577667500095
2013,E07000149,127682,1898,43569,0.04356308384401754,5562.221671371847,78791,0.02408904570318945
2013,E07000202,135604,19,50034,0.00037974177559259705,51.49450373745854,78791,0.00024114429312992598
2013,E07000203,98431,55,35271,0.0015593547106688213,153.48884352584275,78791,0.0006980492695866278
2013,E07000244,241426,38848,94307,0.4119312458248062,99450.91295449967,78791,0.4930512368163877
2014,E07000143,134287,59,52247,0.0011292514402740828,151.64378816008576,81253,0.0007261270353094653
2014,E07000144,125956,1416,45027,0.031447797987873935,3961.0388433606495,81253,0.017427048847427167
2014,E07000145,98127,36530,44274,0.8250892171477616,80963.5296110584,81253,0.44958339999753855
2014,E07000146,150214,11,70831,0.00015529923338651155,23.32811904392145,81253,0.0001353796167526122
2014,E07000147,102872,989,40143,0.024636923000274025,2534.449542884189,81253,0.012171858269848498
2014,E07000148,136587,404,45970,0.008788340221883838,1200.3730258864475,81253,0.004972124106186849
2014,E07000149,129345,1970,45058,0.043721425717963516,5655.147809489991,81253,0.024245258636604188
2014,E07000202,136429,8,51885,0.00015418714464681508,21.035597957020336,81253,9.845790309280888e-05
2014,E07000203,99596,53,36870,0.0014374830485489555,143.1675617032818,81253,0.0006522836079898588
2014,E07000244,242179,39813,96403,0.4129850730786386,100016.31201311164,81253,0.48998806197925
2015,E07000143,135698,63,54238,0.0011615472546922822,157.6196393672333,82193,0.0007664886304186488
2015,E07000144,126626,1387,46076,0.030102439447868737,3811.751497525827,82193,0.016874916355407398
2015,E07000145,98615,37181,45114,0.8241565811056435,81274.20124573303,82193,0.4523621232951711
2015,E07000146,151261,8,73169,0.00010933592095012917,16.538260738837486,82193,9.733188957697128e-05
2015,E07000147,103252,1037,41185,0.025179070049775404,2599.78934077941,82193,0.0126166461864149
2015,E07000148,138097,408,46749,0.00872745941089649,1205.2359622665726,82193,0.004963926368425535
2015,E07000149,131199,2031,46852,0.043349270041833865,5687.3808802185595,82193,0.024710133466353583
2015,E07000203,100251,47,38370,0.0012249152984102165,122.79898358092258,82193,0.0005718248512647063
2015,E07000244,243264,40031,97961,0.4086422147589347,99407.93973111748,82193,0.4870366089569672
2016,E07000143,137123,71,55854,0.0012711712679485802,174.30681777491313,83454,0.0008507680878088528
2016,E07000144,127402,1442,47076,0.03063131956835755,3902.4913756478886,83454,0.01727898003690656
2016,E07000145,98992,37789,45932,0.8227161891491771,81442.32099625532,83454,0.4528123277494188
2016,E07000147,103587,1140,41707,0.027333541132184044,2831.399525259549,83454,0.013660220001437918
2016,E07000148,139865,451,47023,0.00959105118771665,1341.4523743699892,83454,0.0054041747549548255
2016,E07000149,132965,2186,48270,0.04528692769836337,6021.576341412886,83454,0.02619407098521341
2016,E07000203,100720,53,38883,0.0013630635496232287,137.28776071805157,83454,0.0006350804035756225
2016,E07000244,245003,40322,98830,0.4079935242335323,99959.63741778812,83454,0.483164377980684
2017,E07000143,138602,127,56325,0.0022547714158899245,312.5158277851753,84949,0.001495014655852335
2017,E07000144,128535,1695,47541,0.0356534359815738,4582.714393891588,84949,0.019953148359604
2017,E07000145,99417,38034,46454,0.8187454255822965,81397.21397511517,84949,0.447727460005415
2017,E07000147,104067,1370,42076,0.03256012928985645,3388.4349748074915,84949,0.016127323452895262
2017,E07000148,140353,575,47141,0.012197450202583738,1711.9487282832354,84949,0.006768767142638525
2017,E07000149,135471,2347,49376,0.047533214517174335,6439.372103856124,84949,0.0276283417109089
2017,E07000203,101543,59,38714,0.0015239964870589454,154.75117528542646,84949,0.0006945343676794313
2017,E07000244,246913,40742,99141,0.41095006102419773,101468.91241766776,84949,0.4796054103050065
2018,E07000076,145803,9,66010,0.00013634297833661568,19.879215270413575,86849,0.00010362813619039944
2018,E07000143,139329,185,56695,0.0032630743451803512,454.6408854396331,86849,0.002130133910580433
2018,E07000144,129464,2063,48199,0.042801717877964274,5541.281603352767,86849,0.023753871662310445
2018,E07000145,99370,38361,46972,0.8166780209486503,81153.29494166738,86849,0.4416976591555458
2018,E07000147,104552,1721,42686,0.040317668556435364,4215.292882912429,86849,0.019816002487075268
2018,E07000148,141137,724,47409,0.015271361977683563,2155.354215444325,86849,0.00833630784464991
2018,E07000149,138017,2592,50637,0.051187866579773686,7064.795781740625,86849,0.029844903222835038
2018,E07000203,102493,77,41410,0.0018594542381067372,190.58104322627383,86849,0.0008865962762956396
2018,E07000244,248249,41109,107148,0.3836655840519655,95244.59757531637,86849,0.4733387834056811
2018,E07000245,178881,8,72799,0.00010989161939037625,19.65752276816989,86849,9.21138988359106e-05
2019,E07000076,146561,11,65703,0.00016742005692281934,24.537250962665325,87573,0.00012560949150994027
2019,E07000143,139968,187,56583,0.003304879557464256,462.57738189915705,87573,0.0021353613556689853
2019,E07000144,130783,2342,48504,0.04828467755236682,6314.814984331189,87573,0.02674340264693456
2019,E07000145,99336,38561,47292,0.8153810369618539,80996.69068764274,87573,0.44032978201043704
2019,E07000146,151383,9,75783,0.0001187601440956415,17.978266893630494,87573,0.0001027714021444966
2019,E07000147,104837,2004,43160,0.046431881371640414,4867.779147358666,87573,0.02288376554417457
2019,E07000148,140573,810,46920,0.017263427109974427,2426.7717391304345,87573,0.009249426193004694
2019,E07000149,140880,2716,51217,0.05302926762598356,7470.763223148564,87573,0.031014125358272526
2019,E07000203,103895,73,41464,0.0017605633802816902,182.91373239436618,87573,0.0008335902618386945
2019,E07000244,249461,40852,106892,0.38218014444486026,95339.04101335928,87573,0.4664908133785528
2019,E07000245,179045,8,72151,0.00011087857410153704,19.852254300009697,87573,9.135235746177474e-05
