year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ag_ppln_ltla,agf_ppln_ltla,ag_trust_factor,ltla_frac_tp,ag_ltla_frac_tp
2011,E06000031,184457,86856,104,67931,0.001530965244144794,282.39725603921624,female,0-4,6833,0.03704386388155505,5.671286811149144e-05,0.0011973841761075805,4.435573643365715e-05
2011,E06000031,184457,86856,104,67931,0.001530965244144794,282.39725603921624,male,0-4,7211,0.039093121974227055,5.9850211027654726e-05,0.0011973841761075805,4.6809485646583005e-05
2011,E07000009,84245,86856,1337,28844,0.04635279434197753,3904.9911593398974,female,0-4,2684,0.03185945753457178,0.0014767748829469724,0.015393294648613796,0.0004904220171746624
2011,E07000009,84245,86856,1337,28844,0.04635279434197753,3904.9911593398974,male,0-4,2874,0.03411478426019348,0.0015813155788336804,0.015393294648613796,0.0005251389259910505
2011,E07000010,95461,86856,13577,40454,0.3356157611113857,32038.216171453994,female,0-4,2537,0.026576298174123464,0.008919424539231578,0.1563162015289675,0.004154305981280215
2011,E07000010,95461,86856,13577,40454,0.3356157611113857,32038.216171453994,male,0-4,2687,0.02814762049423325,0.00944678507564653,0.1563162015289675,0.00439992911773746
2011,E07000012,149842,86856,8,49164,0.00016272068993572532,24.382393621348953,female,0-4,4529,0.030225170512940294,4.9182605992905856e-06,9.210647508519848e-05,2.7839339147960116e-06
2011,E07000012,149842,86856,8,49164,0.00016272068993572532,24.382393621348953,male,0-4,4894,0.03266106966004191,5.3146317891208054e-06,9.210647508519848e-05,3.0082959988985823e-06
2011,E07000136,64615,86856,65,26375,0.0024644549763033177,159.2407582938389,female,0-4,1907,0.029513270912326858,7.273412736687188e-05,0.0007483651100672378,2.2086702234747696e-05
2011,E07000136,64615,86856,65,26375,0.0024644549763033177,159.2407582938389,male,0-4,1985,0.030720420954886637,7.570909429640309e-05,0.0007483651100672378,2.299009120921561e-05
2011,E07000140,88390,86856,6327,37118,0.17045638234818686,15066.639635756235,female,0-4,2133,0.024131689105102383,0.004113400424806907,0.07284470848300635,0.0017578658580637238
2011,E07000140,88390,86856,6327,37118,0.17045638234818686,15066.639635756235,male,0-4,2390,0.027039257834596674,0.004609014071865218,0.07284470848300635,0.0019696668545580408
