year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2012,E06000007,174825,62252,11,82177,0.00013385740535672998,23.40162089149032,female,12-15,4862,0.02781066781066781,3.722663834373924e-06,0.00017670115016385016,4.914176988969767e-06
2012,E06000007,174825,62252,11,82177,0.00013385740535672998,23.40162089149032,male,12-15,5156,0.029492349492349492,3.947769380919775e-06,0.00017670115016385016,5.211332076332398e-06
2012,E06000021,212264,62252,915,95599,0.009571229824579756,2031.6275274845973,female,12-15,5544,0.026118418573097654,0.00024998538681769006,0.014698322945447536,0.00038389695101176435
2012,E06000021,212264,62252,915,95599,0.009571229824579756,2031.6275274845973,male,12-15,5879,0.02769664191761203,0.0002650909251625541,0.014698322945447536,0.00040709418740948093
2012,E06000049,323740,62252,48300,153305,0.31505821727927985,101996.94726199406,female,12-15,8561,0.026444060048186818,0.008331418416407966,0.7758786866285421,0.02051738257931349
2012,E06000049,323740,62252,48300,153305,0.31505821727927985,101996.94726199406,male,12-15,8879,0.027426329770803733,0.008640890564103065,0.7758786866285421,0.021279504721612483
2012,E06000050,287140,62252,754,137440,0.005486030267753202,1575.2587310826543,female,12-15,7373,0.025677369924078847,0.00014086682859979228,0.01211206065668573,0.00031100586202460084
2012,E06000050,287140,62252,754,137440,0.005486030267753202,1575.2587310826543,male,12-15,7804,0.02717837988437696,0.00014910141467418676,0.01211206065668573,0.000329186185710021
2012,E07000035,63176,62252,164,25776,0.006362507759155804,401.95779019242707,female,12-15,1663,0.02632328732430037,0.00016748211984734873,0.002634453511533766,6.934747672661538e-05
2012,E07000035,63176,62252,164,25776,0.006362507759155804,401.95779019242707,male,12-15,1808,0.028618462707357226,0.00018208519103067136,0.002634453511533766,7.539400957409537e-05
2012,E07000037,79262,62252,4446,37389,0.11891197945919924,9425.20131589505,female,12-15,2223,0.02804622643889884,0.0033350323022103895,0.07141939214804344,0.00200304444431254
2012,E07000037,79262,62252,4446,37389,0.11891197945919924,9425.20131589505,male,12-15,2259,0.028500416340743358,0.0033890409224891006,0.07141939214804344,0.002035482411022055
2012,E07000193,97948,62252,10,42109,0.00023747892374551758,23.260585623025957,female,12-15,2672,0.027279781108343202,6.478373057622647e-06,0.00016063740923986377,4.3821533618748316e-06
2012,E07000193,97948,62252,10,42109,0.00023747892374551758,23.260585623025957,male,12-15,2712,0.027688161065054926,6.5753546902217875e-06,0.00016063740923986377,4.44775446010649e-06
2012,E07000195,108788,62252,597,44576,0.013392857142857142,1456.982142857143,female,12-15,2732,0.025113063940875834,0.00033633567777958706,0.009590053331619868,0.00024083562251337907
2012,E07000195,108788,62252,597,44576,0.013392857142857142,1456.982142857143,male,12-15,2943,0.02705261609736368,0.0003623118227325493,0.009590053331619868,0.00025943603113355584
2012,E07000197,115202,62252,12,18346,0.0006540935353755587,75.35288346233511,female,12-15,2800,0.024305133591430703,1.5897830758594157e-05,0.00019276489108783655,4.685176429627457e-06
2012,E07000197,115202,62252,12,18346,0.0006540935353755587,75.35288346233511,male,12-15,3017,0.026188781444766582,1.7129912642385206e-05,0.00019276489108783655,5.048277602923585e-06
2012,E07000198,85699,62252,5725,33697,0.16989642994925364,14559.954150221087,female,12-15,2153,0.0251228135684197,0.004268276335555176,0.09196491678982201,0.0023104174593459293
2012,E07000198,85699,62252,5725,33697,0.16989642994925364,14559.954150221087,male,12-15,2218,0.025881282161985555,0.0043971374418306465,0.09196491678982201,0.002380169960440906
2012,E08000003,432176,62252,21,202390,0.0001037600671969959,44.8426108009289,female,12-15,10380,0.024017992669653106,2.4921085333401614e-06,0.00033733855940371396,8.10219504694974e-06
2012,E08000003,432176,62252,21,202390,0.0001037600671969959,44.8426108009289,male,12-15,11186,0.025882973603346786,2.6856190803413335e-06,0.00033733855940371396,8.73132502843736e-06
2012,E08000007,243617,62252,1259,126590,0.00994549332490718,2422.891247333913,female,12-15,6661,0.027342098457825193,0.00027193065770125536,0.02022424982329885,0.0005529734299042909
2012,E08000007,243617,62252,1259,126590,0.00994549332490718,2422.891247333913,male,12-15,6885,0.02826157452066153,0.0002810753007466061,0.02022424982329885,0.0005715691435056362
2012,E08000009,193157,62252,38,78792,0.00048228246522489593,93.15623413544522,female,12-15,5590,0.02894018855128212,1.395734547858565e-05,0.0006104221551114824,1.766573226480628e-05
2012,E08000009,193157,62252,38,78792,0.00048228246522489593,93.15623413544522,male,12-15,5879,0.03043638076797631,1.4678932749303226e-05,0.0006104221551114824,1.8579041142181773e-05
2012,E06000007,174825,62252,11,82177,0.00013385740535672998,23.40162089149032,female,16-17,2491,0.014248534248534249,1.907271824645299e-06,0.00017670115016385016,2.517732389865012e-06
2012,E06000007,174825,62252,11,82177,0.00013385740535672998,23.40162089149032,male,16-17,2625,0.015015015015015015,2.009870951302252e-06,0.00017670115016385016,2.653170422880633e-06
2012,E06000021,212264,62252,915,95599,0.009571229824579756,2031.6275274845973,female,16-17,2852,0.013436098443447782,0.00012859998614791704,0.014698322945447536,0.00019748811404862046
2012,E06000021,212264,62252,915,95599,0.009571229824579756,2031.6275274845973,male,16-17,2976,0.014020276636641163,0.00013419128989347864,0.014698322945447536,0.00020607455378986482
2012,E06000049,323740,62252,48300,153305,0.31505821727927985,101996.94726199406,female,16-17,4230,0.013066040649904244,0.004116563474057434,0.7758786866285421,0.010137662458882847
2012,E06000049,323740,62252,48300,153305,0.31505821727927985,101996.94726199406,male,16-17,4703,0.014527089639834435,0.004576878964182533,0.7758786866285421,0.011271259230289842
2012,E06000050,287140,62252,754,137440,0.005486030267753202,1575.2587310826543,female,16-17,3797,0.01322351466183743,7.254460168091839e-05,0.01211206065668573,0.00016016401167874805
2012,E06000050,287140,62252,754,137440,0.005486030267753202,1575.2587310826543,male,16-17,3989,0.013892178031622205,7.621290916649551e-05,0.01211206065668573,0.0001682629029724851
2012,E07000035,63176,62252,164,25776,0.006362507759155804,401.95779019242707,female,16-17,904,0.014309231353678613,9.104259551533568e-05,0.002634453511533766,3.7697004787047686e-05
2012,E07000035,63176,62252,164,25776,0.006362507759155804,401.95779019242707,male,16-17,886,0.014024313030264657,8.922980047188873e-05,0.002634453511533766,3.694640070942948e-05
2012,E07000037,79262,62252,4446,37389,0.11891197945919924,9425.20131589505,female,16-17,1136,0.014332214680426938,0.0017042720176837617,0.07141939214804344,0.0010235980606113566
2012,E07000037,79262,62252,4446,37389,0.11891197945919924,9425.20131589505,male,16-17,1181,0.014899952057732584,0.0017717827930321503,0.07141939214804344,0.00106414551899825
2012,E07000193,97948,62252,10,42109,0.00023747892374551758,23.260585623025957,female,16-17,1464,0.01494670641564912,3.5495277531285756e-06,0.00016063740923986377,2.401000195278725e-06
2012,E07000193,97948,62252,10,42109,0.00023747892374551758,23.260585623025957,male,16-17,1553,0.015855351819332706,3.7653118856616653e-06,0.00016063740923986377,2.5469626388441663e-06
2012,E07000195,108788,62252,597,44576,0.013392857142857142,1456.982142857143,female,16-17,1392,0.012795528918630731,0.0001713686908745187,0.009590053331619868,0.000122709804735953
2012,E07000195,108788,62252,597,44576,0.013392857142857142,1456.982142857143,male,16-17,1449,0.013319483766591903,0.00017838594330257012,0.009590053331619868,0.00012773455967126144
2012,E07000197,115202,62252,12,18346,0.0006540935353755587,75.35288346233511,female,16-17,1497,0.012994566066561344,8.499661659148377e-06,0.00019276489108783655,2.504896112554394e-06
2012,E07000197,115202,62252,12,18346,0.0006540935353755587,75.35288346233511,male,16-17,1452,0.012603947848127637,8.24416080767097e-06,0.00019276489108783655,2.429598634221096e-06
2012,E07000198,85699,62252,5725,33697,0.16989642994925364,14559.954150221087,female,16-17,1160,0.013535747208252139,0.002299675127377615,0.09196491678982201,0.0012448138656949734
2012,E07000198,85699,62252,5725,33697,0.16989642994925364,14559.954150221087,male,16-17,1247,0.014550928248871048,0.002472150761930936,0.09196491678982201,0.0013381749056220963
2012,E08000003,432176,62252,21,202390,0.0001037600671969959,44.8426108009289,female,16-17,5222,0.012083040242864019,1.2537370675435763e-06,0.00033733855940371396,4.07607538874485e-06
2012,E08000003,432176,62252,21,202390,0.0001037600671969959,44.8426108009289,male,16-17,5704,0.013198326607678354,1.369459255700605e-06,0.00033733855940371396,4.452304484373923e-06
2012,E08000007,243617,62252,1259,126590,0.00994549332490718,2422.891247333913,female,16-17,3380,0.01387423701958402,0.00013798613166645296,0.02022424982329885,0.00028059603559172844
2012,E08000007,243617,62252,1259,126590,0.00994549332490718,2422.891247333913,male,16-17,3592,0.014744455436196981,0.00014664088312008847,0.02022424982329885,0.00029819555025014456
