year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2012,E06000015,211172,408772,18,88927,0.00020241321533392558,42.74400350849573,female,12-15,5807,0.027498910840452334,5.566142961396899e-06,4.4034327204407346e-05,1.2108960377133024e-06
2012,E06000015,211172,408772,18,88927,0.00020241321533392558,42.74400350849573,male,12-15,6122,0.02899058587312712,5.86807770099394e-06,4.4034327204407346e-05,1.2765809441847488e-06
2012,E06000016,277918,408772,26,101852,0.00025527235596748223,70.94478262577073,female,12-15,7789,0.028026252347814824,7.1543274657658705e-06,6.360513929525506e-05,1.7826136845067309e-06
2012,E06000016,277918,408772,26,101852,0.00025527235596748223,70.94478262577073,male,12-15,8383,0.03016357342813348,7.699926453397778e-06,6.360513929525506e-05,1.918558289539084e-06
2012,E06000017,32677,408772,11,12517,0.0008788048254374051,28.716705280818086,female,12-15,966,0.029562077302077914,2.597929618301966e-05,2.69098666249156e-05,7.955115573543615e-07
2012,E06000017,32677,408772,11,12517,0.0008788048254374051,28.716705280818086,male,12-15,1126,0.03445848762126266,3.028228519884072e-05,2.69098666249156e-05,9.272733059844835e-07
2012,E06000018,264844,408772,14,92131,0.0001519575387220371,40.24504238529919,female,12-15,6304,0.023802691395689538,3.6169983994491922e-06,3.424892115898349e-05,8.152165009825857e-07
2012,E06000018,264844,408772,14,92131,0.0001519575387220371,40.24504238529919,male,12-15,6535,0.024674902961743517,3.7495375222716483e-06,3.424892115898349e-05,8.450888061423219e-07
2012,E06000019,162218,408772,2882,63469,0.04540799445398541,7365.994044336606,female,12-15,4194,0.02585409757240257,0.0011739827191804535,0.007050385055727888,0.00018228134315379773
2012,E06000019,162218,408772,2882,63469,0.04540799445398541,7365.994044336606,male,12-15,4372,0.02695138640594755,0.0012238084044484843,0.007050385055727888,0.00019001765194764036
2012,E06000020,141959,408772,787,61387,0.012820303973153925,1819.957531724958,female,12-15,4283,0.03017068308455258,0.0003867973282216574,0.0019252786394371435,5.8086971679916635e-05
2012,E06000020,141959,408772,787,61387,0.012820303973153925,1819.957531724958,male,12-15,4349,0.03063560605526948,0.00039275778203034975,0.0019252786394371435,5.898207794442154e-05
2012,E06000021,212264,408772,311,95599,0.0032531721043107145,690.5313235494095,female,12-15,5544,0.026118418573097654,8.496771071071214e-05,0.0007608153200317047,1.987129298541331e-05
2012,E06000021,212264,408772,311,95599,0.0032531721043107145,690.5313235494095,male,12-15,5879,0.02769664191761203,9.010194286945827e-05,0.0007608153200317047,2.1072029484351522e-05
2012,E06000026,223689,408772,35,92008,0.0003804017041996348,85.0916768107121,female,12-15,5415,0.024207716964177943,9.2086567879557e-06,8.562230289745873e-05,2.072720474362794e-06
2012,E06000026,223689,408772,35,92008,0.0003804017041996348,85.0916768107121,male,12-15,5674,0.025365574525345456,9.649107777444254e-06,8.562230289745873e-05,2.1718589051771915e-06
2012,E06000036,97231,408772,20,40253,0.0004968573770899064,48.309939631828684,female,12-15,2846,0.029270500149129394,1.4543263930206144e-05,4.892703022711928e-05,1.4321186455593532e-06
2012,E06000036,97231,408772,20,40253,0.0004968573770899064,48.309939631828684,male,12-15,3096,0.03184169657825179,1.582078184396283e-05,4.892703022711928e-05,1.5579196509668859e-06
2012,E06000044,177333,408772,36,67693,0.0005318127428242211,94.3079491232476,female,12-15,4279,0.024129744604783093,1.2832505661917647e-05,8.806865440881469e-05,2.125074138571603e-06
2012,E06000044,177333,408772,36,67693,0.0005318127428242211,94.3079491232476,male,12-15,4465,0.025178618756802173,1.3390310301580343e-05,8.806865440881469e-05,2.21744707378411e-06
2012,E06000049,323740,408772,9,153305,5.870650011415153e-05,19.005642346955415,female,12-15,8561,0.026444060048186818,1.5524382142375094e-06,2.2017163602203673e-05,5.822231963874271e-07
2012,E06000049,323740,408772,9,153305,5.870650011415153e-05,19.005642346955415,male,12-15,8879,0.027426329770803733,1.6101038318204468e-06,2.2017163602203673e-05,6.03849989571775e-07
2012,E06000050,287140,408772,24,137440,0.00017462165308498254,50.14086146682189,female,12-15,7373,0.025677369924078847,4.483824783017261e-06,5.8712436272543126e-05,1.5075809453139949e-06
2012,E06000050,287140,408772,24,137440,0.00017462165308498254,50.14086146682189,male,12-15,7804,0.02717837988437696,4.745933623581542e-06,5.8712436272543126e-05,1.5957088969524503e-06
2012,E06000051,270408,408772,1700,112511,0.015109633724702474,4085.765836229347,female,12-15,7230,0.026737374633886573,0.00040399193747817704,0.004158797569305138,0.00011119532863700834
