year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2012,E06000006,107000,112498,29701,60645,0.4897518344463682,52403.4462857614,female,12-15,3018,0.028205607476635513,0.01381374800335644,0.2640135824636882,0.007446663475471131
2012,E06000006,107000,112498,29701,60645,0.4897518344463682,52403.4462857614,male,12-15,3092,0.028897196261682242,0.014152454879515611,0.2640135824636882,0.007629252308203028
2012,E06000007,174825,112498,65514,82177,0.7972303685946189,139375.79918955427,female,12-15,4862,0.02781066781066781,0.022171508949561203,0.5823570196803499,0.016195737621540748
2012,E06000007,174825,112498,65514,82177,0.7972303685946189,139375.79918955427,male,12-15,5156,0.029492349492349492,0.023512196656507108,0.5823570196803499,0.017175076753735932
2012,E06000049,323740,112498,664,153305,0.0043312351195329574,1402.1940575975996,female,12-15,8561,0.026444060048186818,0.00011453544158374513,0.005902327152482711,0.0001560814936442963
2012,E06000049,323740,112498,664,153305,0.0043312351195329574,1402.1940575975996,male,12-15,8879,0.027426329770803733,0.00011878988270319742,0.005902327152482711,0.00016187917089915981
2012,E06000050,287140,112498,4973,137440,0.036183061699650756,10389.604336437718,female,12-15,7373,0.025677369924078847,0.0009290858602477016,0.0442052303152056,0.0011350740513826388
2012,E06000050,287140,112498,4973,137440,0.036183061699650756,10389.604336437718,male,12-15,7804,0.02717837988437696,0.0009833969962529585,0.0442052303152056,0.0012014265423830345
2012,E07000127,96475,112498,9,50823,0.00017708517797060386,17.084292544714007,female,12-15,2574,0.026680487172842705,4.724718819345264e-06,8.000142224750662e-05,2.1344769200837734e-06
2012,E07000127,96475,112498,9,50823,0.00017708517797060386,17.084292544714007,male,12-15,2831,0.029344389738274166,5.196456479241042e-06,8.000142224750662e-05,2.347592914047072e-06
2012,E08000001,235726,112498,8,112874,7.087548948384925e-05,16.707195634069848,female,12-15,6898,0.02926278815234637,2.0740144339597333e-06,7.1112375331117e-05,2.0809463743246187e-06
2012,E08000001,235726,112498,8,112874,7.087548948384925e-05,16.707195634069848,male,12-15,7567,0.03210082892850173,2.275161963144868e-06,7.1112375331117e-05,2.2827661952035935e-06
2012,E08000006,201508,112498,617,103999,0.005932749353359167,1195.496456696699,female,12-15,5234,0.025974154872263136,0.00015409815052246998,0.005484541947412398,0.0001424563419455133
2012,E08000006,201508,112498,617,103999,0.005932749353359167,1195.496456696699,male,12-15,5317,0.02638604918911408,0.00015654181626441972,0.005484541947412398,0.0001447153936041831
2012,E08000009,193157,112498,167,78792,0.0021195045182252005,409.3971342268251,female,12-15,5590,0.02894018855128212,6.133886039273167e-05,0.0014844708350370674,4.296086586485195e-05
2012,E08000009,193157,112498,167,78792,0.0021195045182252005,409.3971342268251,male,12-15,5879,0.03043638076797631,6.451004655614839e-05,0.0014844708350370674,4.518191957414393e-05
2012,E08000010,273635,112498,2994,135347,0.022120918823468567,6053.057622259821,female,12-15,7082,0.02588119209896395,0.0005725157494757776,0.026613806467670538,0.0006887970376744304
2012,E08000010,273635,112498,2994,135347,0.022120918823468567,6053.057622259821,male,12-15,7620,0.027847314853728506,0.0006160081913308987,0.026613806467670538,0.0007411230481614176
2012,E08000011,124845,112498,525,75174,0.006983797589592146,871.8922100726314,female,12-15,3645,0.029196203292082182,0.00020390037417648583,0.004666749631104553,0.00013625137094297804
2012,E08000011,124845,112498,525,75174,0.006983797589592146,871.8922100726314,male,12-15,3745,0.029997196523689373,0.00020949434877666376,0.004666749631104553,0.00013998940581109816
2012,E08000012,411127,112498,385,204887,0.0018790845685670637,772.5424014212712,female,12-15,9796,0.023827187219520974,4.477329981656022e-05,0.0034222830628100054,8.154337925576965e-05
2012,E08000012,411127,112498,385,204887,0.0018790845685670637,772.5424014212712,male,12-15,9873,0.024014477278310596,4.512523367587782e-05,0.0034222830628100054,8.218433885179807e-05
2012,E08000013,152378,112498,6923,80634,0.08585708262023464,13082.730535506114,female,12-15,3955,0.025955190381813646,0.002228436925035294,0.06153887180216537,0.0015972531335072255
2012,E08000013,152378,112498,6923,80634,0.08585708262023464,13082.730535506114,male,12-15,4362,0.028626179632230374,0.0024577602697860813,0.06153887180216537,0.0017616227985735825
2012,E08000015,276255,112498,18,136749,0.00013162801921769081,36.362898448983174,female,12-15,7500,0.02714882988543194,3.573546701897454e-06,0.00016000284449501324,4.343890006380334e-06
2012,E08000015,276255,112498,18,136749,0.00013162801921769081,36.362898448983174,male,12-15,7903,0.028607627011275814,3.7655652780127436e-06,0.00016000284449501324,4.577301696056504e-06
2012,E06000006,107000,112498,29701,60645,0.4897518344463682,52403.4462857614,female,16-17,1498,0.014,0.006856525682249155,0.2640135824636882,0.003696190154491635
2012,E06000006,107000,112498,29701,60645,0.4897518344463682,52403.4462857614,male,16-17,1641,0.01533644859813084,0.0075110538348270115,0.2640135824636882,0.004049030736662732
2012,E06000007,174825,112498,65514,82177,0.7972303685946189,139375.79918955427,female,16-17,2491,0.014248534248534249,0.01135936421089201,0.5823570196803499,0.0082977339397898
2012,E06000007,174825,112498,65514,82177,0.7972303685946189,139375.79918955427,male,16-17,2625,0.015015015015015015,0.011970425954874159,0.5823570196803499,0.00874409939459985
2012,E06000049,323740,112498,664,153305,0.0043312351195329574,1402.1940575975996,female,16-17,4230,0.013066040649904244,5.659209413611049e-05,0.005902327152482711,7.712004650337267e-05
2012,E06000049,323740,112498,664,153305,0.0043312351195329574,1402.1940575975996,male,16-17,4703,0.014527089639834435,6.292024083265429e-05,0.005902327152482711,8.574363562774508e-05
2012,E06000050,287140,112498,4973,137440,0.036183061699650756,10389.604336437718,female,16-17,3797,0.01322351466183743,0.0004784672468955002,0.0442052303152056,0.0005845485112030218
2012,E06000050,287140,112498,4973,137440,0.036183061699650756,10389.604336437718,male,16-17,3989,0.013892178031622205,0.000502661534860719,0.0442052303152056,0.0006141069294676992
2012,E07000127,96475,112498,9,50823,0.00017708517797060386,17.084292544714007,female,16-17,1337,0.013858512568022804,2.4541371645161684e-06,8.000142224750662e-05,1.1087007156767696e-06
2012,E07000127,96475,112498,9,50823,0.00017708517797060386,17.084292544714007,male,16-17,1401,0.014521896864472661,2.5716126907158955e-06,8.000142224750662e-05,1.1617724028894198e-06
2012,E08000001,235726,112498,8,112874,7.087548948384925e-05,16.707195634069848,female,16-17,3574,0.015161670753332258,1.074590836035385e-06,7.1112375331117e-05,1.0781824212577828e-06
2012,E08000001,235726,112498,8,112874,7.087548948384925e-05,16.707195634069848,male,16-17,3754,0.015925269168441326,1.1287112474753317e-06,7.1112375331117e-05,1.132483718355265e-06
2012,E08000006,201508,112498,617,103999,0.005932749353359167,1195.496456696699,female,16-17,2798,0.01388530480179447,8.237803308404108e-05,0.005484541947412398,7.615453663804858e-05
2012,E08000006,201508,112498,617,103999,0.005932749353359167,1195.496456696699,male,16-17,2788,0.013835678980487128,8.208361552477002e-05,0.005484541947412398,7.588236173941365e-05
2012,E08000009,193157,112498,167,78792,0.0021195045182252005,409.3971342268251,female,16-17,2758,0.014278540254818619,3.0263430583748467e-05,0.0014844708350370674,2.1196076575180975e-05
2012,E08000009,193157,112498,167,78792,0.0021195045182252005,409.3971342268251,male,16-17,2946,0.015251841766024529,3.232634753434481e-05,0.0014844708350370674,2.2640914282263654e-05
2012,E08000010,273635,112498,2994,135347,0.022120918823468567,6053.057622259821,female,16-17,3828,0.013989438485573848,0.00030945923312528616,0.026613806467670538,0.0003723122084464444
2012,E08000010,273635,112498,2994,135347,0.022120918823468567,6053.057622259821,male,16-17,4077,0.014899409797723244,0.0003295886346530281,0.026613806467670538,0.00039653000883912065
2012,E08000011,124845,112498,525,75174,0.006983797589592146,871.8922100726314,female,16-17,1907,0.01527494092674917,0.00010667709562539327,0.004666749631104553,7.128432493505052e-05
2012,E08000011,124845,112498,525,75174,0.006983797589592146,871.8922100726314,male,16-17,2071,0.016588569826584965,0.00011585121396968508,0.004666749631104553,7.741470211876749e-05
2012,E08000012,411127,112498,385,204887,0.0018790845685670637,772.5424014212712,female,16-17,5220,0.012696806582880716,2.3858373319971864e-05,0.0034222830628100054,4.3452066120367255e-05
2012,E08000012,411127,112498,385,204887,0.0018790845685670637,772.5424014212712,male,16-17,5564,0.013533531001369406,2.543064926289721e-05,0.0034222830628100054,4.631557392600065e-05
2012,E08000013,152378,112498,6923,80634,0.08585708262023464,13082.730535506114,female,16-17,2159,0.014168712018795365,0.0012164842784200252,0.06153887180216537,0.0008719265525264476
2012,E08000013,152378,112498,6923,80634,0.08585708262023464,13082.730535506114,male,16-17,2194,0.014398403969076901,0.0012362049591725498,0.06153887180216537,0.0008860615360088125
2012,E08000015,276255,112498,18,136749,0.00013162801921769081,36.362898448983174,female,16-17,3874,0.014023275596821778,1.8458559897534317e-06,0.00016000284449501324,2.243763984628989e-06
2012,E08000015,276255,112498,18,136749,0.00013162801921769081,36.362898448983174,male,16-17,4250,0.015384336935078098,2.0250097977418907e-06,0.00016000284449501324,2.4615376702821896e-06
2012,E06000006,107000,112498,29701,60645,0.4897518344463682,52403.4462857614,female,18-24,5368,0.05016822429906542,0.024569979881384155,0.2640135824636882,0.013245092623038116
2012,E06000006,107000,112498,29701,60645,0.4897518344463682,52403.4462857614,male,18-24,5434,0.05078504672897196,0.02487206979795855,0.2640135824636882,0.013407942122501699
2012,E06000007,174825,112498,65514,82177,0.7972303685946189,139375.79918955427,female,18-24,7972,0.0455998855998856,0.03635361360466925,0.5823570196803499,0.026555413475714284
2012,E06000007,174825,112498,65514,82177,0.7972303685946189,139375.79918955427,male,18-24,8679,0.04964392964392964,0.03957764832851536,0.5823570196803499,0.02891049091265984
2012,E06000049,323740,112498,664,153305,0.0043312351195329574,1402.1940575975996,female,18-24,13129,0.04055414839068388,0.000175649551752481,0.005902327152482711,0.0002393638511921465
2012,E06000049,323740,112498,664,153305,0.0043312351195329574,1402.1940575975996,male,18-24,14152,0.043714091554951505,0.00018933600856128503,0.005902327152482711,0.00025801486953090544
2012,E06000050,287140,112498,4973,137440,0.036183061699650756,10389.604336437718,female,18-24,14137,0.049233823222121616,0.0017814304633557245,0.0442052303152056,0.002176392494832004
2012,E06000050,287140,112498,4973,137440,0.036183061699650756,10389.604336437718,male,18-24,13524,0.04709897610921502,0.001704185158550104,0.0442052303152056,0.002082021086518216
2012,E07000127,96475,112498,9,50823,0.00017708517797060386,17.084292544714007,female,18-24,5705,0.059134490800725574,1.0471841827647525e-05,8.000142224750662e-05,4.730843367940143e-06
2012,E07000127,96475,112498,9,50823,0.00017708517797060386,17.084292544714007,male,18-24,5510,0.057113241772479915,1.0113908583757733e-05,8.000142224750662e-05,4.569140570964099e-06
2012,E08000001,235726,112498,8,112874,7.087548948384925e-05,16.707195634069848,female,18-24,12347,0.05237860906306475,3.7123595558278965e-06,7.1112375331117e-05,3.7247673070145067e-06
2012,E08000001,235726,112498,8,112874,7.087548948384925e-05,16.707195634069848,male,18-24,12950,0.05493666375368012,3.893662934151717e-06,7.1112375331117e-05,3.906676652291072e-06
2012,E08000006,201508,112498,617,103999,0.005932749353359167,1195.496456696699,female,18-24,12796,0.06350120094487564,0.0003767367088432415,0.005484541947412398,0.0003482750002932343
