year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2013,E06000016,279196,224451,9,101254,8.88853773678077e-05,24.816441819582437,female,12-15,7572,0.027120732388716172,2.4106365328623615e-06,4.009783872649264e-05,1.0874827534671067e-06
2013,E06000016,279196,224451,9,101254,8.88853773678077e-05,24.816441819582437,male,12-15,8194,0.029348558002263644,2.6086576532321964e-06,4.009783872649264e-05,1.1768137456298826e-06
2013,E06000032,169593,224451,105,79974,0.0013129267011778828,222.66317803286066,female,12-15,5261,0.031021327531207066,4.072872922170633e-05,0.0004678081184757475,1.4512028864993882e-05
2013,E06000032,169593,224451,105,79974,0.0013129267011778828,222.66317803286066,male,12-15,5205,0.030691125223328793,4.0295197794902384e-05,0.0004678081184757475,1.4357557544628999e-05
2013,E06000036,98186,224451,47,40616,0.0011571794366752018,113.61882016939137,female,12-15,2811,0.028629336157904386,3.312927908758878e-05,0.00020939982446057268,5.994977965887905e-06
2013,E06000036,98186,224451,47,40616,0.0011571794366752018,113.61882016939137,male,12-15,3124,0.0318171633430428,3.6818167153905144e-05,0.00020939982446057268,6.66250841886653e-06
2013,E06000039,114499,224451,405,57739,0.0070143230745250175,803.13297771004,female,12-15,3465,0.03026227303295225,0.00021226936002261316,0.001804402742692169,5.4605328460758304e-05
2013,E06000039,114499,224451,405,57739,0.0070143230745250175,803.13297771004,male,12-15,3692,0.03224482309889169,0.00022617560669653327,0.001804402742692169,5.8182647237263974e-05
2013,E06000040,124435,224451,198,53690,0.003687837586142671,458.89607003166327,female,12-15,3499,0.028119098324426408,0.00010369866768926111,0.0008821524519828381,2.480533153443927e-05
2013,E06000040,124435,224451,198,53690,0.003687837586142671,458.89607003166327,male,12-15,3990,0.032064933499417365,0.0001182502669563166,0.0008821524519828381,2.8286159709177673e-05
2013,E06000041,133344,224451,8,45893,0.00017431852352210576,23.24432920053167,female,12-15,3753,0.02814524838012959,4.906238141787129e-06,3.564252331243791e-05,1.003167671523124e-06
2013,E06000041,133344,224451,8,45893,0.00017431852352210576,23.24432920053167,male,12-15,4106,0.030792536597072234,5.367709515102039e-06,3.564252331243791e-05,1.0975237035102446e-06
2013,E06000042,211039,224451,36,90805,0.0003964539397610264,83.66724299322725,female,12-15,6217,0.029459009946028934,1.1679140554562432e-05,0.00016039135490597057,4.7249705194320435e-06
2013,E06000042,211039,224451,36,90805,0.0003964539397610264,83.66724299322725,male,12-15,6353,0.03010344059628789,1.1934627624760355e-05,0.00016039135490597057,4.828331624570013e-06
2013,E06000056,224719,224451,130,98346,0.0013218636243466943,297.0478717995648,female,12-15,5993,0.0266688620009879,3.52525985818277e-05,0.000579191003827116,1.544636495327901e-05
2013,E06000056,224719,224451,130,98346,0.0013218636243466943,297.0478717995648,male,12-15,6337,0.02819966268984821,3.727610832855701e-05,0.000579191003827116,1.6332990940919255e-05
2013,E06000060,437185,224451,696,172701,0.004030086681605781,1761.8934458978233,female,12-15,12699,0.029047199698068325,0.00011706273264112862,0.0031008995281820977,9.007244783875125e-05
2013,E06000060,437185,224451,696,172701,0.004030086681605781,1761.8934458978233,male,12-15,13478,0.030829054061781627,0.00012424376018089074,0.0031008995281820977,9.559779919447903e-05
2013,E07000062,78177,224451,9,36302,0.0002479202247810038,19.381659412704536,female,12-15,2084,0.02665745679675608,6.608922681141665e-06,4.009783872649264e-05,1.0689064034947705e-06
2013,E07000062,78177,224451,9,36302,0.0002479202247810038,19.381659412704536,male,12-15,2107,0.026951660974455404,6.681861847008392e-06,4.009783872649264e-05,1.0807033551648183e-06
2013,E07000067,127247,224451,24,46828,0.0005125138805842658,65.21585376270608,female,12-15,3415,0.026837567879792842,1.3754626059516277e-05,0.00010692756993731371,2.869675916413953e-06
