year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2013,E06000030,181112,140958,35,72710,0.0004813643240269564,87.18085545317012,female,12-15,4941,0.027281461195282478,1.313232212673479e-05,0.000248300912328495,6.774011704443073e-06
2013,E06000030,181112,140958,35,72710,0.0004813643240269564,87.18085545317012,male,12-15,4933,0.027237289632934317,1.3111059512483854e-05,0.000248300912328495,6.76304386521305e-06
2013,E06000036,98186,140958,7154,40616,0.17613748276541263,17294.234882804805,female,12-15,2811,0.028629336157904386,0.005042699204098089,0.05075270647994438,0.0014530162947377799
2013,E06000036,98186,140958,7154,40616,0.17613748276541263,17294.234882804805,male,12-15,3124,0.0318171633430428,0.00560419505997952,0.05075270647994438,0.001614807152173897
2013,E06000037,132632,140958,31896,49239,0.6477791994150978,85916.25077682325,female,12-15,4046,0.030505458712829482,0.019760801622787,0.2262801685608479,0.006902780339565042
2013,E06000037,132632,140958,31896,49239,0.6477791994150978,85916.25077682325,male,12-15,4144,0.031244345256046805,0.02023943695621091,0.2262801685608479,0.007069975711111599
2013,E06000038,133271,140958,44193,49755,0.8882122399758818,118372.93343382575,female,12-15,3230,0.024236330484501505,0.02152700538843483,0.3135189205295194,0.007598548171097596
2013,E06000038,133271,140958,44193,49755,0.8882122399758818,118372.93343382575,male,12-15,3163,0.02373359545587562,0.021080469982544696,0.3135189205295194,0.007440931227610432
2013,E06000039,114499,140958,2961,57739,0.05128249536708291,5871.794437035626,female,12-15,3465,0.03026227303295225,0.0015519248766097718,0.02100625718299068,0.0006356970902720783
2013,E06000039,114499,140958,2961,57739,0.05128249536708291,5871.794437035626,male,12-15,3692,0.03224482309889169,0.0016535949911813212,0.02100625718299068,0.0006773430468353574
2013,E06000040,124435,140958,4716,53690,0.08783758614267088,10930.070031663252,female,12-15,3499,0.028119098324426408,0.0024699137213260373,0.0334567743583195,0.0009407743277997343
2013,E06000040,124435,140958,4716,53690,0.08783758614267088,10930.070031663252,male,12-15,3990,0.032064933499417365,0.002816506358414086,0.0334567743583195,0.001072789244904527
2013,E06000041,133344,140958,36362,45893,0.7923212690388513,105651.28729871658,female,12-15,3753,0.02814524838012959,0.02230007891395795,0.2579633649739639,0.007260442980166235
2013,E06000041,133344,140958,36362,45893,0.7923212690388513,105651.28729871658,male,12-15,4106,0.030792536597072234,0.024397581673517542,0.2579633649739639,0.007943346356664684
2013,E06000054,411869,140958,108,168444,0.0006411626415900834,264.07501602906603,female,12-15,11497,0.027914215442288687,1.789755211089251e-05,0.0007661856723279274,2.1387471926156574e-05
2013,E06000054,411869,140958,108,168444,0.0006411626415900834,264.07501602906603,male,12-15,11619,0.028210426130638625,1.8087471338302177e-05,0.0007661856723279274,2.1614424311560687e-05
2013,E06000060,437185,140958,1741,172701,0.010081007058442048,4407.265070844986,female,12-15,12699,0.029047199698068325,0.0002928250251842025,0.012351196810397423,0.00035876768026175845
2013,E06000060,437185,140958,1741,172701,0.010081007058442048,4407.265070844986,male,12-15,13478,0.030829054061781627,0.00031078791160191204,0.012351196810397423,0.00038077571419544695
2013,E07000084,145535,140958,1164,63307,0.018386592319964618,2675.892713286051,female,12-15,3933,0.027024427113752705,0.0004968871240211691,0.008257778912867662,0.00022316174435227617
2013,E07000084,145535,140958,1164,63307,0.018386592319964618,2675.892713286051,male,12-15,4170,0.028652901363933076,0.0005268292161627956,0.008257778912867662,0.00023660932467556363
2013,E07000089,78901,140958,207,33431,0.006191857856480512,488.5437767341689,female,12-15,2217,0.028098503187538815,0.00017398193771710492,0.0014685225386285277,4.1263285232626277e-05
2013,E07000089,78901,140958,207,33431,0.006191857856480512,488.5437767341689,male,12-15,2405,0.030481235979265154,0.0001887354804734494,0.0014685225386285277,4.4762382040805684e-05
2013,E07000092,80216,140958,9,37380,0.0002407704654895666,19.313643659711076,female,12-15,2148,0.026777700209434527,6.447279344165617e-06,6.384880602732728e-05,1.7097241865301062e-06
2013,E07000092,80216,140958,9,37380,0.0002407704654895666,19.313643659711076,male,12-15,2160,0.026927296299990026,6.483297664524083e-06,6.384880602732728e-05,1.7192757182984309e-06
2013,E07000093,102285,140958,8,44103,0.0001813935559939233,18.553839874838445,female,12-15,2813,0.0275015886982451,4.988610969456971e-06,5.675449424651315e-05,1.5608387575445226e-06
2013,E07000093,102285,140958,8,44103,0.0001813935559939233,18.553839874838445,male,12-15,2814,0.027511365302830326,4.990384382528232e-06,5.675449424651315e-05,1.5613936237932051e-06
2013,E07000177,122048,140958,13,47525,0.00027354024197790637,33.385039452919514,female,12-15,3413,0.027964407446250655,7.649390779616171e-06,9.222605315058386e-05,2.579046927462496e-06
2013,E07000177,122048,140958,13,47525,0.00027354024197790637,33.385039452919514,male,12-15,3422,0.02803814892501311,7.669562041560662e-06,9.222605315058386e-05,2.585847813002245e-06
2013,E07000178,131789,140958,37,46033,0.0008037712076119306,105.92820367996872,female,12-15,2796,0.021215731206701623,1.7052593892380683e-05,0.0002624895358901233,5.568907438016715e-06
2013,E07000178,131789,140958,37,46033,0.0008037712076119306,105.92820367996872,male,12-15,2970,0.022536023492097216,1.8113806817013817e-05,0.0002624895358901233,5.915470347249514e-06
2013,E07000179,116721,140958,9886,44443,0.22244222937245461,25963.679454582274,female,12-15,3161,0.027081673392105963,0.006024107804476736,0.07013436626512862,0.0018993560007545477
2013,E07000179,116721,140958,9886,44443,0.22244222937245461,25963.679454582274,male,12-15,3329,0.028521003075710455,0.006344275508099668,0.07013436626512862,0.0020003024759607368
2013,E07000180,105911,140958,206,39314,0.0052398636617998675,554.9592002848858,female,12-15,2779,0.026239012000642048,0.0001374888455036949,0.0014614282268477134,3.834643278233418e-05
2013,E07000180,105911,140958,206,39314,0.0052398636617998675,554.9592002848858,male,12-15,3171,0.029940232837004654,0.00015688273806844784,0.0014614282268477134,4.375550138639139e-05
2013,E07000181,92708,140958,8,35880,0.0002229654403567447,20.670680044593087,female,12-15,2430,0.02621133019804116,5.844220779942288e-06,5.675449424651315e-05,1.4876107889181834e-06
2013,E07000181,92708,140958,8,35880,0.0002229654403567447,20.670680044593087,male,12-15,2441,0.026329982310048756,5.870676100345319e-06,5.675449424651315e-05,1.494344829526455e-06
2013,E07000212,71963,140958,174,28983,0.006003519304419832,432.03125970396434,female,12-15,1636,0.022733904923363395,0.0001364834370722572,0.001234410249861661,2.806296525678025e-05
2013,E07000212,71963,140958,174,28983,0.006003519304419832,432.03125970396434,male,12-15,1639,0.022775593013076165,0.0001367337123236122,0.001234410249861661,2.811442546201885e-05
2013,E07000213,83474,140958,8,37349,0.00021419582853623927,17.879782591234036,female,12-15,2003,0.023995495603421426,5.139735061912539e-06,5.675449424651315e-05,1.3618522171666129e-06
2013,E07000213,83474,140958,8,37349,0.00021419582853623927,17.879782591234036,male,12-15,2132,0.02554088698277308,5.470751448825528e-06,5.675449424651315e-05,1.4495601233146373e-06
2013,E07000214,74582,140958,72,34609,0.0020803837152185848,155.15917824843248,female,12-15,2082,0.027915582848408463,5.8075123958664204e-05,0.0005107904482186183,1.4259013075422532e-05
2013,E07000214,74582,140958,72,34609,0.0020803837152185848,155.15917824843248,male,12-15,2255,0.030235177388646055,6.290077066608443e-05,0.0005107904482186183,1.544383981031595e-05
2013,E06000030,181112,140958,35,72710,0.0004813643240269564,87.18085545317012,female,16-17,2499,0.013798091788506559,6.641909126636357e-06,0.000248300912328495,3.426078779478494e-06
2013,E06000030,181112,140958,35,72710,0.0004813643240269564,87.18085545317012,male,16-17,2689,0.014847166394275366,7.146896215096105e-06,0.000248300912328495,3.686564961191545e-06
2013,E06000036,98186,140958,7154,40616,0.17613748276541263,17294.234882804805,female,16-17,1495,0.015226203328376754,0.002681905126334629,0.05075270647994438,0.0007727710283290575
2013,E06000036,98186,140958,7154,40616,0.17613748276541263,17294.234882804805,male,16-17,1592,0.016214124213227956,0.002855915024163699,0.05075270647994438,0.0008229106870233175
2013,E06000037,132632,140958,31896,49239,0.6477791994150978,85916.25077682325,female,16-17,2059,0.015524157066168044,0.010056226035916568,0.2262801685608479,0.003512808877697583
2013,E06000037,132632,140958,31896,49239,0.6477791994150978,85916.25077682325,male,16-17,2115,0.015946377948006515,0.01032973194073023,0.2262801685608479,0.003608349090009902
2013,E06000038,133271,140958,44193,49755,0.8882122399758818,118372.93343382575,female,16-17,1601,0.012013116131791613,0.010670196788509029,0.3135189205295194,0.003766339201835062
2013,E06000038,133271,140958,44193,49755,0.8882122399758818,118372.93343382575,male,16-17,1681,0.012613396762986697,0.011203373392556951,0.3135189205295194,0.0039545385373421236
2013,E06000039,114499,140958,2961,57739,0.05128249536708291,5871.794437035626,female,16-17,1751,0.015292709979999826,0.0007842483286994836,0.02100625718299068,0.0003212425988647646
2013,E06000039,114499,140958,2961,57739,0.05128249536708291,5871.794437035626,male,16-17,1883,0.016445558476493243,0.0008433692763798558,0.02100625718299068,0.0003454596308751294
2013,E06000040,124435,140958,4716,53690,0.08783758614267088,10930.070031663252,female,16-17,1756,0.014111785269417768,0.0012395451542293572,0.0334567743583195,0.0004721348155519672
2013,E06000040,124435,140958,4716,53690,0.08783758614267088,10930.070031663252,male,16-17,1941,0.015598505243701532,0.0013701350480405368,0.0334567743583195,0.0005218756702655856
2013,E06000041,133344,140958,36362,45893,0.7923212690388513,105651.28729871658,female,16-17,1866,0.013993880489560835,0.011087649148266862,0.2579633649739639,0.003609908500130614
2013,E06000041,133344,140958,36362,45893,0.7923212690388513,105651.28729871658,male,16-17,2065,0.01548626109911207,0.01227009404671547,0.2579633649739639,0.003994888023992346
2013,E06000054,411869,140958,108,168444,0.0006411626415900834,264.07501602906603,female,16-17,6103,0.01481781828688248,9.500631515419415e-06,0.0007661856723279274,1.1353200066568111e-05
2013,E06000054,411869,140958,108,168444,0.0006411626415900834,264.07501602906603,male,16-17,6206,0.015067897802456607,9.66097315823249e-06,0.0007661856723279274,1.1544807408343716e-05
2013,E06000060,437185,140958,1741,172701,0.010081007058442048,4407.265070844986,female,16-17,6522,0.014918169653579148,0.00015039017357676735,0.012351196810397423,0.0001842572494422544
2013,E06000060,437185,140958,1741,172701,0.010081007058442048,4407.265070844986,male,16-17,6831,0.015624964259981472,0.00015751537499277793,0.012351196810397423,0.00019298700873045688
2013,E07000084,145535,140958,1164,63307,0.018386592319964618,2675.892713286051,female,16-17,2078,0.01427835228639159,0.0002625302424907169,0.008257778912867662,0.00011790747642106024
2013,E07000084,145535,140958,1164,63307,0.018386592319964618,2675.892713286051,male,16-17,2181,0.014986085821280104,0.0002755430504678794,0.008257778912867662,0.0001237517834813919
2013,E07000089,78901,140958,207,33431,0.006191857856480512,488.5437767341689,female,16-17,1125,0.014258374418575177,8.828582766429546e-05,0.0014685225386285277,2.0938744197882076e-05
2013,E07000089,78901,140958,207,33431,0.006191857856480512,488.5437767341689,male,16-17,1193,0.015120213938986831,9.362221546978175e-05,0.0014685225386285277,2.2204374958287394e-05
2013,E07000092,80216,140958,9,37380,0.0002407704654895666,19.313643659711076,female,16-17,1133,0.01412436421661514,3.400729747178605e-06,6.384880602732728e-05,9.018237911259825e-07
2013,E07000092,80216,140958,9,37380,0.0002407704654895666,19.313643659711076,male,16-17,1181,0.01472274857883714,3.5448030286124738e-06,6.384880602732728e-05,9.40029918199281e-07
2013,E07000093,102285,140958,8,44103,0.0001813935559939233,18.553839874838445,female,16-17,1382,0.013511267536784475,2.4508568644825927e-06,5.675449424651315e-05,7.668251556795344e-07
2013,E07000093,102285,140958,8,44103,0.0001813935559939233,18.553839874838445,male,16-17,1590,0.015544801290511806,2.8197267833048647e-06,5.675449424651315e-05,8.822373354055424e-07
2013,E07000177,122048,140958,13,47525,0.00027354024197790637,33.385039452919514,female,16-17,1771,0.014510684320922916,3.969256100410266e-06,9.222605315058386e-05,1.3382631434327807e-06
2013,E07000177,122048,140958,13,47525,0.00027354024197790637,33.385039452919514,male,16-17,1695,0.013887978500262192,3.798920999545681e-06,9.222605315058386e-05,1.2808334433193468e-06
2013,E07000178,131789,140958,37,46033,0.0008037712076119306,105.92820367996872,female,16-17,1493,0.011328714839630015,9.105694807340616e-06,0.0002624895358901233,2.9736691004860353e-06
2013,E07000178,131789,140958,37,46033,0.0008037712076119306,105.92820367996872,male,16-17,1413,0.010721683903815948,8.617780819003542e-06,0.0002624895358901233,2.814329831873254e-06
2013,E07000179,116721,140958,9886,44443,0.22244222937245461,25963.679454582274,female,16-17,1636,0.014016329537958037,0.003117823590042372,0.07013436626512862,0.0009830263895078898
2013,E07000179,116721,140958,9886,44443,0.22244222937245461,25963.679454582274,male,16-17,1834,0.015712682379349047,0.0034951640978836867,0.07013436626512862,0.0011019990210008987
2013,E07000180,105911,140958,206,39314,0.0052398636617998675,554.9592002848858,female,16-17,1395,0.013171436394708766,6.901653093834272e-05,0.0014614282268477134,1.924910893535667e-05
2013,E07000180,105911,140958,206,39314,0.0052398636617998675,554.9592002848858,male,16-17,1752,0.016542191084967565,8.667882595267127e-05,0.0014614282268477134,2.4175224985480202e-05
2013,E07000181,92708,140958,8,35880,0.0002229654403567447,20.670680044593087,female,16-17,1198,0.012922293653190663,2.8812248948028233e-06,5.675449424651315e-05,7.333982407917628e-07
2013,E07000181,92708,140958,8,35880,0.0002229654403567447,20.670680044593087,male,16-17,1253,0.013515554213228632,3.013501496817978e-06,5.675449424651315e-05,7.670684438331209e-07
2013,E07000212,71963,140958,174,28983,0.006003519304419832,432.03125970396434,female,16-17,838,0.011644873059766825,6.991022021182858e-05,0.001234410249861661,1.437455066331409e-05
2013,E07000212,71963,140958,174,28983,0.006003519304419832,432.03125970396434,male,16-17,834,0.0115892889401498,6.957651987668857e-05,0.001234410249861661,1.4305937056329298e-05
