year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2013,E06000035,229465,153215,6764,102030,0.06629422718808194,15212.204841713221,female,12-15,6488,0.028274464515285556,0.0018744337741977016,0.04414711353327024,0.0012482359950487323
2013,E06000035,229465,153215,6764,102030,0.06629422718808194,15212.204841713221,male,12-15,6933,0.03021375808946898,0.0020029977429890052,0.04414711353327024,0.0013338502086425493
2013,E06000043,243534,153215,68,90245,0.0007535043492714278,183.5039281954679,female,12-15,5180,0.02127013065937405,1.6027135961409887e-05,0.00044382077472832293,9.440125867816045e-06
2013,E06000043,243534,153215,68,90245,0.0007535043492714278,183.5039281954679,male,12-15,5571,0.022875655965902093,1.7236906262744112e-05,0.00044382077472832293,1.0152691353205248e-05
2013,E07000061,87628,153215,92,41544,0.002214519545542076,194.053918736761,female,12-15,2112,0.02410188524216004,5.3374095953175514e-05,0.0006004634011030251,1.4472299985502225e-05
2013,E07000061,87628,153215,92,41544,0.002214519545542076,194.053918736761,male,12-15,2287,0.026098963801524627,5.7796665456871404e-05,0.0006004634011030251,1.5671472569528217e-05
2013,E07000062,78177,153215,211,36302,0.005812351936532422,454.3922373422952,female,12-15,2084,0.02665745679675608,0.00015494252063565458,0.0013771497568775904,3.6711310146627505e-05
2013,E07000062,78177,153215,211,36302,0.005812351936532422,454.3922373422952,male,12-15,2107,0.026951660974455404,0.00015665253885764117,0.0013771497568775904,3.71164733584185e-05
2013,E07000063,86741,153215,92,37939,0.002424945306940088,210.34218086929016,female,12-15,2129,0.024544333129661866,5.9518665434747664e-05,0.0006004634011030251,1.4737973748842421e-05
2013,E07000063,86741,153215,92,37939,0.002424945306940088,210.34218086929016,male,12-15,2371,0.027334247933503187,6.628405624508535e-05,0.0006004634011030251,1.641321548074466e-05
2013,E07000064,81177,153215,1750,36599,0.04781551408508429,3881.519986884887,female,12-15,1937,0.023861438584820822,0.0011409469527428738,0.01142185817315537,0.0002725419673232806
2013,E07000064,81177,153215,1750,36599,0.04781551408508429,3881.519986884887,male,12-15,1986,0.024465057836579325,0.0011698093175773604,0.01142185817315537,0.0002794364208074524
2013,E07000065,133323,153215,12168,58801,0.2069352562031258,27589.22916276934,female,12-15,3553,0.026649565341313953,0.005514734631606745,0.07941781157197403,0.0021164501587514813
2013,E07000065,133323,153215,12168,58801,0.2069352562031258,27589.22916276934,male,12-15,3707,0.027804654860751708,0.005753763377249142,0.07941781157197403,0.002208184840554951
2013,E07000105,102749,153215,1118,43223,0.025865858454989243,2657.6910903916896,female,12-15,3132,0.030482048487089897,0.0007884443515851863,0.007296935678621545,0.00022242554716291816
2013,E07000105,102749,153215,1118,43223,0.025865858454989243,2657.6910903916896,male,12-15,3159,0.030744824767151017,0.0007952412856505758,0.007296935678621545,0.0002243430087763916
2013,E07000106,136403,153215,341,56422,0.0060437418028428625,824.384513133175,female,12-15,3279,0.02403906072447087,0.00014528587620156263,0.0022256306497405605,5.3502070339356895e-05
2013,E07000106,136403,153215,341,56422,0.0060437418028428625,824.384513133175,male,12-15,3443,0.02524138032154718,0.0001525523854107899,0.0022256306497405605,5.617798968539364e-05
2013,E07000107,84359,153215,558,38043,0.014667612964277266,1237.3451620534659,female,12-15,2293,0.027181450704726228,0.00039868699874450586,0.0036419410632118265,9.89932414792105e-05
2013,E07000107,84359,153215,558,38043,0.014667612964277266,1237.3451620534659,male,12-15,2427,0.028769900069939187,0.00042198575924680144,0.0036419410632118265,0.00010477828044921232
2013,E07000108,97714,153215,273,43481,0.006278604447919781,613.5075550240335,female,12-15,2625,0.026864113637759174,0.0001686691433754572,0.0017818098750122377,4.786674296321022e-05
2013,E07000108,97714,153215,273,43481,0.006278604447919781,613.5075550240335,male,12-15,2654,0.027160898131281086,0.0001705325358165575,0.0017818098750122377,4.839555650451807e-05
2013,E07000109,87392,153215,1449,39852,0.03635953026196929,3177.53206865402,female,12-15,2496,0.02856096667887221,0.0010384633322715504,0.009457298567372647,0.00027010958925487605
2013,E07000109,87392,153215,1449,39852,0.03635953026196929,3177.53206865402,male,12-15,2701,0.030906719150494324,0.001123753790250584,0.009457298567372647,0.0002922940707441587
2013,E07000110,136162,153215,42071,54507,0.7718458179683343,105096.07026620433,female,12-15,3619,0.026578634273879645,0.02051460771160384,0.27458799725875405,0.007298173955137491
2013,E07000110,136162,153215,42071,54507,0.7718458179683343,105096.07026620433,male,12-15,3996,0.02934739501476183,0.02265166411040866,0.27458799725875405,0.008058442421864993
2013,E07000111,99573,153215,15788,39544,0.399251466720615,39754.6662957718,female,12-15,2810,0.02822050154158256,0.011267076632068213,0.10304474105015828,0.002907974273657967
