year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2014,E06000017,33779,31679,8,13349,0.0005992958274028017,20.243613753839238,female,12-15,935,0.027679919476597887,1.6588460245170657e-05,0.00025253322390226965,6.990099302780489e-06
2014,E06000017,33779,31679,8,13349,0.0005992958274028017,20.243613753839238,male,12-15,1083,0.03206133988572782,1.92142272144597e-05,0.00025253322390226965,8.096553523969271e-06
2014,E06000031,157465,31679,119,68904,0.0017270405201439685,271.94843550447,female,12-15,4348,0.027612485314196807,4.7687880999498146e-05,0.003756431705546261,0.00010372441530317939
2014,E06000031,157465,31679,119,68904,0.0017270405201439685,271.94843550447,male,12-15,4565,0.028990569332867623,5.006788793990548e-05,0.003756431705546261,0.00010890109380382105
2014,E06000032,171388,31679,879,84344,0.010421606753296026,1786.1383382338993,female,12-15,5205,0.030369687492706608,0.00031650094026948103,0.027747087976261877,0.0008426703906717103
2014,E06000032,171388,31679,879,84344,0.010421606753296026,1786.1383382338993,male,12-15,5282,0.03081896048731533,0.0003211830867441688,0.027747087976261877,0.0008551364079784771
2014,E06000033,152255,31679,533,70781,0.007530269422585157,1146.5211709357031,female,12-15,3876,0.025457292042954254,0.00019170026785287884,0.016825026042488714,0.000428319601593946
2014,E06000033,152255,31679,533,70781,0.007530269422585157,1146.5211709357031,male,12-15,3977,0.02612065285212308,0.00019669555347030421,0.016825026042488714,0.00043948066448377797
2014,E06000034,135594,31679,557,59682,0.009332797158272175,1265.4712978787572,female,12-15,3834,0.028275587415372363,0.00026389032187866367,0.017582625714195523,0.0004971590703735095
2014,E06000034,135594,31679,557,59682,0.009332797158272175,1265.4712978787572,male,12-15,3977,0.02933020635131348,0.00027373286648707496,0.017582625714195523,0.0005157020403952652
2014,E06000035,231089,31679,86,103273,0.0008327442797246134,192.4380428572812,female,12-15,6413,0.027751212736218514,2.3109663661506805e-05,0.0027147321569493984,7.53371096093561e-05
2014,E06000035,231089,31679,86,103273,0.0008327442797246134,192.4380428572812,male,12-15,6816,0.029495129582109057,2.4561900439237547e-05,0.0027147321569493984,8.007137674994094e-05
2014,E06000036,99191,31679,82,41840,0.001959847036328872,194.39918738049715,female,12-15,2747,0.027694044822614956,5.4276091669560865e-05,0.002588465544998264,7.168508082497637e-05
2014,E06000036,99191,31679,82,41840,0.001959847036328872,194.39918738049715,male,12-15,3017,0.030416065973727455,5.96108367553932e-05,0.002588465544998264,7.873093878738759e-05
2014,E06000038,134007,31679,25,52305,0.00047796577765032023,64.05075996558647,female,12-15,3136,0.023401762594491334,1.1185241656864226e-05,0.0007891663246945926,1.846788297807012e-05
2014,E06000038,134007,31679,25,52305,0.00047796577765032023,64.05075996558647,male,12-15,3206,0.0239241233666898,1.1434912229562087e-05,0.0007891663246945926,1.8880112508830613e-05
2014,E06000039,115322,31679,233,58971,0.003951094605823201,455.64813213274317,female,12-15,3543,0.03072267217009764,0.00012138818428774737,0.007355030146153603,0.00022596617998146248
2014,E06000039,115322,31679,233,58971,0.003951094605823201,455.64813213274317,male,12-15,3649,0.03164183763722447,0.00012501989400677112,0.007355030146153603,0.00023272666970148366
2014,E06000040,125382,31679,181,55449,0.00326426085231474,409.2795541849267,female,12-15,3446,0.027484008868896653,8.971497421541045e-05,0.005713564190788851,0.0001570316488926511
2014,E06000040,125382,31679,181,55449,0.00326426085231474,409.2795541849267,male,12-15,3967,0.03163931026782154,0.00010327896190148964,0.005713564190788851,0.00018077323016748315
2014,E06000041,134338,31679,24,47810,0.0005019870320016733,67.43593390504078,female,12-15,3799,0.028279414610906817,1.4195899407273868e-05,0.000757599671706809,2.142447522528374e-05
2014,E06000041,134338,31679,24,47810,0.0005019870320016733,67.43593390504078,male,12-15,4068,0.030281826437791242,1.520108417709663e-05,0.000757599671706809,2.2941501767953213e-05
2014,E06000042,213812,31679,135,90587,0.0014902800622605893,318.63976067206113,female,12-15,6157,0.02879632574411165,4.291459012281092e-05,0.0042614981533508,0.00012271548898181987
2014,E06000042,213812,31679,135,90587,0.0014902800622605893,318.63976067206113,male,12-15,6422,0.030035732325594446,4.476165304022929e-05,0.0042614981533508,0.00012799721784005966
2014,E06000043,245985,31679,46,92198,0.0004989262239961821,122.72836720970085,female,12-15,5133,0.020867126044270993,1.0411156402920514e-05,0.0014520660374380504,3.030044502782492e-05
2014,E06000043,245985,31679,46,92198,0.0004989262239961821,122.72836720970085,male,12-15,5554,0.022578612517023394,1.1265061886191414e-05,0.0014520660374380504,3.2785636408443324e-05
2014,E06000055,138834,31679,312,65400,0.0047706422018348625,662.3273394495413,female,12-15,3733,0.026888226227004913,0.0001282741067710326,0.009848795732188517,0.00026481664771064534
2014,E06000055,138834,31679,312,65400,0.0047706422018348625,662.3273394495413,male,12-15,4178,0.030093492948413212,0.0001435652874603199,0.009848795732188517,0.0002963846649169773
2014,E06000056,227861,31679,549,101571,0.005405086097409694,1231.6083232418703,female,12-15,5962,0.026165074321625903,0.00014142447945351155,0.017330092490293256,0.000453443158009174
2014,E06000056,227861,31679,549,101571,0.005405086097409694,1231.6083232418703,male,12-15,6187,0.02715251842131826,0.00014676169982872793,0.017330092490293256,0.00047055565558583686
2014,E06000060,441313,31679,257,183096,0.0014036352514527899,619.442483724385,female,12-15,12686,0.028746037392961457,4.0348951424340754e-05,0.008112629817860413,0.00023320596009946952
2014,E06000060,441313,31679,257,183096,0.0014036352514527899,619.442483724385,male,12-15,13299,0.03013507419903787,4.2298652450915005e-05,0.008112629817860413,0.0002444747015105506
2014,E07000009,73809,31679,22,30307,0.0007259049064572541,53.57831524070347,female,12-15,1800,0.024387269845140835,1.7702838835684772e-05,0.0006944663657312415,1.6936138659462054e-05
2014,E07000009,73809,31679,22,30307,0.0007259049064572541,53.57831524070347,male,12-15,2036,0.027584711891503747,2.002387770525233e-05,0.0006944663657312415,1.915665461703597e-05
