year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2015,E06000011,295931,170893,9,139895,6.433396475928376e-05,19.0384145251796,female,12-15,6952,0.02349196265345638,1.5113310974738729e-06,5.266453277782004e-05,1.237193237178278e-06
2015,E06000011,295931,170893,9,139895,6.433396475928376e-05,19.0384145251796,male,12-15,7149,0.024157658373066694,1.5541579424396889e-06,5.266453277782004e-05,1.2722517912237497e-06
2015,E06000014,180760,170893,16,74613,0.00021443984292281507,38.76214600672805,female,12-15,3636,0.0201150697056871,4.313472388069018e-06,9.362583604945785e-05,1.8832902183880767e-06
2015,E06000014,180760,170893,16,74613,0.00021443984292281507,38.76214600672805,male,12-15,3818,0.021121929630449215,4.529383272180283e-06,9.362583604945785e-05,1.977558320628624e-06
2015,E07000117,73552,170893,8,42699,0.00018735801775217217,13.780556921707767,female,12-15,1804,0.024526865346965413,4.595304873081883e-06,4.6812918024728927e-05,1.1481741368910565e-06
2015,E07000117,73552,170893,8,42699,0.00018735801775217217,13.780556921707767,male,12-15,2059,0.027993800304546443,5.244862934409975e-06,4.6812918024728927e-05,1.3104714788573643e-06
2015,E07000122,75301,170893,783,42847,0.018274324923565243,1376.0749410693863,female,12-15,2085,0.027688875313740854,0.0005059955042513849,0.004581814351670343,0.00012686528629410852
2015,E07000122,75301,170893,783,42847,0.018274324923565243,1376.0749410693863,male,12-15,2057,0.0273170343023333,0.0004992003607890162,0.004581814351670343,0.00012516157981150178
2015,E07000124,51216,170893,27,23173,0.0011651490959306088,59.67427609718206,female,12-15,1421,0.027745235863792565,3.2327336483079414e-05,0.0001579935983334601,4.383569650731154e-06
2015,E07000124,51216,170893,27,23173,0.0011651490959306088,59.67427609718206,male,12-15,1518,0.029639175257731958,3.453405825567526e-05,0.0001579935983334601,4.682799950605132e-06
2015,E07000163,49312,170893,2613,25354,0.10306066103967816,5082.12731718861,female,12-15,1176,0.023848150551589876,0.002457806160420618,0.015290269349827084,0.00036464464542903657
2015,E07000163,49312,170893,2613,25354,0.10306066103967816,5082.12731718861,male,12-15,1323,0.02682916937053861,0.0027650319304731953,0.015290269349827084,0.00041022522610766613
2015,E07000165,138852,170893,172,66711,0.0025782854401822787,358.00008994018975,female,12-15,3599,0.02591968426814162,6.682834456267119e-05,0.0010064777375316718,2.608758517973444e-05
2015,E07000165,138852,170893,172,66711,0.0025782854401822787,358.00008994018975,male,12-15,3741,0.02694235588972431,6.946508391468545e-05,0.0010064777375316718,2.7116881399662836e-05
2015,E07000166,45734,170893,8,21857,0.00036601546415336047,16.739351237589787,female,12-15,1030,0.022521537586915642,8.243231033322282e-06,4.6812918024728927e-05,1.0542988928471333e-06
2015,E07000166,45734,170893,8,21857,0.00036601546415336047,16.739351237589787,male,12-15,1226,0.026807189399571434,9.811845870731182e-06,4.6812918024728927e-05,1.2549227598355198e-06
2015,E07000168,95187,170893,11,47277,0.00023267127778835376,22.14728091884003,female,12-15,2005,0.021063800729091156,4.900941430716897e-06,6.436776228400227e-05,1.3558297181277332e-06
2015,E07000168,95187,170893,11,47277,0.00023267127778835376,22.14728091884003,male,12-15,2195,0.023059871621124734,5.365369795722489e-06,6.436776228400227e-05,1.4843123348081668e-06
2015,E07000169,74334,170893,16,35044,0.0004565688848304988,33.9385914849903,female,12-15,1889,0.025412328140554795,1.1602478320079806e-05,9.362583604945785e-05,2.3792504681226073e-06
2015,E07000169,74334,170893,16,35044,0.0004565688848304988,33.9385914849903,male,12-15,1950,0.026232948583420776,1.1977148080548238e-05,9.362583604945785e-05,2.4560817431652113e-06
2015,E08000005,179261,170893,8,89858,8.902935743061274e-05,15.95949164236907,female,12-15,4859,0.02710572851875199,2.413205592713124e-06,4.6812918024728927e-05,1.268898247148894e-06
2015,E08000005,179261,170893,8,89858,8.902935743061274e-05,15.95949164236907,male,12-15,5273,0.029415210224198237,2.618817264946759e-06,4.6812918024728927e-05,1.3770118249055602e-06
2015,E08000032,433673,170893,152858,232073,0.6586634377975895,285644.54905999405,female,12-15,14309,0.03299490630036917,0.021732538413610503,0.8944661279280017,0.02951282607983844
2015,E08000032,433673,170893,152858,232073,0.6586634377975895,285644.54905999405,male,12-15,14657,0.03379735422772458,0.022261081524095967,0.8944661279280017,0.030230588570283882
2015,E08000033,176709,170893,4275,86326,0.049521580983712905,8750.909054050924,female,12-15,4672,0.026438947648393687,0.0013092984870940738,0.02501565306946452,0.0006613875418939513
2015,E08000033,176709,170893,4275,86326,0.049521580983712905,8750.909054050924,male,12-15,4846,0.02742361735961383,0.0013580608879404713,0.02501565306946452,0.0006860196977778441
2015,E08000034,365370,170893,5469,171581,0.031874158560679794,11645.861313315576,female,12-15,10226,0.027988066891096695,0.0008920960818937284,0.03200248108465531,0.0008956875812783895
2015,E08000034,365370,170893,5469,171581,0.031874158560679794,11645.861313315576,male,12-15,10260,0.028081123244929798,0.0008950621748708835,0.03200248108465531,0.0008986656154817404
2015,E08000035,658332,170893,4446,290090,0.015326278051639147,10089.779282291702,female,12-15,15241,0.023150932963914864,0.00035481763575981757,0.0260162791922431,0.0006023011355501131
2015,E08000035,658332,170893,4446,290090,0.015326278051639147,10089.779282291702,male,12-15,15793,0.023989415674765924,0.00036766845492781306,0.0260162791922431,0.0006241153358534831
2015,E08000036,286072,170893,174,139706,0.001245472635391465,356.29484775170715,female,12-15,6942,0.024266618194021084,3.0223408914145913e-05,0.0010181809670378541,2.4707808779526772e-05
2015,E08000036,286072,170893,174,139706,0.001245472635391465,356.29484775170715,male,12-15,7130,0.024923795408148996,3.1041905150945024e-05,0.0010181809670378541,2.5376934110922773e-05
2015,E06000011,295931,170893,9,139895,6.433396475928376e-05,19.0384145251796,female,16-17,3891,0.013148335253826061,8.458845368628941e-07,5.266453277782004e-05,6.924509329488894e-07
2015,E06000011,295931,170893,9,139895,6.433396475928376e-05,19.0384145251796,male,16-17,3918,0.013239572738239657,8.51754205969884e-07,5.266453277782004e-05,6.97255912437355e-07
2015,E06000014,180760,170893,16,74613,0.00021443984292281507,38.76214600672805,female,16-17,2033,0.011246957291436158,2.4117957549351794e-06,9.362583604945785e-05,1.0530057794232562e-06
2015,E06000014,180760,170893,16,74613,0.00021443984292281507,38.76214600672805,male,16-17,2160,0.011949546359814118,2.562458844397436e-06,9.362583604945785e-05,1.1187862683493525e-06
2015,E07000117,73552,170893,8,42699,0.00018735801775217217,13.780556921707767,female,16-17,1025,0.01393571894713944,2.6109686778874333e-06,4.6812918024728927e-05,6.523716686881003e-07
2015,E07000117,73552,170893,8,42699,0.00018735801775217217,13.780556921707767,male,16-17,1074,0.01460191429192952,2.7357857171230276e-06,4.6812918024728927e-05,6.835582167522143e-07
2015,E07000122,75301,170893,783,42847,0.018274324923565243,1376.0749410693863,female,16-17,950,0.01261603431561334,0.00023054951033036722,0.004581814351670343,5.7804327088442734e-05
2015,E07000122,75301,170893,783,42847,0.018274324923565243,1376.0749410693863,male,16-17,1106,0.014687719950598265,0.00026840816676356437,0.004581814351670343,6.729640606296595e-05
2015,E07000124,51216,170893,27,23173,0.0011651490959306088,59.67427609718206,female,16-17,783,0.015288191190253046,1.7813022143737633e-05,0.0001579935983334601,2.415436338157983e-06
2015,E07000124,51216,170893,27,23173,0.0011651490959306088,59.67427609718206,male,16-17,818,0.015971571383942517,1.8609261958591806e-05,0.0001579935983334601,2.5234060339887996e-06
2015,E07000163,49312,170893,2613,25354,0.10306066103967816,5082.12731718861,female,16-17,690,0.013992537313432836,0.0014420801451447505,0.015290269349827084,0.00021394966440989392
2015,E07000163,49312,170893,2613,25354,0.10306066103967816,5082.12731718861,male,16-17,709,0.014377839065541857,0.0014817895984168524,0.015290269349827084,0.00021984103198060114
2015,E07000165,138852,170893,172,66711,0.0025782854401822787,358.00008994018975,female,16-17,1900,0.013683634373289545,3.5280315273430193e-05,0.0010064777375316718,1.3772273365239077e-05
2015,E07000165,138852,170893,172,66711,0.0025782854401822787,358.00008994018975,male,16-17,2622,0.018883415435139574,4.868683507733367e-05,0.0010064777375316718,1.900573724402993e-05
2015,E07000166,45734,170893,8,21857,0.00036601546415336047,16.739351237589787,female,16-17,535,0.011698080202912494,4.281678255172254e-06,4.6812918024728927e-05,5.476212695856469e-07
2015,E07000166,45734,170893,8,21857,0.00036601546415336047,16.739351237589787,male,16-17,601,0.013141207854112914,4.809885292258924e-06,4.6812918024728927e-05,6.151782860205118e-07
2015,E07000168,95187,170893,11,47277,0.00023267127778835376,22.14728091884003,female,16-17,1120,0.011766312626724238,2.7376829937171693e-06,6.436776228400227e-05,7.5737121411624e-07
2015,E07000168,95187,170893,11,47277,0.00023267127778835376,22.14728091884003,male,16-17,1194,0.012543729710989946,2.918565620087768e-06,6.436776228400227e-05,8.074118121917773e-07
2015,E07000169,74334,170893,16,35044,0.0004565688848304988,33.9385914849903,female,16-17,1058,0.014233056205773939,6.498370599600018e-06,9.362583604945785e-05,1.3325817868045095e-06
2015,E07000169,74334,170893,16,35044,0.0004565688848304988,33.9385914849903,male,16-17,1007,0.013546963704361396,6.185122111339526e-06,9.362583604945785e-05,1.2683458027524964e-06
2015,E08000005,179261,170893,8,89858,8.902935743061274e-05,15.95949164236907,female,16-17,2767,0.015435593910555,1.3742210074165907e-06,4.6812918024728927e-05,7.225851923978163e-07
2015,E08000005,179261,170893,8,89858,8.902935743061274e-05,15.95949164236907,male,16-17,2884,0.016088273522963725,1.4323286539174007e-06,4.6812918024728927e-05,7.531390295899177e-07
2015,E08000032,433673,170893,152858,232073,0.6586634377975895,285644.54905999405,female,16-17,7112,0.016399453044113884,0.010801720120036195,0.8944661279280017,0.014668755264505626
2015,E08000032,433673,170893,152858,232073,0.6586634377975895,285644.54905999405,male,16-17,7583,0.017485524807862144,0.011517075881641515,0.8944661279280017,0.01564020966967747
2015,E08000033,176709,170893,4275,86326,0.049521580983712905,8750.909054050924,female,16-17,2473,0.013994759746249483,0.0006930426281214992,0.02501565306946452,0.0003500880546026844
2015,E08000033,176709,170893,4275,86326,0.049521580983712905,8750.909054050924,male,16-17,2647,0.014979429457469625,0.0007418050289678968,0.02501565306946452,0.00037472021048657727
2015,E08000034,365370,170893,5469,171581,0.031874158560679794,11645.861313315576,female,16-17,5265,0.014410050086213974,0.00045930822131532177,0.03200248108465531,0.00046115735531299833
2015,E08000034,365370,170893,5469,171581,0.031874158560679794,11645.861313315576,male,16-17,5494,0.015036811998795741,0.0004792857298967479,0.03200248108465531,0.0004812152915649787
2015,E08000035,658332,170893,4446,290090,0.015326278051639147,10089.779282291702,female,16-17,8062,0.01224610075159646,0.00018768714516735448,0.0260162791922431,0.00031859797616987155
2015,E08000035,658332,170893,4446,290090,0.015326278051639147,10089.779282291702,male,16-17,8611,0.013080026491192893,0.00020046812292682825,0.0260162791922431,0.00034029362103681017
2015,E08000036,286072,170893,174,139706,0.001245472635391465,356.29484775170715,female,16-17,3859,0.013489611007019212,1.6800941371317932e-05,0.0010181809670378541,1.3734865180091302e-05
2015,E08000036,286072,170893,174,139706,0.001245472635391465,356.29484775170715,male,16-17,3778,0.013206465505187505,1.6448291396952357e-05,0.0010181809670378541,1.3446571819223876e-05
2015,E06000011,295931,170893,9,139895,6.433396475928376e-05,19.0384145251796,female,18-24,10834,0.03660988541247791,2.35525907796777e-06,5.266453277782004e-05,1.9280425102976786e-06
2015,E06000011,295931,170893,9,139895,6.433396475928376e-05,19.0384145251796,male,18-24,12430,0.042003034491148276,2.702221740736513e-06,5.266453277782004e-05,2.2120701867269843e-06
2015,E06000014,180760,170893,16,74613,0.00021443984292281507,38.76214600672805,female,18-24,15736,0.08705465811020137,1.8667987210850952e-05,9.362583604945785e-05,8.15056514756732e-06
2015,E06000014,180760,170893,16,74613,0.00021443984292281507,38.76214600672805,male,18-24,14704,0.08134543040495684,1.744370131852773e-05,9.362583604945785e-05,7.616033930467073e-06
2015,E07000117,73552,170893,8,42699,0.00018735801775217217,13.780556921707767,female,18-24,3563,0.04844191864259299,9.075981852988218e-06,4.6812918024728927e-05,2.2677075663762936e-06
2015,E07000117,73552,170893,8,42699,0.00018735801775217217,13.780556921707767,male,18-24,3730,0.050712421144224494,9.501378700995245e-06,4.6812918024728927e-05,2.373996413860111e-06
2015,E07000122,75301,170893,783,42847,0.018274324923565243,1376.0749410693863,female,18-24,3388,0.044992762380313675,0.0008222123589466148,0.004581814351670343,0.0002061484843954147
2015,E07000122,75301,170893,783,42847,0.018274324923565243,1376.0749410693863,male,18-24,3509,0.04659964675103916,0.000851577086051851,0.004581814351670343,0.0002135109302666795
2015,E07000124,51216,170893,27,23173,0.0011651490959306088,59.67427609718206,female,18-24,1773,0.03461808809746954,4.03352340496128e-05,0.0001579935983334601,5.469436305943938e-06
2015,E07000124,51216,170893,27,23173,0.0011651490959306088,59.67427609718206,male,18-24,2101,0.04102233676975945,4.779713860024619e-05,0.0001579935983334601,6.481266598301306e-06
2015,E07000163,49312,170893,2613,25354,0.10306066103967816,5082.12731718861,female,18-24,1588,0.032203114860480206,0.003318874305057773,0.015290269349827084,0.0004923943001201616
2015,E07000163,49312,170893,2613,25354,0.10306066103967816,5082.12731718861,male,18-24,1729,0.03506245944192083,0.003613560247761266,0.015290269349827084,0.0005361144489343573
2015,E07000165,138852,170893,172,66711,0.0025782854401822787,358.00008994018975,female,18-24,4768,0.03433872036412871,8.853502274932377e-05,0.0010064777375316718,3.456115758182101e-05
2015,E07000165,138852,170893,172,66711,0.0025782854401822787,358.00008994018975,male,18-24,4960,0.03572148762711376,9.210019145063882e-05,0.0010064777375316718,3.595288204820306e-05
2015,E07000166,45734,170893,8,21857,0.00036601546415336047,16.739351237589787,female,18-24,1566,0.03424148336030087,1.2532912425420091e-05,4.6812918024728927e-05,1.6029437535908842e-06
2015,E07000166,45734,170893,8,21857,0.00036601546415336047,16.739351237589787,male,18-24,3317,0.07252809725805746,2.6546405182067974e-05,4.6812918024728927e-05,3.395251871431011e-06
2015,E07000168,95187,170893,11,47277,0.00023267127778835376,22.14728091884003,female,18-24,3842,0.04036265456417368,9.391230412376218e-06,6.436776228400227e-05,2.5980537541380303e-06
2015,E07000168,95187,170893,11,47277,0.00023267127778835376,22.14728091884003,male,18-24,4192,0.044039627260025006,1.0246756347912835e-05,6.436776228400227e-05,2.8347322585493556e-06
2015,E07000169,74334,170893,16,35044,0.0004565688848304988,33.9385914849903,female,18-24,2762,0.0371566174294401,1.696455538383294e-05,9.362583604945785e-05,3.478819371601187e-06
2015,E07000169,74334,170893,16,35044,0.0004565688848304988,33.9385914849903,male,18-24,3049,0.04101756934915382,1.872734589620081e-05,9.362583604945785e-05,3.840304223031143e-06
2015,E08000005,179261,170893,8,89858,8.902935743061274e-05,15.95949164236907,female,18-24,9055,0.05051293923385455,4.497134521921658e-06,4.6812918024728927e-05,2.3646580835425463e-06
2015,E08000005,179261,170893,8,89858,8.902935743061274e-05,15.95949164236907,male,18-24,9577,0.05342489442767808,4.756384021694503e-06,4.6812918024728927e-05,2.5009752033226914e-06
2015,E08000032,433673,170893,152858,232073,0.6586634377975895,285644.54905999405,female,18-24,22726,0.05240353907206582,0.03451629519796717,0.8944661279280017,0.04687319068351446
2015,E08000032,433673,170893,152858,232073,0.6586634377975895,285644.54905999405,male,18-24,23883,0.055071447842037664,0.03627354916012717,0.8944661279280017,0.049259544710656335
2015,E08000033,176709,170893,4275,86326,0.049521580983712905,8750.909054050924,female,18-24,7735,0.043772529978665486,0.0021676848882004837,0.02501565306946452,0.001094998423919031
2015,E08000033,176709,170893,4275,86326,0.049521580983712905,8750.909054050924,male,18-24,7953,0.045006196628355095,0.0022287780110999936,0.02501565306946452,0.001125859400831035
2015,E08000034,365370,170893,5469,171581,0.031874158560679794,11645.861313315576,female,18-24,19183,0.05250294222295208,0.0016734871053165846,0.03200248108465531,0.0016802244153787745
2015,E08000034,365370,170893,5469,171581,0.031874158560679794,11645.861313315576,male,18-24,20707,0.05667405643594165,0.0018064378611161193,0.03200248108465531,0.0018137104190819103
2015,E08000035,658332,170893,4446,290090,0.015326278051639147,10089.779282291702,female,18-24,53089,0.08064168231226797,0.0012359368456697694,0.0260162791922431,0.0020979965215681354
2015,E08000035,658332,170893,4446,290090,0.015326278051639147,10089.779282291702,male,18-24,50616,0.07688521900803849,0.0011783642445783692,0.0260162791922431,0.0020002673234698854
2015,E08000036,286072,170893,174,139706,0.001245472635391465,356.29484775170715,female,18-24,12814,0.04479291926508012,5.578835520395646e-05,0.0010181809670378541,4.56072978537678e-05
2015,E08000036,286072,170893,174,139706,0.001245472635391465,356.29484775170715,male,18-24,13357,0.04669104281439638,5.815241614322198e-05,0.0010181809670378541,4.753993112476795e-05
2015,E06000011,295931,170893,9,139895,6.433396475928376e-05,19.0384145251796,female,25-29,7548,0.025505945642734285,1.6408986081318744e-06,5.266453277782004e-05,1.343258710331076e-06
2015,E06000011,295931,170893,9,139895,6.433396475928376e-05,19.0384145251796,male,25-29,7838,0.0264859038086581,1.7039432022439897e-06,5.266453277782004e-05,1.3948677492812632e-06
2015,E06000014,180760,170893,16,74613,0.00021443984292281507,38.76214600672805,female,25-29,7145,0.03952755034299624,8.476281686675778e-06,9.362583604945785e-05,3.7007999478500574e-06
2015,E06000014,180760,170893,16,74613,0.00021443984292281507,38.76214600672805,male,25-29,8056,0.04456738216419562,9.557022430771179e-06,9.362583604945785e-05,4.172658415658511e-06
2015,E07000117,73552,170893,8,42699,0.00018735801775217217,13.780556921707767,female,25-29,3009,0.040909832499456164,7.664785123671498e-06,4.6812918024728927e-05,1.9151086352024326e-06
