year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2015,E06000033,152679,100466,108,73365,0.0014720915968104683,224.75747290942547,female,12-15,3728,0.02441724140189548,3.5944415885022994e-05,0.0010749905440646586,2.624830361918173e-05
2015,E06000033,152679,100466,108,73365,0.0014720915968104683,224.75747290942547,male,12-15,3966,0.02597606743560018,3.8239150590129075e-05,0.0010749905440646586,2.79240268652561e-05
2015,E06000034,136826,100466,188,62439,0.0030109386761479205,411.9746953026154,female,12-15,3791,0.027706722406560157,8.342324208320616e-05,0.0018712798359644058,5.184703096005922e-05
2015,E06000034,136826,100466,188,62439,0.0030109386761479205,411.9746953026154,male,12-15,3942,0.02881031382924298,8.674608818042699e-05,0.0018712798359644058,5.391215933646885e-05
2015,E06000043,249172,100466,8,93363,8.568704947356019e-05,21.35081349142594,female,12-15,5168,0.020740693175798245,1.7772088022705564e-06,7.962892918997472e-05,1.6515591882466303e-06
2015,E06000043,249172,100466,8,93363,8.568704947356019e-05,21.35081349142594,male,12-15,5507,0.022101199171656528,1.8937865468467402e-06,7.962892918997472e-05,1.7598948238533656e-06
2015,E07000066,153384,100466,83,70319,0.0011803353290006967,181.04455410344286,female,12-15,4029,0.02626740729150368,3.100434882741229e-05,0.0008261501403459876,2.1700822220400982e-05
2015,E07000066,153384,100466,83,70319,0.0011803353290006967,181.04455410344286,male,12-15,4321,0.028171126062692328,3.3251375349528054e-05,0.0008261501403459876,2.3273579750397777e-05
2015,E07000068,65957,100466,52,28615,0.0018172287261925563,119.85895509348244,female,12-15,1724,0.02613824158163652,4.749916345431064e-05,0.0005175880397348357,1.3528841222354818e-05
2015,E07000068,65957,100466,52,28615,0.0018172287261925563,119.85895509348244,male,12-15,1727,0.026183725760722896,4.758181861113369e-05,0.0005175880397348357,1.3552383289447083e-05
2015,E07000069,78302,100466,42,36291,0.0011573117301810366,90.61982309663553,female,12-15,1916,0.024469362212970296,2.831867991911913e-05,0.00041805187824736726,1.0229462832647387e-05
2015,E07000069,78302,100466,42,36291,0.0011573117301810366,90.61982309663553,male,12-15,1950,0.02490357845265766,2.882120346674442e-05,0.00041805187824736726,1.0410987747214199e-05
2015,E07000070,148254,100466,26,54893,0.00047364873481136027,70.2203195307234,female,12-15,3800,0.02563168616023851,1.2140415720878824e-05,0.00025879401986741784,6.633327097388184e-06
