year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2015,E06000043,249172,181728,3699,93363,0.039619549500337393,9872.08238809807,female,12-15,5168,0.020740693175798245,0.0008217369199498485,0.02035459587955626,0.00042216842785524364
2015,E06000043,249172,181728,3699,93363,0.039619549500337393,9872.08238809807,male,12-15,5507,0.022101199171656528,0.0008756395545982616,0.02035459587955626,0.0004498609775926522
2015,E06000044,179520,181728,594,71725,0.008281631230393865,1486.7184384803065,female,12-15,4000,0.022281639928698752,0.0001845283250979025,0.003268621236133122,7.283024144681644e-05
2015,E06000044,179520,181728,594,71725,0.008281631230393865,1486.7184384803065,male,12-15,4307,0.02399175579322638,0.00019869087404916652,0.003268621236133122,7.84199624778596e-05
2015,E07000061,88827,181728,110,42328,0.002598752598752599,230.8393970893971,female,12-15,1993,0.022436871671901563,5.8307878565232754e-05,0.0006053002289135411,1.3581043559105762e-05
2015,E07000061,88827,181728,110,42328,0.002598752598752599,230.8393970893971,male,12-15,2122,0.02388913280871807,6.208194596860205e-05,0.0006053002289135411,1.4460097557663032e-05
2015,E07000063,87855,181728,235,40181,0.005848535377417187,513.8230755829869,female,12-15,2117,0.024096522679414947,0.0001409293653632939,0.0012931413981334741,3.116021102781361e-05
2015,E07000063,87855,181728,235,40181,0.005848535377417187,513.8230755829869,male,12-15,2294,0.026111205964373115,0.0001527123118296628,0.0012931413981334741,3.376548138772056e-05
2015,E07000064,82736,181728,16,38193,0.00041892493388840887,34.6601733301914,female,12-15,1813,0.02191307290659447,9.179932618686972e-06,8.804366966015144e-05,1.929307352227018e-06
2015,E07000064,82736,181728,16,38193,0.00041892493388840887,34.6601733301914,male,12-15,1849,0.022348191839102687,9.362214788721571e-06,8.804366966015144e-05,1.967616819783649e-06
2015,E07000065,136792,181728,69,62050,0.0011120064464141821,152.1135858178888,female,12-15,3412,0.024942979121586058,2.773675357597805e-05,0.0003796883254094031,9.470557973396713e-06
2015,E07000065,136792,181728,69,62050,0.0011120064464141821,152.1135858178888,male,12-15,3566,0.026068775951810046,2.898864690853978e-05,0.0003796883254094031,9.898009886615675e-06
2015,E07000085,102746,181728,970,44355,0.021869011385413143,2246.953443805659,female,12-15,2705,0.026327058960932785,0.0005757467521610821,0.005337647473146681,0.00014052455973820655
2015,E07000085,102746,181728,970,44355,0.021869011385413143,2246.953443805659,male,12-15,2834,0.02758258229030814,0.0006032038061458436,0.005337647473146681,0.00014722610066472363
2015,E07000087,100780,181728,165,39169,0.004212514999106436,424.53726160994665,female,12-15,2410,0.02391347489581266,0.00010073587167936605,0.0009079503433703117,2.1712247742830433e-05
2015,E07000087,100780,181728,165,39169,0.004212514999106436,424.53726160994665,male,12-15,2588,0.025679698352847787,0.00010817611448390015,0.0009079503433703117,2.3315890937114177e-05
2015,E07000088,72538,181728,95,29901,0.003177151265843952,230.46419852178857,female,12-15,1911,0.026344812374203865,8.370145398312322e-05,0.0005227592886071492,1.3771995375227633e-05
2015,E07000088,72538,181728,95,29901,0.003177151265843952,230.46419852178857,male,12-15,1874,0.02583473489757093,8.208086068256039e-05,0.0005227592886071492,1.3505347636408469e-05
2015,E07000090,106793,181728,3291,45934,0.07164627509034702,7651.320655723429,female,12-15,2581,0.024168250728043975,0.001731565140113918,0.018109482303222398,0.0004376745088593542
2015,E07000090,106793,181728,3291,45934,0.07164627509034702,7651.320655723429,male,12-15,2767,0.025909937917279222,0.0018563505395952,0.018109482303222398,0.00046921556219055907
2015,E07000091,157843,181728,8,67528,0.00011846937566639024,18.699561663310035,female,12-15,3580,0.02268076506401931,2.6869760767704433e-06,4.402183483007572e-05,9.984488934680097e-07
2015,E07000091,157843,181728,8,67528,0.00011846937566639024,18.699561663310035,male,12-15,3741,0.0237007659509766,2.807814945027438e-06,4.402183483007572e-05,1.0433512040401744e-06
2015,E07000094,105095,181728,110,43470,0.0025304807913503567,265.94087876696574,female,12-15,2611,0.02484418859127456,6.286774200690596e-05,0.0006053002289135411,1.5038193041469678e-05
2015,E07000094,105095,181728,110,43470,0.0025304807913503567,265.94087876696574,male,12-15,2972,0.028279175983633855,7.15599116218018e-05,0.0006053002289135411,1.7117391696379886e-05
2015,E07000110,139809,181728,8,62473,0.00012805531989819603,17.90328621964689,female,12-15,3658,0.026164266964215466,3.350473576004414e-06,4.402183483007572e-05,1.1517990387486999e-06
2015,E07000110,139809,181728,8,62473,0.00012805531989819603,17.90328621964689,male,12-15,3821,0.027330143266885536,3.4997702389045556e-06,4.402183483007572e-05,1.203123052777141e-06
2015,E07000210,75259,181728,25,33155,0.0007540340823405218,56.747851002865325,female,12-15,2042,0.02713296748561634,2.045918223919193e-05,0.00013756823384398662,3.732634415942554e-06
2015,E07000210,75259,181728,25,33155,0.0007540340823405218,56.747851002865325,male,12-15,2021,0.02685393109129805,2.024877928766253e-05,0.00013756823384398662,3.694247871997993e-06
2015,E07000211,121421,181728,29,56314,0.0005149696345491352,62.52812799659055,female,12-15,3309,0.027252287495573253,1.4034100532223325e-05,0.00015957915125902448,4.348896908410505e-06
2015,E07000211,121421,181728,29,56314,0.0005149696345491352,62.52812799659055,male,12-15,3220,0.02651930061521483,1.3656634546315838e-05,0.00015957915125902448,4.231927484158908e-06
2015,E07000215,73667,181728,8,32290,0.00024775472282440383,18.251347166305358,female,12-15,1995,0.02708132542386686,6.709526274107615e-06,4.402183483007572e-05,1.1921696347889974e-06
2015,E07000215,73667,181728,8,32290,0.00024775472282440383,18.251347166305358,male,12-15,1993,0.027054176225446945,6.702799931978184e-06,4.402183483007572e-05,1.1909744772603868e-06
2015,E07000216,105679,181728,156,49671,0.003140665579513197,331.90239777737514,female,12-15,2890,0.027346965811561427,8.588767422849515e-05,0.0008584257791864765,2.347534043517555e-05
2015,E07000216,105679,181728,156,49671,0.003140665579513197,331.90239777737514,male,12-15,3316,0.03137804104883657,9.854793347463318e-05,0.0008584257791864765,2.6935719336692777e-05
2015,E07000223,54692,181728,21580,27572,0.7826780792107936,42806.229508196724,female,12-15,1203,0.021995904337014555,0.017215712156998915,0.11874889945412925,0.002611989432518787
2015,E07000223,54692,181728,21580,27572,0.7826780792107936,42806.229508196724,male,12-15,1337,0.024445988444379434,0.01913333928005615,0.11874889945412925,0.002902934223838419
2015,E07000224,136954,181728,58650,69186,0.8477148556066256,116097.9403347498,female,12-15,2912,0.021262613724316193,0.018024633523128157,0.3227350765979926,0.006862191268990715
2015,E07000224,136954,181728,58650,69186,0.8477148556066256,116097.9403347498,male,12-15,2899,0.021167691341618354,0.017944166409185624,0.3227350765979926,0.006831556486539865
2015,E07000225,103234,181728,36094,49236,0.7330814850922089,75678.9340320091,female,12-15,2228,0.021582036925819014,0.015821391680894293,0.19861551329459412,0.004286527341964427
2015,E07000225,103234,181728,36094,49236,0.7330814850922089,75678.9340320091,male,12-15,2390,0.023151287366565278,0.01697178012447817,0.19861551329459412,0.0045982048237410145
2015,E07000226,92056,181728,246,40248,0.0061121049493142515,562.6559332140728,female,12-15,2379,0.025842965151646823,0.00015795491520833628,0.0013536714210248284,3.4982883360324875e-05
2015,E07000226,92056,181728,246,40248,0.0061121049493142515,562.6559332140728,male,12-15,2622,0.02848266272703572,0.00017408902382356358,0.0013536714210248284,3.8556166528277355e-05
2015,E07000227,117895,181728,17397,50446,0.3448638147722317,40657.719442572256,female,12-15,3238,0.027465117265363246,0.009471725113299854,0.0957309825673534,0.002629262662140806
2015,E07000227,117895,181728,17397,50446,0.3448638147722317,40657.719442572256,male,12-15,3452,0.02928029178506298,0.010097713122640857,0.0957309825673534,0.0028030311024428854
2015,E07000228,124559,181728,494,53444,0.009243320110770153,1151.3387096774195,female,12-15,3283,0.026356987451729704,0.00024362607217188974,0.0027183483007571754,7.164747205248763e-05
2015,E07000228,124559,181728,494,53444,0.009243320110770153,1151.3387096774195,male,12-15,3562,0.02859688982731075,0.00026433020684625986,0.0027183483007571754,7.773630686901033e-05
2015,E07000229,93503,181728,37654,44017,0.8554422155076448,79986.41347661131,female,12-15,2071,0.022149021956514765,0.01894720841380846,0.20719977108645887,0.00458927227917881
2015,E07000229,93503,181728,37654,44017,0.8554422155076448,79986.41347661131,male,12-15,2280,0.02438424435579607,0.020859312015201973,0.20719977108645887,0.005052409848637222
2015,E09000029,167677,181728,25,87065,0.00028714179061620627,48.14707402515362,female,12-15,4425,0.02639002367647322,7.577678652866599e-06,0.00013756823384398662,3.6304289482734116e-06
2015,E09000029,167677,181728,25,87065,0.00028714179061620627,48.14707402515362,male,12-15,4680,0.0279108047018971,8.014358439641962e-06,0.00013756823384398662,3.839640108004421e-06
2015,E06000043,249172,181728,3699,93363,0.039619549500337393,9872.08238809807,female,16-17,2669,0.010711476409869488,0.00042438386984252046,0.02035459587955626,0.00021802777359629358
2015,E06000043,249172,181728,3699,93363,0.039619549500337393,9872.08238809807,male,16-17,2897,0.011626506991154705,0.0004606369692520726,0.02035459587955626,0.00023665285129578962
2015,E06000044,179520,181728,594,71725,0.008281631230393865,1486.7184384803065,female,16-17,2115,0.011781417112299465,9.756935189551596e-05,0.003268621236133122,3.850899016500419e-05
2015,E06000044,179520,181728,594,71725,0.008281631230393865,1486.7184384803065,male,16-17,2316,0.012901069518716578,0.00010684190023168556,0.003268621236133122,4.216870979770672e-05
2015,E07000061,88827,181728,110,42328,0.002598752598752599,230.8393970893971,female,16-17,1131,0.012732615083251714,3.308891653651693e-05,0.0006053002289135411,7.707054824560269e-06
2015,E07000061,88827,181728,110,42328,0.002598752598752599,230.8393970893971,male,16-17,1247,0.014038524322559582,3.648265156590328e-05,0.0006053002289135411,8.49752198605363e-06
2015,E07000063,87855,181728,235,40181,0.005848535377417187,513.8230755829869,female,16-17,1108,0.012611689716009334,7.37599134730891e-05,0.0012931413981334741,1.630869807218587e-05
2015,E07000063,87855,181728,235,40181,0.005848535377417187,513.8230755829869,male,16-17,1203,0.013693016902851289,8.008409377989729e-05,0.0012931413981334741,1.770700702241841e-05
2015,E07000064,82736,181728,16,38193,0.00041892493388840887,34.6601733301914,female,16-17,994,0.012014117192032488,5.033013250399807e-06,8.804366966015144e-05,1.0577669653136546e-06
2015,E07000064,82736,181728,16,38193,0.00041892493388840887,34.6601733301914,male,16-17,1084,0.013101914523303036,5.4887186754863085e-06,8.804366966015144e-05,1.153540634205233e-06
2015,E07000065,136792,181728,69,62050,0.0011120064464141821,152.1135858178888,female,16-17,1885,0.013780045616702732,1.5323499557654933e-05,0.0003796883254094031,5.232122444271045e-06
2015,E07000065,136792,181728,69,62050,0.0011120064464141821,152.1135858178888,male,16-17,1936,0.014152874437101585,1.573808760934745e-05,0.0003796883254094031,5.373681194752649e-06
2015,E07000085,102746,181728,970,44355,0.021869011385413143,2246.953443805659,female,16-17,1493,0.014530979308196914,0.0003177781519321611,0.005337647473146681,7.756124498674396e-05
2015,E07000085,102746,181728,970,44355,0.021869011385413143,2246.953443805659,male,16-17,1533,0.014920288867693147,0.0003262919671212344,0.005337647473146681,7.963924217326087e-05
2015,E07000087,100780,181728,165,39169,0.004212514999106436,424.53726160994665,female,16-17,1339,0.01328636634252828,5.5969017501523294e-05,0.0009079503433703117,1.2063360882842303e-05
2015,E07000087,100780,181728,165,39169,0.004212514999106436,424.53726160994665,male,16-17,1442,0.014308394522722763,6.027432654010202e-05,0.0009079503433703117,1.299131171998402e-05
2015,E07000088,72538,181728,95,29901,0.003177151265843952,230.46419852178857,female,16-17,944,0.013013868593013317,4.1347029073819106e-05,0.0005227592886071492,6.803120687710563e-06
2015,E07000088,72538,181728,95,29901,0.003177151265843952,230.46419852178857,male,16-17,1046,0.014420028123190603,4.581461060510041e-05,0.0005227592886071492,7.538203643374204e-06
2015,E07000090,106793,181728,3291,45934,0.07164627509034702,7651.320655723429,female,16-17,1484,0.013896041875403818,0.0009955996388721637,0.018109482303222398,0.0002516501244274628
2015,E07000090,106793,181728,3291,45934,0.07164627509034702,7651.320655723429,male,16-17,1561,0.014617062916108734,0.0010472581107004364,0.018109482303222398,0.0002647074422043595
2015,E07000091,157843,181728,8,67528,0.00011846937566639024,18.699561663310035,female,16-17,1886,0.011948581818642575,1.4155410281533676e-06,4.402183483007572e-05,5.259984952739293e-07
2015,E07000091,157843,181728,8,67528,0.00011846937566639024,18.699561663310035,male,16-17,2115,0.01339939053363152,1.5874174308294656e-06,4.402183483007572e-05,5.898657568952069e-07
2015,E07000094,105095,181728,110,43470,0.0025304807913503567,265.94087876696574,female,16-17,1457,0.013863647176364242,3.508169287784832e-05,0.0006053002289135411,8.391668809429845e-06
2015,E07000094,105095,181728,110,43470,0.0025304807913503567,265.94087876696574,male,16-17,1702,0.016194871306912793,4.098081076053387e-05,0.0006053002289135411,9.802759309299652e-06
2015,E07000110,139809,181728,8,62473,0.00012805531989819603,17.90328621964689,female,16-17,1867,0.013353932865552288,1.7100421449973319e-06,4.402183483007572e-05,5.878646269392626e-07
2015,E07000110,139809,181728,8,62473,0.00012805531989819603,17.90328621964689,male,16-17,2115,0.01512778147329571,1.9371928959128855e-06,4.402183483007572e-05,6.659526973629032e-07
2015,E07000210,75259,181728,25,33155,0.0007540340823405218,56.747851002865325,female,16-17,1098,0.01458961718864189,1.100106860853709e-05,0.00013756823384398662,2.007067869101334e-06
2015,E07000210,75259,181728,25,33155,0.0007540340823405218,56.747851002865325,male,16-17,1120,0.014881941030308668,1.1221490748234555e-05,0.00013756823384398662,2.047282343709922e-06
2015,E07000211,121421,181728,29,56314,0.0005149696345491352,62.52812799659055,female,16-17,1646,0.013556139382808575,6.981000143862071e-06,0.00015957915125902448,2.1632772170576283e-06
2015,E07000211,121421,181728,29,56314,0.0005149696345491352,62.52812799659055,male,16-17,1657,0.013646733266897818,7.027653243243896e-06,0.00015957915125902448,2.177734112189848e-06
2015,E07000215,73667,181728,8,32290,0.00024775472282440383,18.251347166305358,female,16-17,1116,0.015149252718313492,3.7532989082226057e-06,4.402183483007572e-05,6.668979009646722e-07
2015,E07000215,73667,181728,8,32290,0.00024775472282440383,18.251347166305358,male,16-17,1087,0.0147555893412247,3.655766947345853e-06,4.402183483007572e-05,6.495681167998196e-07
2015,E07000216,105679,181728,156,49671,0.003140665579513197,331.90239777737514,female,16-17,1607,0.015206427010096613,4.775830189799021e-05,0.0008584257791864765,1.3053588954784468e-05
2015,E07000216,105679,181728,156,49671,0.003140665579513197,331.90239777737514,male,16-17,1924,0.01820607689323328,5.717919903654833e-05,0.0008584257791864765,1.5628565743002684e-05
2015,E07000223,54692,181728,21580,27572,0.7826780792107936,42806.229508196724,female,16-17,663,0.012122431068529218,0.009487961064081696,0.11874889945412925,0.0014395253480963888
2015,E07000223,54692,181728,21580,27572,0.7826780792107936,42806.229508196724,male,16-17,778,0.014225115190521465,0.011133685833869622,0.11874889945412925,0.00168921677348264
2015,E07000224,136954,181728,58650,69186,0.8477148556066256,116097.9403347498,female,16-17,1495,0.010916074010251617,0.009253718103391689,0.3227350765979926,0.0035229999818479118
2015,E07000224,136954,181728,58650,69186,0.8477148556066256,116097.9403347498,male,16-17,1569,0.011456401419454707,0.009711761675064587,0.3227350765979926,0.003697382589645066
2015,E07000225,103234,181728,36094,49236,0.7330814850922089,75678.9340320091,female,16-17,1158,0.011217234632001085,0.008223147022655112,0.19861551329459412,0.002227916814180793
2015,E07000225,103234,181728,36094,49236,0.7330814850922089,75678.9340320091,male,16-17,1319,0.012776798341631633,0.009366434303006991,0.19861551329459412,0.002537670360884686
2015,E07000226,92056,181728,246,40248,0.0061121049493142515,562.6559332140728,female,16-17,1156,0.01255757365082124,7.675320806256273e-05,0.0013536714210248284,1.699882856853113e-05
2015,E07000226,92056,181728,246,40248,0.0061121049493142515,562.6559332140728,male,16-17,1312,0.014252194316502998,8.711090742048642e-05,0.0013536714210248284,1.9292788133142595e-05
2015,E07000227,117895,181728,17397,50446,0.3448638147722317,40657.719442572256,female,16-17,1799,0.015259340938971118,0.005262394527123668,0.0957309825673534,0.0014607917014179462
2015,E07000227,117895,181728,17397,50446,0.3448638147722317,40657.719442572256,male,16-17,1748,0.014826752618855762,0.005113210468822775,0.0957309825673534,0.0014193795964861425
2015,E07000228,124559,181728,494,53444,0.009243320110770153,1151.3387096774195,female,16-17,1680,0.013487584197047183,0.00012467005825427191,0.0027183483007571754,3.666395158336254e-05
2015,E07000228,124559,181728,494,53444,0.009243320110770153,1151.3387096774195,male,16-17,1969,0.01580776981189637,0.00014611627660872703,0.0027183483007571754,4.297102420692907e-05
2015,E07000229,93503,181728,37654,44017,0.8554422155076448,79986.41347661131,female,16-17,1196,0.012791033442777237,0.010941989986921736,0.20719977108645887,0.0026502992013026833
2015,E07000229,93503,181728,37654,44017,0.8554422155076448,79986.41347661131,male,16-17,1207,0.012908676726949937,0.011042627018574027,0.20719977108645887,0.002674674862853126
2015,E09000029,167677,181728,25,87065,0.00028714179061620627,48.14707402515362,female,16-17,2340,0.01395540235094855,4.007179219820981e-06,0.00013756823384398662,1.9198200540022107e-06
2015,E09000029,167677,181728,25,87065,0.00028714179061620627,48.14707402515362,male,16-17,2504,0.014933473284946654,4.288024259158862e-06,0.00013756823384398662,2.0543715449664683e-06
2015,E06000043,249172,181728,3699,93363,0.039619549500337393,9872.08238809807,female,18-24,20596,0.08265776250943124,0.0032748633133295436,0.02035459587955626,0.001682465352187809
2015,E06000043,249172,181728,3699,93363,0.039619549500337393,9872.08238809807,male,18-24,20055,0.08048657152489044,0.003188841704642843,0.02035459587955626,0.0016382716371201452
2015,E06000044,179520,181728,594,71725,0.008281631230393865,1486.7184384803065,female,18-24,14336,0.07985739750445633,0.0006613495171508827,0.003268621236133122,0.00026102358534539014
2015,E06000044,179520,181728,594,71725,0.008281631230393865,1486.7184384803065,male,18-24,17264,0.09616755793226381,0.0007964242511225472,0.003268621236133122,0.00031433532208445975
2015,E07000061,88827,181728,110,42328,0.002598752598752599,230.8393970893971,female,18-24,3989,0.04490751685861281,0.00011670352613984618,0.0006053002289135411,2.718253023445704e-05
2015,E07000061,88827,181728,110,42328,0.002598752598752599,230.8393970893971,male,18-24,4347,0.04893782295923537,0.00012717729459260752,0.0006053002289135411,2.962207543975552e-05
2015,E07000063,87855,181728,235,40181,0.005848535377417187,513.8230755829869,female,18-24,3225,0.03670821239542428,0.00021468927883638302,0.0012931413981334741,4.746890909999948e-05
2015,E07000063,87855,181728,235,40181,0.005848535377417187,513.8230755829869,male,18-24,3528,0.040157077001878094,0.00023486008549915014,0.0012931413981334741,5.192877869916222e-05
2015,E07000064,82736,181728,16,38193,0.00041892493388840887,34.6601733301914,female,18-24,2776,0.033552504351189325,1.4055980667112539e-05,8.804366966015144e-05,2.9540856093669067e-06
