year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2016,E06000006,107716,247208,3444,68329,0.05040319630025319,5429.230692678072,female,12-15,2876,0.0266998403208437,0.0013457572928769002,0.013931587974499208,0.0003719711743349152
2016,E06000006,107716,247208,3444,68329,0.05040319630025319,5429.230692678072,male,12-15,2840,0.02636562813323926,0.0013289119303791363,0.013931587974499208,0.00036731506784115403
2016,E06000007,178815,247208,3632,94334,0.03850149468908347,6884.64477282846,female,12-15,4570,0.025557140060956853,0.0009839880923250925,0.014692081162421928,0.000375487576054963
2016,E06000007,178815,247208,3632,94334,0.03850149468908347,6884.64477282846,male,12-15,4895,0.02737466096244722,0.0010539653636611223,0.014692081162421928,0.00040219074065405775
2016,E06000008,122171,247208,151,67205,0.00224685663269102,274.5007216724946,female,12-15,3951,0.03233991700157975,7.266315701567655e-05,0.0006108216562570791,1.9753921666121416e-05
2016,E06000008,122171,247208,151,67205,0.00224685663269102,274.5007216724946,male,12-15,4133,0.03382963223678287,7.601033357271353e-05,0.0006108216562570791,2.0663871993439588e-05
2016,E06000009,120390,247208,196,74625,0.002626465661641541,316.2002010050251,female,12-15,2839,0.023581692831630533,6.193650646565607e-05,0.0007928546001747516,1.8696853641466232e-05
2016,E06000009,120390,247208,196,74625,0.002626465661641541,316.2002010050251,male,12-15,2965,0.02462829138632777,6.468536163109204e-05,0.0007928546001747516,1.9526654120094183e-05
2016,E06000049,326712,247208,1783,168475,0.010583172577533759,3457.6494791512096,female,12-15,7970,0.024394573814246187,0.00025817198463155334,0.0072125497556713375,0.00017594707740364776
2016,E06000049,326712,247208,1783,168475,0.010583172577533759,3457.6494791512096,male,12-15,8208,0.025123044148975246,0.00026588151190160475,0.0072125497556713375,0.00018120120593841164
2016,E06000050,290573,247208,3749,152550,0.02457554900032776,7140.990999672238,female,12-15,6905,0.023763391643408027,0.0005839983957465532,0.015165366816607876,0.000360380551078997
2016,E06000050,290573,247208,3749,152550,0.02457554900032776,7140.990999672238,male,12-15,7162,0.024647850970324153,0.0006057344692739773,0.015165366816607876,0.0003737937012060502
2016,E06000051,275857,247208,84,126584,0.0006635909751627378,183.05621563546737,female,12-15,6804,0.02466495321851539,1.6367440358617935e-05,0.0003397948286463221,8.381023552454988e-06
2016,E06000051,275857,247208,84,126584,0.0006635909751627378,183.05621563546737,male,12-15,6690,0.02425169562490711,1.609320634908201e-05,0.0003397948286463221,8.24060075924807e-06
2016,E07000027,58525,247208,108,34632,0.0031185031185031187,182.51039501039503,female,12-15,1407,0.02404100811618966,7.497195878229624e-05,0.00043687906540241416,1.0503013157132792e-05
2016,E07000027,58525,247208,108,34632,0.0031185031185031187,182.51039501039503,male,12-15,1474,0.025185818026484407,7.854205205764369e-05,0.00043687906540241416,1.1003156640805783e-05
