year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2016,E06000024,182622,167212,40,91635,0.00043651443225841655,79.71713864789655,female,12-15,4505,0.02466844082312098,1.0768130440605e-05,0.00023921728105638353,5.901117341607297e-06
2016,E06000024,182622,167212,40,91635,0.00043651443225841655,79.71713864789655,male,12-15,4625,0.025325535806200786,1.1054961884083935e-05,0.00023921728105638353,6.058305816855438e-06
2016,E06000025,236954,167212,9,104416,8.619368679129635e-05,20.423938859944837,female,12-15,5808,0.024511086540003547,2.1127009161434256e-06,5.3823888237686293e-05,1.3192819825134077e-06
2016,E06000025,236954,167212,9,104416,8.619368679129635e-05,20.423938859944837,male,12-15,5987,0.025266507423381754,2.177813427160931e-06,5.3823888237686293e-05,1.3599416717127706e-06
2016,E06000026,225849,167212,476,97462,0.004883954772116312,1103.036301327697,female,12-15,4915,0.021762327927066314,0.00010628622533175562,0.0028466856445709637,6.195050650242545e-05
2016,E06000026,225849,167212,476,97462,0.004883954772116312,1103.036301327697,male,12-15,5308,0.02350242861380834,0.0001147847983847322,0.0028466856445709637,6.690402614748206e-05
2016,E06000027,117220,167212,2754,61956,0.04445090063916328,5210.534572922719,female,12-15,2555,0.021796621736904966,0.0009688794670965892,0.016470109800732005,0.00035899275329184674
2016,E06000027,117220,167212,2754,61956,0.04445090063916328,5210.534572922719,male,12-15,2669,0.022769152021839278,0.0010121093141607813,0.016470109800732005,0.00037501043386925205
2016,E06000052,483909,167212,2663,214107,0.012437706380454633,6018.718056859421,female,12-15,10969,0.022667485002345483,0.0002819315228425321,0.015925890486328732,0.00036099988374785314
2016,E06000052,483909,167212,2663,214107,0.012437706380454633,6018.718056859421,male,12-15,11638,0.024049976338526458,0.0002991265441554735,0.015925890486328732,0.0003830172893661696
2016,E06000053,2061,167212,9,718,0.012534818941504178,25.83426183844011,female,12-15,33,0.01601164483260553,0.0002007030689323813,5.3823888237686293e-05,8.618089819716874e-07
2016,E06000053,2061,167212,9,718,0.012534818941504178,25.83426183844011,male,12-15,47,0.022804463852498787,0.00028584982544914916,5.3823888237686293e-05,1.2274249137172518e-06
2016,E06000059,329362,167212,886,171266,0.0051732392885920145,1703.8684385692432,female,12-15,7530,0.02286238242420194,0.00011827257498769703,0.005298662775398894,0.00012114005470805277
