year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2017,E06000026,226358,213744,27,96546,0.0002796594369523336,63.30315082965633,female,12-15,5088,0.022477668118643917,6.286092010061378e-06,0.0001263193352795868,2.83936409538226e-06
2017,E06000026,226358,213744,27,96546,0.0002796594369523336,63.30315082965633,male,12-15,5320,0.02350259323726133,6.572721991652228e-06,0.0001263193352795868,2.968831955077363e-06
2017,E06000030,185141,213744,27,85358,0.00031631481524871716,58.56284120996274,female,12-15,4755,0.02568312799433945,8.123953886538639e-06,0.0001263193352795868,3.2442756561455065e-06
2017,E06000030,185141,213744,27,85358,0.00031631481524871716,58.56284120996274,male,12-15,4976,0.02687681280753588,8.501534077690066e-06,0.0001263193352795868,3.395061128281817e-06
2017,E06000036,101330,213744,225,44888,0.005012475494564249,507.9141418641953,female,12-15,2826,0.027889075298529558,0.00013979330649993652,0.00105266112732989,2.9357745443938314e-05
2017,E06000036,101330,213744,225,44888,0.005012475494564249,507.9141418641953,male,12-15,3025,0.029852955689331887,0.00014963720883308845,0.00105266112732989,3.142504599006136e-05
2017,E06000037,134876,213744,337,55143,0.006111383131131785,824.2789111945306,female,12-15,3978,0.029493757228862067,0.00018024765040216376,0.001576652444045213,4.650140441896154e-05
2017,E06000037,134876,213744,337,55143,0.006111383131131785,824.2789111945306,male,12-15,3985,0.02954565675138646,0.00018056482826863315,0.001576652444045213,4.6583231927994406e-05
2017,E06000038,135840,213744,149,54507,0.00273359385033115,371.3313886289834,female,12-15,3160,0.02326266195524146,6.359066966318046e-05,0.0006970955909873493,1.6216299083627973e-05
2017,E06000038,135840,213744,149,54507,0.00273359385033115,371.3313886289834,male,12-15,3377,0.02486012956419317,6.795749729511406e-05,0.0006970955909873493,1.7329886710573314e-05
2017,E06000040,127534,213744,20,59356,0.00033694992924051485,42.97257227575982,female,12-15,3581,0.028078786833315036,9.461145236645001e-06,9.35698779848791e-05,2.627328657956718e-06
2017,E06000040,127534,213744,20,59356,0.00033694992924051485,42.97257227575982,male,12-15,4195,0.03289318926717581,1.1083357796069752e-05,9.35698779848791e-05,3.0778117062631756e-06
2017,E06000041,138600,213744,153,52222,0.0029297997012753246,406.07023859675996,female,12-15,4131,0.029805194805194807,8.73232508367126e-05,0.0007158095665843252,2.1334843575467878e-05
2017,E06000041,138600,213744,153,52222,0.0029297997012753246,406.07023859675996,male,12-15,4208,0.030360750360750362,8.895091733742112e-05,0.0007158095665843252,2.1732515556903614e-05
2017,E06000044,183444,213744,2820,71965,0.039185715278260265,7188.3843535051765,female,12-15,4258,0.023211443274241732,0.0009095570073419256,0.013193352795867953,0.00030623676001834756
2017,E06000044,183444,213744,2820,71965,0.039185715278260265,7188.3843535051765,male,12-15,4389,0.02392555766337411,0.0009375400904705757,0.013193352795867953,0.00031565832309077675
2017,E06000045,215793,213744,81265,86134,0.9434717997538719,203594.61008428727,female,12-15,4394,0.02036210627777546,0.019211073056672426,0.38019780672206005,0.00774162814705172
2017,E06000045,215793,213744,81265,86134,0.9434717997538719,203594.61008428727,male,12-15,4741,0.021970128780822364,0.020728196941666815,0.38019780672206005,0.008352994775869869
2017,E06000046,124479,213744,4843,55527,0.08721883047886614,10856.912799178777,female,12-15,2674,0.021481535038038544,0.001873594362908507,0.022657945954038475,0.0004867274599016612
2017,E06000046,124479,213744,4843,55527,0.08721883047886614,10856.912799178777,male,12-15,2817,0.022630323187043597,0.001973790321732709,0.022657945954038475,0.0005127566396944575
2017,E06000054,424933,213744,4524,182975,0.0247246891651865,10506.336341030195,female,12-15,11312,0.026620667258132457,0.0006581877233271826,0.021165506400179654,0.0005634399032290555
2017,E06000054,424933,213744,4524,182975,0.0247246891651865,10506.336341030195,male,12-15,11688,0.02750551263375638,0.0006800652501987368,0.021165506400179654,0.000582168103689993
