year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2017,E06000015,215352,323631,802,95103,0.008432962156819448,1816.055266395382,female,12-15,5754,0.026719046026969798,0.00022532070401175334,0.0024781309577883454,6.621329512200555e-05
2017,E06000015,215352,323631,802,95103,0.008432962156819448,1816.055266395382,male,12-15,6272,0.02912441026784056,0.0002456050496283832,0.0024781309577883454,7.217410271206444e-05
2017,E06000016,294183,323631,111579,116077,0.9612498600067196,282783.3675663568,female,12-15,8070,0.027431904630791037,0.02636891448606557,0.34477228695644113,0.009457760495128814
2017,E06000016,294183,323631,111579,116077,0.9612498600067196,282783.3675663568,male,12-15,8339,0.028346301451817407,0.027247878302267756,0.34477228695644113,0.009773019178299775
2017,E06000017,34867,323631,4281,15019,0.2850389506624942,9938.453092749185,female,12-15,956,0.027418475922792326,0.007815333605797586,0.013228028217321578,0.0003626923731826492
2017,E06000017,34867,323631,4281,15019,0.2850389506624942,9938.453092749185,male,12-15,1024,0.029368744084664583,0.008371235996168127,0.013228028217321578,0.0003884905754592393
2017,E06000018,280805,323631,258,94545,0.002728859273361891,766.2773282563858,female,12-15,6309,0.02246754865476042,6.131077849625246e-05,0.0007972042233284204,1.7911224675411774e-05
2017,E06000018,280805,323631,258,94545,0.002728859273361891,766.2773282563858,male,12-15,6759,0.024070084222147042,6.568387254020769e-05,0.0007972042233284204,1.91887727977664e-05
2017,E06000031,162643,323631,881,70784,0.01244631555153707,2024.3061002486438,female,12-15,4462,0.02743431933744459,0.00034145619541547077,0.0027222361269470478,7.468269521859366e-05
2017,E06000031,162643,323631,881,70784,0.01244631555153707,2024.3061002486438,male,12-15,4727,0.029063654753048087,0.0003617354181373667,0.0027222361269470478,7.911813094986378e-05
2017,E06000042,219205,323631,32,96130,0.00033288255487360865,72.96952044106938,female,12-15,6354,0.028986565087475196,9.64912184332889e-06,9.8878043203525e-05,2.866134835041162e-06
2017,E06000042,219205,323631,32,96130,0.00033288255487360865,72.96952044106938,male,12-15,6676,0.03045550968271709,1.0138107873160791e-05,9.8878043203525e-05,3.0113812021930743e-06
