year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2018,E06000040,128425,262082,9,60244,0.00014939247061948079,19.18572803930682,female,12-15,3762,0.029293361884368308,4.3762077046563105e-06,3.434039728024054e-05,1.0059456847830632e-06
2018,E06000040,128425,262082,9,60244,0.00014939247061948079,19.18572803930682,male,12-15,4334,0.03374732334047109,5.0415960106274454e-06,3.434039728024054e-05,1.1588964906565115e-06
2018,E06000044,184195,262082,10,71978,0.0001389313401317069,25.590458195559755,female,12-15,4374,0.023746572925432287,3.2991432000656157e-06,3.815599697804504e-05,9.060741647817204e-07
2018,E06000044,184195,262082,10,71978,0.0001389313401317069,25.590458195559755,male,12-15,4616,0.02506039794782703,3.4816746711254873e-06,3.815599697804504e-05,9.562044683658943e-07
2018,E06000045,215985,262082,275,87265,0.0031513206898527474,680.6379991978456,female,12-15,4644,0.02150149315924717,6.775810025546292e-05,0.0010492899168962385,2.2561299970211505e-05
2018,E06000045,215985,262082,275,87265,0.0031513206898527474,680.6379991978456,male,12-15,4912,0.022742320068523277,7.166834376719076e-05,0.0010492899168962385,2.3863287134728447e-05
2018,E06000046,125209,262082,16,56882,0.00028128406174185157,35.219296086635495,female,12-15,2732,0.021819517766294757,6.137482582551882e-06,6.104959516487206e-05,1.3320727263250284e-06
2018,E06000046,125209,262082,16,56882,0.00028128406174185157,35.219296086635495,male,12-15,2996,0.023927992396712696,6.730562890675489e-06,6.104959516487206e-05,1.4607942489274468e-06
2018,E06000054,427128,262082,1286,184695,0.006962830612631636,2974.0199139121255,female,12-15,11562,0.027069168961060854,0.0001884780383005726,0.004906861211376592,0.0001328246551992287
2018,E06000054,427128,262082,1286,184695,0.006962830612631636,2974.0199139121255,male,12-15,12018,0.02813676462325111,0.00019591152605918366,0.004906861211376592,0.00013806319894346398
2018,E06000058,343702,262082,178673,191140,0.9347755571832165,321284.2285549859,female,12-15,7696,0.022391490302645898,0.02093101782381841,0.6817446448058241,0.015265278603050382
2018,E06000058,343702,262082,178673,191140,0.9347755571832165,321284.2285549859,male,12-15,7975,0.023203240016060424,0.021689821614468786,0.6817446448058241,0.015818684623093396
2018,E06000059,332548,262082,62550,175631,0.3561444164185138,118435.11339114392,female,12-15,7781,0.023398125984820238,0.008333111924150666,0.2386657610976717,0.005584331546426332
2018,E06000059,332548,262082,62550,175631,0.3561444164185138,118435.11339114392,male,12-15,8206,0.02467613697872187,0.008788268403750209,0.2386657610976717,0.005889349012977056
2018,E07000040,127106,262082,39,57380,0.0006796793307772743,86.39132101777622,female,12-15,2790,0.021950183311566725,1.4919085903644165e-05,0.00014880838821437566,3.266371399604331e-06
2018,E07000040,127106,262082,39,57380,0.0006796793307772743,86.39132101777622,male,12-15,2964,0.023319119475083788,1.5849523519140253e-05,0.00014880838821437566,3.4700805836656764e-06
2018,E07000086,112598,262082,91,49492,0.001838680998949325,207.0318031196961,female,12-15,2900,0.02575534201317963,4.7355857981074645e-05,0.00034721957250020985,8.942758843412925e-06
2018,E07000086,112598,262082,91,49492,0.001838680998949325,207.0318031196961,male,12-15,3217,0.028570667329792715,5.253234314659211e-05,0.00034721957250020985,9.920294896296339e-06
2018,E07000087,101713,262082,26,40254,0.0006458985442440503,65.69627863069509,female,12-15,2425,0.023841593503288665,1.5399250536232557e-05,9.920559214291711e-05,2.3652194011244776e-06
2018,E07000087,101713,262082,26,40254,0.0006458985442440503,65.69627863069509,male,12-15,2539,0.024962394187566978,1.6123174066595655e-05,9.920559214291711e-05,2.4764090966824943e-06
2018,E07000091,158521,262082,18714,71237,0.2627005629097239,41643.555933012336,female,12-15,3563,0.022476517306855244,0.005904593748761023,0.07140513274471348,0.0016049387019348486
2018,E07000091,158521,262082,18714,71237,0.2627005629097239,41643.555933012336,male,12-15,3701,0.023347064426795187,0.0061332869672086855,0.07140513274471348,0.0016671002345946882
2018,E07000093,107234,262082,126,48976,0.002572688663835348,275.87969617771967,female,12-15,2770,0.025831359456888674,6.64560456461935e-05,0.0004807655619233675,1.2418828044535576e-05
2018,E07000093,107234,262082,126,48976,0.002572688663835348,275.87969617771967,male,12-15,2831,0.026400208888971783,6.791951813154289e-05,0.0004807655619233675,1.26923112614008e-05
2018,E07000094,107281,262082,84,45025,0.0018656302054414215,200.14667406996114,female,12-15,2829,0.02637000027963945,4.9196669039194096e-05,0.00032051037461557834,8.451858668240146e-06
2018,E07000094,107281,262082,84,45025,0.0018656302054414215,200.14667406996114,male,12-15,3202,0.029846850793709977,5.56831863780486e-05,0.00032051037461557834,9.566225328987256e-06
2018,E07000180,114241,262082,8,45929,0.00017418188943804568,19.898713231291776,female,12-15,3014,0.026382822279216744,4.595409833302139e-06,3.052479758243603e-05,8.053303097264747e-07
2018,E07000180,114241,262082,8,45929,0.00017418188943804568,19.898713231291776,male,12-15,3275,0.028667466146129673,4.993353418734077e-06,3.052479758243603e-05,8.750686013119458e-07
2018,E07000189,145598,262082,155,54921,0.002822235574734619,410.91185521021106,female,12-15,3618,0.024849242434648828,7.013041600427102e-05,0.0005914179531596981,1.4696288098269123e-05
2018,E07000189,145598,262082,155,54921,0.002822235574734619,410.91185521021106,male,12-15,3644,0.025027816316158188,7.063439356538519e-05,0.0005914179531596981,1.480189989775917e-05
2018,E07000217,84353,262082,9,40312,0.0002232585830521929,18.832531256201626,female,12-15,2379,0.028202909202992187,6.296541546609686e-06,3.434039728024054e-05,9.684991064893037e-07
2018,E07000217,84353,262082,9,40312,0.0002232585830521929,18.832531256201626,male,12-15,2459,0.029151304636468176,6.508278967260706e-06,3.434039728024054e-05,1.0010673824536351e-06
2018,E09000003,327193,262082,11,143042,7.690049076495015e-05,25.161302274856332,female,12-15,9359,0.028603912675393424,2.1996549225355324e-06,4.1971596675849546e-05,1.2005518861628333e-06
2018,E09000003,327193,262082,11,143042,7.690049076495015e-05,25.161302274856332,male,12-15,9758,0.029823376416977136,2.2934322827333822e-06,4.1971596675849546e-05,1.2517347264854073e-06
2018,E06000040,128425,262082,9,60244,0.00014939247061948079,19.18572803930682,female,16-17,1821,0.014179482188047498,2.118307876177337e-06,3.434039728024054e-05,4.869290515656454e-07
2018,E06000040,128425,262082,9,60244,0.00014939247061948079,19.18572803930682,male,16-17,2206,0.017177340860424373,2.566165389811755e-06,3.434039728024054e-05,5.898767093650819e-07
2018,E06000044,184195,262082,10,71978,0.0001389313401317069,25.590458195559755,female,16-17,1981,0.010754906484975162,1.4941935709487847e-06,3.815599697804504e-05,4.1036417933986927e-07
2018,E06000044,184195,262082,10,71978,0.0001389313401317069,25.590458195559755,male,16-17,2137,0.011601835011808137,1.6118584861774622e-06,3.815599697804504e-05,4.426795816503284e-07
2018,E06000045,215985,262082,275,87265,0.0031513206898527474,680.6379991978456,female,16-17,2228,0.010315531171146145,3.250754680645379e-05,0.0010492899168962385,1.0823982845312497e-05
2018,E06000045,215985,262082,275,87265,0.0031513206898527474,680.6379991978456,male,16-17,2237,0.010357200731532283,3.2638860954235694e-05,0.0010492899168962385,1.086770629486717e-05
