year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2018,E06000035,233401,21016,18,102533,0.0001755532365189744,40.97430095676514,female,12-15,6679,0.028615987078033086,5.023629147733857e-06,0.0008564902931100114,2.4509315160096857e-05
2018,E06000035,233401,21016,18,102533,0.0001755532365189744,40.97430095676514,male,12-15,6774,0.02902301189797816,5.095083672218767e-06,0.0008564902931100114,2.485792796743466e-05
2018,E06000036,102478,21016,8,45109,0.00017734820102418587,18.17428894455652,female,12-15,2946,0.02874763363843947,5.098341109479611e-06,0.00038066235249333843,1.0943141849424998e-05
2018,E06000036,102478,21016,8,45109,0.00017734820102418587,18.17428894455652,male,12-15,3133,0.03057241554284822,5.42196289748799e-06,0.00038066235249333843,1.1637767621944508e-05
2018,E06000040,128425,21016,33,60244,0.0005477723922714295,70.34766947745834,female,12-15,3762,0.029293361884368308,1.604609491707314e-05,0.0015702322040350208,4.599738019528712e-05
2018,E06000040,128425,21016,33,60244,0.0005477723922714295,70.34766947745834,male,12-15,4334,0.03374732334047109,1.84858520389673e-05,0.0015702322040350208,5.2991133909190426e-05
2018,E06000043,256053,21016,165,95475,0.0017282010997643363,442.5110761979576,female,12-15,5381,0.02101518045092227,3.6318457967029845e-05,0.007851161020175105,0.0001649935655882268
2018,E06000043,256053,21016,165,95475,0.0017282010997643363,442.5110761979576,male,12-15,5653,0.022077460525750527,3.8154291560605785e-05,0.007851161020175105,0.0001733336975042271
2018,E06000060,455936,21016,41,213317,0.00019220221548212285,87.63190931805717,female,12-15,13312,0.029197080291970802,5.611743517726215e-06,0.0019508945565283593,5.696042500812728e-05
2018,E06000060,455936,21016,41,213317,0.00019220221548212285,87.63190931805717,male,12-15,13871,0.030423129562043797,5.847392903724484e-06,0.0019508945565283593,5.935231785514825e-05
2018,E07000061,89601,21016,25,41309,0.000605194993827011,54.22607664189401,female,12-15,2102,0.02345955960312943,1.4197608029200312e-05,0.0011895698515416826,2.790678483432793e-05
2018,E07000061,89601,21016,25,41309,0.000605194993827011,54.22607664189401,male,12-15,2152,0.024017589089407484,1.4535324680703649e-05,0.0011895698515416826,2.8570599887475597e-05
2018,E07000062,79641,21016,22,39139,0.0005620991849561818,44.76614118909528,female,12-15,1927,0.024196079908589796,1.360059679575297e-05,0.0010468214693566806,2.5328975922581628e-05
2018,E07000062,79641,21016,22,39139,0.0005620991849561818,44.76614118909528,male,12-15,2085,0.026179982672241683,1.4715746922234012e-05,0.0010468214693566806,2.7405767928688476e-05
2018,E07000063,89616,21016,90,40107,0.0022439973072032313,201.09806268232478,female,12-15,2219,0.024761203356543474,5.556407365519517e-05,0.004282451465550057,0.0001060386516030126
2018,E07000063,89616,21016,90,40107,0.0022439973072032313,201.09806268232478,male,12-15,2448,0.027316550615961437,6.129826602429823e-05,0.004282451465550057,0.00011698180221909638
2018,E07000064,85016,21016,67,41191,0.0016265689106843729,138.28438251074263,female,12-15,1773,0.020854897901571468,3.392192856219291e-05,0.003188047202131709,6.648639890584737e-05
2018,E07000064,85016,21016,67,41191,0.0016265689106843729,138.28438251074263,male,12-15,1886,0.022184059471158372,3.608390144855942e-05,0.003188047202131709,7.072382872894989e-05
2018,E07000065,139993,21016,81,63878,0.001268042205454147,177.5170324681424,female,12-15,3574,0.025529847920967477,3.237292466261257e-05,0.0038542063189950515,9.839730117997553e-05
2018,E07000065,139993,21016,81,63878,0.001268042205454147,177.5170324681424,male,12-15,3672,0.026229882922717565,3.326059859012685e-05,0.0038542063189950515,0.00010109538050723842
2018,E07000068,65909,21016,9,30493,0.0002951497064900141,19.45302200505034,female,12-15,1817,0.0275683138873295,8.136779752269882e-06,0.0004282451465550057,1.180599662095382e-05
2018,E07000068,65909,21016,9,30493,0.0002951497064900141,19.45302200505034,male,12-15,1837,0.027871762581741493,8.226342545360358e-06,0.0004282451465550057,1.193594705156421e-05
2018,E07000070,151579,21016,9,59948,0.0001501301127643958,22.75657236271435,female,12-15,4025,0.02655381022437145,3.986526523309252e-06,0.0004282451465550057,1.137154035112976e-05
2018,E07000070,151579,21016,9,59948,0.0001501301127643958,22.75657236271435,male,12-15,4328,0.02855276786362227,4.286630259101228e-06,0.0004282451465550057,1.2227584258307977e-05
2018,E07000072,112053,21016,19,51229,0.00037088367916609735,41.55862890159871,female,12-15,2812,0.025095267418096794,9.307425109680828e-06,0.0009040730871716788,2.2687955888077613e-05
2018,E07000072,112053,21016,19,51229,0.00037088367916609735,41.55862890159871,male,12-15,2926,0.026112643124235852,9.684753154667888e-06,0.0009040730871716788,2.360773788354022e-05
2018,E07000076,127614,21016,8,66010,0.00012119375852143615,15.466020299954552,female,12-15,2844,0.022285956086322816,2.7009187803451378e-06,0.00038066235249333843,8.483424471382876e-06
2018,E07000076,127614,21016,8,66010,0.00012119375852143615,15.466020299954552,male,12-15,3081,0.024143119093516387,2.9259953453738994e-06,0.00038066235249333843,9.190376510664783e-06
2018,E07000077,75967,21016,8,30288,0.0002641310089804543,20.065240359218173,female,12-15,2225,0.029289033396079876,7.736141942968801e-06,0.00038066235249333843,1.114923235480772e-05
2018,E07000077,75967,21016,8,30288,0.0002641310089804543,20.065240359218173,male,12-15,2280,0.03001303197440994,7.927372417963534e-06,0.00038066235249333843,1.1424831356836674e-05
2018,E07000079,78196,21016,8,33230,0.00024074631357207343,18.825398736081855,female,12-15,1900,0.024297918052074274,5.849634198513217e-06,0.00038066235249333843,9.249302646392948e-06
2018,E07000079,78196,21016,8,33230,0.00024074631357207343,18.825398736081855,male,12-15,1871,0.02392705509233209,5.760350308114857e-06,0.00038066235249333843,9.108129079684846e-06
2018,E07000085,104605,21016,19,48316,0.0003932444738802881,41.13533819024754,female,12-15,2807,0.02683428134410401,1.0552432849117812e-05,0.0009040730871716788,2.42601515767975e-05
2018,E07000085,104605,21016,19,48316,0.0003932444738802881,41.13533819024754,male,12-15,2928,0.02799101381387123,1.1007311500611668e-05,0.0009040730871716788,2.5305922271771668e-05
2018,E07000089,81805,21016,41,38894,0.001054147169229187,86.23450917879364,female,12-15,2337,0.02856793594523562,3.0114808807390867e-05,0.0019508945565283593,5.5733030726811025e-05
2018,E07000089,81805,21016,41,38894,0.001054147169229187,86.23450917879364,male,12-15,2475,0.030254874396430535,3.189309020038185e-05,0.0019508945565283593,5.902406976844556e-05
2018,E07000090,109160,21016,8,48681,0.0001643351615620057,17.938826236108543,female,12-15,2723,0.024945034811286185,4.099346325882572e-06,0.00038066235249333843,9.49563563429242e-06
2018,E07000090,109160,21016,8,48681,0.0001643351615620057,17.938826236108543,male,12-15,2813,0.025769512641993404,4.234837023396134e-06,0.00038066235249333843,9.809483304908034e-06
2018,E07000092,80296,21016,8,43494,0.0001839334161033706,14.769117579436244,female,12-15,1997,0.024870479226860615,4.574512204324388e-06,0.00038066235249333843,9.467255130133467e-06
2018,E07000092,80296,21016,8,43494,0.0001839334161033706,14.769117579436244,male,12-15,2182,0.027174454518282355,4.998290250293348e-06,0.00038066235249333843,1.0344291784652592e-05
2018,E07000094,107281,21016,10,45025,0.0002220988339811216,23.826985008328705,female,12-15,2829,0.02637000027963945,5.856746314189773e-06,0.000475827940616673,1.254758292712193e-05
2018,E07000094,107281,21016,10,45025,0.0002220988339811216,23.826985008328705,male,12-15,3202,0.029846850793709977,6.6289507592915e-06,0.000475827940616673,1.420196554706413e-05
2018,E07000098,87280,21016,20,44184,0.00045265254390729675,39.50751403222886,female,12-15,2566,0.029399633363886343,1.3307818832104988e-05,0.000951655881233346,2.7978333996846536e-05
2018,E07000098,87280,21016,20,44184,0.00045265254390729675,39.50751403222886,male,12-15,2692,0.03084326306141155,1.3961281487149896e-05,0.000951655881233346,2.9352172688819515e-05
2018,E07000105,108906,21016,54,49335,0.0010945576162967468,119.20389176041351,female,12-15,3118,0.028630194846932217,3.1337397825769535e-05,0.002569470879330034,7.356445192873714e-05
2018,E07000105,108906,21016,54,49335,0.0010945576162967468,119.20389176041351,male,12-15,3265,0.029979982737406572,3.2814818441673356e-05,0.002569470879330034,7.703269260658331e-05
2018,E07000106,145287,21016,37,58021,0.0006377001430516537,92.64954068354561,female,12-15,3282,0.022589770592000662,1.4405499938022861e-05,0.0017605633802816902,3.97707228732406e-05
2018,E07000106,145287,21016,37,58021,0.0006377001430516537,92.64954068354561,male,12-15,3579,0.024634000289082986,1.5709105508282698e-05,0.0017605633802816902,4.3369718818808076e-05
2018,E07000107,90770,21016,8,49288,0.00016231131309852296,14.73299788995293,female,12-15,2575,0.028368403657596124,4.604512848173369e-06,0.00038066235249333843,1.0798783272781166e-05
2018,E07000107,90770,21016,8,49288,0.00016231131309852296,14.73299788995293,male,12-15,2726,0.030031948881789138,4.874525057910913e-06,0.00038066235249333843,1.1432032311301538e-05
2018,E07000108,101627,21016,33,46731,0.0007061693522501123,71.76587276112217,female,12-15,2552,0.0251114369212906,1.7732927144777336e-05,0.0015702322040350208,3.943078694340454e-05
2018,E07000108,101627,21016,33,46731,0.0007061693522501123,71.76587276112217,male,12-15,2589,0.025475513397030317,1.7990026793819956e-05,0.0015702322040350208,4.000247155034262e-05
2018,E07000109,89161,21016,9,47181,0.0001907547529725949,17.007884529789536,female,12-15,2540,0.028487791747512925,5.4341816775315554e-06,0.0004282451465550057,1.2199758551942155e-05
2018,E07000109,89161,21016,9,47181,0.0001907547529725949,17.007884529789536,male,12-15,2771,0.031078610603290677,5.9283926883621816e-06,0.0004282451465550057,1.330926415253217e-05
2018,E07000110,143985,21016,19,68940,0.00027560197272991007,39.6825500435161,female,12-15,3761,0.026120776469771158,7.1989375243059474e-06,0.0009040730871716788,2.3615091022347354e-05
2018,E07000110,143985,21016,19,68940,0.00027560197272991007,39.6825500435161,male,12-15,4101,0.028482133555578708,7.84973219547426e-06,0.0009040730871716788,2.5749930412828105e-05
2018,E07000111,101989,21016,56,49806,0.0011243625266032205,114.67260972573585,female,12-15,2932,0.02874819833511457,3.2323396915359916e-05,0.0026646364674533687,7.660349765732851e-05
2018,E07000111,101989,21016,56,49806,0.0011243625266032205,114.67260972573585,male,12-15,2912,0.02855209875574817,3.2102909896837683e-05,0.0026646364674533687,7.608096356689652e-05
2018,E07000112,98086,21016,19,46381,0.0004096505034389082,40.18097928030875,female,12-15,2178,0.022205003772199906,9.096290974144546e-06,0.0009040730871716788,2.007494631099154e-05
2018,E07000112,98086,21016,19,46381,0.0004096505034389082,40.18097928030875,male,12-15,2396,0.024427543176396223,1.000675535998638e-05,0.0009040730871716788,2.208428437150401e-05
2018,E07000113,125559,21016,54,55757,0.0009684882615635705,121.60241763366035,female,12-15,3383,0.026943508629409283,2.6094471832919657e-05,0.002569470879330034,6.923056081024464e-05
2018,E07000113,125559,21016,54,55757,0.0009684882615635705,121.60241763366035,male,12-15,3612,0.0287673524000669,2.7860843115727398e-05,0.002569470879330034,7.391687426739686e-05
2018,E07000114,121338,21016,16,61483,0.0002602345363759088,31.57633817478002,female,12-15,3039,0.025045739999011028,6.517766536834189e-06,0.0007613247049866769,1.9067940615920082e-05
2018,E07000114,121338,21016,16,61483,0.0002602345363759088,31.57633817478002,male,12-15,3369,0.027765415615882905,7.2255200600837055e-06,0.0007613247049866769,2.1138496852594525e-05
2018,E07000115,110623,21016,72,52709,0.001365990627786526,151.10998121762887,female,12-15,3251,0.02938810193178634,4.014387180725524e-05,0.0034259611724400457,0.0001006824961500103
2018,E07000115,110623,21016,72,52709,0.001365990627786526,151.10998121762887,male,12-15,3517,0.03179266517812752,4.3428482665677234e-05,0.0034259611724400457,0.00010892043646865157
2018,E07000116,100632,21016,76,45164,0.0016827561774864937,169.33911965282084,female,12-15,3200,0.031799030129581046,5.3510014388631645e-05,0.003616292348686715,0.00011499458935326225
2018,E07000116,100632,21016,76,45164,0.0016827561774864937,169.33911965282084,male,12-15,3197,0.03176921853883456,5.3459848750142296e-05,0.003616292348686715,0.00011488678192574357
2018,E07000207,113125,21016,892,51835,0.01720844988907109,1946.7058937011673,female,12-15,3436,0.030373480662983426,0.0005226805199456201,0.042443852303007235,0.0012891675271879148
2018,E07000207,113125,21016,892,51835,0.01720844988907109,1946.7058937011673,male,12-15,3567,0.03153149171270718,0.0005426080950657819,0.042443852303007235,0.0013383179771476403
2018,E07000208,67362,21016,1015,32559,0.031174176111059923,2099.9548511932185,female,12-15,1931,0.028666013479409756,0.0008936393526091373,0.048296535972592314,0.0013844691511991293
2018,E07000208,67362,21016,1015,32559,0.031174176111059923,2099.9548511932185,male,12-15,2004,0.029749710519283868,0.0009274227149812073,0.048296535972592314,0.0014368079642688013
2018,E07000209,128181,21016,146,58442,0.0024982033469080457,320.2222032100202,female,12-15,3298,0.025729242243390207,6.427687908584529e-05,0.006947087933003426,0.0001787433083143781
2018,E07000209,128181,21016,146,58442,0.0024982033469080457,320.2222032100202,male,12-15,3249,0.025346970299810423,6.332188603696523e-05,0.006947087933003426,0.0001760876315080092
2018,E07000210,75818,21016,820,34855,0.02352603643666619,1783.6970305551572,female,12-15,2141,0.02823867683135931,0.0006643441400578004,0.03901789113056719,0.0011018136182772474
2018,E07000210,75818,21016,820,34855,0.02352603643666619,1783.6970305551572,male,12-15,2048,0.027012055184784615,0.0006354865945064807,0.03901789113056719,0.001053953428412799
2018,E07000211,124294,21016,1076,58419,0.018418665160307435,2289.329567435252,female,12-15,3442,0.027692406713115677,0.0005100571667319275,0.05119908641035402,0.0014178259242154773
2018,E07000211,124294,21016,1076,58419,0.018418665160307435,2289.329567435252,male,12-15,3476,0.027965951695174344,0.0005150955001627484,0.05119908641035402,0.0014318311773890177
2018,E07000212,76173,21016,101,31992,0.0031570392598149538,240.48115153788447,female,12-15,1705,0.022383259160069842,7.066482793095318e-05,0.004805862200228397,0.00010757085911529568
2018,E07000212,76173,21016,101,31992,0.0031570392598149538,240.48115153788447,male,12-15,1744,0.02289525159833537,7.228120815928584e-05,0.004805862200228397,0.00011003142422115875
2018,E07000213,84197,21016,113,41784,0.002704384453379284,227.70105782117557,female,12-15,2066,0.024537691366675773,6.635935105385704e-05,0.005376855728968405,0.0001319356264005692
2018,E07000213,84197,21016,113,41784,0.002704384453379284,227.70105782117557,male,12-15,2328,0.027649441191491382,7.477471890289408e-05,0.005376855728968405,0.00014866705627324545
2018,E07000214,76222,21016,49,39487,0.0012409147314305974,94.585002659103,female,12-15,2105,0.02761669859095799,3.426996811499839e-05,0.0023315569090216976,6.438990440411788e-05
2018,E07000214,76222,21016,49,39487,0.0012409147314305974,94.585002659103,male,12-15,2263,0.029689590931751986,3.684225075735932e-05,0.0023315569090216976,6.922297086295429e-05
2018,E07000215,74754,21016,360,33751,0.0106663506266481,797.352374744452,female,12-15,2068,0.02766407148781336,0.0002950746862496759,0.01712980586220023,0.0004738801739442715
2018,E07000215,74754,21016,360,33751,0.0106663506266481,797.352374744452,male,12-15,2101,0.02810551943708698,0.000299783324860043,0.01712980586220023,0.000481442091613595
2018,E07000216,107056,21016,89,53802,0.001654213598007509,177.0934909482919,female,12-15,3049,0.028480421461664924,4.711270045887101e-05,0.00423486867148839,0.00012061084459879037
2018,E07000216,107056,21016,89,53802,0.001654213598007509,177.0934909482919,male,12-15,3493,0.032627783589896875,5.397332328725367e-05,0.00423486867148839,0.00013817437854495728
2018,E07000217,84353,21016,101,40312,0.0025054574320301647,211.3428507640405,female,12-15,2379,0.028202909202992187,7.066118846750871e-05,0.004805862200228397,0.00013553929527513375
2018,E07000217,84353,21016,101,40312,0.0025054574320301647,211.3428507640405,male,12-15,2459,0.029151304636468176,7.30373528548146e-05,0.004805862200228397,0.00014009715303974523
2018,E07000223,54836,21016,22,27847,0.0007900312421445757,43.32215319423995,female,12-15,1234,0.022503464877088045,1.77784403094027e-05,0.0010468214693566806,2.3557110168249762e-05
2018,E07000223,54836,21016,22,27847,0.0007900312421445757,43.32215319423995,male,12-15,1440,0.02626012108833613,2.074631608228516e-05,0.0010468214693566806,2.748965854317638e-05
2018,E07000224,140104,21016,34,71654,0.00047450247020403604,66.47969408546626,female,12-15,2892,0.020641808941928852,9.794589332425e-06,0.0016178149980966882,3.3394628094098825e-05
