year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2019,E07000064,85445,106083,8,41554,0.00019252057563652115,16.44992058526255,female,12-15,1843,0.021569430627889286,4.1525592006332555e-06,7.541264858648416e-05,1.6266078921515633e-06
2019,E07000064,85445,106083,8,41554,0.00019252057563652115,16.44992058526255,male,12-15,1981,0.023184504652115395,4.463494181472858e-06,7.541264858648416e-05,1.7484049019816855e-06
2019,E07000111,102437,106083,29,50505,0.0005742005742005742,58.81938421938422,female,12-15,3064,0.029911067290139304,1.717495201295e-05,0.0002733708511260051,8.176813923192593e-06
2019,E07000111,102437,106083,29,50505,0.0005742005742005742,58.81938421938422,male,12-15,3042,0.029696301141189218,1.7051633166904015e-05,0.0002733708511260051,8.118103118261054e-06
2019,E07000208,67859,106083,20,33132,0.0006036460219727152,40.962815405046484,female,12-15,1950,0.02873605564479288,1.734640567716581e-05,0.00018853162146621042,5.41765516525605e-06
2019,E07000208,67859,106083,20,33132,0.0006036460219727152,40.962815405046484,male,12-15,2127,0.03134440531101254,1.8920925577093168e-05,0.00018853162146621042,5.9094115571792915e-06
2019,E07000211,125157,106083,512,60137,0.008513893277017476,1065.5733408716762,female,12-15,3515,0.02808472558466566,0.0002391103563421657,0.0048264095095349865,0.00013554838663451088
2019,E07000211,125157,106083,512,60137,0.008513893277017476,1065.5733408716762,male,12-15,3632,0.029019551443387106,0.0002470693639359163,0.0048264095095349865,0.00014006023904880328
2019,E07000215,75272,106083,1195,35241,0.03390936693056383,2552.4258675974006,female,12-15,2097,0.027858964820916144,0.000944679860418115,0.011264764382606072,0.00031382467465093173
2019,E07000215,75272,106083,1195,35241,0.03390936693056383,2552.4258675974006,male,12-15,2161,0.0287092145817834,0.0009735112915419869,0.011264764382606072,0.0003234025378734685
2019,E07000226,93163,106083,25,42291,0.000591142323425788,55.07259227731669,female,12-15,2631,0.028240825220312786,1.669434703619729e-05,0.00023566452683276303,6.655360712911774e-06
2019,E07000226,93163,106083,25,42291,0.000591142323425788,55.07259227731669,male,12-15,2872,0.03082768910404345,1.8223551762812094e-05,0.00023566452683276303,7.264992766051924e-06
2019,E07000227,124643,106083,17,55435,0.00030666546405700367,38.22370343645711,female,12-15,3484,0.027951830427701517,8.57186104935376e-06,0.00016025187824627885,4.479333326460656e-06
2019,E07000227,124643,106083,17,55435,0.00030666546405700367,38.22370343645711,male,12-15,3567,0.028617732243286828,8.776070138646632e-06,0.00016025187824627885,4.5860453431358095e-06
2019,E07000228,128742,106083,20,57861,0.00034565596861443806,44.500440711359985,female,12-15,3564,0.027683273523791768,9.568888724284671e-06,0.00018853162146621042,5.219172444933075e-06
2019,E07000228,128742,106083,20,57861,0.00034565596861443806,44.500440711359985,male,12-15,3844,0.029858165944291686,1.032065327052477e-05,0.00018853162146621042,5.629208439484495e-06
2019,E09000004,209171,106083,75,113257,0.0006622107242819428,138.51527940877824,female,12-15,5831,0.027876713311118653,1.8460258512355957e-05,0.000706993580498289,1.970865735635209e-05
2019,E09000004,209171,106083,75,113257,0.0006622107242819428,138.51527940877824,male,12-15,6372,0.0304631139115843,2.0173000727273566e-05,0.000706993580498289,2.1537225977478223e-05
2019,E09000006,280531,106083,3931,127953,0.03072221831453737,8618.534625995484,female,12-15,7792,0.02777589642499403,0.0008533371538506447,0.03705589019918366,0.0010292605681084767
2019,E09000006,280531,106083,3931,127953,0.03072221831453737,8618.534625995484,male,12-15,8164,0.029101953081834095,0.0008940765559595307,0.03705589019918366,0.0010783987779822387
2019,E09000008,321021,106083,92016,164384,0.5597625072999806,179695.51985594706,female,12-15,9771,0.030437261113758912,0.017037637596381886,0.8673962840417409,0.02640116718648266
2019,E09000008,321021,106083,92016,164384,0.5597625072999806,179695.51985594706,male,12-15,10212,0.03181100301849412,0.01780660680935952,0.8673962840417409,0.027592745809882403
2019,E09000011,238323,106083,18,119189,0.0001510206478785794,35.99169386436668,female,12-15,6665,0.02796624748765331,4.223480814318096e-06,0.00016967845931958937,4.745269786655351e-06
2019,E09000011,238323,106083,18,119189,0.0001510206478785794,35.99169386436668,male,12-15,6860,0.028784464780990504,4.347048520063337e-06,0.00016967845931958937,4.88410363637745e-06
2019,E09000021,149759,106083,9,68270,0.0001318295005126703,19.74265416727699,female,12-15,4090,0.027310545609946647,3.600335586487767e-06,8.483922965979469e-05,2.317005651136561e-06
2019,E09000021,149759,106083,9,68270,0.0001318295005126703,19.74265416727699,male,12-15,4085,0.02727715863487336,3.5959341982402265e-06,8.483922965979469e-05,2.314173125890673e-06
2019,E09000022,282429,106083,2208,121743,0.018136566373425988,5122.292304280329,female,12-15,6235,0.022076344851272356,0.0004003890936777422,0.02081389100986963,0.0004594946356306794
2019,E09000022,282429,106083,2208,121743,0.018136566373425988,5122.292304280329,male,12-15,6460,0.022873005250877213,0.0004148377778922557,0.02081389100986963,0.0004760762383599341
2019,E09000023,256429,106083,496,125824,0.003942014242115971,1010.8467700915563,female,12-15,6541,0.025508035362614992,0.00010055303868782613,0.004675584212362019,0.00011926496742981474
