year,ltla,ppln_ltla,total_trust_patients,patients_from_ltla_to_trust,total_patients_of_ltla,tfp_ltla,etc_ltla,sex,ag,ags_ppln_ltla,agsf_ppln_ltla,tfp_ltla_ags,ltla_frac_tp,ags_ltla_frac_tp
2019,E06000006,109914,131389,101,70083,0.0014411483526675514,158.40238003510123,female,12-15,3115,0.028340338810342633,4.0842632590565555e-05,0.000768709709336398,2.1785493609393525e-05
2019,E06000006,109914,131389,101,70083,0.0014411483526675514,158.40238003510123,male,12-15,3319,0.03019633531670215,4.3517398898262305e-05,0.000768709709336398,2.3212216144326518e-05
2019,E06000007,180215,131389,1239,96932,0.012782156563364008,2303.5363450666446,female,12-15,4792,0.026590461393335738,0.00033988344062170365,0.009430013167007893,0.00025074840105597106
2019,E06000007,180215,131389,1239,96932,0.012782156563364008,2303.5363450666446,male,12-15,5048,0.028010986876786062,0.00035804081975341403,0.009430013167007893,0.00026414397506897787
2019,E06000008,123540,131389,333,68237,0.00488005041253279,602.8814279643009,female,12-15,4157,0.03364902056014246,0.00016420891666584755,0.002534458744643768,8.528205440735101e-05
2019,E06000008,123540,131389,333,68237,0.00488005041253279,602.8814279643009,male,12-15,4274,0.034596082240569856,0.00016883062541011128,0.002534458744643768,8.768234316502723e-05
2019,E06000009,119460,131389,449,71402,0.006288339262205541,751.2050082630739,female,12-15,3086,0.025832914783191028,0.00016244613228835007,0.0034173332622974527,8.827967895069429e-05
2019,E06000009,119460,131389,449,71402,0.006288339262205541,751.2050082630739,male,12-15,3159,0.02644399799095932,0.00016628883081623393,0.0034173332622974527,9.036795392263229e-05
2019,E06000049,332645,131389,468,171600,0.0027272727272727275,907.2136363636364,female,12-15,8606,0.025871424491575104,7.055843043156848e-05,0.0035619420194993494,9.215251400084595e-05
2019,E06000049,332645,131389,468,171600,0.0027272727272727275,907.2136363636364,male,12-15,8965,0.02695065309864871,7.350178117813285e-05,0.0035619420194993494,9.599666372502718e-05
2019,E06000050,296676,131389,93,158762,0.0005857824920320984,173.78760660611482,female,12-15,7442,0.025084604079871644,1.4694121889545754e-05,0.0007078218115671783,1.775542990226018e-05
2019,E06000050,296676,131389,93,158762,0.0005857824920320984,173.78760660611482,male,12-15,7862,0.026500289878520676,1.5523405844612837e-05,0.0007078218115671783,1.8757483188869866e-05
2019,E07000026,85796,131389,261,45036,0.005795363709032774,497.21902478017586,female,12-15,1978,0.023054687864236093,0.00013361030137147217,0.001986467664720791,4.5797391962535835e-05
2019,E07000026,85796,131389,261,45036,0.005795363709032774,497.21902478017586,male,12-15,2109,0.024581565574152642,0.0001424591130396536,0.001986467664720791,4.883048516126799e-05
2019,E07000027,58248,131389,464,32779,0.014155404374752129,824.523994020562,female,12-15,1430,0.024550199148468618,0.00034751799642726864,0.0035314980706147394,8.669898092602455e-05
2019,E07000027,58248,131389,464,32779,0.014155404374752129,824.523994020562,male,12-15,1543,0.026490179920340612,0.0003749792087323605,0.0035314980706147394,9.355001927892019e-05
2019,E07000028,94033,131389,26,50834,0.0005114687020498092,48.094936459849706,female,12-15,2305,0.024512671083555773,1.2537464062880161e-05,0.00019788566774996385,4.850706285704664e-06
2019,E07000028,94033,131389,26,50834,0.0005114687020498092,48.094936459849706,male,12-15,2390,0.025416609062775833,1.2999800047845373e-05,0.00019788566774996385,5.029582656327178e-06
2019,E07000029,59594,131389,453,34180,0.013253364540667056,789.8210064365126,female,12-15,1374,0.0230560123502366,0.0003055697365318075,0.0034477772111820622,7.949199396187793e-05
2019,E07000029,59594,131389,453,34180,0.013253364540667056,789.8210064365126,male,12-15,1518,0.025472362989562708,0.0003375945124128703,0.0034477772111820622,8.782303263037169e-05
2019,E07000030,47442,131389,128,23549,0.005435474967089898,257.8698033886789,female,12-15,1052,0.022174444584966906,0.00012052863845070976,0.0009742063643075143,2.160248503965906e-05
2019,E07000030,47442,131389,128,23549,0.005435474967089898,257.8698033886789,male,12-15,1183,0.024935710973399097,0.00013553743278249967,0.0009742063643075143,2.4292528328818124e-05
2019,E07000031,93997,131389,783,46314,0.016906335017489314,1589.144772638943,female,12-15,2173,0.023117759077417366,0.00039083657981642267,0.005959402994162373,0.00013776804266428543
2019,E07000031,93997,131389,783,46314,0.016906335017489314,1589.144772638943,male,12-15,2308,0.024553975126865753,0.0004151177295058921,0.005959402994162373,0.0001463270328896322
2019,E07000037,80968,131389,88,40544,0.002170481452249408,175.73954222573008,female,12-15,1997,0.02466406481572967,5.353289521961847e-05,0.0006697668754614161,1.6519173627809107e-05
2019,E07000037,80968,131389,88,40544,0.002170481452249408,175.73954222573008,male,12-15,2105,0.025997925106214802,5.642801424000845e-05,0.0006697668754614161,1.7412549066869393e-05
2019,E07000117,74610,131389,218,43983,0.004956460450628652,369.8015142214037,female,12-15,2147,0.028776303444578474,0.00014262860993834224,0.0016591952142112354,4.774550495793489e-05
2019,E07000117,74610,131389,218,43983,0.004956460450628652,369.8015142214037,male,12-15,2254,0.030210427556627797,0.00014973678938100764,0.0016591952142112354,5.012499682123207e-05
2019,E07000118,101901,131389,2730,47512,0.057459168210136385,5855.146699781108,female,12-15,2679,0.026290222863367387,0.0015106143377882002,0.020777995113746204,0.0005462581221943463
2019,E07000118,101901,131389,2730,47512,0.057459168210136385,5855.146699781108,male,12-15,2829,0.02776223982100274,0.001595195207765143,0.020777995113746204,0.0005768436833474452
2019,E07000119,71604,131389,537,37431,0.01434639737116294,1027.2594373647512,female,12-15,1687,0.023560136305234344,0.0003380030775536545,0.004087100137758868,9.6292636338741e-05
2019,E07000119,71604,131389,537,37431,0.01434639737116294,1027.2594373647512,male,12-15,1710,0.023881347410759174,0.0003426112997135443,0.004087100137758868,9.760545829238122e-05
2019,E07000120,68196,131389,184,39184,0.0046957942017149855,320.2343813801551,female,12-15,1888,0.02768490820575987,0.00013000263142761882,0.001400421648692052,3.877054479339835e-05
2019,E07000120,68196,131389,184,39184,0.0046957942017149855,320.2343813801551,male,12-15,2135,0.03130682151445833,0.0001470103909417194,0.001400421648692052,4.3842750600585536e-05
2019,E07000121,127415,131389,515,61206,0.008414207757409404,1072.0962814103193,female,12-15,2810,0.02205391829847349,0.00018556625042828886,0.003919658418893515,8.644382652820136e-05
2019,E07000121,127415,131389,515,61206,0.008414207757409404,1072.0962814103193,male,12-15,3143,0.02466742534238512,0.0002075568416712142,0.003919658418893515,9.668788141570708e-05
2019,E07000122,77054,131389,190,44730,0.004247708473060586,327.3029286832104,female,12-15,2209,0.028668206712175875,0.00012177418455876182,0.0014460875720189667,4.145673743854825e-05
2019,E07000122,77054,131389,190,44730,0.004247708473060586,327.3029286832104,male,12-15,2219,0.02879798582812054,0.00012232544840918628,0.0014460875720189667,4.1644409405223444e-05
2019,E07000123,120689,131389,251,58564,0.0042859094324158185,517.2621234888327,female,12-15,3255,0.026970146409366222,0.0001155916048895383,0.0019103577925092664,5.152262935824857e-05
